"","Game","AB","R","H","X2B","X3B","HR","RBI","BB","SO"
"61",61,4,0,1,0,0,0,0,0,0
"62",62,4,0,1,0,0,0,0,0,0
"63",63,4,0,1,0,0,0,0,0,0
"64",64,5,3,2,0,0,1,3,1,2
"65",65,4,0,0,0,0,0,0,0,1
"66",66,5,2,2,0,0,1,2,0,0
"67",67,4,0,2,1,0,0,0,1,1
"68",68,4,3,3,0,0,2,2,0,0
"69",69,4,1,1,0,0,0,0,0,1
"70",70,5,2,3,0,0,0,1,0,0
"71",71,3,0,1,0,0,0,0,0,1
"72",72,4,0,1,0,0,0,0,0,1
"73",73,1,1,0,0,0,0,0,2,0
"74",74,5,1,2,1,0,0,0,0,2
"75",75,5,0,3,0,0,0,1,0,0
"76",76,4,0,0,0,0,0,0,1,0
"77",77,4,0,1,1,0,0,0,0,0
"78",78,4,1,1,0,0,0,1,0,1
"79",79,5,1,2,2,0,0,2,0,0
"80",80,4,0,2,0,0,0,1,0,0
"81",81,4,1,1,1,0,0,3,0,0
"82",82,5,1,1,1,0,0,0,0,1
"83",83,4,1,1,0,0,1,1,0,0
"84",84,4,0,0,0,0,0,0,0,0
"85",85,5,2,2,0,0,0,0,0,1
"86",86,4,0,1,1,0,0,0,0,0
"87",87,5,1,2,1,0,0,0,0,1
"88",88,2,1,1,0,0,0,0,1,1
"89",89,5,0,0,0,0,0,0,0,1
"90",90,4,1,1,0,0,0,0,1,0
"91",91,4,0,0,0,0,0,0,0,1
"92",92,5,1,2,0,0,0,0,0,1
"93",93,5,1,1,0,0,0,0,0,0
"94",94,5,0,0,0,0,0,0,0,0
"95",95,3,0,0,0,0,0,0,0,0
"96",96,4,0,2,0,0,0,0,0,0
"97",97,3,1,1,0,1,0,1,1,1
"98",98,5,2,3,0,0,0,0,0,1
"99",99,4,1,2,0,0,0,0,0,0
"100",100,5,1,2,0,0,0,0,0,0
"101",101,4,0,1,1,0,0,1,1,1
"102",102,4,2,3,2,0,0,2,1,0
"103",103,3,1,1,0,0,0,0,1,0
"104",104,5,1,1,0,0,0,0,0,1
"105",105,4,0,1,0,0,0,0,0,1
"106",106,4,0,1,0,0,0,0,0,0
"107",107,5,1,1,0,0,1,1,0,1
"108",108,5,0,1,0,0,0,0,0,0
"109",109,5,1,2,1,0,0,0,0,3
"110",110,5,1,1,1,0,0,0,0,0
"111",111,4,0,1,1,0,0,0,0,1
"112",112,5,0,1,0,0,0,0,0,1
"113",113,4,0,0,0,0,0,0,0,0
"114",114,4,1,0,0,0,0,0,0,2
"115",115,3,0,1,1,0,0,0,1,0
"116",116,4,0,1,0,0,0,0,0,2
"117",117,3,0,0,0,0,0,0,0,0
"118",118,4,0,2,0,0,0,1,0,0
"119",119,4,2,2,0,0,1,1,1,0
"120",120,4,0,1,1,0,0,0,0,0
"121",121,4,1,1,0,0,0,1,1,0
"122",122,4,2,2,0,0,1,1,1,1
"123",123,4,2,1,0,0,0,0,2,1
"124",124,4,0,0,0,0,0,0,1,0
"125",125,2,0,0,0,0,0,0,0,0
"126",126,4,0,3,1,0,0,1,0,0
"127",127,3,2,0,0,0,0,0,2,1
"128",128,4,1,1,0,0,1,1,0,1
"129",129,4,0,0,0,0,0,0,0,0
"130",130,3,3,2,1,0,0,0,2,0
"131",131,3,2,1,0,0,0,1,1,0
"132",132,5,1,3,1,0,0,2,0,0
"133",133,4,1,2,0,0,0,1,0,2
"134",134,5,2,3,2,0,1,2,0,0
"135",135,5,1,1,0,0,1,3,0,1
"136",136,5,2,2,1,0,0,1,0,0
"137",137,3,2,1,0,0,0,0,3,1
"138",138,4,1,2,0,0,0,0,0,0
"139",139,4,1,1,0,0,0,2,0,0
"140",140,4,2,3,2,0,1,1,0,1
"141",141,4,0,0,0,0,0,0,0,1
"142",142,3,3,2,1,0,0,0,2,0
"143",143,5,2,3,0,0,1,1,0,0
"144",144,5,0,1,0,0,0,0,0,0
"145",145,4,0,2,0,0,0,1,0,1
"146",146,3,0,0,0,0,0,0,2,0
"147",147,4,1,3,0,0,1,1,1,0
"148",148,5,0,1,0,0,0,0,0,0
"149",149,4,0,0,0,0,0,0,0,1
"150",150,3,0,0,0,0,0,0,0,0
"151",151,4,2,2,1,0,0,1,0,1
"152",152,5,2,2,1,0,0,0,0,2
"153",153,4,0,1,0,0,0,0,0,1
"154",154,3,0,2,1,0,0,1,0,0
