"","SurveyYear","RouteNumStopNum","JulianDate","Pcru","MinAfterSunset","Temperature"
"2981",2005,"470803_4",158,0,100,21
"2982",2005,"470803_5",158,0,107,21
"2983",2005,"470803_6",158,1,113,21
"2984",2005,"470803_7",158,0,119,22
"2985",2005,"470803_8",158,0,125,22
"2986",2005,"470803_9",158,0,131,22
"2987",2005,"470803_10",158,0,137,22
"2988",2005,"470803_1",175,0,92,23
"2989",2005,"470803_2",175,0,99,23
"2990",2005,"470803_3",175,0,106,24
"2991",2005,"470803_4",175,0,112,24
"2992",2005,"470803_5",175,0,118,24
"2993",2005,"470803_6",175,0,124,24
"2994",2005,"470803_7",175,0,130,24
"2995",2005,"470803_8",175,0,136,25
"2997",2005,"470803_9",175,0,143,24
"2998",2005,"470803_10",175,0,149,24
"3013",2005,"470802_3",100,0,186,NA
"3798",2003,"470104_1",102,2,158,9
"3799",2003,"470104_2",102,2,168,9
"3800",2003,"470104_3",102,1,178,9
"3801",2003,"470104_4",102,1,193,9
"3802",2003,"470104_5",102,2,206,9
"3803",2003,"470104_6",102,1,215,9
"3805",2003,"470104_7",102,1,228,9
"3806",2003,"470104_8",102,0,243,9
"3807",2003,"470104_9",102,0,255,10
"3808",2003,"470104_10",102,0,266,10
"3809",2003,"470104_1",130,2,66,13
"3810",2003,"470104_2",130,2,76,13
"3811",2003,"470104_3",130,1,93,12
"3812",2003,"470104_4",130,1,103,13
"3813",2003,"470104_5",130,1,115,13
"3814",2003,"470104_6",130,2,126,13
"3815",2003,"470104_7",130,2,138,13
"3816",2003,"470104_8",130,0,155,13
"3817",2003,"470104_9",130,0,165,12
"3818",2003,"470104_10",130,0,176,12
"3819",2003,"470104_1",153,0,34,16
"3820",2003,"470104_2",153,0,44,15
"3821",2003,"470104_3",153,0,59,15
"3822",2003,"470104_4",153,0,72,16
"3823",2003,"470104_5",153,0,84,15
"3824",2003,"470104_6",153,0,99,15
"3825",2003,"470104_7",153,0,114,15
"3826",2003,"470104_8",153,0,129,15
"3827",2003,"470104_9",153,0,149,15
"3828",2003,"470104_10",153,0,164,15
"3829",2003,"470104_1",183,1,8,19
"3830",2003,"470104_2",183,1,20,18
"3831",2003,"470104_3",183,0,32,18
"3832",2003,"470104_4",183,1,49,17
"3833",2003,"470104_5",183,0,65,18
"3834",2003,"470104_6",183,2,80,17
"3835",2003,"470104_7",183,0,92,17
"3836",2003,"470104_8",183,0,105,17
"3837",2003,"470104_9",183,0,125,18
"3838",2003,"470104_10",183,0,140,18
"4429",2003,"470503_1",156,0,4,18
"4430",2003,"470503_2",156,0,12,18
"4431",2003,"470503_3",156,0,19,19
"4432",2003,"470503_4",156,0,28,17
"4433",2003,"470503_5",156,1,35,16
"4434",2003,"470503_6",156,1,44,17
"4435",2003,"470503_7",156,1,51,16
"4436",2003,"470503_8",156,2,61,18
"4437",2003,"470503_9",156,0,70,17
"4438",2003,"470503_10",156,0,78,19
"4767",2003,"470202_1",117,3,74,10
"4768",2003,"470202_2",117,2,84,10
"4769",2003,"470202_3",117,3,93,11
"4770",2003,"470202_4",117,3,101,10
"4771",2003,"470202_5",117,3,110,11
"4772",2003,"470202_6",117,1,118,10
"4773",2003,"470202_7",117,2,128,10
"4774",2003,"470202_8",117,2,137,10
"4775",2003,"470202_9",117,3,146,10
"4776",2003,"470202_10",117,1,154,10
"4827",2003,"470202_1",137,2,104,13
"4828",2003,"470202_2",137,1,112,11
"4829",2003,"470202_3",137,0,120,11
"4830",2003,"470202_4",137,1,127,12
"4831",2003,"470202_5",137,0,135,11
"4832",2003,"470202_6",137,0,143,8
"4833",2003,"470202_7",137,0,152,9
"4834",2003,"470202_8",137,0,160,8
"4835",2003,"470202_9",137,0,167,8
"4836",2003,"470202_10",137,0,177,8
"4837",2003,"470202_1",161,1,123,15
"4838",2003,"470202_2",161,0,131,15
"4839",2003,"470202_3",161,0,139,16
"4840",2003,"470202_4",161,0,147,15
"4841",2003,"470202_5",161,0,156,17
"4842",2003,"470202_6",161,0,163,13
"4843",2003,"470202_7",161,0,172,14
"4844",2003,"470202_8",161,0,181,14
"4845",2003,"470202_9",161,0,189,14
"4846",2003,"470202_10",161,0,197,13
"4907",2004,"470503_1",106,2,30,11
"4908",2004,"470503_2",106,2,38,9
"4909",2004,"470503_3",106,3,47,9
"4910",2004,"470503_4",106,2,55,8
"4911",2004,"470503_5",106,2,63,8
"4912",2004,"470503_6",106,2,71,9
"4913",2004,"470503_7",106,2,78,8
"4914",2004,"470503_8",106,3,86,8
"4915",2004,"470503_9",106,3,92,8
"4916",2004,"470503_10",106,0,102,9
"4967",2004,"470401_1",109,3,41,10
"4968",2004,"470401_2",109,3,50,11
"4969",2004,"470401_3",109,3,58,11
"4970",2004,"470401_4",109,3,66,11
"4971",2004,"470401_5",109,3,72,9
"4972",2004,"470401_6",109,3,80,10
"4973",2004,"470401_7",109,3,87,10
"4974",2004,"470401_8",109,3,94,9
"4975",2004,"470401_9",109,3,102,10
"4976",2004,"470401_10",109,3,110,10
"5130",2004,"470503_1",128,2,26,19
"5131",2004,"470503_2",128,2,34,19
"5132",2004,"470503_3",128,2,46,18
"5133",2004,"470503_4",128,0,55,19
"5134",2004,"470503_5",128,1,64,18
"5135",2004,"470503_6",128,1,74,19
"5136",2004,"470503_7",128,3,82,18
"5137",2004,"470503_8",128,3,91,18
"5138",2004,"470503_9",128,2,99,17
"5139",2004,"470503_10",128,0,110,16
"5271",2004,"470401_1",142,3,36,16
"5272",2004,"470401_2",142,3,44,15
"5273",2004,"470401_3",142,3,51,15
"5274",2004,"470401_4",142,3,59,14
"5275",2004,"470401_5",142,3,67,16
"5276",2004,"470401_6",142,3,75,13
"5277",2004,"470401_7",142,2,82,14
"5278",2004,"470401_8",142,3,91,15
"5279",2004,"470401_9",142,1,96,15
"5280",2004,"470401_10",142,3,110,14
"5281",2004,"470201_1",134,3,-27,26
"5282",2004,"470201_2",134,3,-15,26
"5283",2004,"470201_3",134,0,-10,26
"5284",2004,"470201_4",134,0,-3,26
"5285",2004,"470201_5",134,3,3,26
"5286",2004,"470201_6",134,3,9,26
"5287",2004,"470201_7",134,3,15,26
"5288",2004,"470201_8",134,3,21,26
"5289",2004,"470201_9",134,3,27,26
"5290",2004,"470201_10",134,3,34,26
"5492",2003,"470103_1",127,3,31,18
"5493",2003,"470103_2",127,3,38,17
"5494",2003,"470103_3",127,2,46,17
"5495",2003,"470103_4",127,2,53,18
"5496",2003,"470103_5",127,3,64,17
"5497",2003,"470103_6",127,3,72,17
"5498",2003,"470103_7",127,3,80,17
"5499",2003,"470103_8",127,1,91,15
"5500",2003,"470103_9",127,2,99,16
"5501",2003,"470103_10",127,3,107,15
"5502",2004,"470103_1",113,3,28,18
"5503",2004,"470103_2",113,3,36,17
"5504",2004,"470103_3",113,3,45,17
"5505",2004,"470103_4",113,2,55,16
"5506",2004,"470103_5",113,3,66,16
"5507",2004,"470103_6",113,3,73,16
"5508",2004,"470103_7",113,3,81,16
"5509",2004,"470103_8",113,2,89,16
"5510",2004,"470103_9",113,3,97,15
"5511",2004,"470103_10",113,3,108,16
"5512",2004,"470103_1",128,2,54,20
"5513",2004,"470103_2",128,2,62,20
"5514",2004,"470103_3",128,2,69,20
"5515",2004,"470103_4",128,1,75,20
"5516",2004,"470103_5",128,1,86,20
"5517",2004,"470103_6",128,1,94,20
"5518",2004,"470103_7",128,2,102,19
"5519",2004,"470103_8",128,1,108,19
"5520",2004,"470103_9",128,2,115,19
"5521",2004,"470103_10",128,2,122,19
"5522",2004,"470103_1",159,0,22,16
"5523",2004,"470103_2",159,0,29,16
"5524",2004,"470103_3",159,0,37,16
"5525",2004,"470103_4",159,0,47,17
"5526",2004,"470103_5",159,0,65,17
"5527",2004,"470103_6",159,0,75,16
"5528",2004,"470103_7",159,0,82,16
"5529",2004,"470103_8",159,0,89,15
"5530",2004,"470103_9",159,0,97,14
"5531",2004,"470103_10",159,0,104,15
"6325",2007,"470204_8",158,0,121,18
"6681",2001,"470102_1",112,3,101,17
"6682",2001,"470102_2",112,3,109,17
"6683",2001,"470102_3",112,0,118,17
"6684",2001,"470102_4",112,3,127,17
"6685",2001,"470102_5",112,3,136,15
"6686",2001,"470102_6",112,3,146,16
"6687",2001,"470102_7",112,3,153,15
"6688",2001,"470102_8",112,3,162,14
"6689",2001,"470102_9",112,3,171,13
"6690",2001,"470102_10",112,3,181,15
"6691",2001,"470102_1",157,3,52,16
"6692",2001,"470102_2",157,1,59,16
"6693",2001,"470102_3",157,0,67,16
"6694",2001,"470102_4",157,3,74,16
"6695",2001,"470102_5",157,3,83,16
"6696",2001,"470102_6",157,3,92,16
"6697",2001,"470102_7",157,3,100,16
"6698",2001,"470102_8",157,1,106,20
"6699",2001,"470102_9",157,0,115,14
"6700",2001,"470102_10",157,3,123,14
"6701",2001,"470102_1",186,0,41,19
"6702",2001,"470102_2",186,0,48,19
"6703",2001,"470102_3",186,0,57,19
"6704",2001,"470102_4",186,0,66,19
"6705",2001,"470102_5",186,0,76,18
"6706",2001,"470102_6",186,0,84,18
"6707",2001,"470102_7",186,0,93,18
"6708",2001,"470102_8",186,0,101,18
"6709",2001,"470102_9",186,0,109,18
"6710",2001,"470102_10",186,0,118,18
"6711",2001,"470103_1",107,3,38,8
"6712",2001,"470103_2",107,3,46,7
"6713",2001,"470103_3",107,3,57,7
"6714",2001,"470103_4",107,1,67,7
"6715",2001,"470103_5",107,3,85,7
"6716",2001,"470103_6",107,3,94,7
"6717",2001,"470103_7",107,3,109,7
"6718",2001,"470103_8",107,3,116,8
"6719",2001,"470103_9",107,2,124,7
"6720",2001,"470103_10",107,3,133,7
"6721",2001,"470102_1",121,3,93,20
"6722",2001,"470102_2",121,2,101,21
"6723",2001,"470102_3",121,0,109,16
"6724",2001,"470102_4",121,3,119,19
"6725",2001,"470102_5",121,3,126,15
"6726",2001,"470102_6",121,3,134,16
"6727",2001,"470102_7",121,3,142,14
"6728",2001,"470102_8",121,3,149,16
"6729",2001,"470102_9",121,3,157,17
"6730",2001,"470102_10",121,3,165,16
"6731",2001,"470103_1",123,3,108,26
"6732",2001,"470103_2",123,2,116,26
"6733",2001,"470103_3",123,1,123,24
"6734",2001,"470103_4",123,2,130,27
"6735",2001,"470103_5",123,1,139,26
"6736",2001,"470103_6",123,0,145,24
"6737",2001,"470103_7",123,3,153,26
"6738",2001,"470103_8",123,3,160,26
"6739",2001,"470103_9",123,3,168,25
"6740",2001,"470103_10",123,3,174,24
"6741",2001,"470103_1",159,0,56,16
"6742",2001,"470103_2",159,0,64,14
"6743",2001,"470103_3",159,0,75,16
"6744",2001,"470103_4",159,0,82,15
"6745",2001,"470103_5",159,0,93,16
"6746",2001,"470103_6",159,0,100,15
"6747",2001,"470103_7",159,0,107,15
"6748",2001,"470103_8",159,0,115,14
"6749",2001,"470103_9",159,0,122,13
"6750",2001,"470103_10",159,0,132,12
"6751",2001,"470103_1",184,0,33,20
"6752",2001,"470103_2",184,0,42,18
"6753",2001,"470103_3",184,0,49,19
"6754",2001,"470103_4",184,0,55,19
"6755",2001,"470103_5",184,0,64,21
"6756",2001,"470103_6",184,0,71,20
"6757",2001,"470103_7",184,0,77,21
"6758",2001,"470103_8",184,0,84,19
"6759",2001,"470103_9",184,0,90,19
"6760",2001,"470103_10",184,0,98,19
"6761",2001,"470104_1",100,1,190,8
"6762",2001,"470104_2",100,1,201,8
"6763",2001,"470104_3",100,1,215,9
"6764",2001,"470104_4",100,1,230,7
"6765",2001,"470104_5",100,2,247,8
"6766",2001,"470104_6",100,0,266,8
"6767",2001,"470104_7",100,1,280,8
"6768",2001,"470104_8",100,0,300,8
"6769",2001,"470104_9",100,0,315,8
"6770",2001,"470104_10",100,0,332,8
"6771",2001,"470104_1",125,2,31,14
"6772",2001,"470104_2",125,2,42,14
"6773",2001,"470104_3",125,1,59,12
"6774",2001,"470104_4",125,1,82,13
"6775",2001,"470104_5",125,2,102,13
"6776",2001,"470104_6",125,2,119,12
"6777",2001,"470104_7",125,2,141,14
"6778",2001,"470104_8",125,1,162,14
"6779",2001,"470104_9",125,0,180,12
"6780",2001,"470104_10",125,0,197,12
"6801",2001,"470104_1",185,1,-22,20
"6802",2001,"470104_2",185,1,-5,21
"6803",2001,"470104_3",185,0,12,20
"6804",2001,"470104_4",185,0,31,20
"6805",2001,"470104_5",185,1,50,18
"6806",2001,"470104_6",185,1,70,18
"6807",2001,"470104_7",185,0,88,19
"6808",2001,"470104_8",185,0,112,19
"6809",2001,"470104_9",185,0,129,21
"6810",2001,"470104_10",185,0,152,21
"6811",2001,"470202_1",111,3,37,16
"6812",2001,"470202_2",111,3,48,15
"6813",2001,"470202_3",111,0,57,15
"6814",2001,"470202_4",111,3,65,16
"6815",2001,"470202_5",111,3,74,16
"6816",2001,"470202_6",111,0,84,15
"6817",2001,"470202_7",111,2,95,15
"6818",2001,"470202_8",111,0,104,15
"6819",2001,"470202_9",111,0,111,15
"6820",2001,"470202_10",111,0,121,16
"6821",2001,"470202_1",131,2,119,19
"6822",2001,"470202_2",131,1,129,19
"6823",2001,"470202_3",131,0,137,20
"6824",2001,"470202_4",131,1,145,20
"6825",2001,"470202_5",131,1,154,20
"6826",2001,"470202_6",131,0,162,19
"6827",2001,"470202_7",131,1,171,17
"6828",2001,"470202_8",131,0,180,16
"6829",2001,"470202_9",131,1,188,17
"6830",2001,"470202_10",131,0,196,16
"6831",2001,"470202_1",157,3,37,15
"6832",2001,"470202_2",157,3,48,16
"6833",2001,"470202_3",157,0,58,19
"6834",2001,"470202_4",157,0,67,20
"6835",2001,"470202_5",157,0,76,18
"6836",2001,"470202_6",157,0,89,17
"6837",2001,"470202_7",157,0,102,17
"6838",2001,"470202_8",157,0,114,20
"6839",2001,"470202_9",157,0,124,16
"6840",2001,"470202_10",157,0,130,17
"6841",2001,"470202_1",183,0,46,16
"6842",2001,"470202_2",183,0,56,15
"6843",2001,"470202_3",183,0,64,14
"6844",2001,"470202_4",183,0,73,13
"6845",2001,"470202_5",183,0,83,13
"6846",2001,"470202_6",183,0,92,14
"6847",2001,"470202_7",183,0,103,15
"6848",2001,"470202_8",183,0,113,17
"6849",2001,"470202_9",183,0,124,17
"6850",2001,"470202_10",183,0,136,16
"6851",2001,"470203_1",112,2,189,10
"6852",2001,"470203_2",112,0,195,10
"6853",2001,"470203_3",112,0,202,10
"6854",2001,"470203_4",112,0,211,10
"6855",2001,"470203_5",112,1,218,10
"6856",2001,"470203_6",112,2,226,10
"6857",2001,"470203_7",112,2,231,10
"6858",2001,"470203_8",112,3,239,10
"6859",2001,"470203_9",112,3,245,10
"6860",2001,"470203_10",112,0,249,10
"6861",2001,"470203_1",124,1,140,21
"6862",2001,"470203_2",124,1,146,21
"6863",2001,"470203_3",124,0,153,21
"6864",2001,"470203_4",124,1,160,21
"6865",2001,"470203_5",124,0,167,21
"6866",2001,"470203_6",124,2,174,21
"6867",2001,"470203_7",124,3,181,21
"6868",2001,"470203_8",124,1,189,21
"6869",2001,"470203_9",124,3,197,21
"6870",2001,"470203_10",124,0,204,21
"6871",2001,"470203_1",158,0,128,18
"6872",2001,"470203_2",158,0,136,18
"6873",2001,"470203_3",158,0,143,18
"6875",2001,"470203_4",158,1,149,18
"6876",2001,"470203_5",158,0,156,18
"6877",2001,"470203_6",158,0,174,18
"6878",2001,"470203_7",158,0,180,18
"6879",2001,"470203_8",158,0,187,18
"6880",2001,"470203_9",158,2,193,18
"6881",2001,"470203_10",158,0,195,18
"6882",2001,"470203_1",184,0,177,16
"6883",2001,"470203_2",184,0,189,16
"6884",2001,"470203_3",184,0,196,16
"6885",2001,"470203_4",184,0,204,16
"6886",2001,"470203_5",184,0,211,16
"6887",2001,"470203_6",184,0,217,16
"6888",2001,"470203_7",184,0,224,16
"6889",2001,"470203_8",184,0,231,16
"6890",2001,"470203_9",184,0,238,16
"6891",2001,"470203_10",184,0,244,16
"6892",2001,"470204_1",112,3,57,25
"6893",2001,"470204_3",112,3,68,24
"6894",2001,"470204_4",112,2,80,24
"6895",2001,"470204_5",112,3,96,23
"6896",2001,"470204_6",112,0,106,24
"6897",2001,"470204_7",112,2,116,24
"6898",2001,"470204_8",112,3,122,23
"6899",2001,"470204_9",112,0,131,24
"6900",2001,"470204_10",112,0,134,22
"6901",2001,"470204_1",129,3,73,11
"6902",2001,"470204_2",129,0,86,11
"6903",2001,"470204_3",129,3,98,10
"6904",2001,"470204_4",129,2,113,11
"6905",2001,"470204_5",129,3,121,10
"6906",2001,"470204_6",129,0,135,10
"6907",2001,"470204_7",129,3,150,10
"6908",2001,"470204_8",129,3,163,10
"6909",2001,"470204_9",129,0,176,10
"6910",2001,"470204_10",129,0,188,10
"6911",2001,"470204_1",145,0,69,11
"6912",2001,"470204_2",145,0,81,11
"6913",2001,"470204_3",145,0,93,11
"6914",2001,"470204_4",145,0,105,11
"6915",2001,"470204_5",145,0,117,11
"6916",2001,"470204_6",145,0,126,11
"6917",2001,"470204_7",145,0,139,11
"6918",2001,"470204_8",145,0,151,11
"6919",2001,"470204_9",145,0,163,11
"6920",2001,"470204_10",145,0,176,11
"6921",2001,"470206_1",104,3,73,11
"6922",2001,"470206_2",104,3,81,11
"6923",2001,"470206_3",104,0,87,11
"6924",2001,"470206_4",104,0,95,10
"6925",2001,"470206_5",104,0,102,11
"6926",2001,"470206_6",104,0,109,9
"6927",2001,"470206_7",104,2,122,7
"6928",2001,"470206_8",104,0,128,7
"6929",2001,"470206_9",104,0,134,7
"6930",2001,"470206_10",104,0,143,5
"6931",2001,"470206_1",120,0,53,13
"6932",2001,"470206_2",120,0,60,13
"6933",2001,"470206_3",120,0,66,13
"6934",2001,"470206_4",120,0,73,12
"6935",2001,"470206_5",120,0,82,11
"6936",2001,"470206_6",120,0,89,10
"6937",2001,"470206_7",120,0,100,8
"6938",2001,"470206_8",120,0,107,9
"6939",2001,"470206_9",120,0,113,8
"6940",2001,"470206_10",120,0,121,8
"6941",2001,"470302_1",112,3,51,17
"6942",2001,"470302_2",112,1,58,18
"6943",2001,"470302_3",112,3,65,19
"6944",2001,"470302_4",112,3,73,18
"6945",2001,"470302_5",112,1,80,17
"6946",2001,"470302_6",112,3,87,17
"6947",2001,"470302_7",112,3,98,15
"6948",2001,"470302_8",112,3,105,16
"6949",2001,"470302_9",112,1,112,16
"6950",2001,"470302_10",112,3,120,14
"6951",2001,"470302_1",122,3,126,17
"6952",2001,"470302_2",122,3,133,16
"6953",2001,"470302_3",122,3,143,17
"6954",2001,"470302_4",122,3,150,16
"6955",2001,"470302_5",122,1,157,17
"6956",2001,"470302_6",122,3,165,17
