"","lon","lat","yield"
"267",42.67,36.3,3.41
"268",45.18,36.3,3.86
"269",47.69,36.3,4.36
"270",50.2,36.3,4.54
"271",52.71,36.3,4.24
"272",55.22,36.3,4.08
"273",57.73,36.3,3.89
"274",60.24,36.3,3.47
"275",62.75,36.3,3.29
"276",2.51,39.6,4.43
"277",5.02,39.6,3.7
"278",7.53,39.6,3.82
"279",10.04,39.6,4.45
"280",12.55,39.6,3.59
"281",15.06,39.6,4.37
"282",17.57,39.6,4.45
"283",20.08,39.6,4.08
"284",22.59,39.6,3.72
"285",25.1,39.6,4.56
"286",27.61,39.6,4.1
"287",30.12,39.6,3.07
"288",32.63,39.6,3.99
"289",35.14,39.6,3.14
"290",37.65,39.6,4.86
"291",40.16,39.6,4.36
"292",42.67,39.6,3.51
"293",45.18,39.6,3.47
"294",47.69,39.6,3.94
"295",50.2,39.6,4.47
"296",52.71,39.6,4.11
"297",55.22,39.6,3.97
"298",57.73,39.6,4.07
"299",60.24,39.6,3.56
"300",62.75,39.6,3.83
"301",2.51,42.9,4.52
"302",5.02,42.9,3.79
"303",7.53,42.9,4.41
"304",10.04,42.9,4.57
"305",12.55,42.9,3.94
"306",15.06,42.9,4.47
"307",17.57,42.9,4.42
"308",20.08,42.9,3.92
"309",22.59,42.9,3.86
"310",25.1,42.9,4.77
"311",27.61,42.9,4.99
"312",30.12,42.9,3.91
"313",32.63,42.9,4.09
"314",35.14,42.9,3.05
"315",37.65,42.9,3.39
"316",40.16,42.9,3.6
"317",42.67,42.9,4.13
"318",45.18,42.9,3.89
"319",47.69,42.9,3.67
"320",50.2,42.9,4.54
"321",52.71,42.9,4.11
"322",55.22,42.9,4.58
"323",57.73,42.9,4.02
"324",60.24,42.9,3.93
"325",62.75,42.9,4.33
"326",2.51,46.2,4.46
"327",5.02,46.2,4.09
"328",7.53,46.2,4.39
"329",10.04,46.2,4.31
"330",12.55,46.2,4.29
"331",15.06,46.2,4.47
"332",17.57,46.2,4.37
"333",20.08,46.2,3.44
"334",22.59,46.2,3.82
"335",25.1,46.2,4.63
"336",27.61,46.2,4.36
"337",30.12,46.2,3.79
"338",32.63,46.2,3.56
"339",35.14,46.2,3.29
"340",37.65,46.2,3.64
"341",40.16,46.2,3.6
"342",42.67,46.2,3.19
"343",45.18,46.2,3.8
"344",47.69,46.2,3.72
"345",50.2,46.2,3.91
"346",52.71,46.2,3.35
"347",55.22,46.2,4.11
"348",57.73,46.2,4.39
"349",60.24,46.2,3.47
"350",62.75,46.2,3.93
"351",2.51,49.5,3.46
"352",5.02,49.5,4.42
"353",7.53,49.5,4.29
"354",10.04,49.5,4.08
"355",12.55,49.5,3.96
"356",15.06,49.5,3.96
"357",17.57,49.5,3.89
"358",20.08,49.5,4.11
"359",22.59,49.5,3.73
"360",25.1,49.5,4.03
"361",27.61,49.5,4.09
"362",30.12,49.5,3.82
"363",32.63,49.5,3.57
"364",35.14,49.5,3.43
"365",37.65,49.5,3.73
"366",40.16,49.5,3.39
"367",42.67,49.5,3.08
"368",45.18,49.5,3.48
"369",47.69,49.5,3.05
"370",50.2,49.5,3.65
"371",52.71,49.5,3.71
"372",55.22,49.5,3.25
"373",57.73,49.5,3.69
"374",60.24,49.5,3.43
"375",62.75,49.5,3.38
"376",2.51,52.8,5.13
"377",5.02,52.8,3.89
"378",7.53,52.8,4.26
"379",10.04,52.8,4.32
"380",12.55,52.8,3.78
"381",15.06,52.8,3.54
"382",17.57,52.8,4.27
"383",20.08,52.8,4.12
"384",22.59,52.8,4.13
"385",25.1,52.8,4.47
"386",27.61,52.8,3.41
"387",30.12,52.8,3.55
"388",32.63,52.8,3.16
"389",35.14,52.8,3.47
"390",37.65,52.8,3.3
"391",40.16,52.8,3.39
"392",42.67,52.8,2.92
"393",45.18,52.8,3.23
"394",47.69,52.8,3.25
"395",50.2,52.8,3.86
"396",52.71,52.8,3.22
"397",55.22,52.8,3.69
"398",57.73,52.8,3.8
"399",60.24,52.8,3.79
"400",62.75,52.8,3.63
"401",2.51,56.1,4.23
"402",5.02,56.1,3.87
"403",7.53,56.1,4.23
"404",10.04,56.1,4.58
"405",12.55,56.1,3.19
"406",15.06,56.1,3.49
"407",17.57,56.1,3.91
"408",20.08,56.1,4.41
"409",22.59,56.1,4.21
"410",25.1,56.1,4.61
"411",27.61,56.1,4.27
"412",30.12,56.1,4.06
"413",32.63,56.1,3.75
"414",35.14,56.1,3.91
"415",37.65,56.1,3.51
"416",40.16,56.1,3.45
"417",42.67,56.1,3.05
"418",45.18,56.1,3.68
"419",47.69,56.1,3.52
"420",50.2,56.1,3.91
"421",52.71,56.1,3.87
"422",55.22,56.1,3.87
"423",57.73,56.1,4.21
"424",60.24,56.1,3.68
"425",62.75,56.1,4.06
"426",2.51,59.4,4.38
"427",5.02,59.4,4.12
"428",7.53,59.4,4.39
"429",10.04,59.4,3.92
"430",12.55,59.4,4.84
"431",15.06,59.4,3.94
"432",17.57,59.4,4.38
"433",20.08,59.4,4.24
"434",22.59,59.4,3.96
"435",25.1,59.4,4.29
"436",27.61,59.4,4.52
"437",30.12,59.4,4.19
"438",32.63,59.4,4.49
"439",35.14,59.4,3.82
"440",37.65,59.4,3.6
"441",40.16,59.4,3.14
"442",42.67,59.4,2.73
"443",45.18,59.4,3.09
"444",47.69,59.4,3.66
"445",50.2,59.4,3.77
"446",52.71,59.4,3.48
"447",55.22,59.4,3.76
"448",57.73,59.4,3.69
"449",60.24,59.4,3.84
"450",62.75,59.4,3.67
"451",2.51,62.7,3.85
"452",5.02,62.7,4.28
"453",7.53,62.7,4.69
"454",10.04,62.7,5.16
"455",12.55,62.7,4.46
"456",15.06,62.7,4.41
"457",17.57,62.7,4.68
"458",20.08,62.7,4.37
"459",22.59,62.7,4.15
"460",25.1,62.7,4.91
"461",27.61,62.7,4.68
"462",30.12,62.7,5.13
"463",32.63,62.7,4.19
"464",35.14,62.7,4.41
"465",37.65,62.7,3.54
"466",40.16,62.7,3.01
"467",42.67,62.7,2.85
"468",45.18,62.7,3.36
"469",47.69,62.7,3.85
"470",50.2,62.7,4.15
"471",52.71,62.7,3.93
"472",55.22,62.7,3.91
"473",57.73,62.7,4.33
"474",60.24,62.7,4.21
"475",62.75,62.7,4.19
"476",2.51,66,3.61
"477",5.02,66,4.22
"478",7.53,66,4.42
"479",10.04,66,5.09
"480",12.55,66,3.66
"481",15.06,66,4.22
"482",17.57,66,4.06
"483",20.08,66,3.97
"484",22.59,66,3.89
"485",25.1,66,4.46
"486",27.61,66,4.44
"487",30.12,66,4.52
"488",32.63,66,3.7
"489",35.14,66,4.28
"490",37.65,66,3.24
"491",40.16,66,3.29
"492",42.67,66,3.48
"493",45.18,66,3.49
"494",47.69,66,3.68
"495",50.2,66,3.36
"496",52.71,66,3.71
"497",55.22,66,3.54
"498",57.73,66,3.59
"499",60.24,66,3.76
"500",62.75,66,3.36
