"","STATION","PRICE","NROOM","DWELL","NBATH","PATIO","FIREPL","AC","BMENT","NSTOR","GAR","AGE","CITCOU","LOTSZ","SQFT","X","Y"
"74",74,30,5,0,2.5,0,0,0,3,2.5,0,30,0,19.99,20,919.5,537.5
"75",75,41,5,1,1.5,0,0,0,3,2,1,40,0,92.31,12.88,922.5,549
"76",76,30,3,1,2,0,0,0,2,2,0,22,0,31.5,12,921,558
"77",77,38.9,5,0,3,0,0,0,3,2,0,25,0,28.94,18.16,882,557.5
"78",78,20.7,5,0,2,0,0,0,2,2,0,29,0,18.48,14.28,889,552
"79",79,49.9,9,1,3,0,1,0,2,2.5,2,49,0,127.1,26,887,555
"80",80,18.6,6,0,1.5,0,0,0,2,2,0,35,0,14.06,12.02,896,548
"81",81,39,6,1,2,0,0,0,2,2,1,55,0,127.1,20.8,887,554
"82",82,34,5,0,1.5,0,0,0,2,2,0,30,0,19,11.78,893,546.5
"83",83,16,4,0,1.5,0,0,0,2,2,0,15,0,16.1,8.68,896,550
"84",84,18.9,6,0,2,0,0,0,2,2,0,40,0,23.98,17.6,890.4,539
"85",85,15.2,5,0,1,0,0,0,2,2,0,35,0,19,11.4,894,534
"86",86,41.5,9,0,2,0,1,0,2,3,0,70,0,132.21,44.55,887,540.4
"87",87,53,10,1,5,0,1,0,2,2,2,25,0,122.1,46.32,893.6,543
"88",88,22,5,0,2,0,0,0,2,2,0,25,0,16,10.24,896.5,541
"89",89,24.9,5,0,1.5,0,0,0,2,2,0,30,0,23.78,9.6,898,535
"90",90,6.7,4,0,1,0,0,0,2,3,0,30,0,12,31.2,900.5,535
"91",91,32.5,4,0,3,0,0,0,2,2,0,50,0,23.76,26.4,903,540
"92",92,30,5,0,2,0,0,0,3,2,0,25,0,19.9,13.6,913,547.5
"93",93,59,8,0,2,0,0,0,2,3,1,70,0,20.3,27.48,909,542.5
"94",94,29.5,6,0,1,0,0,0,2,2,2,55,0,27.6,17.86,915.5,545
"95",95,26,6,0,1,0,1,0,2,2,1,40,0,29.69,18.04,915,543.5
"96",96,16.5,4,0,2,0,0,0,2,2,0,70,0,14.72,14.84,908,539
"97",97,39,5,1,1,0,0,0,0,1,0,20,1,70.4,10.46,957,508
"98",98,48.9,5,1,2,0,0,0,3,2,0,20,1,66.25,14.56,955.5,513.5
"99",99,33.5,3,1,1,0,0,0,2,1,0,25,1,58.5,6.96,953.5,550.5
"100",100,46,4,1,1.5,1,0,0,2,1,0,18,1,91.25,9.5,960,550
"101",101,54,5,1,1,0,0,0,0,1,0,20,1,93.12,11.86,971,547.5
"102",102,57.9,4,1,1.5,0,1,0,2,1,0,2,1,104.5,12.88,987.5,561
"103",103,37.9,5,0,1.5,1,0,1,3,2,0,8,1,42.74,12.32,960.5,542
"104",104,32,3,1,1,0,0,0,0,1,0,25,1,50,6.72,953.5,548
"105",105,31,5,0,1.5,0,0,0,3,2,0,18,1,25.19,10.08,957,553
"106",106,34,6,1,1,0,0,0,2,2,0,30,1,75,15.6,957,545.5
"107",107,29,3,1,1,0,0,0,0,1,0,35,1,46.16,6.72,964,541
"108",108,32.5,5,0,1.5,0,0,0,3,2,0,21,1,18,11.52,952.5,544.5
"109",109,51.9,5,1,1.5,1,0,0,2,1,0,20,1,169.85,11.76,959,537.5
"110",110,31,5,0,1,0,0,0,2,2,0,24,1,28,10.24,955,543.5
"111",111,41.8,6,0,1.5,0,0,1,3,2,0,13,1,49.13,11.52,955,533
"112",112,48,4,1,1,0,0,0,2,1,0,25,1,65.25,9.28,947,541.5
"113",113,28,3,1,1,0,0,0,2,1,0,18,1,100,6.72,958,529
"114",114,35,5,1,1,0,0,0,2,2,0,30,1,70,15.6,952,536.5
"115",115,46.5,5,1,1,0,1,0,2,2,2,20,1,303.83,15.5,975,527.5
"116",116,51.9,5,1,2,0,0,0,2,1,0,22,1,300,9.84,958.5,537.5
"117",117,35.4,4,1,1,0,0,0,0,2,0,28,1,59.8,15.6,951,520
"118",118,16,3,0,2,0,0,0,2,2,0,50,0,45,13.76,932.5,520.5
"119",119,35,5,0,1.5,0,0,0,3,2,0,20,1,51.71,10.24,945,520
"120",120,35,4,1,1,0,0,0,0,1,0,38,1,51.42,5.76,936,522.5
"121",121,36.5,4,0,1,1,0,0,2,2,0,17,1,18.02,10.08,947,525
"122",122,35.9,5,0,1.5,0,0,0,3,2,0,22,1,20.69,11.52,941.5,521
"123",123,45,5,1,1,0,0,0,2,1.5,0,27,1,79.81,12.15,938,516
"124",124,40,4,1,1,0,0,0,2,1,0,25,0,62.5,9.77,932,526.5
"125",125,35,5,1,1,0,0,0,0,2,0,25,1,50,15,940,514
"126",126,38,5,1,1,0,0,0,0,2,1,25,1,55,14.4,934.5,526
"127",127,37,4,1,1,0,0,0,0,2,0,30,1,54.84,14.5,940,519
"128",128,23,7,1,2,0,0,0,1,2,0,60,1,68.54,22.54,938,513.5
"129",129,25.5,4,0,1,0,0,0,0,2,0,22,1,16.16,10.24,945,519
"130",130,39.5,3,1,1,0,0,0,2,1,0,30,1,62.5,7.8,940.5,528.5
"131",131,21.5,4,0,1,0,0,0,2,2,0,28,0,11.98,8.4,894.5,526.5
"132",132,9,5,0,1,0,0,0,2,2,1,45,0,9.1,10.92,900,527
"133",133,67.5,8,0,3,0,1,0,2,3,0,100,0,21.12,42.9,901.5,530
"134",134,13.4,3,0,1,0,0,0,0,2,0,60,0,7,9,920.5,527.5
"135",135,12.5,5,0,1,0,0,0,0,2,0,50,0,10.13,10.5,918.5,528.5
"136",136,28.5,5,0,1.5,0,0,0,2,2,1,35,1,21.6,10.08,937,531.5
"137",137,23,5,0,1.5,0,0,0,2,2,0,50,0,9.66,12.6,925.5,529.5
"138",138,33.5,4,0,1,1,0,0,3,2,0,24,1,16,8.96,933,530.5
"139",139,9,4,0,1,0,0,0,2,2,0,50,0,8.6,8.58,924.5,531
"140",140,11,3,0,1,0,0,0,2,2,0,33,0,19.84,7.56,907,516
"141",141,30.9,5,0,1,0,0,0,2,2,0,40,0,18,10.8,912.5,509.5
"142",142,31.65,6,0,2,0,1,0,2,2,0,50,0,18,13.44,911,511
"143",143,33,5,0,1,0,0,0,2,2,0,25,1,17.6,10.24,885,515
"144",144,33.4,5,0,1,0,0,0,0,2,0,48,1,36.44,14.44,883.5,505.5
"145",145,47,5,0,1.5,0,0,1,2,2,0,10,1,23.4,12.24,883,512.5
"146",146,40,4,1,1,0,0,0,2,1.5,0,45,1,70,13.2,888,511.5
"147",147,46,5,1,1.5,0,0,0,3,1,0,20,1,51.79,9.6,893.5,514
"148",148,45.5,5,1,1,0,1,1,0,1,0,25,1,61.74,15.22,897.5,515
"149",149,57,6,1,1.5,0,0,0,2,2,0,25,1,60.25,24.16,888,521
"150",150,29.9,4,0,1,0,0,0,0,2,0,22,1,33.66,10.24,897.5,510.5
"151",151,30,4,0,1,0,0,0,0,2,0,21,1,29.34,10.24,901,509.5
"152",152,34,5,1,1,0,1,0,2,1,0,29,1,56.25,9.88,902.5,513
"153",153,51,6,1,1.5,1,1,1,3,2,1,18,1,66.3,23.2,873,535
"154",154,64.5,6,1,2.5,0,0,1,0,2,0,2,1,95.93,17.68,867,535.5
"155",155,57.5,5,1,1.5,0,0,0,2,2,0,19,1,104.5,24.3,869,526
"156",156,85.5,6,1,1.5,0,1,0,2,2,2,49,1,360,35.94,873.5,523.5
"157",157,61,6,1,1.5,0,0,1,0,2,0,10,1,60,21.6,864,527.5
"158",158,38,5,0,1,0,0,1,2,2,0,25,1,19,11.02,882,524.5
"159",159,56.5,6,1,1.5,0,0,0,0,2,0,16,1,90.09,21,871,531
"160",160,60.4,5,1,1.5,0,1,0,3,2,1,17,1,84.64,23.92,867.5,523
"161",161,51.5,5,0,2,0,0,0,2,2,0,27,1,23.3,14.4,876,528
"162",162,54,4,1,1.5,0,0,0,2,2,1,34,1,253,28,875,521
"163",163,69,5,1,2.5,0,1,1,3,1,0,2,1,82.86,11.44,867,533
"164",164,56,5,1,1,0,0,0,3,2,0,24,1,67,21.94,874,519.5
"165",165,27.9,5,0,1.5,0,0,0,2,2,0,23,0,17.28,10.24,889,515.5
"166",166,37.5,6,0,1,0,0,0,2,2,2,40,0,38.72,16.86,884.5,532
"167",167,32.9,5,0,1.5,0,0,0,3,2,0,25,0,19.04,9.92,891.5,522
"168",168,22,5,0,1,0,1,0,2,2,0,45,0,14.98,13.44,889,526.5
"169",169,29.9,5,0,2,0,0,0,3,2,0,26,0,20,12,890,533.5
"170",170,39.9,5,0,2,0,0,0,3,2,0,37,0,33.6,14.76,883,531
"171",171,32.6,4,0,1,0,0,1,2,2,0,15,0,16,8.96,885.5,525
"172",172,38.5,5,0,1.5,0,0,0,3,2,0,22,0,34.44,11.52,882.5,528
"173",173,21.5,4,0,1,0,0,0,3,2,0,75,0,9.45,8.64,911,526.5
"174",174,25.9,4,0,1,0,0,0,2,2,0,28,0,12.32,8.12,899,522
"175",175,27.5,5,0,1,0,0,0,3,2,0,31,0,23.2,11.12,898,520.5
"176",176,22.9,5,0,1,0,0,0,2,2,0,100,0,8.73,11.28,913.5,524
"177",177,31.5,4,0,1.5,0,0,0,2,2,0,15,0,20,10.36,900,518
"178",178,8.5,4,0,1,0,0,0,0,2,0,80,0,9,11.52,904,527.5
"179",179,5.5,3,0,1,0,0,0,2,3,0,75,0,9.36,17.1,916.5,531.5
"180",180,33,4,0,1.5,0,0,0,3,2,0,23,1,60,17.52,925,568.5
"181",181,57,5,1,1.5,0,0,1,2,1,0,15,1,82.6,10.73,933,573
"182",182,47,5,1,1,0,0,1,0,1,0,21,1,75.3,11.2,931.5,567
"183",183,43.5,4,0,1.5,0,0,1,2,2,0,2,1,21,12.8,935,572
"184",184,43.9,5,0,1.5,1,0,0,3,2,0,25,0,43.75,12,930.5,561
"185",185,68.5,6,1,2,1,1,0,3,3,0,23,1,239.69,41.07,926.5,572
"186",186,44.25,5,0,1.5,0,0,1,2,2,0,0,1,20.83,12.8,946,573
"187",187,61,5,1,2.5,1,0,1,3,2,0,4,1,67.64,22.36,935,561.5
"188",188,40,5,1,1,0,0,0,2,2,1,40,1,172.04,10.56,943.5,572.5
"189",189,44.5,5,1,1.5,0,0,0,2,2,1,55,1,289.97,13.44,936.5,575.5
"190",190,57,5,1,1,0,0,0,2,1,0,21,1,71.05,11.02,928,564
"191",191,35,5,1,1,0,0,0,2,2,0,45,0,59,17.98,929,559
"192",192,35.1,7,1,2.5,0,0,0,2,2,0,50,0,62.5,18.88,927,559
"193",193,64.5,5,1,2,0,0,1,3,1,0,5,1,86.25,11.76,933,576
"194",194,40,4,1,1.5,0,0,0,2,1,1,50,1,50.2,9.36,940.5,568
"195",195,42.6,5,0,1,0,0,0,3,2,0,22,1,21.42,11.52,921,563.5
"196",196,50,5,1,1.5,0,0,0,3,3,0,22,1,75,27.3,936,565.5
"197",197,58,6,1,2,0,0,1,3,2,0,6,1,73.92,23.04,951,573
"198",198,58,7,1,2,0,0,1,3,2,0,18,1,63,17.68,951.5,568.5
"199",199,55,5,1,1,0,0,0,2,1,0,18,1,115,13.36,951,576
"200",200,43,5,0,2,0,0,0,3,2,0,23,1,42.86,11.6,937,555
"201",201,54,6,0,1.5,0,1,1,2,2,0,3,1,47.15,11.52,945,566
"202",202,39,5,0,1,0,0,1,2,2,0,1,1,17.26,9.98,939.5,564.5
"203",203,45,5,1,1,0,0,0,2,2,2,47,1,75,12.96,939,543.5
"204",204,42,5,1,1,0,0,0,0,1,0,21,1,60.5,11.13,934,540.5
"205",205,38.9,6,1,1,0,0,0,3,2,0,29,1,42.35,19.6,933,538
"206",206,37.5,4,0,1,0,1,0,0,2,1,23,1,134.88,20.66,938,539.5
"207",207,39,5,0,1.5,0,0,1,3,2,0,2,1,19.24,12.6,940,538.5
"208",208,43.215,4,0,1.5,0,1,1,3,2,0,0,1,13.26,11.52,945.5,553
"209",209,26.5,5,0,1,0,0,0,3,2,0,29,0,26.03,12.16,914,553
"210",210,30,6,0,1.5,0,0,1,2,2,0,24,0,20,12.8,919,554
"211",211,29.5,5,0,1,0,0,0,2,2,0,22,0,35.84,10.64,914,558
