"","time","jumpsine"
"456",456,-9.85278
"457",457,-9.80785
"458",458,-9.75702
"459",459,-9.70031
"460",460,-9.63776
"461",461,-9.5694
"462",462,-9.49528
"463",463,-9.41544
"464",464,-9.32993
"465",465,-9.2388
"466",466,-9.1421
"467",467,-9.03989
"468",468,-8.93224
"469",469,-8.81921
"470",470,-8.70087
"471",471,-8.57729
"472",472,-8.44854
"473",473,-8.3147
"474",474,-8.17585
"475",475,-8.03208
"476",476,-7.88346
"477",477,-7.7301
"478",478,-7.57209
"479",479,-7.40951
"480",480,-7.24247
"481",481,-7.07107
"482",482,-6.89541
"483",483,-6.71559
"484",484,-6.53173
"485",485,-6.34393
"486",486,-6.15232
"487",487,-5.95699
"488",488,-5.75808
"489",489,-5.5557
"490",490,-5.34998
"491",491,-5.14103
"492",492,-4.92898
"493",493,-4.71397
"494",494,-4.49611
"495",495,-4.27555
"496",496,-4.05241
"497",497,-3.82683
"498",498,-3.59895
"499",499,-3.3689
"500",500,-3.13682
"501",501,-2.90285
"502",502,-2.66713
"503",503,-2.4298
"504",504,-2.19101
"505",505,-1.9509
"506",506,-1.70962
"507",507,-1.4673
"508",508,-1.22411
"509",509,-0.98017
"510",510,-0.73565
"511",511,-0.49068
"512",512,-0.24541
