"","time","heavisine"
"446",446,-3.989162
"447",447,-3.995182
"448",448,-3.998795
"449",449,-4
"450",450,-3.998795
"451",451,-3.995182
"452",452,-3.989162
"453",453,-3.980739
"454",454,-3.969918
"455",455,-3.956706
"456",456,-3.941111
"457",457,-3.923141
"458",458,-3.902809
"459",459,-3.880125
"460",460,-3.855104
"461",461,-3.827761
"462",462,-3.798113
"463",463,-3.766176
"464",464,-3.731971
"465",465,-3.695518
"466",466,-3.656839
"467",467,-3.615957
"468",468,-3.572897
"469",469,-3.527685
"470",470,-3.480348
"471",471,-3.430914
"472",472,-3.379414
"473",473,-3.325878
"474",474,-3.270339
"475",475,-3.21283
"476",476,-3.153386
"477",477,-3.092042
"478",478,-3.028835
"479",479,-2.963805
"480",480,-2.896988
"481",481,-2.828427
"482",482,-2.758162
"483",483,-2.686236
"484",484,-2.612691
"485",485,-2.537573
"486",486,-2.460926
"487",487,-2.382797
"488",488,-2.303233
"489",489,-2.222281
"490",490,-2.13999
"491",491,-2.056411
"492",492,-1.971593
"493",493,-1.885587
"494",494,-1.798445
"495",495,-1.71022
"496",496,-1.620965
"497",497,-1.530734
"498",498,-1.43958
"499",499,-1.347559
"500",500,-1.254727
"501",501,-1.161139
"502",502,-1.066851
"503",503,-0.971921
"504",504,-0.876405
"505",505,-0.780361
"506",506,-0.683848
"507",507,-0.586922
"508",508,-0.489643
"509",509,-0.392069
"510",510,-0.294258
"511",511,-0.196271
"512",512,-0.098165
