"","time","mexm"
"122",1967.08333333333,32.19
"123",1967.16666666667,31.96
"124",1967.25,31.83
"125",1967.33333333333,31.4
"126",1967.41666666667,32.21
"127",1967.5,32.3
"128",1967.58333333333,32.21
"129",1967.66666666667,31.99
"130",1967.75,33.07
"131",1967.83333333333,33.04
"132",1967.91666666667,37.02
"133",1968,35.16
"134",1968.08333333333,34.94
"135",1968.16666666667,35.5
"136",1968.25,35.85
"137",1968.33333333333,35.73
"138",1968.41666666667,35.94
"139",1968.5,36.22
"140",1968.58333333333,36.48
"141",1968.66666666667,36.52
"142",1968.75,36.95
"143",1968.83333333333,37.91
"144",1968.91666666667,42.26
"145",1969,40.31
"146",1969.08333333333,39.98
"147",1969.16666666667,40.81
"148",1969.25,40.34
"149",1969.33333333333,40.07
"150",1969.41666666667,40.58
"151",1969.5,40.63
"152",1969.58333333333,40.66
"153",1969.66666666667,40.2
"154",1969.75,40.94
"155",1969.83333333333,41.68
"156",1969.91666666667,48.59
"157",1970,44.89
"158",1970.08333333333,44.3
"159",1970.16666666667,45.21
"160",1970.25,44.98
"161",1970.33333333333,44.27
"162",1970.41666666667,45.12
"163",1970.5,45.47
"164",1970.58333333333,45
"165",1970.66666666667,44.61
"166",1970.75,45.6
"167",1970.83333333333,47.49
"168",1970.91666666667,53.8
"169",1971,49.54
"170",1971.08333333333,49.13
"171",1971.16666666667,48.62
"172",1971.25,49.23
"173",1971.33333333333,48.23
"174",1971.41666666667,48.51
"175",1971.5,47.51
"176",1971.58333333333,49.1
"177",1971.66666666667,47.98
"178",1971.75,48.57
"179",1971.83333333333,50.96
"180",1971.91666666667,57.89
"181",1972,54.75
"182",1972.08333333333,54.31
"183",1972.16666666667,53.95
"184",1972.25,53.47
"185",1972.33333333333,54.07
"186",1972.41666666667,54.73
"187",1972.5,55.04
"188",1972.58333333333,55.57
"189",1972.66666666667,55
"190",1972.75,56.8
"191",1972.83333333333,59.5
"192",1972.91666666667,68.24
"193",1973,64.31
"194",1973.08333333333,64.46
"195",1973.16666666667,65.14
"196",1973.25,66.85
"197",1973.33333333333,65.71
"198",1973.41666666667,67.17
"199",1973.5,68.96
"200",1973.58333333333,69.37
"201",1973.66666666667,69.02
"202",1973.75,70.06
"203",1973.83333333333,74.53
"204",1973.91666666667,83.52
"205",1974,77.39
"206",1974.08333333333,77.56
"207",1974.16666666667,78.54
"208",1974.25,78.89
"209",1974.33333333333,79.71
"210",1974.41666666667,81.91
"211",1974.5,82.88
"212",1974.58333333333,80.06
"213",1974.66666666667,81.74
"214",1974.75,82.1
"215",1974.83333333333,86.7
"216",1974.91666666667,100.77
"217",1975,92.37
"218",1975.08333333333,92.63
"219",1975.16666666667,96.02
"220",1975.25,96.23
"221",1975.33333333333,97.66
"222",1975.41666666667,100.03
"223",1975.5,98.38
"224",1975.58333333333,99.51
"225",1975.66666666667,98.46
"226",1975.75,101.65
"227",1975.83333333333,105.82
"228",1975.91666666667,122.36
"229",1976,112.86
"230",1976.08333333333,112.57
"231",1976.16666666667,112.78
"232",1976.25,114.65
"233",1976.33333333333,116.15
"234",1976.41666666667,116.73
"235",1976.5,117.39
"236",1976.58333333333,115.74
"237",1976.66666666667,123.89
"238",1976.75,127.32
"239",1976.83333333333,141.07
"240",1976.91666666667,157.97
"241",1977,147.01
"242",1977.08333333333,147.8
"243",1977.16666666667,147.07
"244",1977.25,147.1
"245",1977.33333333333,147.45
"246",1977.41666666667,147.27
"247",1977.5,148.01
"248",1977.58333333333,149.86
"249",1977.66666666667,151.06
"250",1977.75,158.33
"251",1977.83333333333,169.27
"252",1977.91666666667,212.2
"253",1978,205.3
"254",1978.08333333333,210.3
"255",1978.16666666667,207.5
"256",1978.25,204.7
"257",1978.33333333333,209
"258",1978.41666666667,216.3
"259",1978.5,220.2
"260",1978.58333333333,229.6
"261",1978.66666666667,227
"262",1978.75,229.7
"263",1978.83333333333,237.7
"264",1978.91666666667,270.2
"265",1979,262.5
"266",1979.08333333333,264.7
"267",1979.16666666667,279.6
"268",1979.25,278.7
"269",1979.33333333333,283.1
"270",1979.41666666667,284.3
"271",1979.5,287.5
"272",1979.58333333333,297
"273",1979.66666666667,289.5
"274",1979.75,301.6
"275",1979.83333333333,315.5
"276",1979.91666666667,362.9
"277",1980,342.7
"278",1980.08333333333,350.1
"279",1980.16666666667,358.1
"280",1980.25,349.3
"281",1980.33333333333,367.2
"282",1980.41666666667,381.9
"283",1980.5,379.6
"284",1980.58333333333,379.3
"285",1980.66666666667,379.5
"286",1980.75,401.1
"287",1980.83333333333,427.5
"288",1980.91666666667,481.2
"289",1981,453.1
"290",1981.08333333333,457
"291",1981.16666666667,471.3
"292",1981.25,487.3
"293",1981.33333333333,494.8
"294",1981.41666666667,515.2
"295",1981.5,523.3
"296",1981.58333333333,582.6
"297",1981.66666666667,519.4
"298",1981.75,545.9
"299",1981.83333333333,597
"300",1981.91666666667,643
"301",1982,592
"302",1982.08333333333,608
"303",1982.16666666667,632
"304",1982.25,636
"305",1982.33333333333,710
"306",1982.41666666667,659
"307",1982.5,667
"308",1982.58333333333,737
"309",1982.66666666667,805
"310",1982.75,856
"311",1982.83333333333,953
"312",1982.91666666667,1031
"313",1983,966
"314",1983.08333333333,963
"315",1983.16666666667,955
"316",1983.25,987
"317",1983.33333333333,969
"318",1983.41666666667,1016
"319",1983.5,1028
"320",1983.58333333333,1084
"321",1983.66666666667,1041
"322",1983.75,1133
"323",1983.83333333333,1218
"324",1983.91666666667,1447
"325",1984,1378
"326",1984.08333333333,1369
"327",1984.16666666667,1423
"328",1984.25,1526
"329",1984.33333333333,1552
"330",1984.41666666667,1583
"331",1984.5,1585
"332",1984.58333333333,1611
"333",1984.66666666667,1611
"334",1984.75,1760
"335",1984.83333333333,1906
"336",1984.91666666667,2315
"337",1985,2149
"338",1985.08333333333,2214
"339",1985.16666666667,2226
"340",1985.25,2235
"341",1985.33333333333,2277
"342",1985.41666666667,2371
"343",1985.5,2446
"344",1985.58333333333,2490
"345",1985.66666666667,2648
"346",1985.75,2726
"347",1985.83333333333,2909
"348",1985.91666666667,3463
"349",1986,3118
"350",1986.08333333333,3176
"351",1986.16666666667,3407
"352",1986.25,3357
"353",1986.33333333333,3395
"354",1986.41666666667,3646
"355",1986.5,3652
"356",1986.58333333333,3678
"357",1986.66666666667,3794
"358",1986.75,4056
"359",1986.83333333333,4560
"360",1986.91666666667,5790
"361",1987,5375
"362",1987.08333333333,5466
"363",1987.16666666667,6059
"364",1987.25,6390
"365",1987.33333333333,6720
"366",1987.41666666667,7075
"367",1987.5,7518
"368",1987.58333333333,8144
"369",1987.66666666667,8468
"370",1987.75,9367
"371",1987.83333333333,10998
"372",1987.91666666667,12629
"373",1988,12135
"374",1988.08333333333,12768
"375",1988.16666666667,14055
"376",1988.25,15715
"377",1988.33333333333,16389
"378",1988.41666666667,17484
"379",1988.5,17067
"380",1988.58333333333,16859
"381",1988.66666666667,17062
"382",1988.75,17798
"383",1988.83333333333,19444
"384",1988.91666666667,21191
"385",1989,19057
"386",1989.08333333333,20037
"387",1989.16666666667,19595
"388",1989.25,19821
"389",1989.33333333333,19733
"390",1989.41666666667,20622
"391",1989.5,21876
"392",1989.58333333333,20696
"393",1989.66666666667,21333
"394",1989.75,22803
"395",1989.83333333333,23958
"396",1989.91666666667,29087
"397",1990,25722
"398",1990.08333333333,26393
"399",1990.16666666667,26984
"400",1990.25,28574
"401",1990.33333333333,29351
"402",1990.41666666667,30843
"403",1990.5,29777
"404",1990.58333333333,29849
"405",1990.66666666667,30440
"406",1990.75,36311
"407",1990.83333333333,40899
"408",1990.91666666667,47439
"409",1991,43306
"410",1991.08333333333,44216
"411",1991.16666666667,45898
"412",1991.25,47928
"413",1991.33333333333,50093
"414",1991.41666666667,50466
"415",1991.5,49347
"416",1991.58333333333,52803
"417",1991.66666666667,60891
"418",1991.75,87664
"419",1991.83333333333,94141
"420",1991.91666666667,106227
"421",1992,99941
"422",1992.08333333333,98454
"423",1992.16666666667,96990
"424",1992.25,99131
"425",1992.33333333333,101929
"426",1992.41666666667,102899
"427",1992.5,102219
"428",1992.58333333333,101656
"429",1992.66666666667,100230
"430",1992.75,109477
"431",1992.83333333333,112860
"432",1992.91666666667,122220
"433",1993,116661
"434",1993.08333333333,117135
"435",1993.16666666667,115527
"436",1993.25,115404
"437",1993.33333333333,118733
"438",1993.41666666667,121238
"439",1993.5,121696
"440",1993.58333333333,121145
"441",1993.66666666667,121319
"442",1993.75,124794
"443",1993.83333333333,126790
"444",1993.91666666667,143902
"445",1994,139283
"446",1994.08333333333,139622
"447",1994.16666666667,137970
"448",1994.25,130821
"449",1994.33333333333,132247
"450",1994.41666666667,132992
"451",1994.5,132831
"452",1994.58333333333,131006
"453",1994.66666666667,131039
"454",1994.75,132609
"455",1994.83333333333,137712
"456",1994.91666666667,145429
"457",1995,130357
"458",1995.08333333333,124104
"459",1995.16666666667,114416
"460",1995.25,111864
"461",1995.33333333333,111155
"462",1995.41666666667,114183
"463",1995.5,118204
"464",1995.58333333333,117533
"465",1995.66666666667,119439
"466",1995.75,123515
"467",1995.83333333333,130477
"468",1995.91666666667,150572
"469",1996,144442
"470",1996.08333333333,143508
"471",1996.16666666667,149555
"472",1996.25,149740
"473",1996.33333333333,154286
"474",1996.41666666667,159210
"475",1996.5,161094
"476",1996.58333333333,161405
"477",1996.66666666667,168637
"478",1996.75,170008
"479",1996.83333333333,179515
"480",1996.91666666667,206180
"481",1997,196350
"482",1997.08333333333,200674
"483",1997.16666666667,210353
"484",1997.25,205247
"485",1997.33333333333,212251
"486",1997.41666666667,220060
"487",1997.5,222081
"488",1997.58333333333,226552
"489",1997.66666666667,226307
"490",1997.75,232344
"491",1997.83333333333,245027
"492",1997.91666666667,267113
"493",1998,254491
"494",1998.08333333333,253053
"495",1998.16666666667,254920
"496",1998.25,251913
"497",1998.33333333333,260432
"498",1998.41666666667,262431
"499",1998.5,263682
"500",1998.58333333333,266817
"501",1998.66666666667,260937
"502",1998.75,263884
"503",1998.83333333333,277910
"504",1998.91666666667,308135
"505",1999,290857
"506",1999.08333333333,289255
"507",1999.16666666667,290599
"508",1999.25,288101
"509",1999.33333333333,300677
"510",1999.41666666667,301944
"511",1999.5,305212
"512",1999.58333333333,311856
"513",1999.66666666667,316254
"514",1999.75,328182
"515",1999.83333333333,338393
"516",1999.91666666667,395465
