"","company","destination","time"
"130","MiPa","Basel",28.19
"131","BmcB","Berlin",39.86
"132","MiPa","Basel",20.41
"133","JoRo","Basel",18.28
"134","MiPa","Basel",20.64
"135","BmcB","Berlin",41.7
"136","JoRo","Berlin",54.73
"137","MiPa","Portland",34.04
"138","BmcB","Berlin",39.25
"139","MiPa","Basel",19.8
"140","JoRo","Basel",21.11
"141","BmcB","Berlin",41.48
"142","JoRo","Basel",20.26
"143","BmcB","Berlin",39.34
"144","BmcB","Berlin",46.2
"145","JoRo","Berlin",48.88
"146","BmcB","Berlin",44.19
"147","BmcB","Berlin",48.38
"148","BmcB","Berlin",42.35
"149","MiPa","Berlin",54.45
"150","JoRo","Portland",23.87
"151","BmcB","Berlin",47.18
"152","MiPa","Basel",23.76
"153","JoRo","Portland",38.18
"154","JoRo","Portland",28.71
"155","JoRo","Portland",26.23
"156","MiPa","Portland",31.55
"157","BmcB","Basel",18.1
"158","BmcB","Basel",10.25
"159","MiPa","Berlin",56.02
"160","BmcB","Berlin",41.53
"161","JoRo","Berlin",50.49
"162","BmcB","Berlin",44.96
"163","MiPa","Basel",27.31
"164","MiPa","Basel",24.16
"165","MiPa","Basel",18.79
"166","JoRo","Berlin",51.91
"167","JoRo","Portland",30.61
"168","JoRo","Berlin",54.04
"169","MiPa","Basel",24.53
"170","JoRo","Berlin",51.08
"171","JoRo","Portland",31.54
"172","JoRo","Berlin",50.49
"173","BmcB","Berlin",41.05
"174","MiPa","Basel",22.24
"175","JoRo","Basel",20.11
"176","BmcB","Berlin",39.33
"177","BmcB","Portland",17.22
"178","MiPa","Basel",27.48
"179","JoRo","Basel",23.84
"180","JoRo","Berlin",46.74
"181","BmcB","Berlin",40.84
"182","MiPa","Basel",28.14
"183","MiPa","Basel",20.62
"184","JoRo","Basel",25.8
"185","JoRo","Basel",23.33
"186","MiPa","Basel",24.09
"187","MiPa","Basel",20.15
"188","MiPa","Basel",23.44
"189","JoRo","Basel",21.24
"190","JoRo","Portland",32.56
"191","BmcB","Berlin",41.83
"192","BmcB","Berlin",41.52
"193","JoRo","Berlin",49.1
"194","JoRo","Portland",29.47
"195","MiPa","Basel",23.09
"196","BmcB","Berlin",44.15
"197","JoRo","Berlin",57.65
"198","JoRo","Berlin",49.25
"199","MiPa","Portland",29.2
"200","BmcB","Berlin",45.24
"201","BmcB","Portland",22.21
"202","JoRo","Portland",28.2
"203","MiPa","Basel",27.06
"204","MiPa","Basel",27.25
"205","JoRo","Portland",30.08
"206","JoRo","Berlin",49.2
"207","MiPa","Basel",25.37
"208","JoRo","Portland",25.12
"209","BmcB","Berlin",43.76
"210","JoRo","Basel",27.69
"211","BmcB","Basel",17.58
"212","BmcB","Berlin",45.44
"213","BmcB","Berlin",46.98
"214","MiPa","Berlin",51.68
"215","JoRo","Basel",25.05
"216","BmcB","Berlin",45.01
"217","MiPa","Berlin",50.09
"218","JoRo","Berlin",45.2
"219","BmcB","Berlin",44.09
"220","BmcB","Berlin",41.63
"221","MiPa","Basel",20.58
"222","JoRo","Basel",24.01
"223","MiPa","Basel",18.3
"224","MiPa","Portland",30.93
"225","BmcB","Berlin",46.31
"226","MiPa","Basel",20.49
"227","JoRo","Portland",30.37
"228","MiPa","Basel",28.32
"229","MiPa","Berlin",50.02
"230","BmcB","Berlin",38.77
"231","BmcB","Basel",17.34
"232","BmcB","Berlin",46.41
"233","MiPa","Basel",20.88
"234","JoRo","Basel",21
"235","JoRo","Basel",19.1
"236","BmcB","Berlin",39.87
"237","MiPa","Basel",24.84
"238","JoRo","Basel",21.02
"239","JoRo","Portland",28.13
"240","BmcB","Basel",16.27
"241","MiPa","Basel",21.9
"242","MiPa","Basel",25.19
"243","BmcB","Berlin",41.85
"244","BmcB","Berlin",44.13
"245","MiPa","Basel",22.78
"246","MiPa","Basel",24.75
"247","JoRo","Portland",29.24
"248","BmcB","Berlin",46.07
"249","MiPa","Berlin",50.72
"250","JoRo","Basel",21.95
"251","JoRo","Basel",20.71
"252","BmcB","Berlin",43.6
"253","BmcB","Berlin",37.43
"254","JoRo","Portland",26.94
"255","JoRo","Portland",28.98
"256","JoRo","Basel",21.84
"257","BmcB","Berlin",42.19
"258","MiPa","Basel",19.42
"259","MiPa","Basel",19.03
"260","JoRo","Berlin",50.87
"261","MiPa","Portland",34.21
"262","BmcB","Berlin",41.18
"263","JoRo","Portland",37.84
"264","MiPa","Berlin",51.32
"265","BmcB","Berlin",42.8
"266","BmcB","Berlin",50.43
"267","BmcB","Berlin",42.61
"268","JoRo","Portland",27.93
"269","JoRo","Basel",23.23
"270","BmcB","Basel",16.27
"271","BmcB","Berlin",40.97
"272","JoRo","Basel",23.9
"273","BmcB","Berlin",43.94
"274","BmcB","Berlin",39.68
"275","BmcB","Berlin",43.53
"276","JoRo","Portland",28.31
"277","MiPa","Berlin",43.97
"278","MiPa","Portland",35.89
"279","BmcB","Berlin",45.01
"280","JoRo","Berlin",49.66
"281","MiPa","Basel",21.04
"282","JoRo","Berlin",52.86
"283","MiPa","Portland",34.57
"284","BmcB","Portland",23.46
"285","JoRo","Basel",17.45
"286","MiPa","Berlin",50.74
"287","JoRo","Portland",29.72
"288","MiPa","Portland",31.79
"289","BmcB","Berlin",35.81
"290","JoRo","Berlin",50.6
"291","MiPa","Basel",20.86
"292","BmcB","Berlin",44.55
"293","MiPa","Basel",22.08
"294","JoRo","Portland",32.05
"295","MiPa","Basel",23.57
"296","BmcB","Portland",24.42
"297","MiPa","Berlin",49.93
"298","MiPa","Basel",22.64
"299","JoRo","Berlin",51.77
"300","BmcB","Berlin",43.14
