"","cannons","rooms","age","condition","color","style","jbb","price"
"85",23,10,112,6,"salmon","modern",3315,3239
"86",19,7,64,4,"brown","classic",2752,2701
"87",21,19,108,6,"brown","classic",3550,3425
"88",23,18,91,5,"brown","classic",3522,3434
"89",27,19,177,4,"brown","classic",4346,4410
"90",20,10,68,4,"brown","modern",2713,2327
"91",18,16,121,8,"black","modern",3162,3152
"92",26,11,102,5,"salmon","classic",3793,4083
"93",16,16,112,6,"black","classic",3596,3915
"94",15,16,161,9,"brown","modern",3175,3223
"95",18,9,40,4,"black","classic",2714,2796
"96",30,19,154,6,"black","modern",4092,4200
"97",17,9,96,3,"brown","modern",2437,2753
"98",22,18,117,6,"black","modern",3644,3638
"99",15,17,66,4,"black","classic",2893,3347
"100",15,19,107,7,"red","modern",2963,2314
"101",19,17,61,6,"brown","classic",2974,2873
"102",25,10,116,3,"plum","classic",3836,3977
"103",18,19,125,5,"brown","modern",2991,3124
"104",23,20,117,5,"brown","modern",3065,3080
"105",14,13,65,6,"brown","modern",2740,2813
"106",18,9,116,7,"salmon","modern",2851,2917
"107",17,17,133,2,"red","classic",3534,2862
"108",19,26,114,7,"brown","modern",3787,3815
"109",25,17,95,7,"brown","modern",4202,4071
"110",20,12,49,5,"black","modern",3054,3591
"111",21,6,81,9,"black","classic",3539,3692
"112",21,7,127,4,"red","modern",2999,2792
"113",18,20,145,3,"brown","classic",3633,3423
"114",14,17,103,2,"brown","classic",2982,3364
"115",19,11,141,5,"black","classic",3169,3468
"116",21,21,103,7,"brown","classic",4322,4244
"117",24,22,51,7,"salmon","classic",4272,4586
"118",19,20,91,6,"red","modern",3356,2731
"119",19,18,127,5,"plum","classic",3702,3810
"120",26,13,85,6,"black","classic",4463,4855
"121",17,12,108,4,"red","classic",3036,2357
"122",22,10,126,4,"black","classic",3425,3769
"123",18,22,99,5,"red","classic",4026,3640
"124",22,22,126,8,"black","modern",3916,3918
"125",14,20,85,5,"salmon","classic",3044,3099
"126",18,11,140,4,"brown","classic",3175,3187
"127",19,14,66,6,"black","modern",2879,3223
"128",24,14,28,2,"red","modern",3292,2910
"129",18,11,124,7,"brown","classic",3701,3998
"130",21,17,153,2,"red","modern",3136,2650
"131",18,17,130,5,"brown","modern",3084,3017
"132",17,12,107,4,"brown","classic",3151,2935
"133",23,12,84,4,"brown","modern",2797,2815
"134",18,14,118,3,"black","modern",2648,2717
"135",25,17,135,7,"salmon","classic",4617,4637
"136",22,8,124,5,"brown","classic",3594,3741
"137",19,12,109,8,"plum","modern",3106,3182
"138",22,12,109,7,"red","classic",3990,3341
"139",20,10,98,5,"brown","modern",2705,2456
"140",22,16,132,4,"black","modern",3259,3152
"141",18,17,124,6,"black","modern",3397,3742
"142",11,15,82,7,"black","modern",2333,2384
"143",21,11,129,6,"black","classic",3802,4004
"144",23,15,87,7,"black","classic",4257,4323
"145",16,16,92,4,"black","modern",2727,2688
"146",16,11,154,6,"black","classic",3118,3350
"147",18,15,41,7,"brown","modern",3083,2848
"148",18,18,101,7,"red","modern",3052,2443
"149",22,17,58,4,"salmon","classic",3603,3837
"150",21,14,120,3,"black","modern",2875,2882
"151",24,13,108,9,"plum","classic",4470,4559
"152",27,15,104,6,"red","modern",4087,3386
"153",20,14,89,6,"black","classic",3492,3442
"154",20,15,50,5,"salmon","modern",3120,3568
"155",21,12,86,3,"salmon","classic",3271,3129
"156",19,18,116,2,"red","modern",3098,2812
"157",20,16,70,5,"brown","classic",3487,3440
"158",20,21,79,6,"red","classic",4092,3785
"159",21,27,137,3,"black","modern",3536,3512
"160",21,14,89,4,"black","classic",3637,3872
"161",19,16,72,7,"salmon","classic",3542,3901
"162",20,17,111,4,"black","modern",3463,3869
"163",19,20,113,3,"salmon","classic",3349,3701
"164",23,13,129,4,"red","classic",3476,2932
"165",20,15,146,2,"black","classic",3353,3331
"166",17,19,91,3,"red","classic",3138,2928
"167",19,15,90,4,"black","classic",3231,3392
"168",17,12,79,4,"black","classic",2841,2707
"169",21,19,77,6,"black","modern",3863,4039
"170",23,19,133,4,"brown","classic",4255,4386
"171",23,22,92,4,"brown","modern",3564,3329
"172",21,15,105,3,"black","classic",3423,3905
"173",20,12,109,5,"brown","classic",3668,3582
"174",21,19,91,5,"salmon","classic",3724,3785
"175",20,18,137,5,"salmon","classic",3676,3593
"176",12,13,66,8,"salmon","modern",2903,2989
"177",21,17,109,4,"black","classic",3836,3974
"178",19,18,120,6,"red","modern",3405,2803
"179",25,14,73,5,"brown","modern",3666,3638
"180",29,23,90,6,"red","classic",4917,4566
"181",15,18,108,2,"plum","modern",1946,2330
"182",22,15,133,4,"black","modern",3594,3716
"183",20,17,162,7,"black","classic",3873,3945
"184",18,12,89,3,"red","modern",2611,2495
"185",22,19,80,6,"brown","classic",3828,4188
"186",23,19,77,7,"plum","classic",4119,4144
"187",20,22,66,3,"black","classic",3785,3852
"188",19,16,115,4,"black","modern",2996,2900
"189",16,20,96,7,"salmon","classic",3605,3820
"190",18,15,70,6,"red","modern",2959,2689
"191",19,13,157,3,"black","modern",2692,3318
"192",19,13,156,8,"black","classic",4265,4429
"193",24,16,115,4,"red","modern",3340,2592
"194",19,15,112,5,"red","classic",3612,3210
"195",28,20,152,4,"black","classic",4750,4718
"196",18,14,142,8,"brown","modern",3127,3301
"197",26,16,28,6,"black","modern",4071,4308
"198",21,16,136,2,"brown","modern",3051,2909
"199",16,14,106,4,"brown","classic",3281,3689
"200",22,9,82,5,"brown","modern",3026,3266
"201",20,23,114,5,"brown","classic",4195,4303
"202",19,14,139,5,"black","modern",2846,3508
"203",23,18,87,4,"brown","classic",3868,3606
"204",22,18,83,7,"red","classic",4274,3666
"205",24,13,84,3,"red","classic",3668,2944
"206",16,17,131,7,"red","modern",3256,2843
"207",18,9,121,6,"red","classic",3380,2719
"208",16,17,19,4,"brown","classic",3379,3438
"209",8,17,71,2,"black","modern",1872,2167
"210",21,18,100,5,"black","classic",3836,3740
"211",25,14,74,7,"brown","classic",4183,3906
"212",23,18,129,8,"brown","modern",3981,3954
"213",15,9,63,4,"red","modern",2025,1894
"214",17,21,70,3,"red","modern",2871,2387
"215",13,13,123,6,"brown","classic",2968,2692
"216",25,15,164,1,"red","classic",3999,2935
"217",19,18,64,9,"brown","classic",3987,4057
"218",16,15,140,5,"black","modern",2417,2735
"219",24,12,77,5,"red","classic",3779,3021
"220",19,11,162,4,"black","classic",3143,3389
"221",14,24,115,6,"brown","classic",3824,4007
"222",20,17,79,7,"black","classic",3705,3826
"223",20,17,116,4,"brown","classic",4081,4030
"224",21,18,122,8,"plum","classic",4056,4411
"225",22,22,142,5,"salmon","classic",4310,4559
"226",17,8,112,7,"red","classic",3038,2528
"227",23,15,77,7,"brown","modern",3983,3909
"228",15,19,53,4,"brown","modern",2627,2794
"229",25,20,109,5,"red","modern",3513,2998
"230",18,20,95,3,"black","classic",3169,3402
"231",22,10,62,5,"brown","classic",3258,3212
"232",22,15,75,9,"black","modern",3732,3556
"233",19,14,140,6,"salmon","modern",3409,3615
"234",14,19,170,5,"salmon","classic",3639,3779
"235",19,12,101,8,"brown","classic",3496,3418
"236",18,13,115,8,"brown","modern",3037,3170
"237",18,21,90,3,"plum","modern",3185,3096
"238",23,20,72,4,"salmon","modern",3554,3744
"239",23,17,128,6,"brown","classic",4303,3858
"240",21,18,101,6,"brown","classic",3758,3551
"241",17,17,73,4,"black","classic",2856,3045
"242",30,17,107,4,"red","modern",4115,3461
"243",13,14,28,4,"salmon","modern",2431,2508
"244",14,19,54,3,"black","classic",2657,2616
"245",21,11,123,5,"plum","modern",2801,2945
"246",31,14,96,3,"salmon","modern",4011,4495
"247",19,21,116,6,"brown","classic",3866,4355
"248",15,9,153,7,"red","classic",2996,2434
"249",18,16,65,4,"red","classic",3253,2874
"250",30,14,107,4,"brown","modern",3999,3514
"251",17,10,154,6,"brown","classic",3414,3306
"252",18,22,84,8,"brown","classic",3887,3840
"253",19,17,108,5,"salmon","modern",3018,3210
"254",23,16,67,6,"brown","classic",3929,3929
"255",23,18,104,4,"black","classic",3966,4109
"256",18,22,162,5,"plum","classic",3909,4039
"257",12,21,128,6,"red","classic",3396,2872
"258",28,22,100,5,"brown","classic",4835,4972
"259",15,7,97,7,"salmon","classic",3153,3440
"260",18,8,70,5,"black","modern",2495,2519
"261",21,16,180,6,"black","classic",4030,4089
"262",22,18,44,4,"salmon","classic",3548,3925
"263",15,16,96,5,"salmon","modern",2611,2523
"264",21,12,53,6,"brown","modern",3136,3335
"265",24,12,129,4,"black","classic",3993,3962
"266",22,20,101,7,"black","classic",4104,4133
"267",23,21,156,5,"red","classic",4089,3404
"268",16,13,120,5,"black","classic",3356,3559
"269",19,15,158,4,"red","modern",3017,2844
"270",24,23,81,6,"black","classic",4435,4961
"271",22,19,89,5,"black","classic",3792,4165
"272",22,12,117,8,"salmon","modern",3557,3999
"273",24,15,69,3,"red","classic",3507,3079
"274",18,18,82,4,"black","modern",3051,3715
"275",23,12,65,2,"salmon","modern",3144,3718
"276",17,19,112,4,"red","classic",3674,3010
"277",19,15,61,5,"red","classic",3332,3039
"278",21,16,91,4,"black","modern",2677,2604
"279",22,18,74,7,"salmon","modern",3778,3915
"280",9,10,115,4,"brown","modern",1556,1300
"281",25,22,72,4,"black","modern",3908,3850
"282",22,21,130,3,"black","modern",3520,3963
"283",25,13,70,5,"black","modern",3570,3736
"284",24,9,97,3,"red","modern",3047,2795
"285",23,14,60,6,"brown","classic",4028,4151
"286",21,11,31,9,"salmon","modern",3490,3600
"287",23,16,123,7,"red","modern",3820,3252
"288",20,18,93,3,"black","modern",3304,3454
"289",23,21,109,7,"brown","modern",3925,3724
"290",21,23,131,5,"salmon","modern",3554,4031
"291",23,8,127,3,"brown","classic",3138,3344
"292",17,19,95,5,"black","modern",2920,3212
"293",18,23,120,5,"plum","classic",4069,4075
"294",22,17,79,1,"red","classic",3327,2997
"295",16,18,40,5,"brown","classic",2906,2811
"296",18,18,108,3,"black","classic",3288,3465
"297",21,12,127,3,"brown","modern",2466,2330
"298",27,12,129,3,"salmon","modern",3625,3828
"299",23,19,99,7,"black","classic",4011,4055
"300",15,12,119,2,"salmon","modern",2099,2372
"301",13,20,48,3,"red","classic",2772,2441
"302",16,13,68,4,"plum","classic",2892,2963
"303",16,14,94,4,"brown","modern",2519,2304
"304",17,14,89,8,"red","classic",3198,2911
"305",22,14,98,6,"brown","classic",3986,4102
"306",24,12,83,5,"salmon","modern",3268,3496
"307",21,14,136,4,"red","classic",3555,2928
"308",22,11,131,2,"black","modern",2850,2744
"309",12,17,86,6,"salmon","classic",2803,2762
"310",22,20,35,4,"black","classic",3555,3479
"311",23,14,138,1,"red","modern",2901,2494
"312",17,24,41,6,"black","modern",3524,3568
"313",18,16,146,4,"brown","modern",3038,3119
"314",19,16,182,4,"red","modern",2869,2670
"315",18,23,96,5,"brown","modern",3420,3400
"316",21,17,59,4,"salmon","classic",3141,3163
"317",18,21,93,7,"red","classic",3810,3082
"318",18,20,105,6,"red","modern",3326,2892
"319",17,16,137,5,"brown","classic",3710,3597
"320",23,18,110,3,"plum","classic",3783,3930
"321",15,13,62,3,"red","modern",2073,1671
"322",24,11,79,5,"salmon","classic",3445,3662
"323",21,15,133,3,"black","classic",3412,3522
"324",20,20,166,4,"salmon","modern",3238,3149
"325",21,13,144,7,"brown","modern",3594,3619
"326",30,18,90,8,"brown","modern",4613,4479
"327",22,18,133,1,"brown","modern",3339,3237
"328",25,15,18,5,"black","classic",3710,3870
"329",23,16,92,7,"black","modern",3742,3699
"330",19,16,93,2,"red","classic",3067,2769
"331",14,24,104,3,"salmon","modern",2884,2831
"332",25,22,125,4,"black","modern",3855,4110
"333",21,16,117,5,"salmon","modern",3298,3623
"334",22,17,109,4,"black","classic",3791,4123
"335",22,17,125,6,"red","classic",4032,3720
"336",19,10,125,4,"black","classic",2992,2806
"337",19,14,104,4,"brown","classic",3399,3221
"338",17,19,128,4,"brown","classic",3102,2927
"339",10,15,121,4,"brown","classic",2519,2284
"340",14,17,85,4,"salmon","modern",2737,2878
"341",27,13,38,3,"brown","classic",3775,3697
"342",11,16,70,6,"black","modern",2555,2504
"343",22,18,63,6,"brown","modern",3763,3752
"344",22,14,152,5,"brown","modern",3257,3224
"345",16,15,86,6,"black","modern",2955,3414
"346",24,13,121,5,"brown","classic",3832,3913
"347",18,22,123,5,"red","classic",3861,3461
"348",20,18,84,7,"brown","classic",3681,3703
"349",26,12,65,6,"red","modern",3872,3608
"350",18,13,120,7,"red","modern",3038,2464
"351",19,17,84,5,"black","classic",3219,3015
"352",25,19,168,6,"black","classic",4513,4480
"353",20,11,129,6,"red","modern",3303,3049
"354",18,13,127,3,"black","modern",2676,2946
"355",25,15,45,6,"black","modern",3400,3766
"356",18,12,110,5,"black","modern",2914,2853
"357",26,9,117,7,"black","modern",3884,3811
"358",19,12,112,5,"salmon","modern",2989,2792
"359",22,24,104,6,"salmon","classic",4297,4796
"360",9,13,128,3,"black","classic",1999,2379
"361",14,24,30,7,"brown","modern",3418,3373
"362",33,9,141,8,"black","modern",4342,3908
"363",23,11,126,7,"black","modern",3775,3755
"364",25,17,127,7,"black","modern",4159,4004
"365",21,15,79,2,"red","classic",3097,2559
"366",20,21,88,7,"black","modern",3661,3644
"367",9,17,168,5,"red","classic",2474,2165
"368",20,17,131,6,"brown","classic",3710,3916
"369",18,17,82,7,"brown","modern",3487,3370
"370",26,14,112,8,"black","classic",4261,4656
"371",18,18,138,9,"black","modern",3309,3365
"372",26,23,75,6,"plum","modern",4348,4391
"373",23,13,128,7,"black","classic",3708,3900
"374",23,13,98,8,"red","modern",3674,3002
"375",17,15,38,8,"black","classic",3347,3512
"376",12,18,110,5,"black","modern",2328,2812
"377",22,12,133,6,"salmon","modern",3337,3278
"378",22,12,104,3,"black","modern",3297,3422
"379",14,12,90,6,"red","classic",2967,2367
"380",20,17,108,8,"salmon","classic",4154,4402
"381",19,11,113,3,"brown","classic",3068,2934
"382",20,24,89,5,"brown","classic",3768,3412
"383",17,18,76,2,"black","modern",2592,2857
"384",19,20,123,4,"black","modern",3440,3759
"385",15,21,84,4,"salmon","classic",3262,3228
"386",24,16,50,5,"red","classic",3932,3193
"387",18,17,150,7,"black","modern",2740,3170
"388",17,15,119,8,"brown","classic",3501,3369
"389",23,11,124,5,"salmon","classic",3582,3464
"390",20,15,40,3,"red","modern",2991,2140
"391",18,18,39,3,"red","classic",3098,2341
"392",25,19,90,6,"red","modern",4057,3533
"393",24,14,65,6,"red","modern",3464,2706
"394",15,17,23,4,"black","classic",2728,2679
"395",18,6,68,7,"black","modern",2875,2843
"396",24,19,92,7,"plum","modern",4071,4111
"397",13,13,102,5,"red","classic",2785,2324
"398",16,15,89,4,"red","modern",2913,2561
"399",15,21,80,2,"black","classic",2831,2498
"400",15,18,70,4,"black","modern",2806,2920
"401",15,11,116,9,"black","modern",2786,2938
"402",19,18,21,6,"red","modern",3463,3215
"403",26,12,114,7,"red","classic",4026,3843
"404",16,20,91,3,"red","classic",3120,2747
"405",16,16,89,8,"black","modern",2700,2621
"406",24,13,139,6,"black","classic",4252,4288
"407",12,9,105,8,"black","classic",2717,3101
"408",16,10,185,3,"brown","classic",2639,2734
"409",23,24,98,5,"black","classic",4147,4378
"410",22,17,111,5,"brown","modern",3596,3719
"411",24,16,103,5,"salmon","classic",3566,3593
"412",21,24,112,5,"black","classic",4389,4616
"413",26,18,84,7,"brown","modern",3915,4058
"414",19,19,37,5,"black","modern",3384,3450
"415",20,17,72,3,"brown","classic",3360,3328
"416",19,9,143,5,"salmon","modern",2997,3251
"417",21,12,77,6,"salmon","classic",3413,3910
"418",12,14,110,5,"black","modern",2448,2835
"419",19,11,80,2,"brown","modern",2408,2081
"420",16,19,61,3,"brown","classic",2660,2787
"421",21,16,63,3,"red","classic",3520,2818
"422",23,16,69,7,"black","classic",4414,4631
"423",18,18,136,3,"salmon","classic",3464,3554
"424",22,18,153,4,"black","classic",4145,4294
"425",21,11,160,2,"brown","modern",2520,2699
"426",24,17,135,6,"black","modern",3632,3641
"427",18,14,52,7,"black","modern",3009,2898
"428",13,17,93,7,"black","modern",2549,2815
"429",23,15,65,3,"black","modern",3458,3462
"430",19,19,53,3,"red","classic",3436,2800
"431",23,21,129,6,"brown","modern",3852,3695
"432",20,10,73,6,"black","classic",3617,3664
"433",24,10,132,4,"plum","classic",3742,4130
"434",17,25,81,7,"salmon","modern",3484,4173
"435",21,18,154,5,"salmon","classic",3960,4060
"436",22,12,119,4,"brown","modern",3001,2699
"437",17,14,100,4,"black","classic",2988,3396
"438",23,19,93,6,"black","classic",3947,3845
"439",24,18,79,5,"black","modern",3624,3832
"440",10,9,125,4,"red","modern",2013,1566
"441",17,10,106,3,"red","classic",2844,2275
"442",20,13,134,3,"red","modern",2648,2318
"443",27,18,115,8,"red","modern",4463,3750
"444",15,27,112,5,"brown","modern",3351,3055
"445",24,15,92,7,"salmon","modern",3787,4071
"446",25,19,59,2,"brown","modern",3939,3806
"447",16,17,88,3,"red","modern",2442,2055
"448",19,14,119,4,"brown","classic",3565,3233
"449",19,24,98,4,"brown","classic",3736,3671
"450",22,12,112,6,"salmon","modern",3086,3327
"451",12,14,107,4,"black","modern",2229,2148
"452",7,14,114,6,"red","classic",2523,1970
"453",24,13,95,2,"salmon","modern",3070,3037
"454",20,12,154,6,"brown","modern",3133,2691
"455",19,9,67,5,"red","modern",2939,2236
"456",21,19,59,3,"black","classic",3738,3718
"457",21,16,108,6,"plum","classic",3696,3702
"458",24,10,83,3,"plum","modern",3081,3495
"459",11,23,120,6,"brown","classic",2910,2881
"460",13,11,138,8,"red","classic",3166,2555
"461",27,9,115,4,"black","classic",3707,4013
"462",13,15,114,7,"brown","classic",3279,2767
"463",13,16,84,5,"brown","modern",2289,2679
"464",20,17,67,7,"black","modern",3616,3730
"465",20,21,47,7,"red","modern",3783,3166
"466",14,17,73,3,"black","modern",2410,2350
"467",18,18,104,3,"salmon","modern",2595,2872
"468",22,26,109,4,"brown","classic",4649,4664
"469",18,19,171,1,"brown","modern",2875,2656
"470",20,12,115,4,"brown","classic",3725,3829
"471",25,19,55,6,"brown","modern",4078,4054
"472",17,15,110,3,"red","modern",2894,2522
"473",22,17,94,4,"brown","modern",3517,3415
"474",13,11,113,3,"brown","modern",1948,2005
"475",18,6,100,7,"black","classic",3062,2603
"476",28,11,136,5,"red","classic",4028,3504
"477",22,21,98,3,"red","modern",3456,2839
"478",24,19,102,8,"plum","modern",4204,4526
"479",25,20,94,7,"black","classic",4279,4459
"480",20,13,115,7,"salmon","classic",3672,3888
"481",20,20,115,5,"red","classic",3853,3154
"482",24,18,80,5,"brown","classic",3937,3991
"483",21,10,95,5,"salmon","modern",2939,3446
"484",16,16,83,3,"red","modern",2726,1909
"485",18,22,85,7,"black","classic",4013,4169
"486",22,18,92,4,"brown","classic",3911,3786
"487",19,14,139,8,"salmon","modern",3157,3264
"488",17,18,80,2,"brown","classic",3000,2994
"489",20,12,93,2,"red","classic",2874,2549
"490",19,14,90,8,"red","modern",3410,2858
"491",25,17,62,5,"black","classic",3838,3801
"492",19,14,103,3,"black","classic",3422,3763
"493",25,18,69,7,"salmon","modern",4226,4528
"494",16,15,100,5,"plum","classic",3121,3272
"495",18,19,118,5,"brown","modern",3107,3390
"496",13,11,89,3,"red","modern",1836,990
"497",20,20,70,8,"salmon","classic",4232,4844
"498",18,10,100,7,"brown","modern",3098,3297
"499",10,17,120,4,"salmon","modern",2381,2354
"500",17,14,76,6,"brown","modern",2951,3049
"501",14,11,122,4,"black","classic",2386,2415
"502",21,18,35,7,"black","classic",3958,4234
"503",19,19,125,4,"black","classic",3759,3799
"504",12,18,150,4,"red","classic",2726,1968
"505",21,10,83,3,"black","classic",3125,2991
"506",19,16,77,6,"black","classic",3623,3445
"507",30,23,103,7,"red","modern",4918,4189
"508",22,16,137,3,"red","classic",3627,2902
"509",18,18,118,4,"red","classic",3470,3023
"510",22,17,82,4,"brown","modern",3448,3433
"511",20,15,111,6,"black","modern",3150,2839
"512",22,18,111,2,"salmon","modern",2878,2799
"513",29,11,116,4,"red","modern",3597,2904
"514",18,16,66,7,"red","modern",3362,2680
"515",22,16,98,4,"red","classic",3800,3263
"516",25,21,166,5,"black","modern",4012,3948
"517",16,21,93,6,"black","modern",3383,3384
"518",14,13,93,5,"brown","modern",2447,2263
"519",19,21,58,5,"black","classic",3475,3087
"520",20,19,91,7,"red","classic",3868,3388
"521",21,17,88,5,"red","modern",3838,3253
"522",22,18,139,6,"salmon","classic",4161,4472
"523",16,17,61,4,"black","classic",3008,3035
"524",27,13,100,4,"black","modern",3471,3676
"525",26,7,62,5,"brown","modern",3558,3590
"526",16,26,87,7,"brown","modern",3472,3246
"527",21,18,106,5,"brown","classic",4107,4368
"528",22,16,91,6,"brown","classic",3609,3654
"529",16,25,120,6,"brown","modern",3139,3173
"530",23,13,63,6,"black","modern",3715,3839
"531",20,18,55,3,"red","modern",3317,2783
"532",29,19,111,4,"salmon","modern",3726,3742
"533",15,12,161,6,"black","modern",2285,2317
"534",16,18,116,7,"black","classic",3535,3721
"535",26,18,93,2,"black","modern",3557,3718
"536",19,16,67,4,"salmon","classic",3189,3276
"537",23,14,159,4,"red","modern",3338,3076
"538",15,16,92,7,"salmon","modern",3091,3641
"539",24,21,117,4,"brown","modern",3999,4185
"540",22,13,86,6,"salmon","classic",3569,3590
"541",23,11,79,3,"black","modern",2986,2816
"542",17,12,108,5,"salmon","modern",2833,3323
"543",22,13,73,7,"brown","classic",3949,3853
"544",21,9,156,3,"salmon","classic",3512,3468
"545",21,21,133,3,"salmon","classic",3752,3704
"546",21,14,116,6,"black","modern",3273,3211
"547",23,19,111,7,"black","classic",4354,4539
"548",18,21,100,3,"red","modern",2993,2487
"549",27,19,90,4,"black","modern",4051,4127
"550",17,11,89,7,"black","modern",3024,3043
"551",16,18,109,9,"black","classic",3846,3485
"552",22,16,82,2,"brown","classic",3272,3417
"553",20,19,68,5,"salmon","classic",3810,4288
"554",16,23,95,3,"brown","modern",3026,2828
"555",21,16,134,6,"red","modern",3447,2922
"556",19,20,70,3,"black","modern",3061,3120
"557",16,15,19,5,"salmon","classic",2901,3441
"558",21,17,90,5,"salmon","modern",3456,3963
"559",26,21,111,6,"black","classic",4598,4449
"560",25,19,81,4,"black","classic",3994,4221
"561",32,14,34,5,"black","modern",4414,4616
"562",23,21,168,5,"black","classic",4391,4674
"563",17,13,110,7,"red","classic",3307,2968
"564",19,15,76,5,"red","classic",3423,3095
"565",23,14,116,3,"red","classic",3706,3516
"566",16,14,60,6,"brown","classic",3278,3241
"567",16,20,90,2,"brown","modern",2491,2666
"568",16,13,90,7,"salmon","modern",2953,3193
"569",21,21,102,3,"salmon","classic",3698,4260
"570",21,14,77,2,"black","modern",2868,2825
"571",17,12,118,7,"black","classic",3243,3340
"572",19,11,107,5,"salmon","classic",3495,4118
"573",27,13,54,5,"black","classic",3859,4297
"574",18,15,77,5,"red","classic",3081,2649
"575",18,15,79,5,"red","modern",3069,2249
"576",25,12,116,8,"salmon","classic",4585,4670
"577",20,15,71,5,"black","modern",3479,3298
"578",22,12,124,4,"red","modern",3089,2607
"579",26,12,51,7,"brown","modern",3772,3532
"580",24,8,101,5,"black","modern",3023,3036
"581",22,13,100,6,"salmon","classic",3940,4341
"582",19,21,126,8,"salmon","modern",3580,3612
"583",17,15,73,5,"salmon","classic",3054,3063
"584",23,10,38,6,"black","classic",3636,3861
"585",17,16,93,4,"black","classic",3006,3343
"586",22,20,86,6,"salmon","classic",4065,4356
"587",18,15,125,6,"red","modern",2984,2405
"588",20,15,70,7,"black","modern",3400,3471
"589",23,15,106,4,"brown","classic",3945,3799
"590",21,12,111,3,"brown","modern",2967,2873
