"","name","rating","genre","creative.type","time","year","production.method","sequel","budget","revenue.all","revenue.dom","revenue.int","revenue.inf"
"17","Pirates of the Caribbean: Dead Man's Chest","PG-13","Adventure","Fantasy",151,2006,"Live Action",1,225,1066.215812,423.315812,642.9,540.93944
"18","Pirates of the Caribbean: On Stranger Tides","PG-13","Adventure","Fantasy",136,2011,"Live Action",1,250,1045.663875,241.063875,804.6,254.439421
"19","Jurassic Park","PG-13","Action","Science Fiction",126,1993,"Animation/Live Action",0,63,1038.812584,395.708305,643.104279,755.387687
"20","Star Wars Ep. I: The Phantom Menace","PG","Adventure","Science Fiction",133,1999,"Animation/Live Action",1,115,1027.044677,474.544677,552.5,755.899504
"21","Alice in Wonderland","PG","Adventure","Fantasy",108,2010,"Animation/Live Action",0,200,1025.49111,334.19111,691.3,354.522122
"22","The Hobbit: An Unexpected Journey","PG-13","Adventure","Fantasy",169,2012,"Animation/Live Action",1,250,1017.003568,303.003568,714,317.749322
"23","The Dark Knight","PG-13","Action","Super Hero",152,2008,"Live Action",1,185,1002.891358,533.345358,469.546,621.624466
"24","The Lion King","G","Adventure","Kids Fiction",87,1994,"Hand Animation",0,79.3,987.48014,422.78014,564.7,756.219975
"25","Despicable Me 2","PG","Comedy","Kids Fiction",98,2013,"Digital Animation",1,76,974.873764,368.065385,606.808379,378.930222
"26","Harry Potter and the Sorcerers Stone","PG","Adventure","Fantasy",152,2001,"Animation/Live Action",0,125,974.755371,317.57555,657.179821,468.612897
"27","Pirates of the Caribbean: At World's End","PG-13","Adventure","Historical Fiction",167,2007,"Live Action",1,300,963.420425,309.420425,654,376.431535
"28","The Hobbit: The Desolation of Smaug","PG-13","Adventure","Fantasy",201,2013,"Animation/Live Action",1,250,960.366855,258.366855,702,265.846191
"29","Harry Potter and the Deathly Hallows: Part I","PG-13","Adventure","Fantasy",146,2010,"Animation/Live Action",1,125,959.30107,295.00107,664.3,312.886528
"30","The Hobbit: The Battle of the Five Armies","PG-13","Adventure","Fantasy",144,2014,"Live Action",1,250,955.119788,255.119788,700,260.520067
"31","Harry Potter and the Order of the Phoenix","PG-13","Adventure","Fantasy",138,2007,"Animation/Live Action",1,150,942.943935,292.004738,650.939197,355.244135
"32","Finding Nemo","G","Adventure","Kids Fiction",100,2003,"Digital Animation",0,94,936.42937,380.52937,555.9,514.460669
"33","Harry Potter and the Half-Blood Prince","PG","Adventure","Fantasy",153,2009,"Animation/Live Action",1,250,935.083686,301.959197,633.124489,336.986462
"34","The Lord of the Rings: The Two Towers","PG-13","Adventure","Fantasy",179,2002,"Animation/Live Action",1,94,934.703179,342.548984,592.154195,486.871693
"35","Shrek 2","PG","Adventure","Kids Fiction",92,2004,"Digital Animation",1,70,932.252921,436.471036,495.781885,588.287049
"36","Harry Potter and the Goblet of Fire","PG-13","Adventure","Fantasy",150,2005,"Animation/Live Action",1,150,896.911078,290.013036,606.898042,378.306289
"37","Spider-Man 3","PG-13","Adventure","Super Hero",139,2007,"Live Action",1,258,890.875303,336.530303,554.345,409.412591
"38","The Lord of the Rings: The Fellowship of the Ring","PG-13","Adventure","Fantasy",179,2001,"Animation/Live Action",0,109,887.217688,315.54475,571.672938,460.54528
"39","Ice Age: Continental Drift","PG","Adventure","Fantasy",87,2012,"Digital Animation",1,95,879.765137,161.321843,718.443294,169.628538
"40","Harry Potter and the Chamber of Secrets","PG","Adventure","Fantasy",161,2002,"Animation/Live Action",1,100,878.979634,261.98788,616.991754,376.584346
"41","The Hunger Games: Catching Fire","PG-13","Adventure","Science Fiction",146,2013,"Live Action",1,130,864.868047,424.668047,440.2,437.11601
"42","Ice Age: Dawn of the Dinosaurs","PG","Adventure","Kids Fiction",93,2009,"Digital Animation",1,90,859.701857,196.573705,663.128152,219.376252
"43","Star Wars Ep. III: Revenge of the Sith","PG-13","Adventure","Science Fiction",139,2005,"Animation/Live Action",1,115,848.998877,380.270577,468.7283,496.536289
"44","Transformers: Revenge of the Fallen","PG-13","Action","Science Fiction",149,2009,"Animation/Live Action",1,210,836.519699,402.11187,434.407829,448.756847
"45","Inception","PG-13","Thriller/Suspense","Science Fiction",147,2010,"Animation/Live Action",0,160,832.584416,292.576195,540.008221,310.375461
"46","Inside Out","PG","Adventure","Kids Fiction",95,2015,"Digital Animation",0,0,831.635066,354.935066,476.7,354.935066
"47","The Twilight Saga: Breaking Dawn, Part 2","PG-13","Drama","Fantasy",115,2012,"Live Action",1,136.2,829.724737,292.324737,537.4,307.31148
"48","Spider-Man","PG-13","Adventure","Super Hero",121,2002,"Live Action",0,139,821.706375,403.706375,418,581.587324
"49","Independence Day","PG-13","Adventure","Science Fiction",145,1996,"Live Action",0,75,817.355682,306.124059,511.231623,579.696466
"50","Shrek the Third","PG","Adventure","Kids Fiction",92,2007,"Digital Animation",1,160,805.623351,321.012359,484.610992,390.53393
"51","Harry Potter and the Prisoner of Azkaban","PG","Adventure","Fantasy",141,2004,"Animation/Live Action",1,130,796.688549,249.538952,547.149597,336.295292
"52","ET: The Extra-Terrestrial","PG","Drama","Kids Fiction",114,1982,"Live Action",0,10.5,792.804231,434.949459,357.854772,1124.651941
"53","Fast and Furious 6","PG-13","Action","Contemporary Fiction",130,2012,"Live Action",1,160,789.952811,238.67985,551.272961,245.725749
"54","2012","PG-13","Action","Science Fiction",158,2009,"Live Action",0,200,788.408539,166.112167,622.296372,185.233884
"55","Indiana Jones and the Kingdom of the Crystal Skull","PG-13","Adventure","Historical Fiction",123,2008,"Live Action",1,185,786.558145,317.023851,469.534294,369.656873
"56","Star Wars Ep. IV: A New Hope","PG","Adventure","Science Fiction",119,1977,"Live Action",0,11,786.535665,460.935665,325.6,1362.751062
"57","Spider-Man 2","PG-13","Adventure","Super Hero",127,2004,"Live Action",1,200,783.705001,373.524485,410.180516,503.446042
"58","Guardians of the Galaxy","PG-13","Adventure","Super Hero",121,2014,"Live Action",0,170,771.172112,333.172112,438,341.325235
"59","The Da Vinci Code","PG-13","Thriller/Suspense","Contemporary Fiction",152,2006,"Live Action",0,125,767.820459,217.536138,550.284321,277.981293
"60","Maleficent","PG","Adventure","Fantasy",97,2013,"Live Action",0,180,758.407328,241.407328,517,247.316927
"61","The Amazing Spider-Man","PG-13","Adventure","Super Hero",136,2012,"Live Action",1,220,757.890267,262.030663,495.859604,275.527217
"62","Shrek Forever After","PG","Adventure","Kids Fiction",93,2010,"Digital Animation",1,165,755.903876,238.39599,517.507886,252.899165
"63","X-Men: Days of Future Past","PG-13","Action","Science Fiction",131,2014,"Live Action",1,200,748.121534,233.921534,514.2,239.647881
"64","Madagascar 3: Europe's Most Wanted","PG","Adventure","Kids Fiction",85,2012,"Digital Animation",1,145,746.921271,216.391482,530.529789,227.53727
"65","Monsters University","G","Adventure","Kids Fiction",102,2012,"Digital Animation",1,200,743.588329,268.488329,475.1,276.414178
"66","The Matrix Reloaded","R","Action","Science Fiction",138,2003,"Animation/Live Action",1,150,738.576929,281.553689,457.02324,390.813329
"67","Up","PG","Adventure","Fantasy",89,2009,"Digital Animation",0,175,731.542621,293.004164,438.538457,326.992648
"68","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","PG","Adventure","Fantasy",140,2005,"Animation/Live Action",0,180,720.539572,291.710957,428.828615,379.064393
"69","Gravity","PG-13","Thriller/Suspense","Contemporary Fiction",91,2012,"Live Action",0,110,716.392705,274.092705,442.3,282.090888
"70","Captain America: The Winter Soldier","PG-13","Action","Science Fiction",135,2014,"Live Action",1,170,713.846958,259.746958,454.1,266.10551
"71","The Hunger Games: Mockingjay - Part 1","PG-13","Thriller/Suspense","Science Fiction",123,2014,"Live Action",1,125,709.635885,337.135885,372.5,345.060842
"72","The Amazing Spider-Man 2","PG-13","Action","Super Hero",141,2013,"Live Action",1,200,708.996336,202.853933,506.142403,207.819751
"73","Transformers","PG-13","Action","Science Fiction",142,2007,"Animation/Live Action",0,151,708.098205,319.071806,389.026399,388.173113
"74","The Twilight Saga: Eclipse","PG-13","Drama","Fantasy",124,2010,"Live Action",1,68,706.102828,300.531751,405.571077,318.815049
"75","Dawn of the Planet of the Apes","PG-13","Adventure","Science Fiction",130,2014,"Animation/Live Action",1,170,703.545589,208.545589,495,213.650737
"76","Mission: Impossible - Rogue Nation","PG-13","Action","Contemporary Fiction",131,2015,"Live Action",1,150,700.17682,194.829972,505.346848,194.829972
"77","Mission: Impossible - Ghost Protocol","PG-13","Action","Contemporary Fiction",132,2011,"Live Action",1,145,694.71323,209.397903,485.315327,220.710171
"78","The Twilight Saga: Breaking Dawn, Part 1","PG-13","Drama","Fantasy",117,2011,"Live Action",1,127.5,689.420051,281.287133,408.132918,296.871588
"79","The Twilight Saga: New Moon","PG-13","Drama","Fantasy",130,2009,"Live Action",1,50,687.557727,296.623634,390.934093,330.553757
"80","Forrest Gump","PG-13","Drama","Historical Fiction",142,1994,"Live Action",0,55,679.857164,330.151138,349.706026,672.783178
"81","The Hunger Games","PG-13","Thriller/Suspense","Science Fiction",142,2011,"Live Action",0,80,677.923379,408.010692,269.912687,429.026313
"82","The Sixth Sense","PG-13","Thriller/Suspense","Fantasy",107,1999,"Live Action",0,40,672.806292,293.506292,379.3,481.962579
"83","Man of Steel","PG-13","Action","Super Hero",142,2012,"Live Action",1,225,667.999518,291.045518,376.954,299.637262
"84","Interstellar","PG-13","Adventure","Science Fiction",165,2014,"Live Action",0,165,665.417894,188.017894,477.4,192.49285
"85","Kung Fu Panda 2","PG","Adventure","Kids Fiction",90,2011,"Digital Animation",1,150,664.837547,165.249063,499.588484,174.417986
"86","Men in Black 3","PG-13","Adventure","Science Fiction",104,2011,"Animation/Live Action",1,215,654.213485,179.020854,475.192631,188.241777
"87","Big Hero 6","PG","Adventure","Science Fiction",108,2014,"Digital Animation",0,165,652.127828,222.527828,429.6,227.698124
"88","Ice Age: The Meltdown","PG","Adventure","Kids Fiction",91,2006,"Digital Animation",1,75,651.899282,195.330621,456.568661,249.605696
"89","Star Wars Ep. II: Attack of the Clones","PG","Adventure","Science Fiction",143,2002,"Animation/Live Action",1,115,648.2,302.181125,346.018875,435.328061
"90","Pirates of the Caribbean: The Curse of the Black Pearl","PG-13","Adventure","Fantasy",144,2003,"Live Action",0,125,634.954103,305.411224,329.542879,423.929016
"91","Thor: The Dark World","PG-13","Adventure","Super Hero",111,2013,"Live Action",1,150,633.360018,206.360018,427,212.437145
"92","Kung Fu Panda","PG","Adventure","Kids Fiction",91,2008,"Digital Animation",0,130,631.910531,215.434591,416.47594,251.140327
"93","Fast Five","PG-13","Action","Contemporary Fiction",130,2011,"Live Action",1,125,629.969804,209.837675,420.132129,221.480621
"94","Ratatouille","G","Comedy","Kids Fiction",110,2007,"Digital Animation",0,150,626.549695,206.445654,420.104041,251.155543
"95","Hancock","PG-13","Action","Super Hero",92,2008,"Live Action",0,150,624.234272,227.946274,396.287998,265.725671
"96","Iron Man 2","PG-13","Adventure","Super Hero",125,2010,"Live Action",1,170,623.256345,312.128345,311.128,331.117141
"97","The Passion of the Christ","R","Drama","Dramatization",127,2004,"Live Action",0,25,622.420667,370.78293,251.637737,499.717542
"98","The Lost World: Jurassic Park","PG-13","Action","Science Fiction",134,1997,"Animation/Live Action",0,75,618.626844,229.074524,389.55232,417.724134
"99","How to Train Your Dragon 2","PG","Adventure","Fantasy",102,2013,"Digital Animation",1,145,616.102924,177.002924,439.1,181.335916
"100","The Incredibles","PG","Adventure","Kids Fiction",115,2004,"Digital Animation",0,92,614.726752,261.441092,353.28566,351.961078
"101","Life of Pi","PG","Drama","Fantasy",125,2011,"Live Action",0,120,607.987022,124.987022,483,130.678374
"102","War of the Worlds","PG-13","Action","Science Fiction",116,2005,"Animation/Live Action",0,132,606.836535,234.280354,372.556181,305.912477
"103","Mamma Mia!","PG-13","Musical","Contemporary Fiction",108,2008,"Live Action",0,52,602.133452,143.762955,458.370497,168.017915
"104","Madagascar: Escape 2 Africa","PG","Comedy","Kids Fiction",89,2008,"Digital Animation",1,150,599.516844,180.01095,419.505894,209.879658
"105","Casino Royale","PG-13","Action","Contemporary Fiction",144,2006,"Live Action",1,102,594.275385,167.220102,427.055283,212.845325
"106","Quantum of Solace","PG-13","Action","Contemporary Fiction",106,2008,"Live Action",1,230,591.692078,169.368427,422.323651,197.312505
"107","Men in Black","PG-13","Adventure","Science Fiction",98,1997,"Live Action",0,90,587.247615,250.147615,337.1,456.149959
"108","Tangled","PG","Adventure","Kids Fiction",101,2010,"Digital Animation",0,260,586.581936,200.821936,385.76,212.862651
"109","The Hangover Part II","R","Comedy","Contemporary Fiction",102,2011,"Live Action",1,80,586.464305,254.464305,332,268.583382
"110","I am Legend","PG-13","Horror","Science Fiction",100,2007,"Live Action",0,150,585.532684,256.39301,329.139674,309.365018
"111","Iron Man","PG-13","Action","Super Hero",126,2008,"Live Action",0,186,582.443126,318.604126,263.839,371.388836
"112","Night at the Museum","PG","Comedy","Kids Fiction",108,2006,"Live Action",0,110,581.570293,250.863268,330.707025,312.994434
"113","The Croods","PG","Adventure","Kids Fiction",98,2012,"Digital Animation",0,135,573.068425,187.168425,385.9,192.693688
"114","Star Wars Ep. VI: Return of the Jedi","PG","Adventure","Science Fiction",133,1983,"Live Action",1,32.5,572.625409,309.125409,263.5,778.214979
"115","Fifty Shades of Grey","R","Drama","Contemporary Fiction",125,2013,"Live Action",0,40,570.455257,166.16723,404.288027,166.16723
"116","The Smurfs","PG","Adventure","Kids Fiction",103,2011,"Animation/Live Action",0,110,563.749323,142.614158,421.135165,150.527168
"117","Cars 2","G","Adventure","Kids Fiction",107,2011,"Digital Animation",1,200,560.155383,191.450875,368.704508,202.073621
"118","Monsters, Inc.","G","Adventure","Kids Fiction",92,2001,"Digital Animation",0,115,559.757719,289.423425,270.334294,412.902613
"119","The Day After Tomorrow","PG-13","Adventure","Science Fiction",123,2004,"Live Action",0,125,556.31945,186.740799,369.578651,251.692931
"120","Madagascar","PG","Adventure","Kids Fiction",86,2005,"Digital Animation",0,75,556.13062,193.166575,362.964045,252.231549
"121","Ted","R","Comedy","Contemporary Fiction",106,2011,"Animation/Live Action",0,50,556.016627,218.66574,337.350887,229.928671
"122","Puss in Boots","PG","Adventure","Kids Fiction",90,2011,"Digital Animation",0,130,554.987477,149.260504,405.726973,157.527259
"123","Brave","PG","Adventure","Kids Fiction",93,2012,"Digital Animation",0,185,554.606532,237.282182,317.32435,249.503883
"124","Armageddon","PG-13","Adventure","Science Fiction",150,1998,"Live Action",0,140,554.595209,201.573391,353.021818,359.737586
"125","King Kong","PG-13","Adventure","Fantasy",189,2005,"Animation/Live Action",0,207,550.517357,218.080025,332.437332,283.511452
"126","Mission: Impossible 2","PG-13","Action","Contemporary Fiction",126,2000,"Live Action",1,120,549.588516,215.409889,334.178627,334.485246
"127","American Sniper","R","Drama","Dramatization",132,2015,"Live Action",0,58,547.326372,350.126372,197.2,350.180938
"128","Despicable Me","PG","Comedy","Kids Fiction",95,2010,"Digital Animation",0,69,543.495033,251.513985,291.981048,266.813545
"129","Sherlock Holmes: A Game of Shadows","PG-13","Action","Historical Fiction",129,2011,"Live Action",1,125,535.663443,186.848418,348.815025,196.993248
"130","Cinderella","PG","Drama","Fantasy",105,2014,"Live Action",0,95,534.551353,201.151353,333.4,201.151353
"131","Star Wars Ep. V: The Empire Strikes Back","PG","Adventure","Science Fiction",124,1980,"Live Action",1,23,534.058751,290.158751,243.9,808.182542
"132","WALL-E","G","Adventure","Science Fiction",100,2008,"Digital Animation",0,180,532.590994,223.808164,308.78283,260.901655
"133","World War Z","PG-13","Action","Science Fiction",115,2011,"Live Action",0,190,531.51465,202.359711,329.154939,208.333426
"134","Godzilla","PG-13","Action","Science Fiction",123,2014,"Live Action",0,160,529.072193,200.672193,328.4,205.584601
"135","The Simpsons Movie","PG-13","Comedy","Contemporary Fiction",86,2007,"Digital Animation",0,72.5,527.071022,183.135014,343.936008,222.796519
"136","Meet the Fockers","PG-13","Comedy","Contemporary Fiction",114,2004,"Live Action",1,60,516.567575,279.167575,237.4,371.36139
"137","Terminator 2: Judgment Day","R","Action","Science Fiction",136,1991,"Animation/Live Action",1,100,513.815401,201.858746,311.956655,401.320123
"138","Toy Story 2","G","Adventure","Kids Fiction",92,1999,"Digital Animation",1,90,511.329494,245.823397,265.506097,401.516542
"139","Ghost","PG-13","Drama","Fantasy",127,1990,"Live Action",0,22,506.112351,206.143657,299.968694,408.867871
"140","Sherlock Holmes","PG-13","Adventure","Historical Fiction",133,2009,"Live Action",0,90,498.438212,209.028679,289.409533,229.397285
"141","Twister","PG-13","Action","Contemporary Fiction",114,1996,"Live Action",0,88,495.7,241.688385,254.011615,457.676873
"142","Aladdin","G","Comedy","Fantasy",90,1992,"Hand Animation",0,28,495.27727,208.57727,286.7,421.129628
"143","How to Train Your Dragon","PG","Adventure","Fantasy",91,2010,"Digital Animation",0,165,494.870991,217.581231,277.28976,230.818109
"144","Rio 2","G","Adventure","Kids Fiction",101,2014,"Digital Animation",1,130,493.738435,131.538435,362.2,134.758465
"145","Clash of the Titans","PG-13","Action","Fantasy",106,2010,"Live Action",0,125,493.214888,163.214888,330,173.144306
"146","Shrek","PG","Adventure","Kids Fiction",90,2001,"Digital Animation",0,50,491.812794,267.655011,224.157783,395.803423
"147","Angels & Demons","PG-13","Thriller/Suspense","Contemporary Fiction",138,2009,"Live Action",1,150,490.875846,133.375846,357.5,148.847443
"148","Oz the Great and Powerful","PG","Adventure","Fantasy",130,2011,"Animation/Live Action",0,200,489.570996,234.770996,254.8,241.701503
"149","Rio","PG","Adventure","Kids Fiction",96,2011,"Digital Animation",0,90,487.519809,143.619809,343.9,151.588618
"150","Mr. and Mrs. Smith","PG-13","Action","Contemporary Fiction",120,2005,"Live Action",0,110,486.12409,186.336279,299.787811,243.31251
"151","Teenage Mutant Ninja Turtles","PG-13","Adventure","Super Hero",101,2014,"Animation/Live Action",0,125,485.004754,191.204754,293.8,195.885403
"152","Saving Private Ryan","R","Drama","Historical Fiction",169,1998,"Live Action",0,65,484.819491,216.119491,268.7,382.169747
"153","Troy","R","Action","Historical Fiction",162,2004,"Live Action",0,150,484.161265,133.298577,350.862688,179.663297
"154","Bruce Almighty","PG-13","Comedy","Fantasy",102,2003,"Live Action",0,81,483.473962,242.704995,240.768967,336.883711
"155","Rise of the Planet of the Apes","PG-13","Adventure","Science Fiction",120,2011,"Animation/Live Action",0,93,482.860185,176.760185,306.1,186.567811
"156","Charlie and the Chocolate Factory","PG","Comedy","Kids Fiction",115,2005,"Live Action",0,150,475.825484,206.459076,269.366408,269.585078
"157","Wreck-It Ralph","PG","Adventure","Kids Fiction",101,2012,"Digital Animation",0,165,473.412677,189.412677,284,198.928945
"158","Indiana Jones and the Last Crusade","PG-13","Adventure","Fantasy",127,1989,"Live Action",1,48,472.705225,195.705225,277,410.539536
"159","Jaws","PG","Horror","Contemporary Fiction",124,1975,"Live Action",0,12,470.7,260,210.7,1061.560973
"160","San Andreas","PG-13","Adventure","Science Fiction",114,2015,"Live Action",0,110,469.590832,155.190832,314.4,155.190832
"161","Home Alone","PG","Comedy","Contemporary Fiction",103,1990,"Live Action",0,15,468.42745,277.504018,190.923432,550.995677
"162","Star Trek Into Darkness","PG-13","Adventure","Science Fiction",132,2012,"Live Action",1,190,466.978661,228.778661,238.2,235.532269
"163","The Hangover","R","Comedy","Contemporary Fiction",100,2009,"Live Action",0,35,465.764086,277.322503,188.441583,309.491916
"164","The Matrix","R","Action","Science Fiction",136,1999,"Live Action",0,65,463.420706,171.383253,292.037453,282.377527
"165","Cars","G","Comedy","Kids Fiction",116,2006,"Digital Animation",0,70,461.651246,244.082982,217.568264,311.865907
"166","X-Men: The Last Stand","PG-13","Action","Super Hero",104,2006,"Live Action",1,210,459.359555,234.362462,224.997093,299.483028
"167","The Lego Movie","PG","Adventure","Kids Fiction",110,2013,"Digital Animation",0,60,457.729388,257.784718,199.94467,264.095237
"168","Gladiator","R","Action","Historical Fiction",154,2000,"Live Action",0,103,457.683805,187.683805,270,291.350945
"169","Mission: Impossible","PG-13","Action","Contemporary Fiction",111,1996,"Live Action",0,80,457.607112,180.891004,276.716108,342.546996
"170","National Treasure 2: Book of Secrets","PG","Adventure","Contemporary Fiction",124,2007,"Live Action",1,0,457.325804,219.961501,237.364303,263.68355
"171","The Last Samurai","R","Action","Historical Fiction",154,2003,"Live Action",0,140,456.810575,111.110575,345.7,153.379455
"172","Ant-Man","PG-13","Action","Super Hero",117,2015,"Live Action",0,130,454.653293,178.753293,275.9,178.753293
"173","300","R","Action","Historical Fiction",115,2007,"Animation/Live Action",0,60,454.139586,210.59259,243.546996,256.200578
"174","Beauty and the Beast","G","Musical","Fantasy",85,1991,"Hand Animation",0,20,451.421625,218.951625,232.47,360.973735
"175","Ocean's Eleven","PG-13","Thriller/Suspense","Contemporary Fiction",116,2001,"Live Action",0,85,450.728529,183.41715,267.311379,269.448321
"176","Lucy","R","Action","Science Fiction",88,2014,"Live Action",0,40,450.57396,126.57396,324,129.672459
"177","Thor","PG-13","Action","Super Hero",113,2011,"Live Action",0,150,449.326618,181.030624,268.295994,191.075198
"178","Pearl Harbor","PG-13","Action","Dramatization",182,2001,"Live Action",0,151.5,449.239855,198.539855,250.7,293.600458
"179","Tarzan","G","Adventure","Historical Fiction",88,1999,"Hand Animation",0,145,448.191819,171.091819,277.1,281.869317
"180","Alvin and the Chipmunks: The Squeakquel","PG","Comedy","Kids Fiction",89,2009,"Animation/Live Action",1,70,443.483213,219.614612,223.868601,241.57612
"181","Les Miserables","PG-13","Musical","Historical Fiction",158,2012,"Live Action",0,65,442.169052,148.80977,293.359282,155.478416
"182","The Bourne Ultimatum","PG-13","Thriller/Suspense","Contemporary Fiction",113,2007,"Live Action",1,130,442.161562,227.47107,214.690492,276.734431
"183","Men in Black 2","PG-13","Action","Science Fiction",86,2002,"Animation/Live Action",1,140,441.767803,190.418803,251.349,274.321067
"184","Mrs. Doubtfire","PG-13","Comedy","Contemporary Fiction",125,1993,"Live Action",0,25,440.783653,218.692701,222.090952,445.006593
"185","Terminator: Genisys","PG-13","Action","Science Fiction",126,2015,"Live Action",1,155,440.160956,89.760956,350.4,89.760956
"186","The Mummy Returns","PG-13","Adventure","Fantasy",129,2001,"Live Action",1,98,435.040395,202.00764,233.032755,298.728615
"187","Terminator 3: Rise of the Machines","R","Action","Science Fiction",109,2003,"Animation/Live Action",1,170,433.058296,150.358296,282.7,208.695044
"188","Die Another Day","PG-13","Action","Contemporary Fiction",133,2002,"Live Action",1,142,431.932247,160.932247,271,231.270809
"189","The Kings Speech","R","Drama","Dramatization",118,2010,"Live Action",0,15,430.821168,138.797449,292.023719,146.6214
"190","Pretty Woman","R","Romantic Comedy","Contemporary Fiction",119,1990,"Live Action",0,14,429.359276,175.119672,254.239604,347.334519
"191","The Matrix Revolutions","R","Action","Science Fiction",129,2003,"Live Action",1,150,427.289109,139.259759,288.02935,193.262019
"192","Cast Away","PG-13","Drama","Contemporary Fiction",143,2000,"Live Action",0,85,427.230516,233.632142,193.598374,353.617894
"193","Les Intouchables","R","Comedy","Contemporary Fiction",110,2011,"Live Action",0,0,426.480871,13.182281,413.29859,13.860795
"194","Django Unchained","R","Western","Historical Fiction",165,2011,"Live Action",0,100,425.373688,162.805434,262.568254,169.948297
"195","The Chronicles of Narnia: The Voyage of the Dawn Treader","PG","Adventure","Fantasy",115,2010,"Animation/Live Action",1,155,418.18695,104.38695,313.8,110.644051
"196","The Chronicles of Narnia: Prince Caspian","PG","Adventure","Fantasy",144,2008,"Animation/Live Action",1,225,417.341288,141.62149,275.719798,165.09358
"197","The Wolverine","PG-13","Action","Super Hero",126,2013,"Live Action",1,115,416.456852,132.556852,283.9,136.469962
"198","The Mummy","PG-13","Adventure","Fantasy",125,1999,"Live Action",0,80,416.247825,155.247825,261,255.79218
"199","Dances with Wolves","PG-13","Western","Historical Fiction",181,1990,"Live Action",0,19,415.285106,175.293948,239.991158,348.215988
"200","Sex and the City","R","Comedy","Contemporary Fiction",145,2008,"Live Action",0,57.5,415.247258,152.647258,262.6,177.946736
"201","Pacific Rim","PG-13","Action","Science Fiction",131,2013,"Live Action",0,190,411.002906,101.802906,309.2,104.808152
"202","Batman","PG-13","Action","Super Hero",121,1989,"Live Action",0,35,409.132777,248.972777,160.16,522.281237
"203","Signs","PG-13","Thriller/Suspense","Science Fiction",106,2002,"Live Action",0,70.702619,408.26569,227.96569,180.3,328.389216
"204","Rain Man","R","Comedy","Contemporary Fiction",133,1988,"Live Action",0,25,408.080878,168.106313,239.974565,350.043678
"205","X2","PG-13","Action","Super Hero",135,2003,"Live Action",1,125,407.711549,214.949694,192.761855,298.361741
"206","The Mummy: Tomb of the Dragon Emperor","PG-13","Adventure","Fantasy",111,2008,"Live Action",1,175,405.545959,102.27751,303.268449,119.478578
"207","Kingsman: The Secret Service","R","Action","Contemporary Fiction",129,2014,"Live Action",0,0,404.561724,128.261724,276.3,128.261724
"208","The Exorcist","R","Horror","Fantasy",121,1973,"Live Action",0,12,402.735134,204.868002,197.867132,968.782587
"209","Twilight","PG-13","Drama","Fantasy",121,2008,"Live Action",0,37,402.280159,192.769854,209.510305,223.930972
"210","Night at the Museum: Battle of the Smithsonian","PG","Comedy","Fantasy",105,2009,"Live Action",1,150,402.231063,177.243721,224.987342,197.803992
"211","Snow White and the Huntsman","PG-13","Adventure","Fantasy",127,2011,"Live Action",0,170,401.016924,155.136755,245.880169,163.127467
"212","The Bodyguard","R","Thriller/Suspense","Contemporary Fiction",129,1992,"Live Action",0,25,400.588566,111.634286,288.95428,225.265576
