"","ID","V","BV","Para","Uncert"
"60",53,3.56,1.22,0.0116,23
"61",53.01,15.37,-0.12,0.03,94
"62",54,4.23,0.58,0.1408,105
"63",54.01,16.05,1.98,0.0793,37
"64",55,5.18,0.42,0.0156,72
"65",56,5.51,-0.05,0.0101,127
"66",57,10.4,1.48,0.0505,69
"67",58,5.18,1,0.0259,161
"68",60,8.94,0.68,0.0111,93
"69",61,8.3,0.9,0.0473,113
"70",61.01,11.24,1.5,0.0628,40
"71",62,6.39,0.66,0.0419,35
"72",63,8.41,1.57,0.029,128
"73",64,9.84,0.84,0.0153,110
"74",64.1,11.88,1.48,0.0151,173
"75",64.11,14.27,1.59,0.061,41
"76",65.1,5.4,0,0.0153,111
"77",65.12,14.54,1.67,0.0528,44
"78",66,7.92,0.95,0.0491,125
"79",68,6.82,0.6,0.028,101
"80",69,2.8,0.62,0.1501,72
"81",70.01,10.56,1.47,0.059,46
"82",71,2.39,1.09,0.0384,77
"83",72,3.94,0.17,0.0712,137
"84",72.02,11.66,1.22,0.0221,38
"85",73,5.06,1.65,0.0155,111
"86",74,5.17,0.03,0.0106,72
"87",76,6.04,0.43,0.0329,111
"88",77,5.43,1.56,0.0142,149
"89",77.01,12.23,1.48,0.0754,51
"90",78,9.63,1.14,0.0279,150
"91",79,8.4,0.62,0.0049,133
"92",79.01,11.03,1.14,0.0283,120
"93",80,6.21,0.84,0.0227,174
"94",80.01,10.17,1.09,0.0331,82
"95",81.01,7.72,0.8,0.0067,10
"96",83,5.19,0.12,0.0163,149
"97",83.01,14.99,1.51,0.0203,39
"98",85,5.6,1.15,0.0079,141
"99",86,10.4,1.54,0.0998,25
"100",87,4.73,-0.1,0.0283,150
"101",87.01,12.75,1.64,0.0623,42
"102",88,4.77,0.02,0.0252,137
"103",89,8.52,0.83,0.0242,58
"104",90,4.37,-0.07,0.0272,73
"105",90.1,5.38,1.08,0.0333,98
"106",91,6.3,1,0.0051,159
"107",92,9.61,1.35,0.0332,70
"108",92.1,11,1.36,0.0316,83
"109",93,5.09,0.04,0.0478,114
"110",93.01,13.51,1.65,0.0507,31
"111",95,6.41,0.61,0.0389,106
"112",95.01,14.88,0.67,0.0055,42
"113",96,7.37,0.54,0.0438,150
"114",96.1,5.57,0.47,0.0491,161
"115",97,5.2,0.56,0.0615,45
"116",97,5.65,0.57,0.0615,45
"117",97.01,12.54,1.55,0.0621,91
"118",97.1,8.62,0.83,0.0369,101
"119",97.11,15.61,0.2,0.0304,40
"120",97.12,11.71,1.54,0.0439,98
"121",98,7.94,0.7,0.0268,74
"122",98,8.43,0.66,0.0268,74
"123",98.01,6.41,0.52,0.0218,111
"124",98.02,15.32,1.89,0.0636,45
"125",99,5.13,1.6,0.0079,65
"126",99.1,8.37,0.78,0.0774,150
"127",102,6.78,0.64,0.0376,150
"128",103,6.4,0.55,0.0272,107
"129",104,5.57,0.72,0.0748,84
"130",104,6.23,0.72,0.0748,84
"131",106,4.37,0.87,0.0339,75
"132",106.01,13.24,0.54,0.0134,144
"133",107,11.05,1.53,0.0801,39
"134",108,3.27,1.28,0.029,18
"135",109,7.3,0.63,0.0179,101
"136",110,5.87,0.85,0.0962,63
"137",112,10.57,1.16,0.0147,150
"138",113,5.36,1.16,0.0077,98
"139",114,2.23,1.17,0.0127,61
"140",115,6.69,0.51,0.0193,150
"141",116,7.36,0.94,0.0596,65
"142",117,6.14,0.7,0.0412,97
"143",118.01,14.02,1.55,0.0434,20
"144",118.02,5.33,0.89,0.0101,125
"145",119,6.97,0.65,0.038,71
"146",120,5.89,0.55,0.0567,106
"147",120.1,10.89,1.32,0.0301,150
"148",120.11,14.53,0.62,0.1012,104
"149",121,4.59,0.97,0.003,161
"150",122,10.25,0.36,0.0081,108
"151",123,7.6,0.52,0.0137,82
"152",125,10.52,1.5,0.0472,150
"153",127,4.94,0.18,0.0219,84
"154",129,7.19,0.75,0.0231,94
"155",130,8.73,1.13,0.0526,77
"156",131,5.39,0.5,0.0368,173
"157",131.01,14.53,1.58,0.0518,40
"158",132,10.86,1.03,0.0025,249
"159",133,9.25,0.67,0.0182,257
"160",133.01,10.93,1.34,0.0423,120
"161",134,2.04,1.02,0.0555,93
"162",135.02,12.84,1,0.0194,104
"163",137,4.36,0,0.031,101
"164",138,4.76,1.01,0.0213,186
"165",138.01,13.29,1,0.0095,46
"166",139,5.9,1.16,0.0082,161
"167",140,10.78,1.44,0.0564,163
"168",141,7.79,0.67,0.0398,163
"169",142,5.42,0.04,0.0113,98
"170",143,5.24,0.33,0.0463,137
"171",144,8.01,1,0.0432,150
"172",145,6.54,0.65,0.0541,117
"173",145.01,16.7,1.61,0.0147,40
"174",146,8.48,1.17,0.0803,106
"175",146.01,5.8,0.64,0.0481,186
"176",147,5.5,0.98,0.024,117
"177",147.01,12.31,1.19,0.0099,236
"178",148,5.38,1.65,0.0146,141
"179",149,8.64,0.64,0.0331,150
"180",150.01,15.78,1.63,0.0284,29
"181",151,4.06,1.12,0.0355,96
"182",152.2,6.54,0.5,0.0215,111
"183",152.21,12.56,1.25,0.0042,234
"184",152.22,12.13,0.43,0.0024,239
"185",153,7.85,0.54,0.0412,110
"186",154,7.74,0.51,0.0384,150
"187",155,3.44,0.57,0.1717,18
"188",156,5.75,0.88,0.1361,20
"189",156.02,10.7,0.58,0.0077,235
"190",157,7.76,0.9,0.0167,105
"191",157.01,12.14,0.7,0.0194,234
"192",158,4.43,1.5,0.0176,94
"193",159,5.07,0.51,0.0455,125
"194",160,12.38,0.55,0.2325,19
"195",162,7.16,0.78,0.0623,101
"196",164,6.3,0.36,0.0103,93
"197",164.01,11.74,0.87,0.0216,232
"198",165.01,10.04,0.61,0.0166,234
"199",165.02,14.87,1.5,0.0136,46
"200",166,5.19,0.5,0.0634,81
"201",167,5.07,1.37,0.0235,137
"202",169,10.67,1.39,0.0547,34
"203",169.01,9.6,0.89,0.0053,232
"204",169.02,11.63,0.53,0.007,238
"205",169.03,8.69,0.8,0.0082,99
"206",169.04,13.08,0.88,0.0064,237
"207",170,9.24,1.21,0.0474,68
"208",172,5.22,0.36,0.0035,149
"209",172.01,11.35,1.1,0.0017,235
"210",172.02,15.41,1.68,0.0206,86
"211",172.03,10.41,1.08,0.0292,235
"212",173,8.96,1.28,0.0692,78
"213",174,4.82,0.53,0.0644,150
"214",174.11,12.43,1.15,9e-04,272
"215",174.13,12.05,0.77,0.0252,234
"216",175.01,12.21,0.94,0.0243,236
"217",175.02,12.04,1.05,0.0106,235
"218",175.03,9.16,0.58,0.053,159
"219",175.03,9.73,0.55,0.053,159
"220",177,7.17,0.93,0.0818,106
"221",177.01,12.4,0.89,0.0309,234
"222",180,8.47,1.4,0.0133,62
"223",181,4.83,1.21,0.005,72
"224",181.02,12.23,0.9,0.019,233
"225",181.03,10.39,0.66,0.0425,180
"226",182.01,12.34,0.58,0.0147,236
"227",183,5.79,-0.02,0.0129,162
"228",183.1,7.38,0.65,0.0382,78
"229",183.11,12.74,1.03,0.0183,235
"230",183.12,12.19,0.6,0.0037,234
"231",184,9.1,1.03,0.0434,61
"232",184.01,11.89,1.48,0.0181,234
"233",185,2.47,-0.15,0.0148,89
"234",186,4.63,0.96,0.0354,67
"235",186.01,11.83,1.15,0.0064,234
"236",187,12.36,1.51,0.0616,150
"237",187.01,9.48,1.18,0.0279,233
"238",188,5.31,1.52,0.0056,91
"239",189,3.87,0.13,0.0338,79
"240",190,5.45,1.09,0.0338,186
"241",190.01,13.72,1.65,0.0564,41
"242",190.02,15.02,1.71,0.0333,38
"243",190.03,10.96,0.96,0.0195,235
"244",191,4.42,0.94,0.0061,73
"245",191.01,11.48,1.02,0.0059,232
"246",192,9.46,0.86,0.0698,150
"247",192.01,12.47,0.79,0.0099,233
"248",193,9.47,1.32,0.0592,97
"249",194,7.08,0.46,0.0304,78
"250",194,7.79,0.43,0.0304,78
"251",194.1,11.77,1.56,0.0769,142
"252",198,8.45,0.6,0.0402,120
"253",200,7.33,1.07,0.0508,151
"254",200.01,8.56,0.63,0.018,238
"255",200.02,9.87,0.5,0.0325,238
"256",201,10.83,1.57,0.0909,44
"257",202,10.06,1.47,0.1174,41
"258",202.01,9.95,1.11,0.0572,235
"259",202.02,10.11,0.76,0.0254,233
"260",202.03,12.79,0.89,0.0079,236
"261",203,7.67,0.75,0.0384,130
"262",204,9.56,1.5,0.1065,58
"263",204.1,5.59,1.18,0.0325,150
"264",204.11,9.75,0.33,0.0206,238
"265",205,13.66,1.68,0.0955,73
"266",205.1,10.56,1.19,0.0438,106
"267",205.11,11.84,1.23,0.0281,234
"268",205.2,10.97,1.43,0.0313,110
"269",206,8.2,1,0.0276,103
"270",206.1,6.9,0.65,0.0114,150
"271",207,6.45,0.25,0.01,162
"272",208,10.06,1.37,0.0195,150
"273",209,4.28,0.96,0.0261,65
"274",210,5.36,0.9,0.0228,127
"275",210.01,13.96,0.31,0.0469,38
"276",210.02,11.23,0.86,0.0148,232
"277",210.04,11.83,0.61,0.0294,239
"278",211,6.25,1.12,0.0099,107
"279",214,10.26,0.78,0.0124,110
"280",214.01,11.25,1.49,0.0177,234
"281",215,9.8,1.19,0.04,126
"282",215.03,14.47,1.87,0.0998,50
"283",215.1,6.83,1.59,0.0094,222
"284",216,7.71,0.61,0.0427,106
"285",216.01,14.81,1.88,0.0793,30
"286",216.02,8.67,1.16,0.0329,52
"287",217,8.98,1.3,0.0666,40
"288",217.01,12.41,0.88,0.0075,235
"289",217.02,10.95,1.13,0.0088,232
"290",217.03,11.4,0.86,0.0197,235
"291",217.05,11.37,1.47,0.0634,120
"292",218,7.57,0.5,0.0302,222
"293",219,5.17,0.69,0.1339,17
"294",220,3.31,0.89,0.02,161
"295",221,11.52,0.88,0.0071,40
"296",222,13.35,1.59,0.0451,32
"297",223,5.03,0.11,0.0299,98
"298",224,8.41,1.12,0.052,87
"299",225,8.85,0.94,0.0475,110
"300",226,6.46,0.86,0.0283,127
"301",227,5.52,0.34,0.0331,117
"302",228,5.21,0.16,0.0133,186
"303",229,7.68,0.72,0.0038,90
"304",231,10.56,1.28,0.045,150
"305",232,5.37,0.88,0.0316,161
"306",233,3.45,1.16,0.0333,32
"307",234,4.25,-0.07,9e-04,94
"308",235,5.29,-0.02,0.0155,98
"309",236,6.74,1.17,0.0026,150
"310",238,2.06,1.58,0.0477,79
"311",239,9.1,0.79,0.0397,150
"312",240.01,5.65,0.6,0.0303,96
"313",241,4.33,0.17,0.0087,64
"314",243,5.81,-0.1,0.0021,72
"315",244,4.66,1.03,0.0136,79
"316",245,4.51,1.09,0.0222,94
"317",246,9.8,1.56,0.1205,101
"318",246.01,12.89,1.62,0.0628,18
"319",248.01,12.05,1.86,0.2688,32
"320",249,7.93,1.53,0.0145,141
"321",250,4.65,1.04,0.0059,99
"322",250.01,14.76,1.81,0.0716,27
"323",251,5.24,0.32,0.0233,95
"324",253,5.13,0.46,0.0574,66
"325",254,5.7,0.42,0.0279,77
"326",254.01,15.5,1.5,0.0282,68
"327",255,8.47,0.56,0.042,150
"328",257,4.96,0.58,0.0648,110
"329",257.01,15.03,1.82,0.0481,45
"330",259,9.05,0.76,0.0475,150
"331",260.1,5.41,0.9,0.0163,111
"332",261,7.2,0.93,0.0275,110
"333",261,7.69,0.94,0.0275,110
"334",262,6.52,0.56,0.0374,97
"335",263,9.66,1.29,0.0409,120
"336",264,4.86,0.47,0.0533,98
"337",264,4.95,0.45,0.0533,98
"338",266,5.16,0.07,0.0123,61
"339",267,9.78,1,0.0571,67
"340",267.01,13.83,0.14,0.0649,30
"341",268.1,11.76,1.47,0.0458,92
"342",269,7.98,0.81,0.0473,84
"343",269.1,11.56,1.43,0.0456,150
"344",270,7.11,0.82,0.0417,95
"345",272,8.34,0.79,0.0288,150
"346",273,4.76,0.03,0.0166,111
"347",274,8.9,0.59,0.0255,51
"348",275,7.64,1.03,0.028,208
"349",275.01,11.34,1.32,0.0431,120
"350",276,10.36,1.34,0.0348,80
"351",277.02,10.64,1.14,0.0403,160
"352",277.03,12.17,0.75,3e-04,120
"353",278,8.5,0.92,0.0191,150
"354",279,4.88,1.08,0.0148,19
"355",281,6.96,0.62,0.037,96
"356",282,10.15,1.4,0.0633,150
"357",282.1,9.46,1.04,0.0249,150
"358",282.1,9.65,0.97,0.0249,150
"359",282.11,13.61,1.76,0.0694,40
"360",283,7.85,0.9,0.0384,69
"361",284.01,17.1,0.82,0.0321,55
"362",284.03,10.1,1.02,0.0204,120
"363",285,4.74,1.05,0.0126,101
"364",285.01,11.34,1.32,0.0152,120
"365",285.02,9.57,1.02,0.0312,120
"366",286,3.6,1.06,0.0355,26
"367",287,2.68,0.13,0.0343,55
"368",287.01,5.91,0.41,0.0293,60
"369",289,8.5,0.88,0.0552,145
"370",289.1,10.3,1.06,0.0114,97
"371",290,9.46,1.01,0.0269,106
"372",291,8.31,0.69,0.0236,150
"373",292.1,13.12,1.67,0.0315,178
"374",293,4.9,1.23,0.0058,137
"375",294,5.38,0.39,0.0368,72
"376",296,5.5,1.11,0.014,72
"377",297,6.41,1.24,0.022,149
"378",298,4.83,0.42,0.027,63
"379",298.2,7.93,0.74,0.024,86
"380",299,2.02,0.6,0.0033,40
"381",302,7.73,0.95,0.0468,48
"382",303,5.81,0.47,0.0378,125
"383",306,5.27,1,0.0146,84
"384",306.01,14.38,0.26,0.0284,31
"385",308,5.12,0.02,0.0266,161
"386",309,4.84,1.37,0.0158,74
"387",312.1,10.64,1.21,0.0179,150
"388",313,10.66,1.12,0.0164,150
"389",314,3.62,0.97,0.0139,55
"390",317,3.95,0.99,0.0294,149
"391",317.01,10.73,1.17,0.0353,150
"392",318,6.53,0.68,0.0469,71
"393",319,4.71,1,0.0192,73
"394",319.1,11.21,1.49,0.0292,109
"395",321,5.88,-0.07,0.0171,159
"396",322,6.97,0.76,0.07,98
"397",323,5.51,1.02,0.0062,149
"398",323.01,5.76,0.64,0.0165,103
"399",324,9.56,0.52,0.0388,139
"400",325,9.66,0.75,0.034,110
"401",326,6.9,0.53,0.0071,149
"402",326.01,10.99,1.3,0.0406,120
"403",327,8.93,1.69,0.0203,162
"404",328,7.09,0.94,0.0671,81
"405",328,7.78,0.92,0.0671,81
"406",329,5.28,0.96,0.0184,98
"407",331,4.09,0.54,0.0568,41
"408",332,7.17,0.7,0.0222,106
"409",332.01,14.16,0.17,0.0149,20
"410",333,6.01,0.38,0.0099,127
"411",334,11.19,1.39,0.0862,111
"412",335,3.57,1.28,0.0209,16
"413",336,8.13,0.84,0.0414,106
"414",336.02,10.74,1.14,0.078,120
"415",337,6.24,0.53,0.0252,98
"416",337.1,10.1,0.53,0.0141,106
"417",338.01,12.2,0.85,0.0087,120
"418",339,8.66,0.83,0.0232,92
"419",339.1,12.86,0.34,0.081,28
"420",341,4.98,0.89,0.0082,98
"421",341.01,16.31,1.84,0.0199,36
"422",343,7.72,0.74,0.0215,110
"423",343.1,12.52,1.85,0.3737,27
"424",343.1,12.56,1.88,0.3737,27
"425",344,0.46,-0.16,0.0341,137
"426",345,7.66,0.68,0.0424,87
"427",345.01,10.07,0.47,0.0774,306
"428",346,9.38,0.8,0.0338,150
"429",348,5.18,-0.04,0.004,133
"430",348.1,9.86,1.16,0.0654,150
"431",349,7.84,1.12,0.0325,137
"432",350,4.95,0.62,0.0742,44
"433",351,6.17,0.44,0.0259,101
"434",352,5.07,0.88,0.1507,68
"435",352,5.76,0.87,0.1507,68
"436",353,4.44,1.36,0.0093,20
"437",353.01,14.1,1.47,0.0283,29
"438",354,8.41,1.22,0.0737,38
"439",355,5.75,0.44,0.0333,71
"440",356,5.24,0.84,0.1326,23
"441",357,4.07,-0.04,0.0241,185
"442",358,7.48,0.6,0.031,86
"443",359,9.3,0.69,0.0529,150
"444",360.01,10.4,1.46,0.0316,98
"445",361,5.25,1.05,0.0032,170
"446",362,4.99,1.38,0.0082,117
"447",363,8.36,0.96,0.0231,150
"448",363.1,10.95,1.59,0.0856,51
"449",363.2,8.33,0.55,0.0094,97
"450",364,9.92,0.41,0.001,150
"451",364.01,11.44,1.43,0.0441,99
"452",365,3.5,0.72,0.2765,25
"453",365.01,6.27,0.75,0.0246,57
"454",365.02,14.8,0.19,0.0282,43
"455",366,8.12,0.64,0.0304,97
"456",367,14.08,1.72,0.061,37
"457",367.01,13.08,1.45,0.0206,39
"458",368,4.26,0.96,0.0216,77
"459",370,8.53,0.6,0.0184,150
"460",371,5.63,0.81,0.0997,19
"461",372,5.31,0.39,0.0353,149
"462",372,5.34,0.37,0.0353,149
"463",372.01,15.72,1.76,0.0271,45
"464",372.02,8.89,1.06,0.0342,85
"465",372.03,12.99,1.58,0.0701,142
"466",374,5.04,0.04,0.0216,127
"467",374.01,14.45,1.59,0.0329,46
"468",375,5.79,0.55,0.0382,89
"469",376,8.98,0.8,0.0548,150
"470",376.01,17.66,0.43,0.014,92
"471",377,9.45,0.54,0.0166,150
"472",378,7.13,0.65,0.0633,150
"473",380,5.86,0.74,0.0173,80
"474",382,4.67,0.33,0.0442,75
"475",385,6.37,0.52,0.0208,127
"476",386,3.73,1.14,0.0204,78
"477",386.2,11.8,1.5,0.0674,67
"478",387,8.95,0.68,0.0214,150
"479",388,3.38,-0.15,0.0088,74
"480",389,5.4,1.32,0.0058,159
"481",390,3.41,0.49,0.0535,101
"482",391,3.88,-0.04,0.0256,55
"483",391.1,7.43,0.64,0.0239,67
"484",392,8.92,1.41,0.0843,100
"485",393,4.62,0.94,0.0064,88
"486",394,2.64,0.13,0.0671,78
"487",395,4.41,1.59,0.0112,106
"488",396,6.01,0.56,0.0312,56
"489",397,9.31,0.53,0.0023,84
"490",398,11.45,1.33,0.0269,150
"491",399,9.28,0.65,0.0156,150
"492",400.01,14.99,1.61,0.0354,34
"493",402.02,14.85,1.44,0.0148,33
"494",405,3.7,0.85,0.0559,106
"495",406,6.41,0.82,0.0454,112
"496",407,4.79,0.28,0.0263,102
"497",410,4.83,0.88,0.0201,149
"498",411,6.1,0.48,0.0528,101
"499",411.1,8.6,1.16,0.0544,150
"500",412,4.54,0.16,0.0283,40
"501",412.01,11.03,1.54,0.0784,106
"502",412.02,12.26,1.82,0.2248,29
"503",412.04,7.5,1.6,0.0011,52
"504",412.05,3.98,-0.01,0.0351,141
"505",413,5.88,0.62,0.036,58
"506",413.1,5.38,0.31,0.0271,111
"507",414,4,1.57,0.0062,127
"508",415,5.57,1.06,0.0162,127
"509",415.1,2.86,0.28,0.0394,97
"510",415.2,11.57,0.73,0.0113,237
"511",416,5.22,0.95,0.0211,107
"512",417,7.36,0.66,0.0376,97
"513",418,5.35,0.88,0.0151,117
"514",419.1,10.62,1.19,0.0422,139
"515",420,4.18,0.03,0.004,173
"516",420.01,15.61,2.02,0.112,32
"517",421,5.5,0.03,0.0088,72
"518",422,12.24,1.45,0.0337,42
"519",424,2.26,1.37,0.0083,52
"520",425,5.63,0.54,0.0241,154
"521",425.01,11.21,1.46,0.0339,226
"522",427,9.53,0.91,0.0199,178
"523",428,8.7,0.72,0.02,150
"524",430,7.31,0.69,0.0493,150
"525",431,10.19,1.51,0.1138,85
"526",431.01,17.36,-0.06,0.0099,44
"527",432,6.55,0.53,0.0224,120
"528",433,10.28,1.49,0.0535,52
"529",433.1,11.39,1.4,0.0518,134
"530",434,8.55,0.88,0.0154,57
"531",436,2,1.15,0.0508,22
"532",437.01,11.6,0.8,0.0035,51
"533",437.1,4.82,0.12,0.0043,111
"534",438,6.91,0.61,0.0396,86
"535",438.01,13.23,-0.04,0.03,25
"536",439,3,0.14,0.0173,82
"537",440,13.74,1.48,0.045,228
"538",440.11,11.82,1.54,0.0556,119
"539",441,11.55,1.5,0.0646,178
"540",442.01,15.11,1.7,0.0321,33
"541",442.02,14.51,0.31,0.0598,35
"542",443,7.02,0.62,0.0207,98
"543",444,5.63,0.56,0.0337,98
"544",444.01,7.06,1.02,0.0177,150
"545",445,6.12,0.82,0.0898,106
"546",447,4.94,0.78,0.0023,98
"547",449,5.31,0.93,0.0105,42
"548",450,10.03,1.43,0.0957,25
"549",452,7.09,0.9,0.0445,78
"550",452.01,12.74,1.17,0.0538,101
"551",453,6.06,0.4,0.0254,53
"552",455,4.37,0.89,0.0208,119
"553",456,5.54,0.57,0.039,61
"554",456,5.67,0.56,0.039,61
"555",456.1,11.09,1.47,0.0457,110
"556",457,13.16,1.07,0.0067,38
"557",458,5.28,-0.02,0.063,161
"558",458.01,12.49,0.9,0.0386,120
"559",459,8.29,0.66,0.0228,109
"560",459.1,10.32,1.5,0.1084,150
"561",459.11,14.39,1.62,0.0488,34
"562",460,9.09,0.57,0.0163,94
"563",461,6.81,0.69,0.0383,150
"564",462,13.12,0.54,0.0144,54
"565",462.1,9,1.08,0.0306,49
"566",462.1,9.71,1.09,0.0306,49
"567",463,9.72,1.29,0.0269,150
"568",463.01,16.19,0.72,0.0502,41
"569",464,4.87,0.61,0.0965,37
"570",464.01,15.79,1.98,0.1177,40
"571",466,8.27,0.92,0.047,109
"572",468,4.01,0.02,0.0378,150
"573",469,9.04,0.62,1e-04,150
"574",470,13.49,1.53,0.0444,248
"575",471,5.55,1.55,0.0112,149
"576",472,5.3,-0.01,0.0138,72
"577",473,5.58,0.6,0.0359,87
"578",474,12.55,1.47,0.0564,81
"579",474.1,8.4,0.57,0.0074,97
"580",475,8.9,0.86,0.0367,65
"581",475.1,11.46,1.39,0.0732,150
"582",477,3.04,1.42,0.023,55
"583",478,9.34,1.46,0.0276,241
"584",479,6.34,0.73,0.0852,90
"585",479.01,14.05,1.68,0.0462,36
"586",479.1,8.11,0.75,0.0267,150
"587",480,8.15,0.96,0.0311,150
"588",481,9.41,1.49,0.0869,32
"589",483,9.28,0.65,0.0169,92
"590",484,8.81,0.93,0.0423,97
"591",485,8.87,0.91,0.0286,150
"592",488,5.2,0.6,0.0813,113
"593",489.12,10.39,1.21,0.0302,150
"594",490,4.71,1.53,0.0083,87
"595",491.01,9.07,0.96,0.0311,114
"596",492,4.09,0.03,0.0481,173
"597",492.02,8.29,0.29,0.037,160
"598",492.1,7.95,0.81,0.044,199
"599",493,4.52,0.12,0.0225,110
"600",494,4.89,-0.03,0.0279,137
"601",495,5.83,0.15,0.0141,127
"602",497.01,10.1,1.22,0.0203,85
"603",498,6.49,0.46,0.0253,117
"604",499,5.35,0.39,0.022,173
"605",500,8.73,1.4,0.0622,41
"606",500,9.38,1.39,0.0622,41
"607",500.01,9.59,1.37,0.0368,55
"608",500.01,10.2,1.36,0.0368,55
"609",501,4.28,-0.06,0.0276,109
"610",501.01,5.89,0.58,0.0296,52
"611",501.02,17.54,1.83,0.0433,52
"612",503,5.14,0.1,0.0137,161
"613",504,13.21,1.52,0.0526,23
"614",504.1,8.78,1.18,0.0433,97
"615",504.1,8.86,1.18,0.0433,97
"616",506,6.55,1.23,0.0074,84
"617",506.01,12.91,-0.07,0.0193,134
"618",507,7.32,1.06,0.0125,150
"619",508,5.25,1.27,0.0399,173
"620",509,10.43,0.47,0.0181,97
"621",512,4.75,0.45,0.0325,106
"622",512.1,11.27,1.03,0.064,150
"623",513,7.63,0.67,0.023,249
"624",513.01,15.76,0.75,0.064,39
"625",514,12.96,1.7,0.1024,27
"626",515,5.16,0.88,0.0111,72
"627",515.01,14.9,1.68,0.0273,41
"628",516,9.87,0.88,0.0163,110
"629",518,5.35,1.66,0.015,141
"630",518.02,12.42,-0.2,0.0131,25
"631",518.03,10.65,1.51,0.0686,67
"632",519,6.83,0.66,0.0409,106
"633",520,5.82,0.98,0.1357,18
"634",520,5.82,0.97,0.1357,18
"635",521,4.86,0.87,9e-04,81
"636",522,8.8,1.38,0.086,106
"637",524,5.3,1.55,0.0071,141
"638",525,6.5,0.41,0.019,42
"639",526,5.68,0.49,0.0328,73
"640",526.1,8.1,0.95,0.0397,117
"641",527,11.98,0.55,0.0426,150
"642",527.01,15.16,1.67,0.0402,43
"643",528,7.37,0.59,0.0441,105
"644",529,5.79,0.66,0.054,97
"645",529.1,5.43,0.16,0.012,72
"646",530,5.78,1.3,0.012,133
"647",530.01,6.21,1,0.0166,100
"648",531.01,15.04,1.5,0.0153,60
"649",534,5.31,0.27,0.024,161
"650",534.01,7.23,0.95,0.0183,150
"651",536,4.07,-0.22,4e-04,101
"652",536.01,11.86,1.42,0.0225,21
"653",536.1,7.84,0.65,0.0154,49
"654",537,4.84,0.45,0.0618,63
"655",537,5.58,0.44,0.0618,63
"656",538,8.76,0.59,0.0475,150
"657",539.02,9.49,1.21,0.041,90
"658",540,8.29,0.71,0.0266,101
"659",541,4.91,0.59,0.0418,67
"660",542,4.75,0.06,0.0271,127
"661",543,5.71,0.52,0.0349,58
"662",543,5.71,0.52,0.0349,58
"663",544,9.81,0.97,0.0328,68
"664",545,8.02,0.56,0.0419,109
"665",547,4.11,1.02,0.0329,74
"666",548,10.16,1.36,0.0415,49
"667",549,4.12,0.49,0.0796,57
"668",550,5.21,0.4,0.0297,127
"669",551,8.28,1.07,0.0546,150
"670",552,8.55,0.64,0.0321,150
"671",552.01,14.1,1.32,0.0128,49
"672",554,3.47,0.09,0.0474,49
"673",555,10.57,1.56,0.1273,42
"674",556,11.92,1.46,0.0519,78
"675",556.01,11.17,1.38,0.0191,150
"676",557,5.41,0.56,0.0686,76
"677",557.1,5.18,0.24,0.0264,84
"678",558,4.27,0.31,0.0454,86
