"","Rank","Institution","UniGroup","HesaCode","AvTeachScore","NSSTeaching","NSSOverall","SpendPerStudent","StudentStaffRatio","CareerProspects","ValueAddScore","EntryTariff","NSSFeedback"
"31",31,"University of the Arts London","",24,67.2,77,69,8.9,17.4,53,6.2,302,67
"32",32,"King's College London","Russell",134,67.2,88,84,6.9,11.7,76,5.9,456,60
"33",33,"Newcastle","Russell",154,67.1,89,89,5.9,15.3,73,5.3,425,66
"34",34,"Strathclyde","",169,66.4,86,87,5.9,17.9,67,6.4,435,61
"35",35,"Robert Gordon","",104,66.2,85,86,5.1,19.1,75,4.5,332,69
"36",36,"Queen Mary","Russell",139,64.9,86,88,7,13.1,68,4.7,394,68
"37",37,"Leeds","Russell",124,64.1,88,86,5.6,15.7,70,5.9,412,65
"38",38,"Aberdeen","",170,64,88,88,5.6,16.2,69,6.6,397,66
"39",39,"Royal Holloway","1994 Group",141,63.8,88,87,5,15.6,61,5.6,394,65
"40",40,"Cardiff","Russell",179,63.3,87,86,6.2,14.4,74,4.9,431,60
"41",41,"Manchester","Russell",204,63.1,84,79,8.2,15.2,67,5.2,421,59
"42",42,"Sheffield","Russell",159,63,89,90,5,15.4,68,5.2,444,65
"43",43,"Dundee","",172,62.9,86,86,6,14.2,65,6.4,370,65
"44",44,"Brunel","",113,62.5,83,85,6.1,18,57,5.7,342,72
"45",45,"Liverpool","Russell",126,61.8,86,86,7.2,13,68,6,408,61
"46",46,"Coventry","Million+",56,61.6,87,85,3.4,15.4,63,7.1,285,73
"47",47,"Lincoln","University Alliance",62,59.7,83,82,4.1,18.8,66,4.7,315,70
"48",48,"Huddersfield","University Alliance",61,59.6,85,85,4.6,17.9,64,5,297,76
"49",49,"Oxford Brookes","University Alliance",72,59.6,85,82,5.5,16.7,60,7.1,323,66
"50",50,"Essex","1994 Group",118,59,86,88,6.8,15.9,50,4.6,324,68
"51",51,"Keele","",121,59,91,90,3.8,16,67,6,335,69
"52",52,"Chester","",11,58.9,86,84,4.1,16.6,63,5.6,282,72
"53",53,"Queen's, Belfast","Russell",184,57.9,86,83,5.2,15.3,67,6.2,384,62
"54",54,"UWE Bristol","University Alliance",81,57.2,85,83,3.8,20.8,62,6.7,298,67
"55",55,"Bournemouth","University Alliance",50,56.3,76,70,6.9,20.4,62,7.3,325,60
"56",56,"Northumbria","University Alliance",69,56.3,82,83,5.4,18.2,60,5.1,315,68
"57",57,"UC Falmouth","Guild HE",17,55.6,81,75,6.5,23.1,50,5.5,264,70
"58",58,"Sunderland","Million+",78,55.6,84,82,7,16.9,47,4.8,274,73
"59",59,"Gloucestershire","Million+",54,54.9,85,83,4.6,21.4,50,7.6,286,71
"60",60,"Birmingham City","Million+",52,54.7,83,80,5.7,21.1,60,7,280,71
"61",61,"Chichester","",82,54.5,88,87,3.2,18.4,50,4.9,290,70
"62",62,"Plymouth","University Alliance",73,54.5,83,80,6.6,16.6,59,5.8,300,63
"63",63,"Bangor","",178,54.4,88,86,5.5,19.1,55,4.5,293,71
"64",64,"Brighton","",51,54.3,84,83,4.6,18.6,49,6,289,67
"65",65,"Goldsmiths","1994 Group",131,54,86,83,3.4,17.7,48,6.3,341,67
"66",66,"Cardiff Met","University Alliance",89,53.8,82,82,4.6,19.9,48,4.8,271,71
"67",67,"Stirling","",174,53.7,88,88,4.5,20.5,56,4.9,332,70
"68",68,"West London","Million+",80,53.4,78,76,7,21,49,4,229,67
"69",69,"Hull","",120,52.9,89,89,4.7,19.9,63,3.5,325,69
"70",70,"Derby","Million+",57,52.3,85,81,4.7,18.1,48,4.7,273,71
"71",71,"Bath Spa","Million+",48,51.4,88,84,3.8,21.6,51,6.2,301,71
"72",72,"Central Lancashire","",53,51.4,82,82,5.8,18.5,52,4,295,70
"73",73,"Edinburgh Napier","Million+",107,51.1,83,83,3.7,23.6,62,7.5,290,66
"74",74,"Queen Margaret","",100,51.1,86,78,2.5,20.6,54,7.1,328,59
"75",75,"Edge Hill","",16,50.8,86,84,2.9,18.5,57,4.7,262,75
"76",76,"Hertfordshire","University Alliance",60,50.6,82,83,4,19.8,56,7.7,295,66
"77",77,"Anglia Ruskin","Million+",47,50.2,81,76,8,19.1,50,4.8,241,70
"78",78,"Portsmouth","University Alliance",74,49.8,85,85,4.9,19.8,59,3.9,287,67
"79",79,"Teesside","University Alliance",79,49.8,84,82,5.4,19.5,53,4.7,288,74
"80",80,"Nottingham Trent","University Alliance",71,49.5,78,79,4.9,19.5,56,4.3,301,62
"81",81,"Aberystwyth","University Alliance",177,49,89,89,4.4,19.1,47,3.9,305,70
"82",82,"Glamorgan","University Alliance",90,49,82,81,4.5,20.5,49,6,286,68
"83",83,"Sheffield Hallam","University Alliance",75,48.7,80,79,3.9,19.6,54,7.2,302,64
"84",84,"Salford","Million+",27,48.5,82,79,4,16.2,53,4.7,283,64
"85",85,"De Montfort","University Alliance",68,48.4,83,84,3.5,18.1,52,4.3,284,70
"86",86,"Northampton","University Alliance",158,48.2,84,80,5.2,20.6,47,6.9,239,70
"87",87,"Winchester","Guild HE",21,48,86,81,2.7,18.5,47,5.8,285,67
"88",88,"Greenwich","Million+",59,47.8,86,84,4.5,22.1,51,NA,252,72
"89",89,"Swansea","",180,47.8,82,82,4.2,16.4,61,4.9,342,61
"90",90,"Ulster","",185,47.8,80,82,4.1,16.5,45,6.3,282,62
"91",91,"Bradford","University Alliance",111,46.5,82,83,5.2,17.6,64,3.2,277,66
"92",92,"Glasgow Caledonian","University Alliance",106,46.5,82,82,3.5,20.9,51,6.6,332,61
"93",93,"Westminster","",83,46.2,75,74,4.2,18.4,53,6.4,290,61
"94",94,"Middlesex","Million+",67,46.1,80,79,7.5,21.9,48,5.5,219,69
"95",95,"Kingston","Million+",63,45.8,81,79,4.5,19.8,53,6.8,278,61
"96",96,"Staffordshire","Million+",77,45.1,83,80,6,21.6,55,4,246,68
"97",97,"St Mary's UC, Twickenham","Guild HE",39,44.2,89,87,2.4,23.3,57,4.2,264,69
"98",98,"Liverpool John Moores","University Alliance",65,43.8,80,80,4.3,21,48,5.6,293,66
"99",99,"Worcester","Million+",13,43.8,85,84,4.2,21.5,52,5.1,282,71
"100",100,"York St John","Guild HE",46,43.8,87,84,5.4,21.4,50,3.7,281,71
"101",101,"Newman University College","Guild HE",28,43.4,87,81,3.6,18,59,3.1,239,72
"102",102,"Cumbria","Guild HE",38,43,82,75,4.1,17.2,59,5,263,65
"103",103,"Bedfordshire","Million+",26,42.9,84,79,5.9,19.4,53,5,207,70
"104",104,"London South Bank","Million+",76,41.8,80,77,4.5,22.4,56,5.5,215,62
"105",105,"Canterbury Christ Church","",12,40.9,84,82,3.3,17.6,59,5.2,255,67
"106",106,"Glyndwr","",87,40.4,85,79,3.3,21,61,4.5,211,74
"107",107,"West of Scotland","Million+",105,39.6,83,82,3.6,22.2,56,3.7,272,65
"108",108,"Manchester Met","Million+",66,39.4,78,75,3,19.1,52,4.8,291,63
"109",109,"Roehampton","Million+",31,39.1,83,79,2.8,20.8,57,4.2,258,65
"110",110,"Trinity Saint David","",176,38.9,84,81,4.3,18.8,43,2.4,246,66
"111",111,"Newport","University Alliance",86,38.8,81,76,4.1,24.8,46,3,259,72
"112",112,"Leeds Met","Million+",64,37.1,79,77,3.3,19.5,49,4.1,262,63
"113",113,"Leeds Trinity University College","Guild HE",40,36.8,85,83,2,23.9,62,1.9,264,73
"114",114,"UC Suffolk","",210,36.2,81,74,NA,19,48,2.2,263,69
"115",115,"East London","Million+",58,34.7,82,81,3.3,23.7,45,3.8,195,69
"116",116,"Bucks New University","Million+",9,32.4,79,74,3.9,23.3,47,3.3,230,70
"117",117,"Southampton Solent","Million+",37,31.2,76,72,3.4,21.2,40,2.4,265,62
"118",118,"London Met","Million+",202,30.5,76,73,2.9,19.2,42,6,224,58
"119",119,"Abertay Dundee","Million+",95,30.2,NA,NA,2.1,25.2,47,4.9,277,NA
"120",120,"Bolton","Million+",49,28.9,81,79,3.1,19.6,34,3.1,231,67
