"","Rank","Bib","FIS.Code","Name","Year","Nation","Speed","Sex","Event","no.of.runs"
"29",29,89,7153,"CANTALUPO Jerome",1979,"FRA",190.72,"Male","Speed One",3
"30",30,71,7156,"NUYANZIN Pavel",1962,"RUS",190.45,"Male","Speed One",3
"31",31,96,290009,"RENALDO Antonio",1961,"ITA",190.12,"Male","Speed One",3
"32",32,72,7227,"ABRAHAMSSON Mats",1968,"SWE",189.73,"Male","Speed One",3
"33",33,68,7135,"MUNROE Neil",1971,"CAN",189.56,"Male","Speed One",3
"34",34,43,50018,"HOCHRAINER Martin",1975,"AUT",178.44,"Male","Speed Downhill",3
"35",35,17,7110,"SAGE Mathieu",1973,"FRA",178.43,"Male","Speed Downhill",3
"36",36,41,7322,"FALLMANN Herbert",1972,"AUT",177.61,"Male","Speed Downhill",3
"37",37,29,7255,"PRUELLER Christoph",1983,"AUT",176.24,"Male","Speed Downhill",3
"38",38,18,220014,"PONCIN Marc",1966,"GBR",176.01,"Male","Speed Downhill",3
"39",39,32,7181,"HORN Tom",1984,"GBR",174.65,"Male","Speed Downhill",3
"40",40,21,7043,"MONTES Jimmy",1987,"FRA",174.17,"Male","Speed Downhill",3
"41",41,9,7278,"BACKLUND Erik",1993,"SWE",172.7,"Male","Speed Downhill Junior",3
"42",42,13,7171,"QUEYRAS Charles Edouard",1992,"FRA",171.84,"Male","Speed Downhill Junior",3
"43",43,15,7118,"KIPFER Julien",1991,"SUI",170.35,"Male","Speed Downhill Junior",3
"44",44,7,7294,"PORTAL Robin",1995,"FRA",168.01,"Male","Speed Downhill Junior",3
"45",45,14,7231,"SAMUELSSON Robert",1993,"SWE",167.93,"Male","Speed Downhill Junior",3
"46",46,300,7325,"BJOERNNES Magnus",1993,"NOR",166.71,"Male","Speed Downhill Junior",3
"47",47,11,7243,"MABIT Emmeric",1993,"FRA",166.67,"Male","Speed Downhill Junior",3
"48",48,10,7228,"FERNQVIST Olof",1992,"SWE",166.27,"Male","Speed Downhill Junior",3
"49",49,8,7205,"DEGAND Terix",1993,"FRA",165.98,"Male","Speed Downhill Junior",3
"50",50,12,7229,"FERNQVIST Karl",1992,"SWE",165.5,"Male","Speed Downhill Junior",3
"51",51,45,7323,"TOURNIER Kilian",1994,"SUI",164.47,"Male","Speed Downhill Junior",3
"52",52,95,100004,"EARLE Adam",1967,"CAN",184.55,"Male","Speed One",2
"53",53,77,7235,"RINGNES Eilif-K.",1972,"NOR",183.91,"Male","Speed One",2
"54",54,85,7065,"PRIHODA Michal",1968,"CZE",183.82,"Male","Speed One",2
"55",55,74,290058,"ANDERLINI Andrea",1968,"ITA",183.74,"Male","Speed One",2
"56",56,78,7119,"KIPFER Jean-Marc",1964,"SUI",183.56,"Male","Speed One",2
"57",57,70,7117,"AESCHBACH Mike",1973,"SUI",183.13,"Male","Speed One",2
"58",58,79,50030,"SCHMID Stephan",1968,"AUT",182.15,"Male","Speed One",2
"59",59,82,7234,"SULTAN Denis",1967,"FRA",181.69,"Male","Speed One",2
"60",60,83,7191,"ROUGET Sebastien",1969,"BEL",181.2,"Male","Speed One",2
"61",61,76,50025,"NUSSBAUMER Andreas",1969,"AUT",181.08,"Male","Speed One",2
"62",62,87,7251,"MANNI Luigi",1971,"ITA",179.84,"Male","Speed One",2
"63",63,98,7324,"RICHARD Steve",1970,"SUI",174.24,"Male","Speed Downhill",2
"64",64,94,510033,"GYGAX Eric",1953,"SUI",174.14,"Male","Speed One",2
"65",65,42,7315,"STANGL Josef",1962,"AUT",172.85,"Male","Speed Downhill",2
"66",66,30,7245,"HEDLEY Benja",1977,"GBR",172.83,"Male","Speed Downhill",2
"67",67,36,7281,"GREEN Yannick",1986,"GBR",172.45,"Male","Speed Downhill",2
"68",68,22,7240,"BARTOS Zdenek",1965,"CZE",172.44,"Male","Speed Downhill",2
"69",69,20,7077,"DELANSAY Pierre-Andre",1967,"FRA",172.15,"Male","Speed Downhill",2
"70",70,35,7253,"BARBIER Pierre",1978,"FRA",171.71,"Male","Speed Downhill",2
"71",71,31,7105,"TOROK Vaclav",1973,"CZE",171.65,"Male","Speed Downhill",2
"72",72,38,190132,"DUREY Laurent",1969,"FRA",170.75,"Male","Speed Downhill",2
"73",73,88,7206,"JECHOUX Tommy",1993,"FRA",170.3,"Male","Speed One",2
"74",74,33,7295,"FARRELL Jan",1983,"GBR",169,"Male","Speed Downhill",2
"75",75,34,7302,"CALILLI Vittorio",1953,"ITA",168.86,"Male","Speed Downhill",2
"76",76,40,7174,"POUEYTO Alain",1961,"FRA",165.42,"Male","Speed Downhill",2
"77",77,46,7285,"BERTUIN Stephane",1970,"FRA",164.32,"Male","Speed Downhill",2
"78",78,91,190092,"DEGAND Serge",1957,"FRA",177.47,"Male","Speed One",1
"79",79,44,190133,"HAMEL Francois",1952,"FRA",167.85,"Male","Speed Downhill",1
"80",1,48,195019,"DUBOUCHET REVOL Karine",1971,"FRA",204.05,"Female","Speed One",4
"81",2,50,505005,"BAGINSKI Linda",1982,"SWE",203.13,"Female","Speed One",4
"82",3,47,7054,"TIDSTRAND Sanna",1985,"SWE",202.7,"Female","Speed One",4
"83",4,52,7096,"ROMANO Jennifer",1990,"FRA",201.51,"Female","Speed One",4
"84",5,53,535012,"SACHS Tracie",1972,"USA",200.48,"Female","Speed One",4
"85",6,49,7122,"HOVLAND-UDEN Lisa",1990,"SWE",199.35,"Female","Speed One",4
"86",7,54,295004,"BANFO Elena",1976,"ITA",197.34,"Female","Speed One",4
"87",8,2,7275,"NIEMI Sara",1991,"SWE",167.94,"Female","Speed Downhill Junior",3
"88",9,3,7293,"MARTINEZ Clea",1995,"FRA",166.52,"Female","Speed Downhill Junior",3
"89",10,5,7317,"ESTEBAN ORAIN Lou",1995,"FRA",162.37,"Female","Speed Downhill Junior",3
"90",11,1,7167,"MARTINEZ Celia",1991,"FRA",161.82,"Female","Speed Downhill Junior",3
"91",12,4,7260,"MATSLOFVA Hanna",1994,"SWE",160.22,"Female","Speed Downhill Junior",3
