"","Sample","GlobClus","K"
"128","M31","029-090",13.43
"129","M31","030-091",13.488
"130","M31","031-092",14.677
"131","M31","456-D04",15.277
"132","M31","032-093",14.099
"133","M31","DAO046",16.029
"134","M31","342-094",16.942
"135","M31","033-095",15.405
"136","M31","034-096",12.61
"137","M31","DAO047",15.947
"138","M31","035-000",14.615
"139","M31","036-000",14.538
"140","M31","037-000",11.153
"141","M31","038-098",13.836
"142","M31","039-101",12.591
"143","M31","040-102",15.721
"144","M31","041-103",15.944
"145","M31","042-104",12.267
"146","M31","043-106",14.949
"147","M31","044-107",13.602
"148","M31","045-108",13.115
"149","M31","458-D04",15.664
"150","M31","048-110",13.502
"151","M31","047-111",15.372
"152","M31","049-112",15.168
"153","M31","050-113",14.033
"154","M31","053-000",15.976
"155","M31","055-116",13.062
"156","M31","056-117",13.742
"157","M31","057-118",15.475
"158","M31","058-119",12.468
"159","M31","059-120",14.175
"160","M31","060-121",14.504
"161","M31","061-122",13.217
"162","M31","062-123",14.165
"163","M31","063-124",12.17
"164","M31","065-126",14.638
"165","M31","066-128",16.058
"166","M31","344-127",13.554
"167","M31","067-129",15.368
"168","M31","069-132",16.764
"169","M31","070-133",14.54
"170","M31","071-000",14.937
"171","M31","072-000",13.318
"172","M31","074-135",14.428
"173","M31","075-136",15.017
"174","M31","DAO053",15.512
"175","M31","076-138",14.598
"176","M31","DAO054",15.404
"177","M31","077-139",14.335
"178","M31","079-000",13.815
"179","M31","078-140",14.078
"180","M31","080-141",14.014
"181","M31","081-142",14.077
"182","M31","345-143",14.49
"183","M31","082-144",11.533
"184","M31","083-146",15.041
"185","M31","084-000",14.84
"186","M31","085-147",14.678
"187","M31","086-148",13.026
"188","M31","346-149",13.898
"189","M31","088-150",12.47
"190","M31","090-000",15.361
"191","M31","089-000",17.166
"192","M31","091-151",15.677
"193","M31","348-153",14.162
"194","M31","347-154",14.5
"195","M31","093-155",13.916
"196","M31","095-157",13.238
"197","M31","096-158",12.953
"198","M31","NB23",14.071
"199","M31","NB83",14.776
"200","M31","098-000",13.574
"201","M31","097-159",14.013
"202","M31","463-160",14.764
"203","M31","099-161",14.402
"204","M31","350-162",14.609
"205","M31","100-163",15.163
"206","M31","101-164",14.253
"207","M31","NB65",13.847
"208","M31","102-000",14.859
"209","M31","104-000",15.548
"210","M31","106-168",13.357
"211","M31","107-169",14.64
"212","M31","108-167",14.315
"213","M31","NB81",14.253
"214","M31","NB61",14.024
"215","M31","109-170",13.139
"216","M31","110-172",12.389
"217","M31","NB16",15.156
"218","M31","260-000",14.009
"219","M31","112-174",12.896
"220","M31","111-173",14.529
"221","M31","NB67",14.572
"222","M31","114-175",14.011
"223","M31","117-176",14.295
"224","M31","115-177",12.595
"225","M31","NB17",15.328
"226","M31","116-178",12.753
"227","M31","NB29",13.891
"228","M31","118-000",13.627
"229","M31","119-000",14.453
"230","M31","NB68",13.565
"231","M31","NB21",14.359
"232","M31","NB74",12.699
"233","M31","NB25",13.486
"234","M31","NB91",13.775
"235","M31","122-181",13.799
"236","M31","123-182",14.657
"237","M31","125-183",14.53
"238","M31","DAO055",16.608
"239","M31","126-184",14.543
"240","M31","127-185",11.616
"241","M31","353-CFA",11.495
"242","M31","128-187",14.025
"243","M31","129-000",12.408
"244","M31","130-188",13.966
"245","M31","131-189",12.511
"246","M31","134-190",13.949
"247","M31","135-192",13.293
"248","M31","355-193",16.041
"249","M31","136-194",14.648
"250","M31","137-195",14.542
"251","M31","138-000",13.694
"252","M31","141-197",14.211
"253","M31","143-198",12.869
"254","M31","465-D05",15.521
"255","M31","145-000",15.664
"256","M31","146-000",14.227
"257","M31","148-200",13.338
"258","M31","149-201",14.162
"259","M31","268-000",15.087
"260","M31","150-203",13.546
"261","M31","152-207",13.339
"262","M31","356-206",14.444
"263","M31","153-000",15.586
"264","M31","154-208",13.865
"265","M31","357-209",13.884
"266","M31","155-210",14.747
"267","M31","156-211",14.583
"268","M31","157-212",15.062
"269","M31","158-213",11.843
"270","M31","159-000",14.395
"271","M31","161-215",13.808
"272","M31","162-216",14.474
"273","M31","163-217",11.872
"274","M31","164-B25",14.528
"275","M31","165-218",14.45
"276","M31","166-000",15.052
"277","M31","167-000",14.308
"278","M31","168-000",13.785
"279","M31","169-000",14.066
"280","M31","170-221",14.707
"281","M31","DAO060",12.963
"282","M31","171-222",12.141
"283","M31","172-223",13.883
"284","M31","DAO062",13.045
"285","M31","173-224",14.83
"286","M31","174-226",12.817
"287","M31","176-227",14.782
"288","M31","177-228",15.705
"289","M31","178-229",12.858
"290","M31","181-232",14.091
"291","M31","184-236",14.115
"292","M31","187-237",14.617
"293","M31","188-239",14.917
"294","M31","189-240",13.947
"295","M31","190-241",14.531
"296","M31","194-243",14.966
"297","M31","193-244",12.337
"298","M31","196-246",14.824
"299","M31","195-000",16.235
"300","M31","472-D06",15.973
"301","M31","199-248",15.406
"302","M31","197-247",14.476
"303","M31","198-249",15.474
"304","M31","200-000",15.701
"305","M31","202-251",15.308
"306","M31","203-252",14.178
"307","M31","361-255",14.997
"308","M31","205-256",12.859
"309","M31","206-257",12.626
"310","M31","207-258",15.141
"311","M31","208-259",15.051
"312","M31","209-261",14.236
"313","M31","210-000",15.596
"314","M31","211-262",16.032
"315","M31","214-265",15.163
"316","M31","215-266",14.354
"317","M31","216-267",15.341
"318","M31","217-269",13.891
"319","M31","218-272",12.053
"320","M31","219-271",13.746
"321","M31","363-274",15.988
"322","M31","220-275",14.56
"323","M31","221-276",14.252
"324","M31","222-277",14.745
"325","M31","223-278",16.042
"326","M31","473-000",15.436
"327","M31","279-D06",14.68
"328","M31","225-280",11.175
"329","M31","226-000",14.697
"330","M31","227-000",14.276
"331","M31","228-281",14.026
"332","M31","229-282",15.163
"333","M31","DAO069",15.733
"334","M31","230-283",14.043
"335","M31","231-285",14.917
"336","M31","233-287",15.798
"337","M31","234-290",14.135
"338","M31","283-296",15.296
"339","M31","475-H12",15.086
"340","M31","235-297",13.476
"341","M31","476-000",15.82
"342","M31","477-000",17.074
"343","M31","236-298",15.476
"344","M31","237-299",15.404
"345","M31","370-300",13.727
"346","M31","238-301",13.942
"347","M31","239-000",14.687
"348","M31","371-303",15.888
"349","M31","373-305",12.595
"350","M31","374-306",16.367
"351","M31","375-307",14.931
"352","M31","480-000",15.757
"353","M31","376-309",16.02
"354","M31","484-310",15.628
"355","M31","378-311",15.598
"356","M31","381-315",15.509
"357","M31","382-317",15.134
"358","M31","383-318",12.796
"359","M31","385-321",15.117
"360","M31","389-326",13.889
"361","M31","391-328",14.885
"362","M31","392-329",18.052
"363","M31","2m020",14.928
"364","M31","2m023",16.109
"365","M31","2m024",15.555
"366","M31","2m026",15.264
"367","M31","2m030",16.402
"368","M31","2m031",15.496
"369","M31","2m032",16.323
"370","M31","2m049",16.253
"371","M31","2m050",14.353
"372","M31","2m051",16.285
"373","M31","2m052",15.447
"374","M31","2m053",14.358
"375","M31","2m056",14.113
"376","M31","2m060",14.676
"377","M31","2m073",14.215
"378","M31","2m074",14.599
"379","M31","2m085",13.952
"380","M31","2m096",13.856
"381","M31","2m106",13.158
"382","M31","2m134",15.93
"383","M31","2m135",14.766
"384","M31","2m138",15.38
"385","M31","2m139",14.731
"386","M31","2m140",15.799
"387","M31","2m142",14.235
"388","M31","2m149",15.383
"389","M31","2m152",15.202
"390","M31","2m153",13.821
"391","M31","2m155",14.318
"392","M31","2m158",14.411
"393","M31","2m159",12.45
"394","M31","2m160",13.748
"395","M31","2m161",14.34
"396","M31","2m164",15.85
"397","M31","2m165",13.79
"398","M31","2m168",15.191
"399","M31","2m173",13.946
"400","M31","2m177",10.885
"401","M31","2m180",15.479
"402","M31","2m185",14.967
"403","M31","2m186",14.936
"404","M31","2m187",14.743
"405","M31","2m190",13.951
"406","M31","2m192",14.573
"407","M31","2m193",15.961
"408","M31","2m195",14.51
"409","M31","2m198",14.868
"410","M31","2m203",14.84
"411","M31","2m206",14.539
"412","M31","2m208",12.971
"413","M31","2m210",11.828
"414","M31","2m211",13.691
"415","M31","2m212",16.988
"416","M31","2m213",14.983
"417","M31","2m216",14.957
"418","M31","2m217",12.58
"419","M31","2m218",11.874
"420","M31","2m220",11.714
"421","M31","2m221",14.392
"422","M31","2m223",12.185
"423","M31","2m225",10.749
"424","M31","2m227",14.995
"425","M31","2m230",14.141
"426","M31","2m232",13.752
"427","M31","2m234",15.137
"428","M31","2m236",15.05
"429","M31","2m237",14.379
"430","M31","2m241",12.266
"431","M31","2m244",16.833
"432","M31","2m270",14.177
"433","M31","2m285",14.558
"434","M31","2m300",15.722
"435","M31","2m307",16.18
"436","M31","2m309",16.052
"437","M31","2m334",15.562
"438","M31","2m342",15.141
"439","M31","2m343",14.86
"440","M31","2m346",13.875
"441","M31","2m347",16.212
