"","Name","Gal.long","Gal.lat","R.sol","R.GC","Metal","Mv","r.core","r.tidal","Conc","log.t","log.rho","S0","V.esc","VHB","E.B.V","B.V","Ellipt","V.t","CSBt"
"24","NGC_4147",252.85,77.19,17.3,19.9,-1.7,-6,0.7,36.4,1.8,7.5,3.5,2.9,12,16.9,0,0.8,10.2,2,9
"25","NGC_4372",301,-9.88,4.9,7.6,-1.8,-7.6,3.8,45.3,1.1,9.1,2.3,4.1,14.9,15.5,0.5,1.2,7.2,9,11.5
"26","Rup_106",300.89,11.67,26.7,23.5,NA,-7,7.4,89.2,NA,9.5,1.2,2.2,8.1,18.5,0.2,NA,10.9,0,12.9
"27","NGC_4590",299.63,36.05,9.6,10.1,-1.9,-7.3,1.7,82.1,1.6,8.4,2.9,3.6,14.4,15.6,0,0.8,7.7,4,9.6
"28","NGC_4833",303.6,-8.01,5.8,7.4,-2,-7.8,2,33.8,1.1,8.7,3.2,6.1,22.4,15.5,0.3,1,7,3,9.5
"29","NGC_5024",332.97,79.76,18.5,19.2,-1.9,-8.9,2.2,118,1.7,8.8,3.2,6.5,26.2,16.9,0,0.7,7.4,8,8.5
"30","NGC_5053",335.68,78.95,15.8,16.7,-2,-6.1,11.3,63.6,0.8,9.7,0.6,1.5,5.1,16.6,0,0.7,9.9,4,13.5
"31","NGC_5139",309.1,14.97,5.2,7,-1.6,-10.4,4,65.7,1.2,9.6,3.3,13.8,51.2,14.5,0.1,0.9,3.5,2,7.9
"32","NGC_5272",42.22,78.71,10.4,12.6,-1.3,-9.2,1.3,117.4,1.9,8.4,3.9,8.2,34.3,15.7,0,0.9,5.9,2,7.4
"33","NGC_5286",311.61,10.57,9.7,7.7,-1.6,-8.4,0.6,33.8,1.8,7.9,4.6,9.1,37.4,16.2,0.2,1,7.1,8,7.1
"34","AM_4",320.28,33.51,30.3,25.6,-2.2,-1.7,3.4,35.1,NA,8.2,0.2,0.3,1.1,18.2,0.1,0.7,15.9,0,15.9
"35","NGC_5466",42.14,73.59,15.8,16.4,-1.9,-7.1,7.3,96.3,1.1,9.4,1.3,2.3,8.3,16.6,0,0.7,8.9,5,12.1
"36","NGC_5634",342.21,49.26,25,20.7,-1.8,-7.8,1.7,55.2,1.5,8.5,3.2,5.1,20.1,17.8,0.1,0.8,9.3,8,8.9
"37","NGC_5694",331.06,30.36,31.3,25.4,-1.9,-8.6,0.5,138,2.4,7.5,4.5,6,27.5,18.4,0.1,0.8,9.1,7,7.3
"38","IC_4499",307.35,-20.47,18,14.9,-1.8,-7.6,6.6,83.2,1.1,9.5,1.6,3.2,11.5,17.7,0.2,1,9.4,2,12
"39","NGC_5824",332.56,22.07,24.6,18,-2,-9.6,0.4,142.6,2.4,7.5,5,10,46,18,0.1,0.8,7.8,4,6.2
"40","Pal_5",0.85,45.85,21.4,16.5,-1.4,-5,18,113.4,NA,9.8,-0.5,0.7,2.4,17.4,0,0.9,11.7,5,15.7
"41","NGC_5897",342.95,30.29,11.8,6.7,-1.5,-7,4.4,39.5,1.2,9.1,1.8,2.7,10,16.3,0.1,0.9,8.6,4,11.5
"42","NGC_5904",3.86,46.8,7.6,6.6,-1.6,-8.8,1,64.1,1.8,8.2,4.1,8.4,34.9,15.1,0,0.8,5.6,9,7.2
"43","NGC_5927",326.61,4.86,8.8,5.1,-0.7,-8.1,1.2,35.4,1.5,8.4,3.7,6.9,27.1,16.7,0.4,1.4,8,2,9.1
"44","NGC_5946",327.58,4.19,9.2,5.1,-1.3,-7.1,0.4,26.6,1.8,7.5,4.5,5.9,24.3,17.2,0.6,1.4,9.4,8,8.8
"45","BH_176",328.42,4.34,85.7,78.3,NA,-8,11.1,153.6,NA,9.9,1,2.7,10.1,22.6,0.7,NA,14,0,14.5
"46","NGC_5986",337.03,13.27,10.5,4.7,-1.7,-8.4,1.5,38.3,1.4,8.5,3.7,7.6,29.6,16.5,0.3,1,7.4,8,8.5
"47","Pal_14",28.76,42.18,75.3,69.9,-1.3,-4.8,16.6,102.5,NA,9.7,-0.5,0.7,2.3,20.1,0,0.9,14.6,8,15.7
"48","NGC_6093",352.67,19.46,8,3.1,-2.2,-7.9,0.2,21.7,2,7.1,5.4,9,38.6,15.8,0.2,0.9,7.3,3,6.1
"49","NGC_6101",317.75,-15.83,16.1,11.6,-1.7,-7,3.7,74.2,1.3,9,2,2.8,10.5,16.8,0,0.8,9.1,6,11.1
"50","NGC_6121",350.98,15.97,2.1,6.8,-1.1,-7,0.8,26.5,1.5,7.8,3.9,5.1,20.3,13.4,0.4,1.3,5.7,6,9
"51","NGC_6144",351.93,15.7,9.5,2.9,-1.8,-6.9,3.4,32.6,1.1,8.9,2.2,3,11,16.5,0.3,1,9,1,11.6
"52","NGC_6139",342.37,6.94,8.1,2.9,-1.6,-8,0.5,29.5,1.6,7.8,4.7,9.4,37.5,17.5,0.7,1.5,8.9,1,8.5
"53","Ter_3",345.08,9.19,27.2,19,NA,-6.2,6.6,60.1,NA,9.3,1.1,1.8,6.3,18.8,0.3,NA,12,0,13.5
"54","NGC_6171",3.37,23.01,6.2,3.9,-0.9,-6.9,1.3,41.5,1.3,8.2,3.3,4.3,16.4,15.6,0.3,1.3,8.1,0,9.9
"55","ESO_452-SC-11",351.91,12.1,10.3,2.8,-1,-4.1,1.2,10.4,NA,7.8,2.5,1.6,5.6,16.7,0.3,1.2,12,0,11.9
"56","NGC_6205",59.01,40.91,7.1,8.9,-1.6,-8.7,1.7,55.5,1.4,8.7,3.6,7.8,30.4,15,0,0.8,5.6,8,7.9
"57","NGC_6218",15.72,26.31,5.3,5,-1.9,-7.5,1.8,28.1,1.2,8.6,3.2,5.2,19.6,14.9,0.2,0.9,6.7,7,9.4
"58","NGC_6229",73.64,40.31,31.6,30.9,-1.4,-8.1,1.6,51.7,1.5,8.5,3.4,6.1,23.9,18.1,0,0.8,9.3,6,8.3
"59","NGC_6235",358.92,13.52,9.5,2.3,-1.6,-6.1,0.7,21.9,1.5,7.7,3.6,3.5,13.8,16.7,0.4,1.2,9.9,9,9.9
"60","NGC_6254",15.14,23.07,4.5,5.3,-1.5,-7.5,0.9,31.2,1.7,8,3.8,5.4,21.6,14.7,0.3,1.1,6.5,5,8.8
"61","NGC_6256",347.79,3.31,9.1,2,-1.6,-6.3,1,17.8,1.4,8,3.3,3.6,13.8,18.2,0.9,1.7,11.2,9,11.8
"62","Pal_15",18.87,24.29,69.7,62.3,-1.3,-5.4,27.4,108.9,NA,10.2,-0.6,0.8,2.6,20.2,0.1,1,14.2,0,16
"63","NGC_6266",353.58,7.32,6.1,3,-1.3,-8.7,0.4,18.4,1.7,7.7,5.2,13.3,53.7,16,0.5,1.3,6.6,8,6.6
"64","NGC_6273",356.87,9.38,10.6,2.5,-2.4,-9.6,1.6,53.8,1.5,8.8,4,12.4,48.5,17,0.4,1,6.7,3,8
"65","NGC_6284",358.35,9.94,10.3,2.2,-1.3,-7.1,0.5,29.8,1.8,7.5,4.4,5.6,23.1,16.6,0.3,1.1,8.8,5,8.1
"66","NGC_6287",0.13,11.02,7.2,2.2,-1.7,-6.6,0.7,20,1.5,7.7,3.9,4.5,17.8,16.5,0.5,1.3,9.3,1,9.7
"67","NGC_6293",357.62,7.83,7.7,1.6,-1.9,-7.4,0.4,32.9,2,7.3,4.7,6.3,26.7,16.1,0.4,1.1,8.1,5,7.8
"68","NGC_6304",355.83,5.37,6,2.9,-0.5,-7.2,0.5,21.9,1.8,7.5,4.5,6.2,25.2,16.2,0.5,1.6,8.3,6,8.6
"69","NGC_6316",357.18,5.77,12.8,4.2,-0.6,-8.5,0.7,53.8,2,7.9,4.4,7.6,32.2,17.8,0.5,1.5,8.7,5,8.5
"70","NGC_6325",0.97,8,6.2,2.8,-2,-6.1,0.4,17.9,1.5,7.4,4.3,4.5,17.9,17.3,0.9,1.6,10.5,6,10.3
"71","NGC_6341",68.34,34.86,7.7,9.8,-1.9,-8.1,0.7,37.2,1.7,7.9,4.4,8.2,33.1,15.1,0,0.7,6.3,9,6.8
"72","NGC_6333",5.54,10.71,7.5,2.2,-1.8,-7.9,0.9,33.7,1.4,8.1,4.1,7.6,29.5,16.1,0.4,1.1,7.6,1,8.3
"73","NGC_6342",4.9,9.73,11.6,3.4,-0.8,-7,0.5,29.5,2,7.4,4.2,4.5,19.3,17.4,0.5,1.5,9.8,4,9
"74","NGC_6356",6.72,10.22,16.7,8.3,-1.2,-8.9,1.4,55.7,1.5,8.6,3.8,9,35.6,17.7,0.3,1.2,8.1,8,8.3
"75","NGC_6355",359.59,5.43,7.1,1.8,-1.3,-6.9,0.4,15.7,1.9,7.3,4.4,5,21,17.2,0.7,1.6,9.6,8,9.6
"76","NGC_6352",341.42,-7.16,6.6,3.4,-0.1,-6.4,1.3,23.1,1.4,8.1,3,3.2,12.4,15.2,0.1,1.3,8.1,3,9.9
"77","Ter_2",356.32,2.3,10,1.4,-0.5,-4.9,0.3,9,NA,7,4.3,3.2,12.5,19.8,1.3,2.4,14.2,9,12.1
"78","NGC_6366",18.41,16.04,4,5.4,-0.7,-6.2,2.6,23.3,0.9,8.7,2.4,2.9,10.3,15.7,0.7,1.7,8.8,8,12.5
"79","NGC_6362",325.56,-17.57,7.7,5.5,-0.7,-7.2,3.6,37.4,0.8,9.1,2.5,4.1,14.4,15.3,0.1,1.1,7.5,2,10.2
"80","HP_1",357.42,2.11,9.5,0.9,-1.7,-6.9,0.6,12.9,NA,7.7,4.3,6.4,24.4,20,1.4,2.2,12.4,9,11.6
"81","Gri_1",354.3,-0.15,11.8,3.2,NA,-7.9,1.8,29.9,1.2,8.7,3.3,6.2,23.4,26.2,3.2,NA,17.6,6,18.6
"82","Lil_1",354.84,-0.16,7.9,1.2,-0.3,-8,0.1,7.6,2.1,6.7,6.1,12.2,52.6,24.4,2.9,4,15.8,4,13.4
"83","NGC_6380",350.18,-3.41,4,5,-1.3,-6.3,0.4,6.5,1.2,7.4,4.6,6.3,23.5,18,1.4,2.2,11.1,2,11.1
"84","Ter_1",357.56,0.99,10.6,1.9,0.1,-4.1,0.3,12,NA,6.8,3.9,2,8.1,20.6,1.5,2.7,15.9,0,13.7
"85","NGC_6388",345.56,-6.74,13.5,5.6,-0.6,-9.9,0.6,32.6,1.8,8.1,5.3,19.1,78.2,17.2,0.3,1.3,6.7,3,5.7
"86","Ton_2",350.8,-3.42,8.7,1.5,NA,-5.4,1.8,12.9,NA,8.4,2.6,2.5,8.6,18.2,0.9,NA,12.2,4,13.3
"87","NGC_6402",21.32,14.8,10.2,4.5,-2.2,-9.3,2.4,29.7,1.3,9,3.5,9.9,37.8,17.5,0.6,1.2,7.5,7,9.5
"88","NGC_6401",3.45,3.98,7.1,1.8,-1,-7.3,0.5,27.4,1.9,7.5,4.3,5.3,22.2,17.3,0.8,1.7,9.4,5,9.8
"89","NGC_6397",338.17,-11.96,2.2,6.9,-2,-6.6,0.5,24.7,1.6,7.5,4.2,4.8,19.2,12.9,0.2,0.9,5.7,5,8.1
"90","Pal_6",2.09,1.78,5.9,2.9,0.2,-7,1.2,12.8,NA,8.2,3.6,5.6,20.3,19.1,1.5,2.7,11.5,5,12.8
"91","NGC_6426",28.09,16.23,17.5,NA,-1.9,-6.3,1.8,37.8,1.6,8.3,2.4,2.3,9.1,18,0.4,1.1,11.1,3,11.8
"92","Ter_5",3.84,1.69,7.1,1.8,-0.7,-7.3,0.1,8.4,NA,6.5,6.4,11.8,49.4,21.7,2.1,3.1,13.8,5,10.7
"93","NGC_6440",7.73,3.8,7.1,2.1,-0.5,-8.8,0.2,24.7,2.1,7.2,5.7,13,56.2,18.4,1.1,2.2,9,5,8.1
"94","NGC_6441",353.53,-5.01,11.7,3.3,-0.1,-9.3,0.5,25.9,1.9,7.8,5.2,14.4,60.2,17.1,0.4,1.5,7.1,9,6.3
"95","NGC_6453",355.72,-3.87,10.7,2.1,-1.5,-7.3,0.5,15.6,1.6,7.6,4.5,6.9,27.6,17.7,0.6,1.4,9.7,8,8.7
"96","Ter_6",358.57,-2.16,12.8,4,NA,-6.4,0.3,5.6,NA,7.2,5,7.1,26.9,20.8,1.5,NA,13.8,5,10.9
"97","UKS_1",5.13,0.76,10.4,1.8,-1.2,-7.6,0.7,17.7,NA,7.9,4.4,7.8,30.3,25.5,3.1,4,17.2,9,16.6
"98","NGC_6496",348.03,-10.01,6.3,3.2,-0.7,-5.8,3.2,18.2,0.7,8.9,2.2,2.5,8.6,14.9,0.1,1.1,8.4,8,11.2
"99","Ter_9",3.6,-1.99,7,1.9,-0.5,-3.7,0.3,5.5,6.7,4.1,2.2,8.5,20.3,1.7,2.8,16,0,14,NA
"100","NGC_6517",19.23,6.76,6.1,3.8,-1.5,-7.1,0.2,18.5,2.1,6.8,5.4,7.1,30.6,18,1.1,1.9,10.3,0,9.1
"101","Ter_10",4.42,-1.86,14.6,5.9,NA,-6.4,0.5,6.4,NA,7.6,4.5,6.3,23.4,21.9,1.7,NA,14.9,0,12.4
"102","NGC_6522",1.03,-3.93,6.6,2.3,-1.6,-7.3,0.3,19.1,1.7,7.3,5,7.9,31.9,16.3,0.5,1.3,8.3,5,7.6
"103","NGC_6535",27.18,10.44,6.9,4.3,-1.6,-4.8,0.4,20.1,1.8,7,3.6,2,8.3,15.9,0.3,1.1,10.4,8,10.3
"104","NGC_6528",1.14,-4.18,6.8,2.1,-1,-6.6,0.3,9.3,1.8,7,5,6.1,25.1,16.8,0.6,1.6,9.5,1,8.3
"105","NGC_6539",20.8,6.78,3.1,6,-1.1,-6.2,0.5,12,1.5,7.4,4.2,4.5,17.9,16.6,1.1,2,9.7,7,11.2
"106","NGC_6544",5.84,-2.2,2.6,6.2,-2.2,-6.3,0.4,8.8,1.4,7.3,4.7,5.9,22.9,15,0.7,1.4,8,7,9.1
"107","NGC_6541",349.29,-11.19,7,2.8,-2,-8.5,0.6,64.1,2,7.8,4.6,8.5,35.8,15.2,0.1,0.8,6,8,6.9
"108","NGC_6553",5.25,-3.03,5.7,3.2,-0.4,-8.3,1.1,17.4,1,8.4,4.2,10.5,38.3,17,0.8,1.9,8,6,9.3
"109","NGC_6558",0.2,-6.02,8.8,0.9,-1.5,-6.3,0.4,16.2,1.7,7.3,4.4,4.6,18.5,16.7,0.4,1.2,9.8,2,8.8
"110","IC_1276",21.83,5.67,9.8,3.8,-0.8,-7.6,3.6,35.9,NA,9.1,2.4,4.3,15.7,18.5,0.9,1.9,10.3,4,12.8
"111","Ter~11",8.36,-2.1,23.7,15.1,NA,-5.5,1.4,13.8,NA,8.1,2.9,2.7,9.8,22.5,1.6,NA,16.4,0,14.9
"112","NGC_6569",0.48,-6.68,8.9,1,-1,-7.8,0.9,18.3,1.5,8.1,4,7.1,27.9,17.1,0.6,1.5,8.7,1,9.1
"113","NGC_6584",342.14,-16.41,15,7.8,-1.6,-7.6,1.7,38,1.3,8.5,3.2,5,19.2,16.8,0.1,0.9,8.6,3,9.1
"114","NGC_6624",2.79,-7.91,8,1.5,-0.8,-7.5,0.2,26.8,2.2,6.9,5.3,7.2,31.5,16.1,0.3,1.3,7.9,9,6.6
"115","NGC_6626",7.8,-5.58,5.8,3.2,-1.8,-8.2,0.6,25.5,1.4,8,4.7,10.6,40.9,15.6,0.4,1.1,6.8,3,7.3
"116","NGC_6638",7.9,-7.15,6.7,2.5,-0.9,-6.3,0.5,11.5,1.3,7.5,4.4,5.5,21,15.9,0.4,1.3,9,5,8.3
"117","NGC_6637",1.72,-10.27,10.3,2.3,-0.9,-8,1,31.3,1.5,8.2,4,7.3,28.9,16.2,0.2,1.1,7.5,6,7.9
"118","NGC_6642",9.81,-6.44,5.5,3.6,-1.3,-5.5,0.1,12.8,2.2,6.2,5.2,3.9,16.9,15.5,0.4,1.2,9.3,6,7.7
"119","NGC_6652",1.54,-11.38,14.3,6,-0.9,-7.3,0.6,32.3,1.7,7.7,4.2,5.9,23.7,16.7,0.1,1.1,8.7,6,7.7
"120","NGC_6656",9.89,-7.55,3.1,5.8,-1.8,-8.5,1.1,30.2,1.6,8.3,4,8.3,33,14.2,0.4,1.1,5,7,8.4
"121","Pal_8",14.1,-6.8,28.1,19.8,-0.5,-7.2,3.3,18.3,0.8,9,2.6,4.3,15.1,18.9,0.3,1.4,11.1,5,10.8
"122","NGC_6681",2.85,-12.51,9.3,2.1,-0.9,-7.1,0.3,29.6,2.2,6.9,4.8,5.1,22.4,15.6,0.1,1,7.9,5,6.9
"123","NGC_6712",25.35,-4.32,6.2,4.2,-1.3,-7.3,1.2,19.9,1.2,8.3,3.6,6,22.3,16.1,0.5,1.4,8.1,7,9.6
"124","NGC_6715",5.61,-14.09,21.5,13.2,-1.9,-9.5,0.7,46.4,1.9,8.1,4.9,13.9,57.6,17.7,0.1,0.9,7.5,7,6
"125","NGC_6717",12.88,-10.9,7.8,2.6,-2.2,-5.9,0.1,18,2.3,6.3,5.1,3.7,16.8,15.7,0.2,0.9,9.1,8,7.3
"126","NGC_6723",0.07,-17.3,9.2,2.7,-1.1,-7.7,2.2,33.6,1.1,8.8,3.1,5.7,20.7,15.5,0,0.9,7.1,7,8.9
"127","NGC_6749",36.2,-2.2,12.8,7.7,-0.4,-6.2,1.8,10,0.7,8.5,3.1,3.9,13.5,19.2,1,2,12.4,4,12.3
"128","NGC_6752",336.5,-25.63,4.1,5.9,-1.6,-7.7,0.6,36.5,1.6,7.8,4.5,7.8,31.1,13.8,0.1,0.8,5.4,8,6.9
"129","NGC_6760",36.11,-3.92,4.1,6,-0.8,-6.8,0.5,14.5,1.5,7.6,4.3,5.8,22.7,16.5,0.9,1.9,9,8,10
"130","Ter_7",3.39,-20.06,36.4,28.4,NA,-6,3.9,36.8,NA,8.9,1.7,2.1,7.4,18.6,0.1,NA,12,0,11.8
"131","NGC_6779",62.66,8.34,9.8,9.8,-2.3,-7.3,1.3,34.3,1.6,8.2,3.4,4.5,18,16.2,0.2,0.8,8.2,6,9.3
"132","Pal_10",52.44,2.73,10.6,8.7,NA,-5.6,1,17.3,NA,7.9,3.2,2.8,10.6,19.4,1.2,NA,13.2,2,13.1
"133","1Arp_2",8.54,-20.79,28.3,20.4,-1.9,-5.3,16.4,46.3,NA,10,0.3,1.1,3.7,18.2,0.1,0.8,12.3,0,14.5
"134","NGC_6809",8.8,-23.27,5.1,4.7,-1.6,-7.4,2.6,27.7,1.3,8.8,2.6,4,15.3,14.4,0.1,0.9,6.3,6,10
"135","Ter_8",5.76,-24.56,48.2,40.4,NA,-6.4,10.9,122.2,NA,9.6,0.5,1.4,5.1,19.4,0.1,NA,12.4,0,13.9
"136","Pal_11",31.81,-15.58,13.8,8.3,-0.9,-7,5.3,29.7,0.8,9.3,1.9,3.3,11.3,17.4,0.3,1.3,9.8,0,11.9
"137","NGC_6838",56.74,-4.56,4.4,7.4,-0.5,-5.8,1.1,17.6,1.1,8,3.2,3.3,12.1,14.4,0.1,1.3,8,0,9.8
"138","NGC_6864",20.3,-25.75,18.5,12,-1.7,-8.3,0.5,32.5,1.8,7.7,4.7,9.2,38.2,17.5,0.2,0.9,8.5,3,6.7
"139","NGC_6934",52.11,-18.89,14.9,12.1,-1.3,-7.5,0.9,38.7,1.7,8,3.8,5.3,21.6,16.8,0.1,1,8.7,2,8.3
"140","NGC_6981",35.16,-32.68,17,12.7,-1.6,-6.9,1.8,43.1,1.5,8.4,2.7,3.2,12.7,16.9,0,0.8,9.3,2,9.9
"141","NGC_7006",63.77,-19.41,39.1,36.3,-1.7,-7.7,2,71.7,1.5,8.6,2.9,4.4,17.2,18.7,0.1,0.8,10.4,6,9.4
"142","NGC_7078",65.01,-27.31,9.7,10.4,-2.1,-9.2,0.3,59.1,2.5,7.1,5.3,8.6,40.9,15.9,0.1,0.8,6,2,5.9
"143","NGC_7089",53.37,-35.77,11.9,10.9,-1.8,-9.1,1.2,56.4,1.8,8.4,4,9,37.1,16.1,0,0.8,6.3,6,7.2
"144","NGC_7099",27.18,-46.84,7.2,7.2,-2.2,-7.2,0.2,33.4,2.4,6.6,5.3,5.2,23.8,15.1,0.1,0.7,7.3,2,6.3
"145","Pal_12",30.51,-47.68,19.4,16,-1.1,-4.8,2.7,60.4,1.5,8.4,1.4,1,4,17.1,0,0.9,11.7,1,12.9
"146","Pal_13",87.1,-42.7,24.4,25.7,-1,-3.3,2.7,27,0.9,8.3,1.2,0.8,2.7,17.7,0.1,1,13.8,0,13.5
"147","NGC_7492",53.39,-63.48,19.1,18.7,-1.8,-5,4.5,42,1.1,8.8,1.1,1.1,4.1,17,0,0.7,11.4,3,13.1
