"","YEAR","MON","SSN","DEV"
"80",1755,8,3.2,4.9
"81",1755,9,17.8,12.9
"82",1755,10,23.7,15.1
"83",1755,11,6.8,7.6
"84",1755,12,20,13.8
"85",1756,1,12.5,10.7
"86",1756,2,7.1,7.8
"87",1756,3,5.4,6.7
"88",1756,4,9.4,9.1
"89",1756,5,12.5,10.7
"90",1756,6,12.9,10.9
"91",1756,7,3.6,5.3
"92",1756,8,6.4,7.3
"93",1756,9,11.8,10.3
"94",1756,10,14.3,11.5
"95",1756,11,17,12.6
"96",1756,12,9.4,9.1
"97",1757,1,14.1,11.4
"98",1757,2,21.2,14.2
"99",1757,3,26.2,15.9
"100",1757,4,30,17.1
"101",1757,5,38.1,19.4
"102",1757,6,12.8,10.8
"103",1757,7,25,15.5
"104",1757,8,51.3,22.6
"105",1757,9,39.7,19.8
"106",1757,10,32.5,17.8
"107",1757,11,64.7,25.5
"108",1757,12,33.5,18.1
"109",1758,1,37.6,19.2
"110",1758,2,52,22.8
"111",1758,3,49,22.1
"112",1758,4,72.3,27.1
"113",1758,5,46.4,21.5
"114",1758,6,45,21.1
"115",1758,7,44,20.9
"116",1758,8,38.7,19.5
"117",1758,9,62.5,25.1
"118",1758,10,37.7,19.3
"119",1758,11,43,20.6
"120",1758,12,43,20.6
"121",1759,1,48.3,21.9
"122",1759,2,44,20.9
"123",1759,3,46.8,21.6
"124",1759,4,47,21.6
"125",1759,5,49,22.1
"126",1759,6,50,22.3
"127",1759,7,51,22.6
"128",1759,8,71.3,26.9
"129",1759,9,77.2,28
"130",1759,10,59.7,24.5
"131",1759,11,46.3,21.5
"132",1759,12,57,23.9
"133",1760,1,67.3,26.1
"134",1760,2,59.5,24.5
"135",1760,3,74.7,27.5
"136",1760,4,58.3,24.2
"137",1760,5,72,27
"138",1760,6,48.3,21.9
"139",1760,7,66,25.8
"140",1760,8,75.6,27.7
"141",1760,9,61.3,24.8
"142",1760,10,50.6,22.5
"143",1760,11,59.7,24.5
"144",1760,12,61,24.8
"145",1761,1,70,26.6
"146",1761,2,91,30.5
"147",1761,3,80.7,28.6
"148",1761,4,71.7,26.9
"149",1761,5,107.2,33.2
"150",1761,6,99.3,31.9
"151",1761,7,94.1,31
"152",1761,8,91.1,30.5
"153",1761,9,100.7,32.1
"154",1761,10,88.7,30.1
"155",1761,11,89.7,30.3
"156",1761,12,46,21.4
"157",1762,1,43.8,20.8
"158",1762,2,72.8,27.2
"159",1762,3,45.7,21.3
"160",1762,4,60.2,24.6
"161",1762,5,39.9,19.8
"162",1762,6,77.1,28
"163",1762,7,33.8,18.2
"164",1762,8,67.7,26.2
"165",1762,9,68.5,26.3
"166",1762,10,69.3,26.5
"167",1762,11,77.8,28.1
"168",1762,12,77.2,28
"169",1763,1,56.5,23.8
"170",1763,2,31.9,17.6
"171",1763,3,34.2,18.3
"172",1763,4,32.9,17.9
"173",1763,5,32.7,17.9
"174",1763,6,35.8,18.7
"175",1763,7,54.2,23.3
"176",1763,8,26.5,16
"177",1763,9,68.1,26.2
"178",1763,10,46.3,21.5
"179",1763,11,60.9,24.8
"180",1763,12,61.4,24.9
"181",1764,1,59.7,24.5
"182",1764,2,59.7,24.5
"183",1764,3,40.2,19.9
"184",1764,4,34.4,18.4
"185",1764,5,44.3,21
"186",1764,6,30,17.1
"187",1764,7,30,17.1
"188",1764,8,30,17.1
"189",1764,9,28.2,16.5
"190",1764,10,28,16.5
"191",1764,11,26,15.8
"192",1764,12,25.7,15.7
"193",1765,1,24,15.2
"194",1765,2,26,15.8
"195",1765,3,25,15.5
"196",1765,4,22,14.5
"197",1765,5,20.2,13.8
"198",1765,6,20,13.8
"199",1765,7,27,16.1
"200",1765,8,29.7,17
"201",1765,9,16,12.2
"202",1765,10,14,11.3
"203",1765,11,14,11.3
"204",1765,12,13,10.9
"205",1766,1,12,10.4
"206",1766,2,11,9.9
"207",1766,3,36.6,19
"208",1766,4,6,7.1
"209",1766,5,26.8,16.1
"210",1766,6,3,4.7
"211",1766,7,3.3,5
"212",1766,8,4,5.6
"213",1766,9,4.3,5.8
"214",1766,10,5,6.4
"215",1766,11,5.7,6.9
"216",1766,12,19.2,13.5
"217",1767,1,27.4,16.3
"218",1767,2,30,17.1
"219",1767,3,43,20.6
"220",1767,4,32.9,17.9
"221",1767,5,29.8,17
"222",1767,6,33.3,18
"223",1767,7,21.9,14.4
"224",1767,8,40.8,20.1
"225",1767,9,42.7,20.6
"226",1767,10,44.1,20.9
"227",1767,11,54.7,23.4
"228",1767,12,53.3,23.1
"229",1768,1,53.5,23.1
"230",1768,2,66.1,25.8
"231",1768,3,46.3,21.5
"232",1768,4,42.7,20.6
"233",1768,5,77.7,28.1
"234",1768,6,77.4,28
"235",1768,7,52.6,22.9
"236",1768,8,66.8,26
"237",1768,9,74.8,27.5
"238",1768,10,77.8,28.1
"239",1768,11,90.6,30.4
"240",1768,12,111.8,33.9
"241",1769,1,73.9,27.4
"242",1769,2,64.2,25.4
"243",1769,3,64.3,25.5
"244",1769,4,96.7,31.5
"245",1769,5,73.6,27.3
"246",1769,6,94.4,31.1
"247",1769,7,118.6,34.9
"248",1769,8,120.3,35.2
"249",1769,9,148.8,39.3
"250",1769,10,158.2,40.5
"251",1769,11,148.1,39.2
"252",1769,12,112,33.9
"253",1770,1,104,32.7
"254",1770,2,142.5,38.4
"255",1770,3,80.1,28.5
"256",1770,4,51,22.6
"257",1770,5,70.1,26.6
"258",1770,6,83.3,29.1
"259",1770,7,109.8,33.6
"260",1770,8,126.3,36.1
"261",1770,9,104.4,32.7
"262",1770,10,103.6,32.6
"263",1770,11,132.2,36.9
"264",1770,12,102.3,32.4
"265",1771,1,36,18.8
"266",1771,2,46.2,21.4
"267",1771,3,46.7,21.6
"268",1771,4,64.9,25.6
"269",1771,5,152.7,39.8
"270",1771,6,119.5,35.1
"271",1771,7,67.7,26.2
"272",1771,8,58.5,24.2
"273",1771,9,101.4,32.2
"274",1771,10,90,30.3
"275",1771,11,99.7,32
"276",1771,12,95.7,31.3
"277",1772,1,100.9,32.1
"278",1772,2,90.8,30.4
"279",1772,3,31.1,17.4
"280",1772,4,92.2,30.7
"281",1772,5,38,19.3
"282",1772,6,57,23.9
"283",1772,7,77.3,28
"284",1772,8,56.2,23.7
"285",1772,9,50.5,22.5
"286",1772,10,78.6,28.3
"287",1772,11,61.3,24.8
"288",1772,12,64,25.4
"289",1773,1,54.6,23.4
"290",1773,2,29,16.8
"291",1773,3,51.2,22.6
"292",1773,4,32.9,17.9
"293",1773,5,41.1,20.2
"294",1773,6,28.4,16.6
"295",1773,7,27.7,16.4
"296",1773,8,12.7,10.8
"297",1773,9,29.3,16.9
"298",1773,10,26.3,15.9
"299",1773,11,40.9,20.1
"300",1773,12,43.2,20.7
"301",1774,1,46.8,21.6
"302",1774,2,65.4,25.7
"303",1774,3,55.7,23.6
"304",1774,4,43.8,20.8
"305",1774,5,51.3,22.6
"306",1774,6,28.5,16.6
"307",1774,7,17.5,12.8
"308",1774,8,6.6,7.5
"309",1774,9,7.9,8.3
"310",1774,10,14,11.3
"311",1774,11,17.7,12.9
"312",1774,12,12.2,10.5
"313",1775,1,4.4,5.9
"314",1775,2,0,1
"315",1775,3,11.6,10.2
"316",1775,4,11.2,10
"317",1775,5,3.9,5.5
"318",1775,6,12.3,10.6
"319",1775,7,1,2.3
"320",1775,8,7.9,8.3
"321",1775,9,3.2,4.9
"322",1775,10,5.6,6.8
"323",1775,11,15.1,11.8
"324",1775,12,7.9,8.3
"325",1776,1,21.7,14.4
"326",1776,2,11.6,10.2
"327",1776,3,6.3,7.3
"328",1776,4,21.8,14.4
"329",1776,5,11.2,10
"330",1776,6,19,13.4
"331",1776,7,1,2.3
"332",1776,8,24.2,15.2
"333",1776,9,16,12.2
"334",1776,10,30,17.1
"335",1776,11,35,18.5
"336",1776,12,40,19.9
"337",1777,1,45,21.1
"338",1777,2,36.5,18.9
"339",1777,3,39,19.6
"340",1777,4,95.5,31.2
"341",1777,5,80.3,28.6
"342",1777,6,80.7,28.6
"343",1777,7,95,31.2
"344",1777,8,112,33.9
"345",1777,9,116.2,34.6
"346",1777,10,106.5,33.1
"347",1777,11,146,38.9
"348",1777,12,157.3,40.4
"349",1778,1,177.3,42.9
"350",1778,2,109.3,33.5
"351",1778,3,134,37.2
"352",1778,4,145,38.7
"353",1778,5,238.9,50
"354",1778,6,171.6,42.2
"355",1778,7,153,39.8
"356",1778,8,140,38
"357",1778,9,171.7,42.2
"358",1778,10,156.3,40.3
"359",1778,11,150.3,39.5
"360",1778,12,105,32.8
"361",1779,1,114.7,34.3
"362",1779,2,165.7,41.5
"363",1779,3,118,34.8
"364",1779,4,145,38.7
"365",1779,5,140,38
"366",1779,6,113.7,34.2
"367",1779,7,143,38.5
"368",1779,8,112,33.9
"369",1779,9,111,33.8
"370",1779,10,124,35.7
"371",1779,11,114,34.2
"372",1779,12,110,33.6
"373",1780,1,70,26.6
"374",1780,2,98,31.7
"375",1780,3,98,31.7
"376",1780,4,95,31.2
"377",1780,5,107.2,33.2
"378",1780,6,88,30
"379",1780,7,86,29.6
"380",1780,8,86,29.6
"381",1780,9,93.7,30.9
"382",1780,10,77,28
"383",1780,11,60,24.6
"384",1780,12,58.7,24.3
"385",1781,1,98.7,31.8
"386",1781,2,74.7,27.5
"387",1781,3,53,23
"388",1781,4,68.3,26.3
"389",1781,5,104.7,32.8
"390",1781,6,97.7,31.6
"391",1781,7,73.5,27.3
"392",1781,8,66,25.8
"393",1781,9,51,22.6
"394",1781,10,27.3,16.2
"395",1781,11,67,26
"396",1781,12,35.2,18.6
"397",1782,1,54,23.2
"398",1782,2,37.5,19.2
"399",1782,3,37,19.1
"400",1782,4,41,20.1
"401",1782,5,54.3,23.3
"402",1782,6,38,19.3
"403",1782,7,37,19.1
"404",1782,8,44,20.9
"405",1782,9,34,18.2
"406",1782,10,23.2,14.9
"407",1782,11,31.5,17.5
"408",1782,12,30,17.1
"409",1783,1,28,16.5
"410",1783,2,38.7,19.5
"411",1783,3,26.7,16.1
"412",1783,4,28.3,16.6
"413",1783,5,23,14.8
"414",1783,6,25.2,15.6
"415",1783,7,32.2,17.7
"416",1783,8,20,13.8
"417",1783,9,18,13
"418",1783,10,8,8.3
"419",1783,11,15,11.8
"420",1783,12,10.5,9.7
"421",1784,1,13,10.9
"422",1784,2,8,8.3
"423",1784,3,11,9.9
"424",1784,4,10,9.4
"425",1784,5,6,7.1
"426",1784,6,9,8.9
"427",1784,7,6,7.1
"428",1784,8,10,9.4
"429",1784,9,10,9.4
"430",1784,10,8,8.3
"431",1784,11,17,12.6
"432",1784,12,14,11.3
"433",1785,1,6.5,7.4
"434",1785,2,8,8.3
"435",1785,3,9,8.9
"436",1785,4,15.7,12.1
"437",1785,5,20.7,14
"438",1785,6,26.3,15.9
"439",1785,7,36.3,18.9
"440",1785,8,20,13.8
"441",1785,9,32,17.7
"442",1785,10,47.2,21.7
"443",1785,11,40.2,19.9
"444",1785,12,27.3,16.2
"445",1786,1,37.2,19.1
"446",1786,2,47.6,21.8
"447",1786,3,47.7,21.8
"448",1786,4,85.4,29.5
"449",1786,5,92.3,30.7
"450",1786,6,59,24.3
"451",1786,7,83,29.1
"452",1786,8,89.7,30.3
"453",1786,9,111.5,33.8
"454",1786,10,112.3,34
"455",1786,11,116,34.5
"456",1786,12,112.7,34
"457",1787,1,134.7,37.3
"458",1787,2,106,33
"459",1787,3,87.4,29.9
"460",1787,4,127.2,36.2
"461",1787,5,134.8,37.3
"462",1787,6,99.2,31.9
"463",1787,7,128,36.3
"464",1787,8,137.2,37.7
"465",1787,9,157.3,40.4
"466",1787,10,157,40.3
"467",1787,11,141.5,38.3
"468",1787,12,174,42.5
"469",1788,1,138,37.8
"470",1788,2,129.2,36.5
"471",1788,3,143.3,38.5
"472",1788,4,108.5,33.4
"473",1788,5,113,34.1
"474",1788,6,154.2,40
"475",1788,7,141.5,38.3
"476",1788,8,136,37.5
"477",1788,9,141,38.2
"478",1788,10,142,38.3
"479",1788,11,94.7,31.1
"480",1788,12,129.5,36.6
"481",1789,1,114,34.2
"482",1789,2,125.3,35.9
"483",1789,3,120,35.1
"484",1789,4,123.3,35.6
"485",1789,5,123.5,35.7
"486",1789,6,120,35.1
"487",1789,7,117,34.7
"488",1789,8,103,32.5
"489",1789,9,112,33.9
"490",1789,10,89.7,30.3
"491",1789,11,134,37.2
"492",1789,12,135.5,37.4
"493",1790,1,103,32.5
"494",1790,2,127.5,36.3
"495",1790,3,96.3,31.4
"496",1790,4,94,31
"497",1790,5,93,30.8
"498",1790,6,91,30.5
"499",1790,7,69.3,26.5
"500",1790,8,87,29.8
"501",1790,9,77.3,28
"502",1790,10,84.3,29.3
"503",1790,11,82,28.9
"504",1790,12,74,27.4
"505",1791,1,72.7,27.1
"506",1791,2,62,25
"507",1791,3,74,27.4
"508",1791,4,77.2,28
"509",1791,5,73.7,27.3
"510",1791,6,64.2,25.4
"511",1791,7,71,26.8
"512",1791,8,43,20.6
"513",1791,9,66.5,25.9
"514",1791,10,61.7,24.9
"515",1791,11,67,26
"516",1791,12,66,25.8
"517",1792,1,58,24.1
"518",1792,2,64,25.4
"519",1792,3,63,25.2
"520",1792,4,75.7,27.7
"521",1792,5,62,25
"522",1792,6,61,24.8
"523",1792,7,45.8,21.3
"524",1792,8,60,24.6
"525",1792,9,59,24.3
"526",1792,10,59,24.3
"527",1792,11,57,23.9
"528",1792,12,56,23.7
"529",1793,1,56,23.7
"530",1793,2,55,23.5
"531",1793,3,55.5,23.6
"532",1793,4,53,23
"533",1793,5,52.3,22.9
"534",1793,6,51,22.6
"535",1793,7,50,22.3
"536",1793,8,29.3,16.9
"537",1793,9,24,15.2
"538",1793,10,47,21.6
"539",1793,11,44,20.9
"540",1793,12,45.7,21.3
"541",1794,1,45,21.1
"542",1794,2,44,20.9
"543",1794,3,38,19.3
"544",1794,4,28.4,16.6
"545",1794,5,55.7,23.6
"546",1794,6,41.5,20.3
"547",1794,7,41,20.1
"548",1794,8,40,19.9
"549",1794,9,11.1,10
"550",1794,10,28.5,16.6
"551",1794,11,67.4,26.1
"552",1794,12,51.4,22.7
"553",1795,1,21.4,14.3
"554",1795,2,39.9,19.8
"555",1795,3,12.6,10.7
"556",1795,4,18.6,13.2
"557",1795,5,31,17.4
"558",1795,6,17.1,12.6
"559",1795,7,12.9,10.9
"560",1795,8,25.7,15.7
"561",1795,9,13.5,11.1
"562",1795,10,19.5,13.6
"563",1795,11,25,15.5
"564",1795,12,18,13
"565",1796,1,22,14.5
"566",1796,2,23.8,15.1
"567",1796,3,15.7,12.1
"568",1796,4,31.7,17.6
"569",1796,5,21,14.1
"570",1796,6,6.7,7.5
"571",1796,7,26.9,16.1
"572",1796,8,1.5,3
"573",1796,9,18.4,13.2
"574",1796,10,11,9.9
"575",1796,11,8.4,8.6
"576",1796,12,5.1,6.5
"577",1797,1,14.4,11.5
"578",1797,2,4.2,5.8
"579",1797,3,4,5.6
"580",1797,4,4,5.6
"581",1797,5,7.3,7.9
"582",1797,6,11.1,10
"583",1797,7,4.3,5.8
"584",1797,8,6,7.1
"585",1797,9,5.7,6.9
"586",1797,10,6.9,7.7
"587",1797,11,5.8,6.9
"588",1797,12,3,4.7
"589",1798,1,2,3.7
"590",1798,2,4,5.6
"591",1798,3,12.4,10.6
"592",1798,4,1.1,2.5
"593",1798,5,0,1
"594",1798,6,0,1
"595",1798,7,0,1
"596",1798,8,3,4.7
"597",1798,9,2.4,4.1
"598",1798,10,1.5,3
"599",1798,11,12.5,10.7
"600",1798,12,9.9,9.4
"601",1799,1,1.6,3.2
"602",1799,2,12.6,10.7
"603",1799,3,21.7,14.4
"604",1799,4,8.4,8.6
"605",1799,5,8.2,8.4
"606",1799,6,10.6,9.7
"607",1799,7,2.1,3.8
"608",1799,8,0,1
"609",1799,9,0,1
"610",1799,10,4.6,6.1
"611",1799,11,2.7,4.4
"612",1799,12,8.6,8.7
"613",1800,1,6.9,7.7
"614",1800,2,9.3,9.1
"615",1800,3,13.9,11.3
"616",1800,4,0,1
"617",1800,5,5,6.4
"618",1800,6,23.7,15.1
"619",1800,7,21,14.1
"620",1800,8,19.5,13.6
"621",1800,9,11.5,10.2
"622",1800,10,12.3,10.6
"623",1800,11,10.5,9.7
"624",1800,12,40.1,19.9
"625",1801,1,27,16.1
"626",1801,2,29,16.8
"627",1801,3,30,17.1
"628",1801,4,31,17.4
"629",1801,5,32,17.7
"630",1801,6,31.2,17.4
"631",1801,7,35,18.5
"632",1801,8,38.7,19.5
"633",1801,9,33.5,18.1
"634",1801,10,32.6,17.8
"635",1801,11,39.8,19.8
"636",1801,12,48.2,21.9
"637",1802,1,47.8,21.8
"638",1802,2,47,21.6
"639",1802,3,40.8,20.1
"640",1802,4,42,20.4
"641",1802,5,44,20.9
"642",1802,6,46,21.4
"643",1802,7,48,21.9
"644",1802,8,50,22.3
"645",1802,9,51.8,22.8
"646",1802,10,38.5,19.5
"647",1802,11,34.5,18.4
"648",1802,12,50,22.3
"649",1803,1,50,22.3
"650",1803,2,50.8,22.5
"651",1803,3,29.5,16.9
"652",1803,4,25,15.5
"653",1803,5,44.3,21
"654",1803,6,36,18.8
"655",1803,7,48.3,21.9
"656",1803,8,34.1,18.3
"657",1803,9,45.3,21.2
"658",1803,10,54.3,23.3
"659",1803,11,51,22.6
"660",1803,12,48,21.9
"661",1804,1,45.3,21.2
"662",1804,2,48.3,21.9
"663",1804,3,48,21.9
"664",1804,4,50.6,22.5
"665",1804,5,33.4,18.1
"666",1804,6,34.8,18.5
"667",1804,7,29.8,17
"668",1804,8,43.1,20.7
"669",1804,9,53,23
"670",1804,10,62.3,25
"671",1804,11,61,24.8
"672",1804,12,60,24.6
"673",1805,1,61,24.8
"674",1805,2,44.1,20.9
"675",1805,3,51.4,22.7
"676",1805,4,37.5,19.2
"677",1805,5,39,19.6
"678",1805,6,40.5,20
"679",1805,7,37.6,19.2
"680",1805,8,42.7,20.6
"681",1805,9,44.4,21
"682",1805,10,29.4,16.9
"683",1805,11,41,20.1
"684",1805,12,38.3,19.4
"685",1806,1,39,19.6
"686",1806,2,29.6,17
"687",1806,3,32.7,17.9
"688",1806,4,27.7,16.4
"689",1806,5,26.4,16
"690",1806,6,25.6,15.7
"691",1806,7,30,17.1
"692",1806,8,26.3,15.9
"693",1806,9,24,15.2
"694",1806,10,27,16.1
"695",1806,11,25,15.5
"696",1806,12,24,15.2
"697",1807,1,12,10.4
"698",1807,2,12.2,10.5
"699",1807,3,9.6,9.2
"700",1807,4,23.8,15.1
"701",1807,5,10,9.4
"702",1807,6,12,10.4
"703",1807,7,12.7,10.8
"704",1807,8,12,10.4
"705",1807,9,5.7,6.9
"706",1807,10,8,8.3
"707",1807,11,2.6,4.3
"708",1807,12,0,1
"709",1808,1,0,1
"710",1808,2,4.5,6
"711",1808,3,0,1
"712",1808,4,12.3,10.6
"713",1808,5,13.5,11.1
"714",1808,6,13.5,11.1
"715",1808,7,6.7,7.5
"716",1808,8,8,8.3
"717",1808,9,11.7,10.3
"718",1808,10,4.7,6.2
"719",1808,11,10.5,9.7
"720",1808,12,12.3,10.6
"721",1809,1,7.2,7.9
"722",1809,2,9.2,9
"723",1809,3,0.9,2.1
"724",1809,4,2.5,4.2
"725",1809,5,2,3.7
"726",1809,6,7.7,8.2
"727",1809,7,0.3,0.8
"728",1809,8,0.2,0.5
"729",1809,9,0.4,1.1
"730",1809,10,0,1
"731",1809,11,0,1
"732",1809,12,0,1
"733",1810,1,0,1
"734",1810,2,0,1
"735",1810,3,0,1
"736",1810,4,0,1
"737",1810,5,0,1
"738",1810,6,0,1
"739",1810,7,0,1
"740",1810,8,0,1
"741",1810,9,0,1
"742",1810,10,0,1
"743",1810,11,0,1
"744",1810,12,0,1
"745",1811,1,0,1
"746",1811,2,0,1
"747",1811,3,0,1
"748",1811,4,0,1
"749",1811,5,0,1
"750",1811,6,0,1
"751",1811,7,6.6,7.5
"752",1811,8,0,1
"753",1811,9,2.4,4.1
"754",1811,10,6.1,7.2
"755",1811,11,0.8,2
"756",1811,12,1.1,2.5
"757",1812,1,11.3,10.1
"758",1812,2,1.9,3.5
"759",1812,3,0.7,1.8
"760",1812,4,0,1
"761",1812,5,1,2.3
"762",1812,6,1.3,2.8
"763",1812,7,0.5,1.3
"764",1812,8,15.6,12
"765",1812,9,5.2,6.5
"766",1812,10,3.9,5.5
"767",1812,11,7.9,8.3
"768",1812,12,10.1,9.5
"769",1813,1,0,1
"770",1813,2,10.3,9.6
"771",1813,3,1.9,3.5
"772",1813,4,16.6,12.4
"773",1813,5,5.5,6.7
"774",1813,6,11.2,10
"775",1813,7,18.3,13.1
"776",1813,8,8.4,8.6
"777",1813,9,15.3,11.9
"778",1813,10,27.8,16.4
"779",1813,11,16.7,12.5
"780",1813,12,14.3,11.5
"781",1814,1,22.2,14.5
"782",1814,2,12,10.4
"783",1814,3,5.7,6.9
"784",1814,4,23.8,15.1
"785",1814,5,5.8,6.9
"786",1814,6,14.9,11.7
"787",1814,7,18.5,13.2
"788",1814,8,2.3,4
"789",1814,9,8.1,8.4
"790",1814,10,19.3,13.5
"791",1814,11,14.5,11.6
"792",1814,12,20.1,13.8
"793",1815,1,19.2,13.5
"794",1815,2,32.2,17.7
"795",1815,3,26.2,15.9
"796",1815,4,31.6,17.6
"797",1815,5,9.8,9.3
"798",1815,6,55.9,23.7
"799",1815,7,35.5,18.7
"800",1815,8,47.2,21.7
"801",1815,9,31.5,17.5
"802",1815,10,33.5,18.1
"803",1815,11,37.2,19.1
"804",1815,12,65,25.6
"805",1816,1,26.3,15.9
"806",1816,2,68.8,26.4
"807",1816,3,73.7,27.3
"808",1816,4,58.8,24.3
"809",1816,5,44.3,21
"810",1816,6,43.6,20.8
"811",1816,7,38.8,19.6
"812",1816,8,23.2,14.9
"813",1816,9,47.8,21.8
"814",1816,10,56.4,23.8
"815",1816,11,38.1,19.4
"816",1816,12,29.9,17
"817",1817,1,36.4,18.9
"818",1817,2,57.9,24.1
"819",1817,3,96.2,31.4
"820",1817,4,26.4,16
"821",1817,5,21.2,14.2
"822",1817,6,40,19.9
"823",1817,7,50,22.3
"824",1817,8,45,21.1
"825",1817,9,36.7,19
"826",1817,10,25.6,15.7
"827",1817,11,28.9,16.7
"828",1817,12,28.4,16.6
"829",1818,1,34.9,19.8
"830",1818,2,22.4,32.8
"831",1818,3,25.4,14.7
"832",1818,4,34.5,11.4
"833",1818,5,53.1,28.8
"834",1818,6,36.4,18.2
"835",1818,7,28,11.5
"836",1818,8,31.5,15.6
"837",1818,9,26.1,14.9
"838",1818,10,31.6,26.3
"839",1818,11,10.9,8.3
"840",1818,12,25.8,22.6
"841",1819,1,32.8,12.3
"842",1819,2,20.7,14.3
"843",1819,3,3.7,6
"844",1819,4,20.2,18
"845",1819,5,19.6,17.2
"846",1819,6,35,17.8
"847",1819,7,31.4,21.7
"848",1819,8,26.1,20.4
"849",1819,9,14.9,15
"850",1819,10,27.5,13.2
"851",1819,11,25.1,26.7
"852",1819,12,30.6,10.1
"853",1820,1,19.2,18.6
"854",1820,2,26.6,11.4
"855",1820,3,4.5,11.2
"856",1820,4,19.4,17.4
"857",1820,5,29.4,15.4
"858",1820,6,10.8,14.2
"859",1820,7,20.6,18.3
"860",1820,8,25.9,9
"861",1820,9,5.2,7.7
"862",1820,10,8.9,15
"863",1820,11,7.9,9
"864",1820,12,9.1,14.4
"865",1821,1,21.5,9.9
"866",1821,2,4.2,10.7
"867",1821,3,5.7,8
"868",1821,4,9.2,11.3
"869",1821,5,1.7,4.7
"870",1821,6,1.8,5.4
"871",1821,7,2.5,7
"872",1821,8,4.8,7.4
"873",1821,9,4.4,9.1
"874",1821,10,18.9,12.4
"875",1821,11,4.4,9.5
"876",1821,12,0.3,1.4
"877",1822,1,0,0
"878",1822,2,0.9,4.7
"879",1822,3,16.1,13.3
"880",1822,4,13,11.7
"881",1822,5,1.5,5.6
"882",1822,6,5.6,10.7
"883",1822,7,8,13.8
"884",1822,8,2.1,6.8
"885",1822,9,0,0
"886",1822,10,0.4,2
"887",1822,11,0,0
"888",1822,12,0,0
"889",1823,1,0,0
"890",1823,2,0,0
"891",1823,3,0.6,3.2
"892",1823,4,0,0
"893",1823,5,0,0
"894",1823,6,0,0
"895",1823,7,0.5,2.2
"896",1823,8,0,0
"897",1823,9,0,0
"898",1823,10,0,0
"899",1823,11,0,0
"900",1823,12,20.4,4.1
"901",1824,1,21.7,1.2
"902",1824,2,0,0
"903",1824,3,0,0
"904",1824,4,19.4,9.4
"905",1824,5,2.8,7.6
"906",1824,6,0,0
"907",1824,7,0,0
"908",1824,8,1.4,5.4
"909",1824,9,20.5,20.4
"910",1824,10,25.2,13.1
"911",1824,11,0,0
"912",1824,12,0.9,2.9
"913",1825,1,5,10.9
"914",1825,2,15.5,20.1
"915",1825,3,22.4,25.3
"916",1825,4,3.8,8.4
"917",1825,5,15.5,4.8
"918",1825,6,15.4,11.2
"919",1825,7,30.9,20.6
"920",1825,8,25.7,18.1
"921",1825,9,15.7,14.9
"922",1825,10,15.6,15.1
"923",1825,11,11.7,10.8
"924",1825,12,22,20.1
"925",1826,1,17.7,12.3
"926",1826,2,18.2,10.2
"927",1826,3,36.7,14
"928",1826,4,24,17.2
"929",1826,5,32.4,15.3
