"","RA","Dec","HIP_Num","Vmag","Plx","pmRA","pmDE","e_Plx","B.V"
"36",3.518664,-11.311587,1128,8.36,23.68,423.96,-192.91,1.19,0.645
"37",3.542725,-7.199124,1134,7.32,21.66,102.84,-66.51,1.17,0.521
"38",3.561281,-55.069662,1140,6.66,21.62,-2.89,-29.25,0.68,0.462
"39",3.584179,-27.53143,1144,7.42,20.23,-28.31,-144.53,1.2,0.64
"40",3.58976,60.341697,1148,8.51,22.51,182.08,27.46,1.49,0.73
"41",3.769307,-68.5301,1206,8.57,22.9,47.78,54.59,0.93,0.695
"42",4.048267,30.532577,1294,8.79,23.91,192.81,38.43,1.17,0.965
"43",4.10194,-46.719836,1308,11.06,21.82,201.19,10.94,2.32,1.258
"44",4.180698,20.856694,1334,10.01,23.92,383.12,13.01,1.54,0.95
"45",4.344244,18.859499,1389,10.51,23.3,533.2,-26.87,3.17,1.31
"46",4.376057,-47.433405,1398,11.36,24.12,197.08,-71.95,2.91,1.22
"47",4.376858,-59.951163,1399,11.3,22.54,113.2,-40.25,2.33,1.4
"48",4.386263,-19.051092,1402,6.46,20.47,20.45,-2.36,0.89,0.386
"49",4.387587,24.667824,1406,10.83,20.51,157.85,-13.58,12.73,1.249
"50",4.402756,-64.378804,1407,11.3,21.8,160.91,-88.19,1.97,1.31
"51",4.458258,16.331014,1427,7.21,21.66,220.65,-28.23,0.87,0.477
"52",4.581904,36.785224,1473,4.51,23.11,-66.51,-42.48,0.68,0.054
"53",4.608849,-63.477494,1481,7.46,24.42,90.37,-58.98,0.68,0.537
"54",4.901987,-7.224021,1573,7.03,21.59,24.21,-142.03,0.98,0.508
"55",5.280288,37.968603,1686,5.16,20.42,58.32,-39.65,0.73,0.442
"56",5.399856,-66.47633,1719,9.65,23.22,255.13,161.13,1.02,0.835
"57",5.605006,6.667551,1771,11.21,20.26,185.86,-229.39,2.65,1.47
"58",5.644884,-73.032355,1779,8.59,22.53,-8.25,-45.85,0.91,0.769
"59",5.736453,-52.526377,1807,9.83,22.93,114.7,-474.54,1.42,0.848
"60",5.750872,22.375001,1813,7.57,24.68,202.95,-220.85,0.9,0.639
"61",5.769747,-65.121144,1823,7.88,21.66,-103,-52.69,1.22,0.579
"62",5.907674,-3.763494,1866,10.66,20.9,250.6,-56.35,1.98,1.099
"63",5.913747,43.647486,1871,8.68,22.65,180.73,102.82,1.16,0.709
"64",5.94719,-36.861366,1885,10.6,23.75,-186.5,-66.93,1.79,1.258
"65",6.037431,-62.184524,1910,11.33,21.59,92.71,-45.92,2.22,1.39
"66",6.091791,-24.848818,1933,9.56,20.81,293.05,-223.17,1.49,0.904
"67",6.255922,-30.6977,1976,7.57,20.45,-165.95,-277.8,1.08,0.616
"68",6.26775,45.688766,1978,9.61,23.77,267.78,-105.47,1.31,1.06
"69",6.286405,48.047486,1987,7.52,23.69,274.31,11.16,1.08,0.629
"70",6.668678,30.199456,2102,10.05,22.32,254.07,-153.71,1.59,1
"71",6.931339,-32.38747,2194,9.02,21.72,328.21,-104.69,1.37,0.745
"72",6.958062,-6.486096,2201,11.59,21.07,272.28,-927.77,12.54,1.229
"73",7.293424,-50.611907,2282,8.46,20.6,340.61,-136.13,1.06,0.748
"74",7.369087,-11.017157,2311,9.34,22.77,214.83,-57.8,1.5,0.84
"75",7.427716,20.301409,2327,10.11,20.25,27.94,-16.39,4.43,0.57
"76",7.466239,-14.864109,2337,6.15,23.62,147.08,-33.98,0.87,0.388
"77",7.575975,7.179022,2373,10.68,20.15,290.87,-47.19,1.85,1.066
"78",7.608824,-48.21491,2383,5.67,22.19,163.44,-87.3,0.67,0.367
"79",7.689853,47.529873,2414,7.74,20.91,6,-54.4,1.05,0.652
"80",7.803794,69.78526,2453,7.37,23.95,297.68,-72.65,0.66,0.504
"81",7.886111,-62.958218,2484,4.36,23.35,82.48,-54.37,0.52,-0.064
"82",8.034493,-5.178707,2533,8.54,21.4,297.12,-27.41,1.86,0.84
"83",8.182938,-63.0315,2578,5.07,21.52,86.15,-49.85,0.49,0.038
"84",8.613211,-6.503906,2710,6.9,24.09,-72.45,-86.61,0.88,0.481
"85",8.623801,47.915542,2712,7.38,21.2,397.41,59.85,0.87,0.549
"86",8.713333,-61.916147,2729,9.56,21.78,87.33,-53.14,1.01,1.05
"87",8.739684,4.381469,2736,8.97,22.17,107.6,-172.75,1.24,0.827
"88",8.807382,51.838221,2760,7.37,22.87,51.84,-118.47,1,0.602
"89",8.910597,79.259074,2797,9.31,20.78,176.27,-29.38,0.93,0.78
"90",8.967788,29.237811,2824,8.37,21.23,102.28,-16.38,1.17,0.648
"91",8.969943,12.596639,2828,11.26,23.82,-366.89,-313.57,2.4,1.31
"92",9.007725,-5.570721,2843,6.72,21.19,225.69,-108.55,0.92,0.466
"93",9.018371,-49.128132,2848,8.4,23.21,387.53,-133.01,1.15,0.78
"94",9.028572,-22.842333,2852,6.06,20.12,-71.44,-50.35,0.91,0.297
"95",9.158235,-49.132323,2888,6.79,22.79,385.2,-132.44,0.73,0.639
"96",9.343849,-37.28808,2944,6.99,22.29,547.87,-40.97,0.84,0.723
"97",9.487466,47.407712,2981,7.53,20.92,111.23,-84.37,0.97,0.463
"98",9.560779,84.674977,3006,7.11,24.8,-19.99,-17.89,0.6,0.554
"99",9.638496,-12.172419,3028,9.21,24.02,111.01,84.7,1.22,0.846
"100",9.805266,3.133923,3086,7.34,21.79,781.34,296.76,0.88,0.633
"101",9.919603,11.532281,3119,7.43,20.14,158.48,-11.77,0.91,0.538
"102",9.935642,-26.466001,3125,10.22,24.73,244.35,-17.15,1.63,1.278
"103",9.990932,-33.961449,3142,6.68,24.12,330.05,-108.27,0.82,0.519
"104",10.183078,-49.592051,3195,8.78,23.09,181.51,-122.62,1.37,0.747
"105",10.214905,-53.209917,3210,7.37,21.91,112.6,-47.59,0.82,0.539
"106",10.282924,19.254426,3232,9.92,20.28,371.36,-78.25,1.77,0.93
"107",10.313829,-52.317185,3243,10.84,22.95,131.51,8.63,3.02,1.27
"108",10.394253,65.868215,3267,6.95,20.99,71.95,-60.45,0.66,0.579
"109",10.505943,40.688258,3293,7.03,20.38,-9.53,-62.51,1.02,0.452
"110",10.618221,-65.46803,3330,5.38,24.59,54.11,41.12,0.51,0.515
"111",10.638405,-54.120006,3337,9.1,24.04,-71.72,-160.6,5.66,0.772
"112",10.71143,-9.921691,3369,6.63,24.48,-26.97,-21.33,0.91,0.529
"113",10.802486,-37.982631,3391,7.88,22.7,50.46,-114.46,0.99,0.716
"114",10.922599,23.885303,3428,10.97,23.62,91.71,-186.7,2.28,1.32
"115",11.200419,67.158181,3509,6.9,21.8,217.29,-57.56,0.62,0.492
"116",11.249753,-53.714895,3527,6.15,22.09,223.4,2.2,0.65,0.524
"117",11.295663,0.25328,3540,7.01,24.27,263.71,-52.28,0.88,0.537
"118",11.340761,16.984239,3551,9.93,20.12,179.82,-63.91,1.64,0.96
"119",11.448419,66.492702,3587,7.54,23.1,2.92,-57.25,0.78,0.545
"120",11.462035,54.977826,3589,7.63,20.56,95.62,-76.91,1.69,0.517
"121",11.641863,14.325453,3633,9.92,21.51,203.99,-56.23,1.44,0.814
"122",11.660442,69.325408,3641,6.39,24.65,166.87,15.31,0.59,0.424
"123",11.951991,6.031909,3724,11.73,20.55,54.89,-33.7,3.61,1.4
"124",12.614569,59.502339,3930,10.15,21.34,161.26,-161.14,1.66,0.909
"125",12.861548,-43.590594,4010,9.71,20.84,63.78,25.83,1.61,0.857
"126",12.958534,78.625763,4041,8.45,24.87,158.6,-5.26,0.82,0.78
"127",13.195516,9.80346,4120,8.5,23.39,-32.77,-49.48,2.04,0.4
"128",13.215638,40.24557,4127,6.76,23.82,-91.08,52.37,0.87,0.595
"129",13.395749,-22.203576,4194,8.92,21.15,212.68,-99.55,1.37,0.722
"130",13.419104,43.363391,4205,7.19,22.41,282.48,-129.39,1.63,0.622
"131",13.749093,-74.302356,4291,6.68,20.41,125.74,114.51,0.58,0.987
"132",13.799104,-16.971559,4310,7.92,20.24,-130.36,-196.7,1.19,0.991
"133",13.799908,0.932649,4312,10.62,23.01,-228.8,-127.3,1.81,1.15
"134",14.072365,52.491237,4393,7.53,24.39,202.53,1.74,0.87,0.667
"135",14.081641,-65.445893,4394,10.1,20.42,257.74,-223.46,1.21,0.942
"136",14.088536,-63.958384,4395,7.17,22.34,316.15,165.78,0.65,0.808
"137",14.188381,38.499345,4436,3.86,23.93,152.78,36.82,1.22,0.13
"138",14.231145,-51.875517,4448,8.99,22.95,97.9,11.31,2.16,1.02
"139",14.334247,-1.816008,4478,9.45,20.88,-249.29,-182.75,1.26,0.854
"140",14.36034,-39.8586,4482,10,21.29,187.1,-37.23,1.74,0.987
"141",14.812194,83.102691,4617,7.86,21.38,82.03,-96.02,0.71,0.557
"142",14.903389,-13.978909,4643,10.56,20.85,210.21,22.59,2.04,1.086
"143",15.093902,-13.599425,4699,10.06,23.96,-103.65,-92.29,1.65,1.047
"144",15.173432,14.840606,4727,9.56,20.54,224.1,-30.9,1.42,0.877
"145",15.257317,-4.6484,4747,7.34,24.76,0.13,-56.2,0.86,0.547
"146",15.3293,-60.860148,4772,6.91,22.23,73.14,98.11,0.64,0.65
"147",15.648422,27.747951,4868,6.88,22.39,76.54,8.14,0.87,0.448
"148",15.665776,-25.30844,4874,9.84,22.04,281.85,-40.64,1.68,0.919
"149",15.683333,-47.28758,4882,7.7,20.35,-35.05,-132.5,0.78,0.591
"150",15.719639,47.047181,4900,10.81,24.14,396.35,-177.02,2.69,1.47
"151",15.91157,82.100747,4966,8.44,22.56,-174.8,-62.41,0.73,0.6
"152",16.115112,29.658806,5034,6.2,23.82,85.1,-120.26,0.87,0.443
"153",16.167296,-39.488217,5054,7.72,24.8,-168.97,-527.71,0.89,0.613
"154",16.384161,-66.742391,5114,10.08,22.78,-3.19,275.37,1.2,0.964
"155",16.455121,4.908372,5141,6.35,21.87,11.75,-119.26,1.03,0.383
"156",16.464327,4.90941,5144,7.26,22.69,35.56,-126.7,1.03,0.484
"157",16.508534,-22.453153,5158,10.16,22.32,201.83,-107.22,2.12,1.078
"158",16.55263,13.252752,5176,8.15,20.84,165.22,-14.32,1,0.656
"159",16.608973,-14.296419,5191,9.5,20.01,100.17,-95.16,1.32,0.907
"160",16.795794,-1.732081,5253,7.02,20.28,71.42,0.76,1.29,0.56
"161",16.818798,-63.394481,5266,11.43,20.54,170.57,60.41,1.5,1.54
"162",16.853718,69.879018,5273,10.58,21.01,332.81,-168.29,1.61,1.009
"163",16.942536,-9.78555,5296,5.71,20.97,149.04,16.99,0.66,0.446
"164",16.98818,20.739113,5310,5.56,20.23,85.43,-85.81,0.81,0.121
"165",16.9986,1.993042,5315,6.44,21.53,143.39,-432.84,0.83,0.847
"166",17.005602,32.01213,5319,6.23,23.87,203.71,-25.62,0.78,0.398
"167",17.241461,-30.929278,5389,9.1,21.57,211.5,-104.33,1.27,0.764
"168",17.485859,-64.359209,5462,8.8,20.21,-3.11,9.6,0.84,0.672
"169",17.686107,10.999833,5527,9.08,20,221,46.93,1.33,0.771
"170",17.775675,55.149901,5542,4.34,23.73,226.62,-19.34,0.68,0.17
"171",17.88367,-12.843083,5578,7.48,24.65,-29.86,-69.09,0.91,0.589
"172",17.915153,30.089638,5586,4.51,20.11,74.29,-37.61,0.87,1.092
"173",18.125191,-9.223712,5644,7.74,22.01,386.87,-9.86,0.96,0.687
"174",18.275286,41.654303,5684,7.24,22.36,314.65,-37.54,0.79,0.77
"175",18.290325,19.712242,5687,11.21,23.99,15.97,-208.54,2.45,NA
"176",18.328422,-1.862114,5697,8.95,21.71,-202.02,-69.35,1.25,0.685
"177",18.432857,7.575354,5737,5.21,22.09,141.66,-55.62,2.04,0.32
"178",18.453247,-50.655586,5745,8.47,23.55,165.63,-82.05,1.01,0.446
"179",18.543761,58.812331,5784,7.18,23.31,18.85,-47.5,0.86,0.546
"180",18.704883,-0.973795,5833,5.7,22.79,-14.55,205.45,0.8,0.428
"181",18.937762,-53.715676,5895,8.25,20.84,115.03,25.77,0.88,0.646
"182",19.177825,24.501847,5965,9.97,20.47,-58.8,-201.42,1.68,1.022
"183",19.186201,44.671092,5970,11.97,20.57,211.94,-98.7,3.96,NA
"184",19.344987,-5.632552,6022,7.88,20.42,159.04,-18.11,0.97,0.556
"185",19.497391,-48.150308,6075,11.54,24.57,213.03,101.86,4.46,1.447
"186",20.012456,-9.883786,6237,6.65,20.54,27.81,-75.9,0.92,0.405
"187",20.116424,-57.338517,6271,7,20.28,174.56,88.85,0.82,0.545
"188",20.137309,38.333032,6278,10.62,21.41,15.63,-48.23,2.42,1.108
"189",20.266574,38.034206,6309,7.83,20.25,277.69,17.65,1.17,0.661
"190",20.652509,12.750949,6431,9.5,23.84,403.31,9.37,2.11,1.024
"191",20.736488,7.41926,6454,7.3,22.13,94.39,230.73,0.99,0.829
"192",20.829275,-66.172474,6483,9.88,24.89,325.67,106.81,1.09,1.003
"193",20.838562,-57.480748,6485,8.53,20.29,92.99,-36.93,0.93,0.705
"194",20.857793,-76.611783,6494,8.37,20.73,100.61,-20.95,0.7,0.656
"195",20.961955,17.818344,6527,6.59,20.42,76.16,-41.17,0.78,0.403
"196",21.051264,-31.811963,6551,6.85,20.01,165.45,-76.58,0.87,0.569
"197",21.08543,-6.914656,6564,5.92,22.33,31.05,5.12,0.95,0.407
"198",21.205029,-27.839046,6607,8.29,24.75,320.92,-275.98,1.22,0.684
"199",21.302153,28.566693,6643,7.12,22.65,252.59,-158.59,0.82,0.577
"200",21.368079,12.155713,6660,10.29,22.05,-165.18,-198.28,1.89,1.06
"201",21.556946,13.816194,6705,11.96,21.25,-108.81,-116.35,7.75,1.365
"202",21.577858,43.457739,6711,5.98,24.21,108.31,-60.45,0.74,0.52
"203",21.70519,-29.474967,6744,8.41,24.51,26.25,-189.6,0.99,0.725
"204",21.776369,34.377552,6776,6.27,23.45,160.89,-10.75,0.75,0.453
"205",21.863387,-25.936907,6795,9.14,24.14,-26.87,-141.31,1.07,0.86
"206",22.079766,30.557694,6862,6.9,22.52,41.72,-61.28,0.78,0.505
"207",22.185783,31.611233,6890,9.29,24.16,371.63,64.77,1.3,1
"208",22.25459,86.933092,6913,8.4,23.97,-13.05,10.65,0.75,0.708
"209",22.360208,42.2819,6943,7.18,22.04,137.38,-62.11,0.78,0.453
"210",22.452721,23.690441,6975,7.62,21.66,-49.52,-49.57,1.08,0.556
"211",22.464021,31.007335,6978,7.93,23.4,226.61,0.99,1.03,0.71
"212",22.684684,50.665793,7037,8.69,21.03,-105.03,-97,1.2,0.734
"213",22.796055,-9.312237,7076,8.15,22.17,60.73,-71.08,0.98,0.63
"214",22.812936,-49.072702,7083,3.93,22.15,138.22,154.2,0.61,0.972
"215",22.831352,29.413089,7090,7.32,23.18,177.63,-88.59,0.92,0.622
"216",23.067623,-18.566175,7158,8.46,22.07,38.56,-56.97,2.88,0.679
"217",23.137214,-49.528137,7183,7.78,20.49,150.93,-54.47,0.81,0.641
"218",23.473448,27.235764,7287,11.03,21.63,486.92,-210.93,2.34,1.2
"219",23.479935,-55.523622,7290,9.88,22.36,-41.5,-197.5,2.04,1.072
"220",23.495454,-10.424382,7296,9.98,20.73,-14.77,-213.38,1.95,0.958
"221",23.601998,65.963884,7333,10.73,24.48,-170.82,39.68,1.95,1.17
"222",23.742067,33.117864,7370,6.74,20.91,-34.06,-134.22,0.9,0.634
"223",23.812598,-58.139475,7387,6.03,24.72,284.01,-33.05,0.54,0.382
"224",23.906889,42.038857,7420,10.97,23.86,119.08,-197.22,2.07,1.283
"225",23.918462,-50.261674,7425,10.47,20.47,231.39,52.33,4.74,1.336
"226",23.920121,-65.293691,7426,8.83,20.46,61.64,-64.52,0.84,0.761
"227",23.924891,-55.237984,7429,7.85,20.82,148.23,188.41,0.79,0.556
"228",23.971135,-17.532466,7446,7.15,23.3,277.54,-201.11,0.86,0.712
"229",24.042042,-29.392348,7467,8.83,21.22,-56.85,3.78,1.32,0.761
"230",24.35456,25.167769,7564,6.99,23.8,-211.25,-207.66,0.86,0.9
"231",24.428527,-57.236757,7588,0.45,22.68,88.02,-40.08,0.57,-0.158
"232",24.559073,17.82942,7626,9.4,20.45,251.64,-160.64,1.51,0.81
"233",24.694776,63.716715,7670,8.71,20.4,97.2,28.23,3.32,0.87
"234",24.78177,-56.429373,7699,7.08,20.37,91.46,-30.56,0.61,0.466
"235",24.924035,-46.509951,7743,9.87,24.92,17.17,-88.92,1.52,1.151
"236",24.925794,65.160646,7744,8.53,22.58,-48.96,252.99,1.05,0.773
"237",24.977503,-9.972241,7759,7.85,21.16,239.06,89.85,0.96,0.607
"238",25.093555,-10.444461,7799,9.13,20.01,219.02,-39.82,1.72,0.695
"239",25.144191,-30.728462,7817,11.6,24.1,495.99,-353.03,2.54,1.607
"240",25.184053,15.619448,7830,8.92,24.18,180.64,-28.69,1.26,0.905
"241",25.265193,-43.636112,7858,11.64,23.7,-56.85,-213.45,2.56,1.408
"242",25.277815,3.713895,7860,8.09,23.73,-109.51,107.06,0.93,0.735
"243",25.36384,-38.132827,7886,6.2,23.87,50.23,56.51,0.65,0.404
"244",25.487226,17.057971,7930,10.28,21.4,-219.38,-57.26,1.83,1.16
"245",25.526686,69.086001,7949,7.53,21.08,183.98,-7.67,0.68,0.586
"246",25.562129,-17.888807,7961,7.45,20.45,548.81,11.38,0.99,0.617
"247",25.654227,-58.413149,7990,8.4,22.59,22.4,-38.03,0.82,0.714
"248",25.796105,-58.010125,8035,9.13,24.3,-149.96,-187.83,2.1,0.874
"249",25.80908,-21.615676,8038,10.12,22.11,58.75,-18.27,14.43,1.158
"250",25.913188,28.056001,8067,10.61,20.23,254.13,0.88,6.05,1.035
"251",25.937199,9.568662,8078,8.51,21.2,-46.85,-46.21,3.47,0.82
"252",26.058657,54.886433,8109,7.27,22.38,-50.14,-20.97,0.87,0.601
"253",26.120558,-33.842669,8128,8.74,21.09,94.37,-74.9,1.17,0.685
"254",26.461289,-11.330248,8220,10.13,24.49,126.01,-312.19,1.95,1.104
"255",26.504411,-27.348831,8233,6.38,23.16,97.86,-45.12,0.81,0.366
"256",27.085764,-41.495065,8398,7.13,22.16,413.82,153.07,0.77,0.637
"257",27.361421,17.783056,8489,11.17,20.53,22.97,-207.75,2.43,NA
"258",27.398084,-46.76867,8498,7.93,20.46,22,106.9,0.91,0.664
"259",27.564369,-6.704091,8548,7.07,23.26,226.1,37.88,0.9,0.569
"260",27.689217,55.91883,8582,8.96,20.29,251.33,-91.09,1.25,0.78
"261",27.716553,11.043378,8588,5.92,23.46,-69.33,-27.84,1.02,0.302
"262",27.738031,51.933417,8598,5.96,22.42,41.16,-115.5,0.67,0.419
"263",27.834424,-38.009507,8631,11.48,21.97,140.61,198.05,5.74,1.343
"264",27.87997,-7.739903,8653,8.61,22.83,92.86,-3.99,1.33,0.644
"265",27.942601,-54.965846,8687,11.48,20.13,279.27,-13.32,5.96,1.388
"266",28.15118,36.342539,8753,10.08,20.46,128.69,-181.06,1.51,1.095
"267",28.213776,4.832705,8775,11.48,21.01,110.16,-24.61,3.33,1.315
"268",28.370726,73.963294,8825,10.35,23.06,545.54,-171.84,1.35,1.131
"269",28.381016,-21.25273,8830,9.31,24.12,6.75,-249.05,1.34,0.988
"270",28.490344,10.614027,8859,6.77,23.97,-185.12,-285.6,0.97,0.468
"271",28.807975,7.14626,8946,12.49,22.93,84.6,-60.35,5.47,1.34
"272",28.841731,2.956683,8958,9.36,23.17,-7.77,-55.38,3.02,0.94
"273",28.943679,-60.860975,8983,6.07,21.5,14.17,66.77,0.53,0.356
"274",28.960618,-78.348548,8991,6.15,24.2,103.01,53.05,0.51,0.448
"275",29.15951,43.912756,9059,9.62,22.05,-201.23,-103.09,1.45,0.92
"276",29.182234,29.810848,9067,11.62,20.02,-133.25,48.24,3.09,1.686
"277",29.416791,-5.233431,9127,9.19,24.79,196.47,-204.88,1.45,0.953
"278",29.454074,-21.901485,9141,8.07,23.61,103.86,-50.89,1.03,0.651
"279",29.481155,40.760604,9151,6.87,22.65,123.81,-86.89,0.79,0.499
"280",29.482155,23.596061,9153,4.79,24.49,-91.51,-14.45,0.78,0.29
"281",30.02224,-13.546113,9349,7.99,22.8,48.68,-20.91,1.18,0.66
"282",30.196712,-80.532713,9400,8.93,24.32,-67.3,-141.86,0.85,0.797
"283",30.203133,-12.874982,9404,8.76,23.8,218.63,117.76,1.21,0.746
"284",30.237918,-78.870308,9414,6.84,21.86,120.93,-57.67,0.53,0.576
"285",30.448973,13.024149,9463,10.16,24.83,-128.28,-146.27,1.91,1.19
"286",30.468621,7.864369,9473,7.06,21.43,121.23,-49.33,0.84,0.51
"287",30.51175,2.763759,9487,3.82,23.45,33.29,-0.42,1.06,0.024
"288",30.611374,2.815859,9519,8.18,21.24,34.96,-8.54,1.28,0.649
"289",30.757186,3.358616,9576,6.88,20.63,220.25,138.03,1.15,0.664
"290",30.78995,48.620391,9583,7.7,21.24,195.2,-45.98,1.9,0.644
"291",30.858772,72.421294,9598,3.95,20.12,-44,22.51,0.56,-0.002
"292",30.867944,9.886853,9599,11.86,23.48,170.12,-4.47,3.58,1.376
"293",30.887634,12.584715,9607,11.54,21.7,382.01,-53.82,3.39,1.34
"294",30.941672,-40.469094,9629,8.69,22.16,377.35,41.75,0.98,0.722
"295",30.980212,-45.412904,9642,7.3,20.34,328.03,52.87,1.04,0.694
"296",31.069363,60.244324,9659,7.36,22.16,-24.13,-60.81,0.93,0.555
"297",31.146329,-54.881689,9685,6.45,21.17,75.79,-24.72,0.56,0.386
"298",31.222796,11.405182,9709,8.8,20.35,59.62,60.6,1.05,0.734
"299",31.329715,0.322842,9742,8.68,20.85,1.4,-26.91,1.19,0.684
"300",31.381922,12.168674,9764,10.03,20.89,-15.1,-81.04,1.49,1
"301",31.406161,-24.379485,9769,8.95,21.63,412.68,-55.9,1.45,0.795
"302",31.422974,-24.376038,9774,8.55,22.31,420.17,-56.69,1.89,0.885
"303",31.858856,-59.67943,9902,7.5,22.24,93.05,-18.82,0.63,0.544
"304",31.925753,7.958527,9920,11.22,22.44,-10.92,-135.87,2.61,1.271
"305",32.167021,-0.359898,9989,10.94,24.47,442.82,-99.81,2.22,1.248
"306",32.533483,-31.069868,10117,8.91,22.27,240.66,-175.12,1.09,0.88
"307",32.716996,13.683276,10175,7.63,20.41,111.71,-73.24,1.75,0.704
"308",32.83783,8.569805,10212,5.64,23.52,-141.2,-114.26,0.86,0.569
"309",32.84261,-10.052162,10215,6,20,-27.3,-171.15,0.94,0.418
"310",32.991582,4.361603,10258,9.7,20.55,-146.48,-78.57,1.6,1.04
"311",33.086161,-46.816386,10278,7.89,23.02,-30.6,-67.25,0.84,0.667
"312",33.198091,-2.393637,10305,5.65,21.71,374.41,-73.08,1.67,0.546
"313",33.23359,57.204495,10322,7,24.38,267.14,-217.05,0.82,0.651
"314",33.281158,58.080043,10332,11.42,23.29,-11.12,31.89,7.15,NA
"315",33.439813,-33.405939,10385,10.87,20.25,174.98,-0.45,2.11,1.097
"316",33.510241,47.484241,10403,6.05,24.07,-82.13,-60.1,0.96,0.406
"317",33.817531,-23.281372,10492,8.07,23.06,68.14,14.59,1.09,0.737
"318",33.923857,-9.01312,10532,9.11,21.72,28.32,9.47,1.49,0.88
"319",33.928239,25.043043,10535,5.57,20.77,-88.69,-87.16,0.89,0.52
"320",33.941875,25.782937,10540,5.79,24.93,176.41,-66.38,0.88,0.439
"321",33.981795,46.457304,10556,11.15,21.18,230.67,-150.91,2.22,1.29
"322",34.007209,-36.471797,10567,7.5,20.84,81.2,-118.48,0.88,0.534
"323",34.066104,-9.821246,10584,6.91,21.53,264.04,-38.6,0.89,0.623
"324",34.127439,-51.512165,10602,3.56,21.06,90.75,-21.9,0.61,-0.12
"325",34.197413,43.772996,10626,7.61,21.97,98.65,-183.92,0.96,0.642
"326",34.356971,65.262101,10681,7.61,22.55,-37.35,-12.23,0.88,0.574
"327",34.558514,-36.336756,10741,10.03,23.52,12.54,7.13,1.86,0.99
"328",34.679715,81.786416,10778,9.98,23.06,98.25,-252.37,1.21,0.897
"329",34.727641,35.218236,10789,11.75,22.2,199.28,-34.02,3.17,1.494
"330",35.406923,-34.837272,10989,9.43,23.73,-54.08,-103.45,1.35,0.905
"331",35.437261,-68.659418,11001,4.08,24.1,-50.07,2.38,0.51,0.034
"332",35.496597,-29.352086,11024,7.9,22.23,28.66,-173.25,1.34,0.644
"333",35.630448,-53.094191,11071,10.67,20.65,244.53,126.44,1.46,1.156
"334",35.709601,41.396297,11090,5.81,21.16,-74.2,-97.68,0.74,0.289
"335",35.810576,-29.869323,11131,6.96,24.51,-77.38,-97.45,1.47,0.566
"336",36.224628,-60.311948,11258,5.36,20.4,-71.08,-131.04,0.5,0.395
