"","R.A.","Dec.","Mag","Vel","SigVel"
"51",193.32375,-30.41056,18.94,32039,58
"52",193.32417,-28.51611,18.18,25612,119
"53",193.32667,-31.03694,0,16545,51
"54",193.33042,-30.50528,17.97,30917,36
"55",193.33042,-29.06389,18.1,16515,79
"56",193.33333,-30.44917,17.75,30657,63
"57",193.33417,-28.43083,18.19,18555,15
"58",193.34542,-28.27333,18.38,17689,15
"59",193.34917,-28.34611,15.57,16403,60
"60",193.35125,-28.47972,14.58,8140,31
"61",193.35625,-28.305,18.2,16287,15
"62",193.35917,-28.90333,17.84,16336,61
"63",193.36208,-30.11806,18.4,25871,62
"64",193.36458,-28.31056,17.78,33257,105
"65",193.37417,-28.15611,18.38,28874,15
"66",193.37833,-28.265,17.15,16705,29
"67",193.37833,-28.19139,18.21,16988,15
"68",193.38,-29.45528,0,15201,61
"69",193.38292,-30.79361,17.6,15654,57
"70",193.3875,-32.32889,15.11,9277,74
"71",193.39375,-28.32972,16.31,16281,40
"72",193.39458,-28.31639,18.6,16717,38
"73",193.3975,-29.11833,18.52,16016,50
"74",193.39958,-28.25083,17.15,16330,15
"75",193.40333,-31.20444,0,12411,120
"76",193.40417,-28.81333,0,20985,0
"77",193.41,-29.80306,18.25,21069,15
"78",193.41583,-30.07694,18.72,21413,15
"79",193.41667,-29.64778,18.14,25854,82
"80",193.41917,-28.81611,15.89,16633,132
"81",193.42,-31.20972,0,12411,120
"82",193.42167,-28.32417,18.37,21029,70
"83",193.42167,-29.09806,18.49,16566,59
"84",193.4225,-29.84278,18.21,20962,83
"85",193.43958,-29.04778,15.9,14872,48
"86",193.44083,-30.13306,17.53,16640,58
"87",193.44792,-28.80056,18.82,15736,49
"88",193.45,-28.23694,17.96,15586,38
"89",193.45083,-29.76194,18.89,31033,15
"90",193.45167,-30.00028,18.4,20559,35
"91",193.4525,-30.37389,19.03,31913,31
"92",193.45292,-27.89611,15.74,3187,10
"93",193.46,-30.00667,17.72,20589,41
"94",193.46167,-29.77139,18.86,30917,15
"95",193.46292,-29.02111,0,16362,80
"96",193.46708,-28.60444,0,14791,50
"97",193.46792,-29.02611,15.7,23053,13
"98",193.47292,-29.78722,18.61,30731,82
"99",193.475,-28.57417,0,14671,50
"100",193.475,-32.045,16.3,9475,110
"101",193.47958,-28.34167,15.79,15938,166
"102",193.48,-29.16417,18.8,16716,69
"103",193.48083,-30.11361,18.38,26007,34
"104",193.4875,-28.99056,18.53,16493,112
"105",193.4875,-28.42972,18.65,18030,171
"106",193.48792,-29.14167,18.42,17606,36
"107",193.48958,-30.3775,18.48,21633,43
"108",193.49208,-29.86306,17.92,27888,31
"109",193.49292,-29.51944,0,17631,52
"110",193.49417,-29.10167,18.84,16654,56
"111",193.49458,-28.99417,18,15833,38
"112",193.49583,-30.1725,19.12,17546,61
"113",193.50208,-29.89972,18.73,27838,88
"114",193.50333,-28.73556,0,16680,50
"115",193.50667,-28.50028,0,16528,50
"116",193.50667,-29.81861,18.57,27762,73
"117",193.50708,-30.28306,18.95,16354,80
"118",193.51083,-30.31306,19.19,20786,37
"119",193.51125,-30.14667,18.59,16483,31
"120",193.51625,-29.52056,18.21,17018,38
"121",193.51708,-29.0725,15.33,17303,50
"122",193.51958,-29.13444,18.87,13720,85
"123",193.52458,-30.31889,18.12,16962,45
"124",193.52583,-28.97194,19.34,16283,92
"125",193.52708,-30.14611,18.61,32535,105
"126",193.52875,-29.84583,18.13,21029,15
"127",193.5325,-29.27472,18.02,21424,71
"128",193.53333,-29.13972,18.51,16421,58
"129",193.53583,-28.84222,17.93,17546,62
"130",193.53667,-29.79778,17.16,21025,32
"131",193.54125,-30.345,17.49,15984,38
"132",193.5425,-29.15611,17.1,15265,54
"133",193.54458,-29.17833,15.48,17177,50
"134",193.54667,-29.61056,15.71,25584,100
"135",193.5475,-29.02972,16.14,16622,50
"136",193.55,-29.49194,19.24,21296,10
"137",193.55083,-29.15667,17.6,15910,36
"138",193.55292,-29.06056,18.57,16945,38
"139",193.55333,-28.72167,16.27,20683,15
"140",193.55375,-29.19639,15.84,22870,51
"141",193.55375,-29.88528,18.04,21495,31
"142",193.55375,-29.975,18.94,31862,42
"143",193.55417,-30.55611,16.82,15271,35
"144",193.55458,-30.60167,16.6,15669,83
"145",193.55542,-29.09194,18.86,14192,57
"146",193.55958,-28.98806,17.7,16784,50
"147",193.55958,-29.05056,18.1,17893,9
"148",193.56292,-28.8675,18.66,16706,57
"149",193.56333,-29.81694,17.36,20862,27
"150",193.56542,-29.00556,17.7,15352,50
"151",193.56792,-28.75667,16.41,15548,50
"152",193.56792,-29.79333,18.57,27605,72
"153",193.56833,-30.29139,18.06,15929,72
"154",193.57042,-29.02167,17.06,15310,39
"155",193.57125,-29.01278,0,16194,113
"156",193.57292,-29.5175,16.96,24727,34
"157",193.57333,-29.01389,17.5,16359,51
"158",193.57875,-29.30278,15.47,16083,54
"159",193.57875,-28.99167,18.36,14898,87
"160",193.58,-30.24472,19.01,31726,91
"161",193.5825,-29.02167,17.8,16112,47
"162",193.58292,-30.22361,18.01,15795,41
"163",193.58333,-29.46139,18.84,24422,42
"164",193.58417,-28.86333,18.39,16515,41
"165",193.585,-29.06917,16.6,16287,50
"166",193.585,-29.81111,17.92,20828,60
"167",193.58542,-31.78194,16.92,3607,7
"168",193.58542,-29.27444,18.42,16307,60
"169",193.58542,-29.02972,19.43,21244,98
"170",193.58708,-29.11056,18.6,14653,52
"171",193.58833,-29.26722,18.55,15951,59
"172",193.58958,-28.96667,18.76,16564,52
"173",193.59,-29.22333,15.94,16834,50
"174",193.5925,-29.01306,14.53,16219,50
"175",193.59583,-29.07139,15.86,16380,96
"176",193.59625,-28.70444,16.77,20587,9
"177",193.59625,-29.77222,18.96,31914,77
"178",193.59708,-29.01806,16.5,16319,63
"179",193.59708,-28.91167,17.8,14486,150
"180",193.59792,-29.085,17.03,15514,59
"181",193.59792,-28.91972,18.76,17758,50
"182",193.59833,-29.1675,17.75,16518,38
"183",193.59875,-29.33444,19.1,24521,92
"184",193.6,-29.58306,19.12,15040,100
"185",193.60167,-29.08222,13.9,21156,78
"186",193.6025,-28.99306,16.07,16914,50
"187",193.6025,-30.25194,18.57,31759,54
"188",193.6025,-28.93556,18.73,15848,52
"189",193.60333,-30.89361,16.4,13483,42
"190",193.60333,-28.44194,17,20563,96
"191",193.60417,-30.51,16.77,16742,37
"192",193.60417,-29.07806,18.33,21468,51
"193",193.60542,-28.97361,14.22,14710,48
"194",193.60625,-29.05111,18.1,17011,49
"195",193.6075,-29.48944,17.89,28420,55
"196",193.61083,-28.95583,0,15720,50
"197",193.61125,-29.01028,18.19,15869,56
"198",193.61125,-28.98944,18.64,15556,54
"199",193.61125,-28.90056,18.85,16887,63
"200",193.61708,-29.01167,0,13413,260
"201",193.61708,-28.96194,15.05,14122,50
"202",193.62,-29.5,17.98,21282,15
"203",193.62042,-29.29222,17.29,14969,45
"204",193.62292,-29.07389,18.92,16087,57
"205",193.63083,-28.51806,15.67,20873,34
"206",193.63167,-28.92222,17.56,16892,45
"207",193.63167,-29.1825,18.77,16290,54
"208",193.635,-29.43472,18.85,28167,15
"209",193.6375,-30.47528,19.01,16589,50
"210",193.6375,-29.39806,19.07,15100,48
"211",193.64167,-29.14333,17.24,15835,49
"212",193.64458,-29.98806,18.11,23000,73
"213",193.64458,-28.99833,18.49,14224,42
"214",193.645,-29.38417,19.23,25953,44
"215",193.64583,-29.12472,18.8,17577,60
"216",193.64625,-30.49444,17.83,15517,48
"217",193.6475,-29.07833,15.8,16217,55
"218",193.64792,-29.01111,17.7,14677,48
"219",193.64833,-29.11028,17.3,16254,60
"220",193.65125,-31.88083,15.77,3563,10
"221",193.65167,-29.27028,19.17,16418,42
"222",193.65292,-29.34278,18.14,17885,35
"223",193.65875,-29.65,18.8,17626,56
"224",193.65958,-30.15556,17.94,4999,13
"225",193.66042,-28.9825,17,17101,50
"226",193.66125,-30.23083,17.82,15676,15
"227",193.6625,-29.01972,18.21,15642,56
"228",193.66333,-28.43306,16.5,21157,139
"229",193.66333,-29.29778,19.14,16655,48
"230",193.66458,-29.12028,16.11,22193,111
"231",193.66625,-29.45917,14.82,15132,127
"232",193.66625,-28.9425,15.13,15759,51
"233",193.66833,-29.73139,18.6,16069,42
"234",193.66958,-29.03028,17.4,15849,54
"235",193.67042,-29.02306,18.91,13307,72
"236",193.67083,-29.22778,14.2,17194,60
"237",193.67083,-28.88389,17.28,16576,33
"238",193.67417,-29.32583,18.33,21393,16
"239",193.67542,-30.32361,14.08,16820,80
"240",193.67625,-29.24417,0,17194,80
"241",193.67667,-28.86583,17.48,17003,53
"242",193.67708,-28.8025,18.65,16413,53
"243",193.6775,-29.01694,17.1,22556,50
"244",193.67833,-28.86861,0,13366,50
"245",193.67958,-28.87139,16.5,16242,42
"246",193.68,-28.57111,15.52,2792,44
"247",193.68,-28.83778,17.67,16359,50
"248",193.68,-29.26444,18.61,13802,55
"249",193.68125,-30.53944,18.13,16340,33
"250",193.68125,-29.25722,18.62,16971,57
"251",193.68333,-29.51083,18.84,24324,40
"252",193.68417,-29.61639,18.47,15130,132
"253",193.685,-29.10861,18.34,16063,43
"254",193.6875,-29.51917,19.07,32275,106
"255",193.68958,-29.27111,18.96,16022,35
"256",193.69042,-29.23528,18.52,17612,48
"257",193.69083,-29.29861,18.21,13951,33
"258",193.69292,-31.01528,17.5,16618,20
"259",193.69292,-29.48972,18.38,16269,27
"260",193.69292,-29.44139,18.99,16554,32
"261",193.69875,-29.20722,18.07,16934,52
"262",193.7,-30.2825,19.25,15184,45
"263",193.70292,-29.20056,17.9,16219,50
"264",193.70542,-29.16556,13.56,17419,41
"265",193.70625,-30.32611,17.87,16081,34
"266",193.70708,-28.87667,18.77,15377,51
"267",193.70875,-29.05056,18.22,22345,106
"268",193.70917,-29.11361,15.65,21952,55
"269",193.71,-30.43583,19.1,16865,26
"270",193.71042,-30.86194,18,16033,42
"271",193.71167,-28.69694,17.1,14560,50
"272",193.71625,-29.86972,17.97,17259,34
"273",193.71833,-29.27139,15,14438,36
"274",193.71833,-28.72167,16.6,16986,73
"275",193.71833,-29.29389,18.17,14371,34
"276",193.71958,-29.48944,18.27,21035,106
"277",193.72167,-28.53306,16.4,15426,50
"278",193.72417,-29.57889,17.3,16353,35
"279",193.72417,-30.26972,18.88,16039,68
"280",193.72458,-29.01306,17.46,16140,36
"281",193.725,-28.34083,17.01,645,5
"282",193.72792,-29.27111,18.92,18902,30
"283",193.72875,-30.35944,19.02,15586,46
"284",193.73125,-29.50333,15.76,16340,86
"285",193.73125,-28.905,17.15,22905,51
"286",193.73417,-28.98361,16.67,17438,10
"287",193.73458,-28.92833,16.8,15926,50
"288",193.73542,-29.1075,15,21731,69
"289",193.73583,-29.83611,17.45,14860,94
"290",193.73833,-29.19861,18.11,21872,33
"291",193.74042,-30.51139,19.24,16488,44
"292",193.74083,-29.26556,19.1,14746,107
"293",193.74292,-30.22889,18.22,25943,81
"294",193.74333,-30.82194,18.53,15622,55
"295",193.74375,-29.69556,18.33,17734,172
"296",193.75083,-29.1925,18.64,16526,67
"297",193.75208,-30.01556,18.64,17528,35
"298",193.75292,-29.12111,18.49,21193,54
"299",193.75417,-29.00139,18.31,14906,139
"300",193.755,-29.78917,17.38,20802,84
"301",193.75875,-28.95306,17.47,21747,57
"302",193.75875,-30.14556,18.33,20723,86
"303",193.75917,-30.02972,18.72,16395,28
"304",193.76042,-29.48306,18.39,17692,45
"305",193.76208,-29.83861,18.77,16576,81
"306",193.76375,-29.64778,17.91,24603,41
"307",193.76458,-30.19722,17.52,15498,54
"308",193.7675,-29.42694,17.82,28989,27
"309",193.7675,-29.26528,17.96,17076,37
"310",193.77042,-29.14,18.89,21393,52
"311",193.77458,-28.97139,18.18,17186,87
"312",193.77583,-28.91194,18.27,17065,162
"313",193.78125,-30.09806,17.49,15355,93
"314",193.78125,-29.52583,18.02,24741,46
"315",193.78333,-29.49583,17.92,17103,35
"316",193.78417,-30.75167,18.52,16517,32
"317",193.78542,-30.72333,16.35,17709,24
"318",193.7875,-31.94861,15.1,3439,71
"319",193.79042,-29.84222,18.08,16857,35
"320",193.79042,-29.515,18.52,15163,50
"321",193.79833,-30.43889,15.71,30321,79
"322",193.80542,-29.09389,15.73,20830,53
"323",193.80542,-30.46694,17.76,16112,47
"324",193.80542,-29.67694,17.84,15671,46
"325",193.80708,-29.03,18.72,15903,53
"326",193.8125,-29.41972,19.02,24705,36
"327",193.81292,-29.36194,18.24,16163,29
"328",193.8175,-29.55361,19.19,24584,69
"329",193.82083,-29.84583,18.84,31938,57
"330",193.82667,-29.87972,18.73,31229,34
"331",193.82792,-29.20139,17.4,16764,57
"332",193.82833,-29.44111,16.98,24697,31
"333",193.83,-30.52833,18.88,17052,51
"334",193.83083,-29.14528,18.23,21359,90
"335",193.83083,-29.3475,19.21,24541,47
"336",193.83167,-29.28833,17.76,16623,33
"337",193.8325,-29.5975,19.15,17876,43
"338",193.83458,-29.85806,18.61,31156,36
"339",193.83708,-30.23139,17.78,15934,33
"340",193.83708,-29.07917,18.54,20813,41
"341",193.83792,-28.95056,0,15834,65
"342",193.84042,-29.87528,18.42,25973,36
"343",193.84042,-30.30111,18.79,15000,44
"344",193.8425,-29.39806,18.05,28785,43
"345",193.845,-29.02361,18.19,16319,81
"346",193.84542,-29.75944,18.54,38722,73
"347",193.84542,-30.64111,18.75,16459,69
"348",193.84708,-30.44778,19.22,23093,44
"349",193.85,-30.585,17.16,23076,80
"350",193.85292,-30.33472,18.75,15440,55
"351",193.85292,-30.23028,19.14,31800,32
"352",193.85292,-30.40389,19.15,16900,31
"353",193.85458,-29.37167,17.67,24441,34
"354",193.855,-29.38778,19.03,28975,52
"355",193.85542,-29.40056,18.22,28949,50
"356",193.85625,-29.29083,18.39,17819,39
"357",193.85708,-30.42583,17.53,18229,54
"358",193.85958,-29.55889,18.06,16159,41
"359",193.86,-30.57528,17.69,16118,35
"360",193.86458,-29.06,17.37,21462,50
"361",193.865,-29.45528,19.04,15425,31
"362",193.86542,-28.7975,16.5,17487,51
"363",193.86917,-29.14361,15.09,21521,117
"364",193.87333,-28.75972,0,17367,109
"365",193.875,-29.42861,18.94,28756,84
"366",193.875,-30.45694,19.02,17170,31
"367",193.87708,-29.675,18.87,20398,76
"368",193.87708,-30.21,18.96,31886,80
"369",193.87875,-31.00444,18.96,16707,71
"370",193.87917,-30.47083,18.85,15933,75
"371",193.87958,-29.36917,17.47,16786,35
"372",193.88125,-30.31861,16.87,13849,41
"373",193.88208,-30.42722,18.5,15922,51
"374",193.8825,-30.35861,18.5,16308,33
"375",193.88542,-28.45917,13.34,3185,7
"376",193.88792,-28.81444,0,17740,69
"377",193.88792,-31.255,17.25,16834,15
"378",193.88792,-30.41528,18.84,16996,15
"379",193.89042,-29.9325,17.88,16341,30
"380",193.89083,-29.00917,17.62,20961,47
"381",193.89167,-29.54667,19.21,24486,16
"382",193.89625,-29.31556,19.28,28877,15
"383",193.89875,-30.22194,17.48,16667,45
"384",193.9,-30.3475,14.3,16162,61
"385",193.9025,-30.53417,18.01,16768,35
"386",193.90792,-30.34111,19.09,15649,60
"387",193.90875,-30.36028,0,16417,64
"388",193.9125,-30.44194,18.88,18294,38
"389",193.91375,-30.99528,18.11,15156,79
"390",193.91625,-30.35556,15.9,16439,39
"391",193.91625,-29.05917,18.84,30808,114
"392",193.91708,-30.03778,15.81,15571,96
"393",193.9175,-30.35417,0,16624,83
"394",193.91792,-28.57611,15.59,17033,71
"395",193.91792,-28.82861,17.45,22620,9
"396",193.92125,-30.35833,0,15965,90
"397",193.92333,-30.35167,0,16776,69
"398",193.92542,-30.21361,19.04,17134,36
"399",193.92625,-30.32333,16.7,16246,57
"400",193.92667,-30.69833,18.53,15997,33
"401",193.92708,-30.46611,17.93,17147,39
"402",193.9275,-29.555,17.17,7370,44
"403",193.92833,-29.50722,18.03,16375,29
"404",193.92958,-30.71833,16.16,15451,39
"405",193.93167,-29.41139,15.84,18479,94
"406",193.93458,-30.40556,17.84,16004,46
"407",193.93583,-29.37556,18.86,14855,90
"408",193.93667,-29.01972,18.19,16611,57
"409",193.94,-30.05667,18.19,15623,60
"410",193.94042,-30.41472,18.32,16162,75
"411",193.95083,-30.39,18.78,16652,50
"412",193.95417,-30.35944,17.91,16536,32
"413",193.95583,-30.56639,18.87,15449,60
"414",193.95708,-30.23556,17.44,16398,52
"415",193.95792,-30.44556,18.3,15250,51
"416",193.95833,-30.66028,18.74,17097,40
"417",193.95875,-33.24,15.4,36313,23
"418",193.96167,-28.75472,18.02,16381,40
"419",193.96583,-31.31389,17.58,15839,32
"420",193.96625,-30.00806,18.17,16840,28
"421",193.96625,-28.78333,18.35,16178,15
"422",193.96875,-29.69139,19.1,16132,41
"423",193.97,-30.42583,18.21,16274,31
"424",193.97167,-30.21806,18.85,16808,56
"425",193.9725,-31.12528,18.6,16048,33
"426",193.97333,-30.45694,17.32,16174,29
"427",193.97458,-30.29111,19.04,16130,15
"428",193.975,-31.30333,18.48,16176,40
"429",193.97583,-31.32389,15.53,16232,94
"430",193.97583,-30.36167,18.52,17451,33
"431",193.9775,-31.1525,17.38,16609,34
"432",193.97917,-30.39639,18.79,15825,44
"433",193.98,-30.72139,16.2,16753,30
"434",193.98125,-30.26528,18.03,16623,32
"435",193.98375,-29.12083,18.68,31080,66
"436",193.9875,-29.98306,18.09,17073,35
"437",193.98792,-29.92806,18.41,16915,37
"438",193.98833,-31.38778,17.66,16790,44
"439",193.98875,-28.64611,15.6,3165,35
"440",193.99,-29.29944,17.15,16784,41
"441",193.99375,-32.1,16.6,18166,73
"442",193.99458,-30.42861,17.92,16418,29
"443",193.99542,-29.74667,17.87,16785,62
"444",193.9975,-29.34556,18.78,20440,75
"445",193.99917,-29.66083,19.23,16486,77
"446",193.99958,-30.00056,17.78,16044,15
"447",194.00125,-29.59639,18.83,16099,40
"448",194.00708,-30.97833,18.72,16573,38
"449",194.00875,-29.60306,18.95,16107,81
"450",194.01,-32.21333,16.5,16648,89
"451",194.01083,-30.83472,18.34,16535,51
"452",194.01625,-29.71472,17.2,4882,66
"453",194.01875,-30.70056,18.13,17022,37
"454",194.01917,-30.44083,18.3,15503,39
"455",194.01958,-31.085,18.35,16640,39
"456",194.01958,-31.43278,18.49,16734,85
"457",194.02292,-29.45667,17.88,25628,33
"458",194.02625,-30.33889,18.61,17586,37
"459",194.03,-29.90444,17.91,16442,28
"460",194.03792,-31.32639,17.57,17251,80
"461",194.04333,-29.62194,18.8,15303,43
"462",194.045,-30.65222,18.55,15829,35
"463",194.04667,-30.73556,18.44,15482,66
"464",194.05125,-29.86667,17.7,17081,31
"465",194.05125,-29.04917,18.33,16169,108
"466",194.05167,-29.50306,13.42,2430,60
"467",194.05208,-31.30806,18.17,16905,37
"468",194.05417,-30.14972,16.94,15336,37
"469",194.05458,-29.22917,0,16825,118
"470",194.05667,-29.6325,18.03,15261,62
"471",194.05667,-30.60056,18.54,17341,41
"472",194.0575,-33.30056,15.6,35170,41
"473",194.0575,-30.7475,18.37,16728,30
"474",194.05792,-31.11444,16.97,16579,33
"475",194.05833,-30.38556,17.62,4684,15
"476",194.06375,-30.79861,18.29,15504,54
"477",194.06667,-30.40833,0,15035,90
"478",194.06875,-30.69833,18.03,4750,15
"479",194.06958,-29.98444,18.62,25102,16
"480",194.07042,-30.29111,0,17193,90
"481",194.07458,-29.15222,18.31,16736,69
"482",194.07542,-30.63444,17.47,28270,34
"483",194.07542,-30.06333,18.94,17424,61
"484",194.07958,-30.95917,18.03,16670,25
"485",194.08,-30.24444,17.19,15949,0
"486",194.08458,-30.67111,17.42,15327,39
"487",194.08583,-30.87361,18.78,16973,38
"488",194.08708,-31.19667,17.85,17611,33
"489",194.08708,-31.24611,18.12,18190,44
"490",194.0875,-28.9875,16.63,17885,54
"491",194.08875,-28.83639,18.84,22115,15
"492",194.09125,-28.91722,18.28,29616,73
"493",194.09417,-31.28889,17.88,16970,62
"494",194.09708,-29.56306,18.9,15236,91
"495",194.09875,-30.25722,18.51,15212,83
"496",194.10083,-30.66917,17.93,16904,41
"497",194.10417,-29.21667,15.26,16993,68
"498",194.10417,-31.43417,18.36,15776,68
"499",194.10417,-30.09139,18.64,16948,32
"500",194.10625,-30.2225,17.95,31929,35
"501",194.1125,-29.4575,18.98,17780,59
"502",194.11333,-29.02611,18.25,18053,36
"503",194.11333,-30.52694,18.58,15950,31
"504",194.11458,-31.45194,15.86,15692,13
"505",194.11583,-29.14861,15.65,17719,19
"506",194.11583,-29.1075,18.67,20728,15
"507",194.11667,-31.28556,16.97,17183,34
"508",194.11708,-30.39444,18.19,16016,37
"509",194.12,-31.39056,18.58,17502,31
"510",194.12125,-29.85583,18.64,15302,91
"511",194.12458,-29.88417,18.65,17189,59
"512",194.12667,-31.29556,18.44,16691,28
"513",194.1325,-30.445,16.4,16911,36
"514",194.1325,-30.63694,17.64,16980,34
"515",194.13292,-32.93917,16.5,23072,37
"516",194.13333,-30.295,18.65,16057,51
"517",194.135,-31.40139,18.09,16383,36
"518",194.13625,-28.95389,18.51,17728,53
"519",194.13958,-30.5025,18.6,16390,34
"520",194.14042,-31.06389,17.77,17451,35
"521",194.14292,-30.12944,17.88,14889,37
"522",194.15417,-30.26639,0,16953,60
"523",194.15875,-30.46389,18.44,16536,30
"524",194.15958,-30.79972,18.81,15201,37
"525",194.16208,-30.175,16.74,15965,28
"526",194.16333,-30.86167,17.43,15534,37
"527",194.16375,-31.02472,18.71,15382,77
"528",194.16625,-30.12222,18.88,24592,79
"529",194.17042,-29.87306,18.11,16643,63
"530",194.17083,-31.33861,17.39,17200,30
"531",194.17083,-31.05528,17.46,17175,26
"532",194.17625,-29.75722,18.59,16970,89
"533",194.17958,-30.02028,17.75,16798,33
"534",194.18042,-30.74972,17.36,16198,32
"535",194.18125,-27.98444,15.84,30909,96
"536",194.18208,-30.24222,18.07,16778,28
"537",194.18667,-30.69694,18.53,16062,41
"538",194.18792,-31.02472,18.18,24663,40
"539",194.19417,-30.53944,17.3,16332,39
"540",194.19625,-29.705,18.12,16094,69
"541",194.19667,-30.33167,16.5,19900,210
"542",194.20208,-30.62806,18.4,20709,35
"543",194.20333,-30.29056,16.5,16873,90
"544",194.20333,-28.815,18.79,20658,15
"545",194.20667,-32.71306,16.3,33379,30
"546",194.20875,-31.23472,18.44,18521,40
"547",194.21,-28.84667,17.64,15406,40
"548",194.21042,-32.40972,14.72,9039,25
"549",194.21125,-30.24056,17.9,17023,27
"550",194.21458,-30.815,18.78,16190,33
"551",194.215,-28.8125,18.86,20249,47
"552",194.21667,-30.79472,17.56,16130,31
"553",194.21708,-30.47778,0,16743,120
"554",194.21958,-29.16556,18.01,24567,63
"555",194.22375,-31.52861,17.4,15896,58
"556",194.22542,-30.38528,0,16743,60
"557",194.22542,-33.00333,14.7,14854,17
"558",194.22875,-31.45417,16.74,16033,35
"559",194.22958,-30.49472,0,15994,60
"560",194.23083,-29.18444,18.52,16209,128
"561",194.23125,-30.40667,17.6,16678,54
"562",194.23375,-29.48111,15.15,4891,76
"563",194.23583,-31.22972,18.3,26402,69
"564",194.23917,-28.93944,17.79,16681,63
"565",194.23917,-30.41278,18.53,17235,37
"566",194.23958,-30.50222,17.99,15145,31
"567",194.24125,-29.24194,15.99,24623,39
"568",194.24167,-28.98556,18,15562,52
"569",194.2425,-31.32944,14.8,16929,15
"570",194.24292,-30.10139,18.57,17162,15
"571",194.24333,-30.40056,16.7,15381,38
"572",194.245,-31.36889,18.19,17077,39
"573",194.25042,-30.43389,16.3,17153,33
"574",194.25333,-29.95139,17.33,17469,41
"575",194.25542,-30.24278,15.85,16698,174
"576",194.26,-30.32389,18.37,18197,33
"577",194.26125,-32.95667,16.6,22664,120
"578",194.26167,-29.92306,18.93,16875,15
"579",194.26292,-28.60806,18.75,20087,91
"580",194.26792,-30.375,15.5,16251,34
"581",194.26792,-28.90667,18.1,17870,15
"582",194.27,-30.47194,15.9,16424,60
"583",194.2825,-30.33278,17.5,18461,35
"584",194.28333,-32.51194,0,4825,15
"585",194.28583,-30.02667,18.09,16617,15
"586",194.28708,-31.31611,16.97,15621,32
"587",194.28792,-30.35028,0,16144,60
"588",194.29,-29.05056,16.93,18320,55
"589",194.29458,-33.18389,16.2,21631,93
"590",194.2975,-30.35833,18.5,17158,45
"591",194.29792,-30.36111,17.1,15265,38
"592",194.29792,-31.26639,17.55,16700,31
"593",194.29792,-28.43444,18.68,20886,39
"594",194.30042,-30.46167,0,16354,60
"595",194.30083,-28.94611,17.66,15485,47
"596",194.30125,-32.51694,13.64,4704,15
"597",194.30167,-29.03222,18.4,21137,55
"598",194.30375,-31.18667,18.57,15522,50
"599",194.30458,-30.28333,0,18512,60
"600",194.30542,-28.79389,17.06,20159,37
"601",194.30708,-28.89722,18.26,24433,68
"602",194.31,-30.34056,17.66,14347,40
"603",194.31292,-30.20222,16.3,15854,90
"604",194.31375,-28.37611,18.12,20750,59
"605",194.31667,-30.34694,17.7,16376,41
"606",194.31667,-28.755,18.38,24585,70
"607",194.3175,-29.93972,15.92,17550,107
"608",194.32042,-31.26944,18.04,16414,36
"609",194.32292,-30.35306,18,16990,24
"610",194.325,-30.80222,18.8,22762,80
"611",194.32583,-28.73806,16.6,20624,61
"612",194.32583,-29.92028,17.57,17200,83
"613",194.32625,-32.62833,15.85,4737,135
"614",194.3275,-32.07722,16,16481,87
