"","u_g","g_r","r_i","i_z","Class"
"146",0.395,0.009,0.057,0.218,1
"147",0.414,0.45,0.203,-0.161,1
"148",0.583,0.236,0.29,0.068,1
"149",0.723,0.214,0.27,0.276,1
"150",0.218,0.238,0.22,0.005,1
"151",0.587,0.702,0.276,-0.035,1
"152",0.205,0.224,-0.15,0.018,1
"153",0.238,-0.036,0.195,0.054,1
"154",3.602,0.895,0.108,0.416,1
"155",0.033,0.054,0.25,0.102,1
"156",0.432,0.33,0.247,0.194,1
"157",0.387,-0.006,0.408,0.209,1
"158",0.279,0.307,-0.142,-0.042,1
"159",0.027,0.292,0.121,-0.362,1
"160",0.454,0.034,0.205,0.172,1
"161",0.411,0.161,0.144,-0.015,1
"162",0.496,0.063,-0.052,0.098,1
"163",0.137,-0.006,0.3,-0.032,1
"164",0.512,0.044,-0.092,0.201,1
"165",0.088,0.254,0.298,0.014,1
"166",0.025,0.186,-0.1,0.03,1
"167",0.194,0.083,0.252,-0.011,1
"168",0.46,0.358,-0.029,0.127,1
"169",0.247,0.381,-0.085,0.057,1
"170",0.449,0.443,0.125,-0.038,1
"171",0.18,0.109,0.308,-0.213,1
"172",0.171,0.243,0.115,-0.232,1
"173",0.22,0.224,0.026,0.041,1
"174",0.252,0.192,0.154,0.237,1
"175",0.269,0.113,0.09,0.119,1
"176",0.273,0.119,0.289,0.15,1
"177",0.264,0.074,0.342,0.002,1
"178",-0.108,0.426,0.018,-0.058,1
"179",-0.009,0.416,0.089,-0.056,1
"180",0.69,0.081,0.021,0.095,1
"181",-0.142,-0.075,0.539,0.018,1
"182",0.326,0.193,0.193,0.015,1
"183",0.186,0.307,0.179,0.055,1
"184",0.169,0.432,0.058,0.041,1
"185",0.35,0.391,0.556,0.178,1
"186",0.342,0.231,0.028,0.192,1
"187",0.002,0.301,0.038,0.176,1
"188",0.112,0.187,-0.061,0.007,1
"189",0.132,0.137,-0.035,0.146,1
"190",0.376,-0.062,0.299,-0.056,1
"191",0.064,0.087,0.058,0.008,1
"192",0.348,0.437,0,0.19,1
"193",0.131,0.013,0.076,0.013,1
"194",0.42,0.347,0.05,0.067,1
"195",0.582,0.551,0.143,0.348,1
"196",0.394,0.08,0.068,0.473,1
"197",3.968,1.158,0.149,0.231,1
"198",0.383,0.118,-0.079,0.139,1
"199",0.269,0.181,0.044,0.175,1
"200",0.159,0.282,0.055,0.143,1
"201",0.208,-0.016,0.108,0.154,1
"202",0.549,0.317,0.046,-0.021,1
"203",0.013,0.03,0.262,-0.118,1
"204",0.09,0.248,-0.009,-0.095,1
"205",0.217,0.082,0.233,0.027,1
"206",0.441,0.024,0.016,0.037,1
"207",0.435,0.062,0.186,-0.101,1
"208",0.007,0.177,0.042,0.503,1
"209",0.35,-0.114,0.179,0.237,1
"210",0.011,0.186,0.498,-0.124,1
"211",0.841,0.386,-0.175,0.186,1
"212",0.339,0.186,0.007,-0.001,1
"213",0.378,0.282,0.055,0.311,1
"214",0.085,0.041,0.22,-0.086,1
"215",0.504,0.349,0.434,0.258,1
"216",0.713,0.242,0.121,-0.013,1
"217",0.654,0.204,0.37,-0.004,1
"218",0.383,0.049,-0.025,0.04,1
"219",0.04,0.445,-0.031,0.003,1
"220",0.212,0.271,0.057,0.006,1
"221",1.06,2.311,0.999,0.47,1
"222",0.16,-0.027,0.246,-0.095,1
"223",0.082,0.038,0.334,-0.045,1
"224",0.468,0.342,0.007,0.22,1
"225",0.035,0.203,-0.111,0.217,1
"226",0.44,0.091,0.016,0.143,1
"227",0.318,0.406,0.191,0.118,1
"228",0.034,0.003,0.272,-0.117,1
"229",0.16,0.442,0.051,-0.152,1
"230",0.574,0.366,-0.017,0.3,1
"231",0.4,0.119,0.17,-0.026,1
"232",-0.174,0.261,0.14,0.021,1
"233",0.02,0.145,0.274,0.126,1
"234",0.105,0.256,0.429,0.068,1
"235",0.35,0.058,0.177,-0.012,1
"236",0.493,0.164,0.206,0.467,1
"237",0.248,0.185,0.301,0.086,1
"238",0.382,0.474,0.172,0.186,1
"239",0.379,0.051,0.209,0.094,1
"240",0.382,0.166,0.186,0.067,1
"241",0.055,0.42,0.049,0.076,1
"242",0.034,0.002,0.109,0.166,1
"243",0.009,0.512,-0.038,-0.034,1
"244",0.254,0.24,0.038,0.14,1
"245",0.179,0.211,0.168,-0.024,1
"246",0.239,0.257,-0.08,0.844,1
"247",0.347,0.645,0.164,0.138,1
"248",0.196,0.233,0.338,0.355,1
"249",0.316,-0.078,0.265,0.205,1
"250",0.2,0.132,0.115,0.188,1
"251",-0.045,0.202,0.052,-0.192,1
"252",0.194,0.176,0.173,0.168,1
"253",0.306,0.351,0.096,0.039,1
"254",3.916,1.166,0.324,0.428,1
"255",0.001,-0.037,0.353,0.03,1
"256",0.475,0.443,0.126,0.013,1
"257",0.354,0.487,0.115,0.002,1
"258",-0.118,0.097,0.167,0.11,1
"259",0.107,-0.031,0.34,0.257,1
"260",0.402,0.095,0.426,0.051,1
"261",0.41,0.129,-0.083,-0.025,1
"262",0.195,0.12,0.154,-0.087,1
"263",-0.114,0.319,0.058,-0.091,1
"264",0.313,0.488,0.136,-0.005,1
"265",0.241,0.382,-0.027,-0.058,1
"266",-0.202,3.388,1.444,0.014,1
"267",0.26,0.056,-0.128,0.163,1
"268",0.143,0.376,0.021,-0.067,1
"269",0.605,0.251,0.327,0.396,1
"270",0.122,0.102,0.222,-0.102,1
"271",0.375,-0.076,0.21,0.046,1
"272",0.479,0.277,0.31,0.131,1
"273",0.014,0.062,0.389,0.231,1
"274",0.302,0.161,0.127,0.073,1
"275",0.556,0.491,0.45,0.242,1
"276",0.11,0.324,0.091,0.012,1
"277",0.149,0.011,0.129,0.364,1
"278",0.323,0.116,0.284,-0.063,1
"279",0.031,-0.032,0.315,0.369,1
"280",0.406,-0.01,0.061,0.121,1
"281",0.352,0.136,-0.006,-0.008,1
"282",0.016,0.216,0.206,0.063,1
"283",0.145,0.143,0.089,0.119,1
"284",0.372,0.118,0.023,0.109,1
"285",0.395,0.348,0.065,0.128,1
"286",0.395,0.329,-0.084,-0.082,1
"287",0.366,0.464,0.382,0.067,1
"288",0.053,0.289,0.028,-0.02,1
"289",0.069,0.37,-0.043,-0.145,1
"290",0.137,0.125,0.124,-0.077,1
"291",0.116,0.334,0.065,0.096,1
"292",1.309,0.312,0.238,-0.061,1
"293",0.132,0.128,0.073,-0.208,1
"294",0.37,-0.12,0.236,-0.035,1
"295",0.018,0.006,0.282,-0.022,1
"296",0.055,0.361,0.034,0.033,1
"297",0.336,0.022,0.198,0.056,1
"298",0.174,0.171,-0.044,0.224,1
"299",1.513,0.022,-0.031,0.176,1
"300",0.752,0.04,0.036,0.293,1
"301",0.324,0.272,0.157,0.04,1
"302",0.534,0.254,0.016,0.185,1
"303",0.355,0.175,-0.009,0.187,1
"304",0.242,0.243,0.341,0.07,1
"305",0.316,0.16,0.305,-0.057,1
"306",1.359,0.343,0.096,0.659,1
"307",0.204,0.116,0.245,0.12,1
"308",0.428,0.554,0.104,0.576,1
"309",0.373,0.218,0.237,-0.026,1
"310",0.594,-0.034,0.073,0.157,1
"311",0.433,0.483,0.098,-0.036,1
"312",-0.105,0.009,0.366,0.093,1
"313",0.03,0.007,0.234,-0.054,1
"314",0.266,0.166,0.26,-0.037,1
"315",-0.21,0.509,0.093,-0.223,1
"316",1.735,0.138,0.094,0.289,1
"317",-0.015,0.122,0.27,0.012,1
"318",0.781,0.039,-0.032,0.357,1
"319",0.726,0.393,0.063,0.191,1
"320",0.55,0.195,-0.032,0.138,1
"321",0.28,0.118,0.239,-0.113,1
"322",0.398,0.395,0.17,0.274,1
"323",0.503,-0.088,0.281,-0.001,1
"324",0.23,0.14,0.387,-0.557,1
"325",0.217,0.063,0.242,0.053,1
"326",0.596,0.12,0.074,0.116,1
"327",0.308,0.104,0.243,-0.212,1
"328",0.332,0.168,0.14,0.447,1
"329",0.548,0.165,-0.013,0.223,1
"330",0.082,0.171,0.147,0.264,1
"331",0.176,-0.044,0.157,0.042,1
"332",0.362,0.329,-0.008,0.167,1
"333",0.354,0.076,0.082,0.373,1
"334",0.052,0.102,0.366,-0.084,1
"335",0.265,-0.055,0.419,0.199,1
"336",0.418,0.302,0.329,0.043,1
"337",0.432,-0.009,0.035,0.075,1
"338",-0.02,0.054,0.09,0.206,1
"339",1.908,0.251,-0.109,0.111,1
"340",0.207,0.359,-0.109,0.261,1
"341",0.153,0.264,-0.031,-0.026,1
"342",0.208,-0.05,-0.122,0.203,1
"343",0.138,0.133,0.087,-0.042,1
"344",3.414,2.978,-0.355,-0.102,1
"345",0.46,0.411,0.101,0.017,1
"346",0.102,0.07,0.076,0.008,1
"347",0.566,0.236,0.297,-0.061,1
"348",0.076,0.032,0.158,0.12,1
"349",0.925,0.574,0.54,0.356,1
"350",-0.108,0.03,0.182,-0.161,1
"351",0.2,-0.006,0.226,0.377,1
"352",0.184,0.103,0.233,0.031,1
"353",0.199,0.499,0.159,0.317,1
"354",0.197,0.088,0.16,0.286,1
"355",-0.018,0.175,-0.034,-0.245,1
"356",0.619,0.27,0.08,0.165,1
"357",0.131,0.029,0.309,0.088,1
"358",0.337,0.298,0.443,0,1
"359",0.092,0.065,-0.1,0.084,1
"360",0.242,0.037,0.247,-0.073,1
"361",0.506,0.027,0.182,-0.141,1
"362",0.249,0.271,0.326,0.051,1
"363",0.104,-0.003,0.183,0.234,1
"364",0.333,0.226,0.289,0.017,1
"365",0.425,0.165,0.055,0.275,1
"366",3.014,0.334,0.099,0.032,1
"367",0.199,0.214,0.116,-0.096,1
"368",-0.03,0.032,0.223,0.134,1
"369",0.242,0.075,0.053,0.078,1
"370",2.196,0.057,0.149,0.186,1
"371",0.614,0.009,-0.041,0.227,1
"372",0.139,0.323,0.011,0.198,1
"373",-0.052,0.075,0.301,0.029,1
"374",0.581,0.328,0.111,0.55,1
"375",0.202,0.039,0.196,-0.022,1
"376",0.259,0.017,-0.012,0.106,1
"377",-0.003,0.301,0.232,0.173,1
"378",0.365,0.392,0.081,0.013,1
"379",-0.051,0.244,0.165,-0.255,1
"380",0.84,-0.045,-0.127,0.602,1
"381",0.247,-0.007,0.008,0.012,1
"382",0.424,0.16,-0.042,0.261,1
"383",0.23,0.104,0.152,0.116,1
"384",-0.137,0.052,0.282,0.28,1
"385",0.117,0.173,0.485,0.07,1
"386",0.013,0.151,0.305,0.052,1
"387",0.208,0.264,0.017,0.692,1
"388",-0.12,0.411,0.038,-0.015,1
"389",0.036,0.227,0.109,0.043,1
"390",3.068,0.536,0.127,0.143,1
"391",0.131,0.039,0.107,-0.038,1
"392",0.347,0.164,0.117,0.087,1
"393",0.342,0.156,0.136,0.215,1
"394",0.31,-0.128,0.229,0.162,1
"395",0.307,0.054,0.055,0.046,1
"396",0.698,0.343,0.459,0.471,1
"397",0.279,0.315,0.025,0.015,1
"398",0.159,0.197,0.138,0.415,1
"399",0.06,0.219,0.277,-0.054,1
"400",0.062,0.105,0.16,-0.015,1
"401",0.144,0.173,0.056,0.309,1
"402",0.213,-0.01,0.25,0.025,1
"403",0.188,-0.112,0.208,0.137,1
"404",0.422,0.206,-0.087,0.261,1
"405",2.009,2.467,1.331,0.18,1
"406",0.409,0.418,0.38,0.297,1
"407",0.016,0.204,0.016,-0.057,1
"408",0.78,0.277,0.562,0.262,1
"409",0.31,0.403,0.183,-0.019,1
"410",0.109,0.298,0.068,0.504,1
"411",0.174,0.092,0.182,-0.228,1
"412",1.036,0.407,0.36,0.341,1
"413",0.516,0.449,-0.017,-0.163,1
"414",0.218,0.456,0.011,0.254,1
"415",0.014,0.099,0.421,-0.047,1
"416",0.945,0.074,0.025,0.076,1
"417",2.312,2.021,0.772,0.228,1
"418",0.376,0.248,0.38,0.104,1
"419",0.173,0.349,-0.085,-0.093,1
"420",0.074,0.247,-0.119,-0.068,1
"421",0.5,0.238,0.406,0.365,1
"422",0.145,0.09,0.262,-0.023,1
"423",1.924,0.301,-0.438,0.147,1
"424",0.277,0.327,0.506,0.198,1
"425",0.127,0.14,0.071,0.233,1
"426",0.059,0.273,0.007,-0.14,1
"427",0.659,0.036,0.144,0.315,1
"428",0.247,0.34,0.079,0.014,1
"429",-0.037,0.128,0.134,-0.182,1
"430",0.027,-0.082,0.327,0.105,1
"431",0.023,0.253,0.055,-0.115,1
"432",4.579,0.587,0.197,0.227,1
"433",0.337,0.548,0.522,0.369,1
"434",0.278,0.351,0.374,0.133,1
"435",0.291,-0.071,0.152,-0.163,1
"436",0.164,0.384,0.057,-0.197,1
"437",0.566,0.115,0.031,0.147,1
"438",0.336,-0.07,0.126,0.007,1
"439",0.289,0.111,0.306,0.299,1
"440",1.99,0.678,0.705,0.354,1
"441",0.144,0.037,0.218,0.047,1
"442",0.219,0.588,0.314,0.276,1
"443",3.294,0.984,0.196,0.031,1
"444",0.327,0.538,0.195,0.178,1
"445",0.299,-0.011,0.151,-0.001,1
"446",0.225,0.192,0.357,0.431,1
"447",0.012,0.121,0.07,0.151,1
"448",0.021,-0.086,0.325,0.016,1
"449",0.269,0.286,0.212,0.036,1
"450",0.095,0.259,0.369,-0.133,1
"451",0.18,0.026,0.116,0.24,1
"452",0.428,0.032,0.042,-0.037,1
"453",0.479,0.323,0.296,0.495,1
"454",-0.222,0.424,0.025,0.024,1
"455",0.236,0.267,0.129,-0.14,1
"456",-0.081,0.014,0.231,0.137,1
"457",0.664,0.1,0.04,0.157,1
"458",3.269,0.064,0.065,0.125,1
"459",0.017,0.655,0.039,0.14,1
"460",0.215,0.074,0.311,0.012,1
"461",0.271,0.138,0.191,0.272,1
"462",-0.103,0.086,0.36,-0.201,1
"463",0.151,0.088,0.249,0.023,1
"464",0.386,0.203,0.504,0.277,1
"465",2.161,0.365,0.204,0.009,1
"466",1.588,0.255,-0.168,0.059,1
"467",0.276,0.027,0.214,0.102,1
"468",0.927,0.65,0.535,0.17,1
"469",0.226,-0.131,0.19,0.039,1
"470",0.243,0.261,0.043,-0.04,1
"471",0.041,0.315,0.129,-0.107,1
"472",0.586,0.328,0.023,0.037,1
"473",-0.443,0.354,0.063,-0.053,1
"474",0.401,0.146,0.018,0.207,1
"475",0.563,0.16,0.347,0.479,1
"476",0.277,0.183,0.318,-0.007,1
"477",0.418,0.123,0.162,0.213,1
"478",0.764,0.067,0.084,0.345,1
"479",0.274,0.307,0.119,-0.011,1
"480",0.235,0.258,0.276,0.006,1
"481",0.418,0.074,-0.006,0.125,1
"482",0.731,0.47,0.418,0.24,1
"483",0.167,0.001,0.257,0.006,1
"484",0.311,0.21,-0.068,0.546,1
"485",1.484,0.218,0.062,0.044,1
"486",5.358,1.163,0.163,0.248,1
"487",0.104,0.085,0.309,0.049,1
"488",0,-0.013,0.216,0.182,1
"489",0.279,0.163,0.047,0.255,1
"490",0.406,0.146,0.201,-0.015,1
"491",0.137,0.153,-0.055,0.199,1
"492",-0.002,0.259,0.117,0.292,1
"493",0.42,0.094,0.218,0.055,1
"494",0.419,0.306,0.34,0.23,1
"495",0.371,0.146,0.084,0.557,1
"496",0.167,0.004,0.106,0.106,1
"497",0.177,0.306,0.182,0.469,1
"498",0.354,0.539,0.445,-0.322,1
"499",0.069,0.266,-0.043,-0.138,1
"500",0.588,0.326,0.298,0.157,1
"501",0.159,0.136,0.284,0.133,1
"502",0.205,0.572,0.179,-0.05,1
"503",0.082,0.369,0.048,-0.031,1
"504",0.165,0.067,0.246,-0.001,1
"505",0.202,0.207,0.143,-0.037,1
"506",0.321,0.204,0.047,0.306,1
"507",0.257,0.279,0.088,0.072,1
"508",0.497,0.567,0.03,-0.144,1
"509",1.058,0.744,0.565,0.244,1
"510",0.3,0.095,0.034,0.186,1
"511",0.57,0.403,0.469,0.14,1
"512",2.843,0.687,0.166,0.028,1
"513",0.134,0.158,-0.019,0.103,1
"514",0.17,0.115,0.352,0.27,1
"515",0.006,0.232,-0.02,0.083,1
"516",0.257,-0.003,0.208,0.281,1
"517",0.452,0.49,-0.032,0.047,1
"518",0.238,0.161,-0.083,0.12,1
"519",-0.049,0.214,0.007,-0.061,1
"520",0.231,-0.149,0.155,0.325,1
"521",0.289,0.068,0.136,0.243,1
"522",-0.049,0.484,-0.11,-0.005,1
"523",0.281,0.379,0.064,0.028,1
"524",0.155,0.35,0.001,0.164,1
"525",0.208,0.343,0.099,0.079,1
"526",0.449,0.424,0.489,0.126,1
"527",-0.027,0.346,0.066,0.045,1
"528",0.115,0.265,0.132,0.49,1
"529",0.822,0.179,0.04,0.034,1
"530",0.275,0.137,0.153,0.053,1
"531",0.311,0.302,0.231,0.23,1
"532",0.175,0.19,0.177,-0.142,1
"533",0.072,0.205,0.172,-0.087,1
"534",-0.065,0.166,0.519,0.071,1
"535",1.685,0.675,0.258,0.476,1
"536",0.561,0.112,-0.119,0.385,1
"537",0.207,0.211,0.344,0.186,1
"538",0.2,0.253,0.249,-0.081,1
"539",0.439,-0.026,0.352,0.215,1
"540",0.07,0.269,0.018,-0.035,1
"541",1.383,0.133,0.276,0.111,1
"542",-0.058,0.133,0.026,0.645,1
"543",0.448,-0.082,0.118,-0.094,1
"544",0.123,-0.105,0.302,-0.254,1
"545",0.097,0.293,0.355,0.054,1
"546",0.169,0.27,0.072,0.038,1
"547",2.553,0.327,0.122,0.058,1
"548",0.385,0.466,0.193,0.262,1
"549",0.372,0.019,-0.098,0.087,1
"550",0.027,0.333,0.122,0.048,1
"551",0.179,0.14,0.192,0.025,1
"552",2.262,0.725,0.065,0.123,1
"553",0.645,0.052,-0.099,0.416,1
"554",0.231,0.211,0.169,0.153,1
"555",0.243,0.168,-0.112,-0.111,1
"556",0.155,0.281,-0.058,0.016,1
"557",0.476,0.745,0.331,0.337,1
"558",0.305,0.305,0.185,0.306,1
"559",-0.024,0.383,0.12,0.02,1
"560",0.065,0.203,0.039,-0.211,1
"561",0.311,0.125,0.064,0.068,1
"562",-0.093,0.319,0.051,0.031,1
"563",0.091,0.304,0.153,-0.157,1
"564",0.771,0.035,-0.038,0.359,1
"565",-0.112,0.538,0.069,0.099,1
"566",0.139,-0.046,0.298,0.087,1
"567",0.557,0.584,0.292,0.39,1
"568",0.414,0.105,0.28,0.038,1
"569",1.771,0.161,0.018,-0.095,1
"570",0.783,0.317,0.047,0.361,1
"571",-0.093,0.719,0.025,0.116,1
"572",-0.068,0.281,-0.117,-0.077,1
"573",0.261,0.25,0.29,0.321,1
"574",0.328,0.494,0.104,0.169,1
"575",0.125,0.303,0.096,-0.079,1
"576",0.142,0.019,0.314,0.104,1
"577",0.209,0.351,0.285,0.504,1
"578",0.064,0.109,0.337,0.061,1
"579",0.37,0.495,0.39,0.182,1
"580",0.055,0.01,0.089,0.054,1
"581",0.477,0.235,0.186,0.187,1
"582",0.59,0.038,0.036,0.129,1
"583",0.237,0.036,0.176,-0.022,1
"584",0.174,0.157,0.271,0.022,1
"585",0.174,0.167,0.207,0.079,1
"586",0.236,0.166,-0.074,0.149,1
"587",2.439,0.305,0.222,-0.016,1
"588",0.022,0.316,0.013,-0.052,1
"589",-0.142,0.297,0.2,0.037,1
"590",-0.061,0.261,0.02,0.051,1
"591",0.145,0.225,0.24,0.036,1
"592",0.315,0.13,0.082,0.144,1
"593",0.179,0.102,0.206,-0.022,1
"594",1.727,0.093,0.012,0.09,1
"595",4.57,0.956,0.232,-0.133,1
"596",0.784,0.285,0.286,0.194,1
"597",1.017,0.336,0.248,0.376,1
"598",3.542,0.496,-0.004,0.183,1
"599",0.231,0.075,-0.085,0.043,1
"600",2.215,0.386,0.091,-0.159,1
"601",0.343,0.253,0.067,0.057,1
"602",0.456,0.055,0.082,0.27,1
"603",0.249,0.032,0.18,0.056,1
"604",0.601,0.449,0.283,0.023,1
"605",0.106,0.011,0.223,0.064,1
"606",0.423,0.513,0.571,0.356,1
"607",0.401,0.364,0.23,-0.022,1
"608",0.027,0.341,0.099,0.107,1
"609",0.048,0.078,0.169,0.357,1
"610",0.247,0.133,0.044,-0.021,1
"611",-0.046,0.098,0.244,0.049,1
"612",0.289,0.041,-0.113,0.166,1
"613",0.764,0.38,0.369,0.203,1
"614",1.359,0.156,0.514,0.098,1
"615",-0.023,0.337,0.131,0.053,1
"616",3.993,0.172,0.019,-0.097,1
"617",-0.731,4.265,1.803,-0.074,1
"618",0.332,0.308,0.327,0.039,1
"619",0.624,0.037,0.03,0.301,1
"620",-0.269,0.497,0.146,-0.21,1
"621",0.226,0.175,0.028,-0.013,1
"622",0.194,-0.112,0.117,-0.005,1
"623",0.037,0.185,0.075,-0.025,1
"624",-0.093,0.235,-0.044,-0.261,1
"625",0.009,0.276,-0.019,0.016,1
"626",0.599,-0.016,0.045,0.097,1
"627",0.19,0.08,0.136,0.233,1
"628",0.356,0.076,-0.015,0.131,1
"629",0.354,0.036,-0.108,0.178,1
"630",0.806,0.244,0.39,0.547,1
"631",0.083,0.216,0.344,0.366,1
"632",0.228,0.192,0.147,0.007,1
"633",0.945,0.78,0.547,0.167,1
"634",0.25,-0.052,0.184,0.139,1
"635",0.032,-0.033,0.247,-0.088,1
"636",0.511,0.152,-0.138,0.275,1
"637",2.343,1.704,0.012,0.266,1
"638",0.367,0.152,0.076,-0.025,1
"639",0.345,0.248,0.013,0.088,1
"640",0.1,0.284,0.247,0.107,1
"641",0.342,-0.003,0.066,0.166,1
"642",1.313,0.914,0.716,0.303,1
"643",0.258,0.128,0.197,0.043,1
"644",0.139,0.035,0.262,0.078,1
"645",0.146,0.044,0.196,-0.001,1
"646",0.193,0.35,-0.114,0.002,1
