"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64","x65","x66","x67","x68","x69","x70","x71","x72","y"
"29",1228.125,787.120972,1.56,1.691,1830.25,1179.25,719.5,329.25,170,86.125,31.625,10.75,0.017,0.03,0.043,0.072,0.109,0.164,0.306,0.459,2.325,1.498,0.914,0.418,0.216,0.109,0.04,0.014,8.061,7.943,7.144,0.866,2.179,2.449,262.125,139.75,71.875,42.125,26.875,21.25,15.625,12.875,20.943001,26.813999,27.188999,28.489,28.452,31.221001,37.702,35.370998,2.365,2.045,20.149,1.645,1424.875,594.125,192.125,63.75,30.5,13.125,3.625,0,405.375,585.125,527.375,265.5,139.5,73,28,10.75,65.908997,599.731995,-1
"30",1137.75,716.255005,1.588,1.584,1594.25,839.625,436.875,200.375,108,57.375,22.875,3.875,0.03,0.065,0.118,0.175,0.232,0.309,0.431,0.763,2.226,1.172,0.61,0.28,0.151,0.08,0.032,0.005,6.626,6.545,6.47,3.64,3.905,0.707,395.625,198.5,100.5,57,31.625,25.625,18.875,13.75,16.169001,29.872999,34.778,45.057999,62.869999,67.191002,75.860001,86.335999,1.075,1.007,18.722,2.241,1294.75,475.125,128.75,51.125,24.125,9.625,2.5,0,299.5,364.5,308.125,149.25,83.875,47.75,20.375,3.875,59.794998,538.64801,-1
"31",1192,757.119995,1.574,1.643,1853.625,1147.25,614.625,238.625,99.875,39,14.125,3.375,0.05,0.088,0.141,0.18,0.171,0.26,0.445,0.677,2.448,1.515,0.812,0.315,0.132,0.052,0.019,0.004,7.256,6.588,6.191,9.912,8.958,1.414,349.25,194.875,105.875,62,38.125,30.375,20.25,15.75,21.150999,23.256001,18.518999,17.645,19.98,23.076,36.605,49.492001,0.943,0.629,19.325001,4.846,1526,711.75,239.25,95.125,43.375,15.75,3.875,0,327.625,435.5,375.375,143.5,56.5,23.25,10.25,3.375,62.655998,568.677979,-1
"32",1061.125,678.518982,1.564,1.566,1617.5,963,532.25,262.125,148.25,74.625,30,5.125,0.055,0.104,0.176,0.261,0.336,0.442,0.578,0.855,2.384,1.419,0.784,0.386,0.218,0.11,0.044,0.008,7.338,6.834,6.478,0.707,3.082,3.162,354,194.125,98.375,55.375,32,26.875,18.625,13.75,20.382,29.129999,29.26,39.571999,53.133999,57.058998,65.566002,75.519997,1.507,1.348,17.969,2.168,1363,613,242.25,106.625,48.75,17.875,4.625,0,254.5,350,290,155.5,99.5,56.75,25.375,5.125,56.250999,510.593994,-1
"33",985.625,615.46698,1.601,1.457,1443.25,796.75,389,180.125,100.5,57.25,24.25,5.25,0.044,0.091,0.17,0.267,0.351,0.444,0.551,0.826,2.345,1.295,0.632,0.293,0.163,0.093,0.039,0.009,7.563,6.951,6.48,0.866,4.272,4.637,359.375,198.875,101.875,58.375,32.875,25.875,18.5,14.25,15.039,22.860001,27.534,39.900002,55.353001,56.039001,67.025002,75.572998,0.987,0.981,18.642,2.989,1234.125,548.375,196,79,33.875,10,2.5,0,209.125,248.375,193,101.125,66.625,47.25,21.75,5.25,53.018002,467.569,-1
"34",961.875,603.164001,1.595,1.448,1431.375,818.625,417.125,185.5,100.625,51.75,20.25,2.875,0.035,0.071,0.129,0.204,0.257,0.306,0.371,0.773,2.373,1.357,0.692,0.308,0.167,0.086,0.034,0.005,6.578,6.519,6.436,6.519,5.852,1.118,331.625,183.125,99,55.625,30.625,25.125,19.375,14.125,16.681999,26.624001,30.625999,40.964001,50.672001,54.272999,62.266998,75.663002,1.016,0.93,16.334999,2.65,1140.5,428.375,106.375,43.25,20.5,8.375,2.375,0,290.875,390.25,310.75,142.25,80.125,43.375,17.875,2.875,51.672001,452.558014,-1
"35",1017.875,630.590027,1.614,1.463,1412.375,705.875,316.25,138.5,76,40.375,16.375,3,0.024,0.057,0.11,0.168,0.231,0.299,0.478,0.742,2.24,1.119,0.502,0.22,0.121,0.064,0.026,0.005,6.64,6.546,6.433,6.519,5.852,1.118,392,199.875,108.625,63.75,33.75,27.25,19.625,14.625,11.223,20.492001,21.798,28.275999,42.118,45.639,59.082001,68.015999,0.7,0.633,16.940001,4.827,1154.25,420.875,106.75,43.25,20.875,8.75,1.875,0,258.125,285,209.5,95.25,55.125,31.625,14.5,3,54.216,465.596985,-1
"36",1048.625,663.950989,1.579,1.534,1551.125,853.125,438.625,195.5,103.5,50.375,17.25,2,0.038,0.081,0.145,0.211,0.28,0.385,0.617,0.937,2.336,1.285,0.661,0.294,0.156,0.076,0.026,0.003,6.512,6.365,6.326,1.118,10.062,10.223,361.875,199.75,101.75,59.875,33.625,26.375,19.25,14,17.683001,25.789,26.030001,33.022999,44.549999,50.43,62.16,73.212997,1.017,0.841,18.087999,3.177,1248.875,461.5,126.625,50,23.125,10.375,2,0,302.25,391.625,312,145.5,80.375,40,15.25,2,54.773998,495.57901,-1
"37",1123.25,711.684021,1.578,1.589,1867.5,1249.25,720.125,308.375,144,66.375,27.75,7.625,0.02,0.031,0.047,0.109,0.232,0.324,0.255,0.436,2.624,1.755,1.012,0.433,0.202,0.093,0.039,0.011,8.146,7.363,6.561,0.866,1.581,1.118,291.75,172.375,90.875,55.5,33.75,26.25,18.375,13.75,4.569,7.146,17.566999,33.014,36.318001,36.998001,32.422001,36.104,1.585,1.196,20.58,3.49,1451.25,637.625,203.5,64.75,30.625,12.75,3,0,416.25,611.625,516.625,243.625,113.375,53.625,24.75,7.625,59.271999,556.622986,-1
"38",680.75,474.04599,1.436,1.426,1386.625,980.5,538.25,239.125,134.25,82,44.875,17.375,0.127,0.193,0.358,0.734,1.062,1.214,1.358,1.359,2.925,2.068,1.135,0.504,0.283,0.173,0.095,0.037,11.783,10.24,7.634,1.118,7.018,7.071,191,105.25,75.375,50.125,31.625,22.875,16.5,11.125,32.334999,50.494999,56.365002,62.041,67.724998,70.344002,76.532997,86.646004,1.781,1.636,19.108999,1.047,959.75,391.875,134.875,35.125,15,6.375,2.5,0.625,426.875,588.625,403.375,204,119.25,75.625,42.375,16.75,34.151001,352.360992,-1
"39",641,443.042999,1.447,1.368,1257.75,803.25,437.875,125.125,53.25,22.375,7.125,0,0.065,0.118,0.177,0.218,0.275,0.405,0.476,0,2.839,1.813,0.988,0.282,0.12,0.051,0.016,0,5.955,5.704,5.674,7.036,7.036,2,271.25,158.125,99.375,73.875,53,39.125,32.375,21.125,25.495001,32.830002,24.443001,22.188999,19.761,24.563,25.061001,46.446999,0.536,0.303,15.841,6.56,998.375,428.125,119.25,35,16.75,7.25,2.375,0,259.375,375.125,318.625,90.125,36.5,15.125,4.75,0,33.966999,311.79599,-1
"40",622.375,433.334015,1.436,1.363,1282.5,923.5,495.875,169.25,75.625,26.875,2.375,0,0.083,0.128,0.245,0.711,1.042,1.292,1.313,0,2.96,2.131,1.144,0.391,0.175,0.062,0.005,0,5.763,5.221,4.927,1.581,9.124,9.287,180.75,118,78.375,54,38.875,30.875,18.625,12,26.105,30.544001,31.271999,29.542,28.816999,27.318001,34.59,28.386999,0.965,0.498,17.910999,2.972,915.75,320.375,16.75,0,0,0,0,0,366.75,603.125,479.125,169.25,75.625,26.875,2.375,0,30.104,299.713013,-1
"41",567.125,405.450989,1.399,1.354,1305,1013.75,621.125,260.5,123,53.75,16.375,2.75,0.043,0.059,0.091,0.179,0.311,0.455,0.913,1.663,3.219,2.5,1.532,0.642,0.303,0.133,0.04,0.007,7.56,7.168,6.578,0.707,9.314,9.76,97.875,70.5,46.75,34.5,27.5,19.25,14.125,9.75,10.141,12.559,18.610001,26.124001,32.547001,41.667999,58.312,65.843002,2.631,1.558,16.063,2.352,1161.125,814.375,399.125,122.5,44.625,9.875,0.375,0,143.875,199.375,222,138,78.375,43.875,16,2.75,28.25,302.238007,-1
"42",629.625,446.627014,1.41,1.41,1117.75,726.375,422,194.875,97.75,39.875,7.25,2.875,0.103,0.172,0.269,0.409,0.498,0.45,0.865,1.315,2.503,1.626,0.945,0.436,0.219,0.089,0.016,0.006,7.545,7.016,6.887,1.118,1.118,2,186.875,88.875,53,34.25,19.75,16.125,11.75,8,28.044001,48.724998,54.287998,73.07,90.497002,101.188004,102.223,111.491997,1.844,1.164,17.909,0.969,906.75,467.125,219,95.5,43,12.125,0.625,0,211,259.25,203,99.375,54.75,27.75,6.625,2.875,30.382,259.352997,-1
"43",781.5,532.857971,1.467,1.48,1510.625,1110.125,613.375,164.75,43.5,17.375,4.75,0,0.008,0.011,0.023,0.102,0.21,0.262,0.048,0,2.835,2.083,1.151,0.309,0.082,0.033,0.009,0,5.853,5.572,5.284,0.707,1.581,2.121,185,122.5,76.5,54.125,41,31.125,23.5,18,2.95,2.766,4.854,6.053,4.886,5.357,5.587,5.5,0.569,0.321,17.055,29.673,1191.625,624.25,263.75,61.125,18.125,3,0,0,319,485.875,349.625,103.625,25.375,14.375,4.75,0,41.118999,409.696014,-1
"44",476.375,323.268005,1.474,1.147,933.875,607.375,351,139.625,72.875,35.125,11.625,0.625,0.026,0.044,0.063,0.096,0.09,0.12,0.162,1.339,2.889,1.879,1.086,0.432,0.225,0.109,0.036,0.002,6.243,6.228,5.959,1,3.64,3.905,204,121,70,52,39.5,32.5,24.375,16.375,3.465,4.737,11.431,15.358,16.907,18.882,30.416,36.379002,1.041,0.675,14.873,8.094,733.25,315,96.125,33.375,15.75,6.75,2,0,200.625,292.375,254.875,106.25,57.125,28.375,9.625,0.625,24.422001,220.231003,-1
"45",492.125,358.936005,1.371,1.299,1089,802.25,473.625,198.125,105.5,53,17.125,1.375,0.131,0.185,0.294,0.547,0.781,1.134,2.056,2.403,3.034,2.235,1.32,0.552,0.294,0.148,0.048,0.004,6.454,5.971,5.956,4.031,1.118,5.05,138.5,90.875,57.375,42.75,29.875,24,17,13.75,7.187,8.698,13.371,18.594999,23.292999,26.48,30.910999,29.649,1.839,1.24,16.565001,4.664,802.875,355,107.625,27.625,9.25,2,0,0,286.125,447.25,366,170.5,96.25,51,17.125,1.375,23.346001,235.263,-1
"46",681.75,464.727997,1.467,1.382,1277.625,823.875,451,155.5,62.5,22.75,3.875,0,0.038,0.066,0.11,0.201,0.437,0.805,1.497,0,2.749,1.773,0.97,0.335,0.134,0.049,0.008,0,5.954,5.607,5.31,1.118,1.118,1.225,234.25,148.375,88.375,60.5,44.25,36.125,25.25,17.875,9.03,10.06,10.654,14.251,16.764,22.013,31.759001,39.958,0.707,0.376,16.495001,11.54,963.375,345,46.5,0,0,0,0,0,314.25,478.875,404.5,155.5,62.5,22.75,3.875,0,33.493999,306.321014,-1
