"","fips","pop","unemp"
"207",6045,43422,10.1
"208",6047,106663,15.7
"209",6049,4051,11.1
"210",6051,7877,10.3
"211",6053,217030,10
"212",6055,75626,8.7
"213",6057,49728,10.9
"214",6059,1624855,9.4
"215",6061,175065,11.3
"216",6063,10213,13.9
"217",6065,915624,14.7
"218",6067,687918,12.2
"219",6069,24764,12.5
"220",6071,867524,13.6
"221",6073,1560010,10.2
"222",6075,447099,9.7
"223",6077,304586,15.5
"224",6079,138449,9
"225",6081,380819,9
"226",6083,221571,8.5
"227",6085,886563,11.8
"228",6087,147934,10.2
"229",6089,83975,14.7
"230",6091,1542,13.7
"231",6093,18873,13.5
"232",6095,214355,11.5
"233",6097,262368,9.9
"234",6099,243184,15.3
"235",6101,41627,15.1
"236",6103,26219,13.7
"237",6105,4696,15.9
"238",6107,206315,14.9
"239",6109,25903,12.7
"240",6111,428779,11
"241",6113,97523,10.9
"242",6115,28801,17.8
"243",8001,221638,8.1
"244",8003,8582,5.5
"245",8005,305320,6.9
"246",8007,6407,6.2
"247",8009,2756,3.4
"248",8011,2879,5
"249",8013,172279,5.5
"250",8014,30023,6.6
"251",8015,8322,5.1
"252",8017,1385,2
"253",8019,5668,7
"254",8021,3663,5.1
"255",8023,1371,8.4
"256",8025,1984,7.6
"257",8027,1986,5.2
"258",8029,17164,6.6
"259",8031,316703,7.7
"260",8033,1092,13.2
"261",8035,154518,5.9
"262",8037,30469,6.2
"263",8039,12706,6
"264",8041,293486,7.2
"265",8043,19057,7.7
"266",8045,39170,5.8
"267",8047,3397,6
"268",8049,8934,5.8
"269",8051,9291,4.4
"270",8053,772,2.2
"271",8055,3577,7.2
"272",8057,1368,3.3
"273",8059,303461,6.7
"274",8061,1128,2.8
"275",8063,4952,2.9
"276",8065,3975,7.1
"277",8067,30342,4.7
"278",8069,175721,5.6
"279",8071,9159,7
"280",8073,3074,3.7
"281",8075,11763,4.6
"282",8077,83106,8.2
"283",8079,474,5.3
"284",8081,8843,5.6
"285",8083,12802,6.3
"286",8085,20954,6.9
"287",8087,15030,4.9
"288",8089,9035,5.8
"289",8091,3122,4.1
"290",8093,9554,6.1
"291",8095,2717,2.6
"292",8097,11339,5
"293",8099,7186,5
"294",8101,72663,7.5
"295",8103,5342,3.9
"296",8105,6919,4.8
"297",8107,14614,6
"298",8109,3686,7.8
"299",8111,603,5.3
"300",8113,5160,4.2
"301",8115,1649,3.3
"302",8117,15115,5.8
"303",8119,12234,6.7
"304",8121,3047,3.2
"305",8123,120783,7.5
"306",8125,7871,2.6
"307",9001,469462,7.8
"308",9003,458201,8.8
"309",9005,105162,7.9
"310",9007,93277,6.7
"311",9009,450597,8.9
"312",9011,149170,7.6
"313",9013,83991,6.7
"314",9015,63928,9
"315",10001,71260,7.9
"316",10003,264048,8.6
"317",10005,91476,7.3
"318",11001,327847,11.7
"319",12001,132262,7.1
"320",12003,12185,11.4
"321",12005,89191,8.9
"322",12007,12844,8.3
"323",12009,269039,11.1
"324",12011,1007323,9.8
"325",12013,6086,8.2
"326",12015,69026,12.7
"327",12017,59333,12.1
"328",12019,94372,9.8
"329",12021,143967,13.1
"330",12023,33518,9
"331",12027,15100,11.7
"332",12029,5681,12.3
"333",12031,448078,11.2
"334",12033,140660,9.8
"335",12035,31293,16.2
"336",12037,4670,7.1
"337",12039,21300,9.6
"338",12041,7989,10
"339",12043,5096,10
"340",12045,6449,9.8
"341",12047,4952,11.3
"342",12049,12073,12.6
"343",12051,18302,16.8
"344",12053,63278,13.8
"345",12055,41883,11.6
"346",12057,605620,11.5
"347",12059,9342,7.2
"348",12061,61145,15.2
"349",12063,22680,7.2
"350",12065,6909,8.5
"351",12067,3181,7.2
"352",12069,135749,12.3
"353",12071,272069,13.9
"354",12073,146619,7.2
"355",12075,17331,12.1
"356",12077,4092,5.3
"357",12079,6983,11.7
"358",12081,143094,12.7
"359",12083,139149,13.3
"360",12085,63520,11.9
"361",12086,1232503,11.3
"362",12087,47361,7
"363",12089,35810,10.7
"364",12091,96296,7.2
"365",12093,18508,13.3
"366",12095,604165,11.4
"367",12097,136467,12.8
"368",12099,626400,11.7
"369",12101,197089,12.5
"370",12103,456433,11.2
"371",12105,274250,12.7
"372",12107,33400,12.2
"373",12109,92423,9
"374",12111,124102,15.3
"375",12113,69478,9.4
"376",12115,165040,12.3
"377",12117,240803,10.6
"378",12119,32604,9
"379",12121,18101,9.8
"380",12123,9390,10.4
"381",12125,5364,8.4
"382",12127,253582,11.7
"383",12129,15312,7.2
"384",12131,32890,6.8
"385",12133,10204,9.6
"386",13001,9685,9.7
"387",13003,3354,12.6
"388",13005,4879,8.5
"389",13007,1620,9.1
"390",13009,20379,11.6
"391",13011,11108,6.7
"392",13013,33221,11.1
"393",13015,45821,13.3
"394",13017,7434,15.3
"395",13019,8203,12.4
"396",13021,73133,10
"397",13023,5346,9.7
"398",13025,7806,11.6
"399",13027,8313,8.7
"400",13029,16346,8.1
"401",13031,33125,9
"402",13033,9963,12.2
"403",13035,10037,12.7
"404",13037,2394,11.1
"405",13039,20949,9.1
"406",13043,4279,9.3
"407",13045,51718,10.8
"408",13047,34919,8
"409",13049,4620,10.6
"410",13051,131304,8.5
"411",13053,1711,14.6
"412",13055,10575,11.4
"413",13057,106406,9.5
"414",13059,65461,7
"415",13061,1432,8.2
"416",13063,133339,12.3
"417",13065,2768,11
"418",13067,367817,9.6
"419",13069,17140,16.8
"420",13071,20566,9
"421",13073,58884,7
"422",13075,7236,11.9
"423",13077,58018,10
"424",13079,6072,9.5
"425",13081,9947,12.1
"426",13083,8342,9
"427",13085,10834,10.1
"428",13087,12032,12.7
"429",13089,382207,10.7
"430",13091,9255,11.2
"431",13093,4730,10.1
"432",13095,41764,11.1
"433",13097,63563,11.4
"434",13099,5536,10.5
"435",13101,2205,6.7
"436",13103,28012,7.9
"437",13105,9870,12.2
"438",13107,10979,10.3
"439",13109,4827,8.9
"440",13111,10943,10
"441",13113,51201,8.4
"442",13115,48936,11.1
"443",13117,81190,8.6
"444",13119,10383,11.8
"445",13121,474723,10.7
"446",13123,13936,9.8
"447",13125,1111,11.1
"448",13127,40889,8.2
"449",13129,25467,13.1
"450",13131,11782,9.8
"451",13133,7829,11.1
"452",13135,406709,9.4
"453",13137,20468,9.4
"454",13139,90062,9.1
"455",13141,3381,17.7
"456",13143,12603,11.3
"457",13145,15809,7.2
"458",13147,10571,13.8
"459",13149,4841,12.4
"460",13151,94257,10.4
"461",13153,67779,7.3
"462",13155,4057,14.5
"463",13157,27385,10.9
"464",13159,6391,12.7
"465",13161,5174,13.5
"466",13163,7191,14.9
"467",13165,2610,19.6
"468",13167,3718,11.9
"469",13169,13858,8.6
"470",13171,8094,15.3
"471",13173,4018,8.4
"472",13175,22266,10.8
"473",13177,17325,7.9
"474",13179,25414,8.5
"475",13181,3845,10.3
"476",13183,6132,5.9
"477",13185,53092,8.2
"478",13187,13275,11.1
"479",13189,10729,12.1
"480",13191,5475,9.6
"481",13193,5112,13
"482",13195,16336,8.3
"483",13197,3326,9.9
"484",13199,9457,13.2
"485",13201,3637,8.7
"486",13205,10522,10.4
"487",13207,13625,10.2
"488",13209,4513,8.5
"489",13211,9561,9.8
"490",13213,19354,12.3
"491",13215,84642,9.2
"492",13217,45842,12.6
"493",13219,18335,6.2
"494",13221,7963,8.2
"495",13223,64564,10.7
"496",13225,12057,10.2
"497",13227,14888,10.8
"498",13229,8590,9.3
"499",13231,7982,11.8
"500",13233,21359,10.8
"501",13235,4407,7.1
"502",13237,10353,10.4
"503",13239,1045,11.8
"504",13241,6888,10.4
"505",13243,2706,13
"506",13245,90320,10.3
"507",13247,39671,12
"508",13249,1849,13.8
"509",13251,7444,13.7
"510",13253,4104,10.7
"511",13255,28726,15.4
"512",13257,13976,10.7
"513",13259,2314,10.7
"514",13261,14673,12.9
"515",13263,3130,9.8
"516",13265,879,12.4
"517",13267,9183,8.7
"518",13269,3560,13
"519",13271,4530,16.2
"520",13273,4411,11.6
"521",13275,21462,9.3
"522",13277,18791,10.6
"523",13279,13794,9.8
"524",13281,6073,7.8
"525",13283,2879,11.9
"526",13285,30310,12.9
"527",13287,4971,13
"528",13289,4682,11.4
"529",13291,11386,9
"530",13293,11905,13.3
"531",13295,32876,9.6
"532",13297,40112,11
"533",13299,15255,10.7
"534",13301,2583,18.8
"535",13303,8062,14
"536",13305,12333,11.7
"537",13307,1367,9.1
"538",13309,2947,9.1
"539",13311,12640,9.5
"540",13313,43296,12.5
"541",13315,3256,11.6
"542",13317,4475,11.7
"543",13319,4736,10.7
"544",13321,10118,10.8
"545",15001,85683,10.8
"546",15003,447476,6.3
"547",15007,32595,9.6
"548",15009,77974,9.7
"549",16001,191856,9.1
"550",16003,2148,12.1
"551",16005,40148,8.4
"552",16007,3401,5.2
"553",16009,3972,12.1
"554",16011,22261,5.9
"555",16013,13177,7.7
"556",16015,3385,7.1
"557",16017,20777,9.5
"558",16019,50843,5.9
"559",16021,4425,12
"560",16023,1498,4.5
"561",16025,616,11
"562",16027,81678,10.6
"563",16029,3654,6
"564",16031,10279,5.9
"565",16033,567,4.1
"566",16035,3437,11.8
"567",16037,2966,3.9
"568",16039,11305,7.7
"569",16041,5827,4
"570",16043,5571,6.6
"571",16045,6935,10.4
"572",16047,8401,5.5
"573",16049,7449,8.3
"574",16051,11330,6.8
"575",16053,10135,5.9
"576",16055,71316,8.7
"577",16057,17769,5.9
"578",16059,4023,6.5
"579",16061,1780,5.2
"580",16063,2644,9.7
"581",16065,15865,5.5
"582",16067,9510,6
"583",16069,19642,5.5
"584",16071,2227,5
"585",16073,4181,4.1
"586",16075,10957,7.7
"587",16077,3541,6.7
"588",16079,6074,11.9
"589",16081,5169,5.1
"590",16083,39325,6.8
"591",16085,4852,11.4
"592",16087,4969,8.4
"593",17001,37728,7.9
"594",17003,3393,11.2
"595",17005,8581,9.3
"596",17007,26719,13.8
"597",17009,3580,4.5
"598",17011,19252,10.9
"599",17013,2567,9.5
"600",17015,7991,10.5
"601",17017,7453,7.3
"602",17019,107182,8.2
"603",17021,17809,9.9
"604",17023,8177,13.1
"605",17025,6569,11.4
"606",17027,18733,7.9
"607",17029,27569,9.1
"608",17031,2603121,10.6
"609",17033,9981,10.5
"610",17035,5722,9.7
"611",17037,57656,9.2
"612",17039,8385,9.2
"613",17041,10044,9.1
"614",17043,523582,8.6
"615",17045,9940,10.7
"616",17047,3112,9.1
"617",17049,18202,7.9
"618",17051,9554,11.6
"619",17053,7620,10.4
"620",17055,17436,14.6
"621",17057,18576,12.5
"622",17059,2637,11
"623",17061,6676,9.2
"624",17063,25744,11.4
"625",17065,4046,9.3
"626",17067,9538,11.3
"627",17069,1756,12.8
"628",17071,3771,9.4
"629",17073,27722,8.6
"630",17075,15892,10
"631",17077,32338,7.3
"632",17079,5068,9.5
"633",17081,20343,10
"634",17083,11526,8.8
"635",17085,12815,8.1
"636",17087,4998,10.4
"637",17089,264155,9.9
"638",17091,55192,12.8
"639",17093,55864,10.4
"640",17095,25538,10.3
"641",17097,366796,10
"642",17099,58747,12.4
"643",17101,7773,10.3
"644",17103,17914,10.9
"645",17105,18833,10.7
"646",17107,13237,9.5
"647",17109,17503,7.7
"648",17111,177305,9.3
"649",17113,90939,7.4
"650",17115,54489,12.4
"651",17117,24416,10.5
"652",17119,138351,9.7
"653",17121,18246,11.9
"654",17123,7454,10.6
"655",17125,7270,14.3
"656",17127,7209,8
"657",17129,6937,7.8
"658",17131,8924,8.9
"659",17133,18088,7.8
"660",17135,13474,12.2
"661",17137,17239,8.4
"662",17139,8044,9
"663",17141,27937,11.9
"664",17143,100059,11.6
"665",17145,9308,11.9
"666",17147,9306,8.2
"667",17149,8197,8.1
"668",17151,1870,10.6
"669",17153,2905,11.9
"670",17155,3315,15
"671",17157,14945,9.4
"672",17159,7320,10.5
"673",17161,81013,9.5
"674",17163,123797,10.8
"675",17165,12425,11.2
"676",17167,107406,7.9
"677",17169,4240,6.6
"678",17171,2625,7.5
"679",17173,10862,10
"680",17175,2998,9.8
"681",17177,24989,11.6
"682",17179,75461,11.3
"683",17181,8292,10.8
"684",17183,37624,12
"685",17185,6197,10.3
"686",17187,9013,8
"687",17189,7993,8
"688",17191,7940,9.7
"689",17193,7683,8.6
"690",17195,30120,10.6
"691",17197,358961,9.9
"692",17199,34527,9.6
"693",17201,152926,15.5
"694",17203,21565,8.6
"695",18001,14713,13.4
"696",18003,176528,9.3
"697",18005,39662,8.8
"698",18007,4300,9
"699",18009,6043,13.3
"700",18011,27540,6.8
"701",18013,7510,7.8
"702",18015,9978,9.9
"703",18017,17837,10.5
"704",18019,54239,8.2
"705",18021,12383,9.6
"706",18023,16904,9.2
"707",18025,5171,10.5
"708",18027,14419,4.9
"709",18029,25616,8.9
"710",18031,12251,11
"711",18033,20119,12.4
"712",18035,52837,9.5
"713",18037,21985,8
"714",18039,93558,15
"715",18041,9690,13.4
"716",18043,37054,7.4
"717",18045,8470,11.6
"718",18047,11510,8.9
"719",18049,9950,11.2
"720",18051,16270,6.7
"721",18053,29746,11.1
"722",18055,14866,7.1
"723",18057,138384,6.1
"724",18059,35566,7.8
"725",18061,18976,7.8
"726",18063,71524,6.8
"727",18065,22332,12
"728",18067,35401,11.9
"729",18069,19698,11.1
"730",18071,21960,10.1
"731",18073,15426,8.7
"732",18075,11404,10.4
"733",18077,16686,9.5
"734",18079,13510,12.2
"735",18081,72558,7.4
"736",18083,18208,6.6
"737",18085,40390,11
"738",18087,15838,14
"739",18089,225605,9.4
"740",18091,52442,10.7
"741",18093,21105,11.1
"742",18095,59977,9.7
"743",18097,456290,8.4
"744",18099,22531,11.4
"745",18101,4852,6.3
"746",18103,15847,12.3
"747",18105,64449,5.6
"748",18107,18321,9.7
"749",18109,36294,7.5
"750",18111,6907,8.9
"751",18113,22082,14.5
"752",18115,3028,10.5
"753",18117,10258,9.2
"754",18119,10661,8.1
"755",18121,7728,8.3
"756",18123,9941,8.8
"757",18125,5932,8.7
"758",18127,82930,8.2
"759",18129,13059,7
"760",18131,6308,9.5
"761",18133,17182,8.2
"762",18135,12429,10.2
"763",18137,13607,9.1
"764",18139,8667,9.5
"765",18141,128630,10.4
"766",18143,10942,12.1
"767",18145,23531,8.8
"768",18147,10319,8.1
"769",18149,10408,12.6
"770",18151,15695,12.9
"771",18153,8566,9.3
"772",18155,5364,7
"773",18157,80787,8.5
"774",18159,7195,10.3
"775",18161,3439,8.6
"776",18163,88760,7.4
"777",18165,7697,10.8
"778",18167,48202,9.2
"779",18169,15804,12
"780",18171,4675,10.1
"781",18173,29891,6.9
"782",18175,14112,11.2
"783",18177,32388,10.9
"784",18179,14395,9.1
"785",18181,12895,9.4
"786",18183,17826,11.6
"787",19001,4310,5.1
"788",19003,2150,6
"789",19005,7541,9.3
"790",19007,6458,9.4
"791",19009,3227,5.1
"792",19011,14689,5.8
"793",19013,74456,5.8
"794",19015,16011,5.9
"795",19017,14130,5
"796",19019,11425,5.9
"797",19021,10562,5.5
"798",19023,8498,6
"799",19025,5285,5.4
"800",19027,12414,4.2
"801",19029,7738,5.8
"802",19031,11356,5.7
"803",19033,25912,6.7
"804",19035,6568,4.4
"805",19037,6883,8.4
"806",19039,4938,7.4
"807",19041,9997,6.2
"808",19043,10078,7.9
"809",19045,27886,7.7
"810",19047,9217,4.7
"811",19049,33451,5.1
"812",19051,4163,10.1
"813",19053,4335,6.6
"814",19055,10587,6.8
"815",19057,20496,8.2
"816",19059,9495,5.8
"817",19061,52618,6
"818",19063,5861,8.6
"819",19065,10835,8.5
"820",19067,8444,8.7
"821",19069,5713,7
"822",19071,3719,7
"823",19073,5075,6.3
"824",19075,6945,4.9
"825",19077,5991,5.6
"826",19079,8680,8.1
"827",19081,6029,9
"828",19083,9821,6
"829",19085,7869,4.4
"830",19087,10240,8.8
"831",19089,4783,8.6
"832",19091,4908,6.2
"833",19093,4295,5.8
"834",19095,8749,5.8
"835",19097,11434,7.7
"836",19099,17773,8.1
"837",19101,8459,8.7
"838",19103,81141,4.4
"839",19105,10791,6.3
"840",19107,5768,7.1
"841",19109,8827,5.6
"842",19111,17872,11.4
"843",19113,122807,6.5
"844",19115,6341,8
"845",19117,4769,6
"846",19119,6893,4.3
"847",19121,8456,5.8
"848",19123,11679,7.7
"849",19125,17574,5.7
"850",19127,20467,7
"851",19129,8214,4.3
"852",19131,5591,5.4
"853",19133,4687,7.1
"854",19135,4422,7.5
"855",19137,5450,8.7
"856",19139,23945,8.9
"857",19141,7496,5.3
"858",19143,3496,5.4
"859",19145,7704,8.7
"860",19147,5364,7
"861",19149,13966,4.7
"862",19151,4790,5.2
"863",19153,245419,6.2
"864",19155,48834,4.8
"865",19157,9671,6.6
"866",19159,2437,5.3
"867",19161,5815,4.7
"868",19163,92707,7.3
"869",19165,7343,3.9
"870",19167,19217,4.1
"871",19169,50519,4.5
"872",19171,8633,6.6
"873",19173,3292,6.7
"874",19175,6848,6
"875",19177,3987,8
"876",19179,20054,9.4
"877",19181,26247,5.8
"878",19183,12467,4.9
"879",19185,3168,6.4
"880",19187,19184,8.3
"881",19189,5857,9.1
"882",19191,11070,5.8
"883",19193,56862,5.7
"884",19195,4560,6.3
"885",19197,6596,8.4
"886",20001,7296,7.8
"887",20003,4000,7.9
"888",20005,9076,8.1
"889",20007,2679,5.1
"890",20009,15487,6.1
"891",20011,8373,6.5
"892",20013,5472,5.6
"893",20015,33664,7.2
"894",20017,1435,5.4
"895",20019,1867,8.4
"896",20021,11392,8.5
"897",20023,1414,3.7
"898",20025,1166,3.7
"899",20027,4970,4.2
"900",20029,5454,4.5
"901",20031,4979,5.7
"902",20033,960,3.8
"903",20035,18142,7.6
"904",20037,19092,8.1
"905",20039,1795,3.3
"906",20041,10560,5.1
"907",20043,4870,8.8
"908",20045,61014,5.4
"909",20047,1688,4.4
"910",20049,1135,11
"911",20051,16961,3.6
"912",20053,3808,4.1
"913",20055,18278,4.3
"914",20057,16035,3.8
"915",20059,14268,7.1
"916",20061,13934,6.9
"917",20063,1376,3.5
"918",20065,1528,4.3
"919",20067,3964,4.2
"920",20069,2729,3.4
"921",20071,685,4.5
"922",20073,3214,7.2
"923",20075,1250,4.2
"924",20077,3157,5.6
"925",20079,18786,7.4
"926",20081,2081,3.7
"927",20083,859,4.2
"928",20085,7140,6
"929",20087,10001,6.7
"930",20089,1850,4.9
"931",20091,310731,6.8
"932",20093,2134,4.5
"933",20095,4405,6.3
"934",20097,1374,4.9
"935",20099,12219,7.8
"936",20101,1004,3.4
"937",20103,33895,7.3
"938",20105,1843,6.3
"939",20107,4905,8.4
"940",20109,1486,4
"941",20111,17898,5.7
"942",20113,16759,5.1
"943",20115,6240,6.3
"944",20117,6037,4.9
"945",20119,2289,4.2
"946",20121,17013,6.8
"947",20123,3574,5.8
"948",20125,18831,9.4
"949",20127,2933,6.8
"950",20129,1637,4.7
"951",20131,5582,4.3
"952",20133,9340,7
"953",20135,1769,4
"954",20137,2760,4.7
"955",20139,8861,7
"956",20141,2166,4.4
"957",20143,3192,6.5
"958",20145,3777,3.7
"959",20147,2732,6
"960",20149,13270,4.1
"961",20151,5567,5.3
"962",20153,1304,3.5
"963",20155,32337,6.3
"964",20157,2960,4.1
"965",20159,5573,5.1
"966",20161,44960,3.2
"967",20163,2592,7.3
"968",20165,1584,5.9
"969",20167,3600,4.6
"970",20169,29497,5.7
"971",20171,2693,3.2
"972",20173,264663,8.8
"973",20175,10809,5.1
"974",20177,95197,6.4
"975",20179,1482,3.2
"976",20181,3843,3.9
"977",20183,2027,4.3
"978",20185,1984,6.1
"979",20187,1092,3.4
"980",20189,2095,5.3
"981",20191,12481,9
"982",20193,4067,3.6
"983",20195,1826,3.6
"984",20197,3845,6.6
"985",20199,892,5.9
"986",20201,3301,4.5
"987",20203,1240,3.5
"988",20205,5497,10.2
"989",20207,1655,8.9
"990",20209,74459,10.4
"991",21001,8891,10.1
"992",21003,8802,14.3
"993",21005,11069,10.9
"994",21007,4255,10.2
"995",21009,19780,11.6
"996",21011,5120,13.3
"997",21013,9582,12.5
"998",21015,62456,9.2
"999",21017,9734,9.1
"1000",21019,23211,8.3
"1001",21021,12864,11
"1002",21023,4285,10.2
"1003",21025,5602,10
"1004",21027,9476,12.1
"1005",21029,39704,10.8
"1006",21031,5601,13.7
"1007",21033,6791,10.9
"1008",21035,17697,8
"1009",21037,45543,10.7
"1010",21039,2211,9.1
"1011",21041,5735,12.4
"1012",21043,13833,13.5
"1013",21045,7159,10.2
"1014",21047,30101,12.9
"1015",21049,17767,11.4
"1016",21051,6868,13.5
"1017",21053,4605,9
"1018",21055,4022,10.8
"1019",21057,2932,13
"1020",21059,48466,9.1
"1021",21061,5450,12.8
"1022",21063,3204,12.6
"1023",21065,6262,12.9
"1024",21067,150966,7.7
"1025",21069,6561,12.2
"1026",21071,15695,12.4
"1027",21073,24777,9.1
"1028",21075,2699,14.4
"1029",21077,3985,11.1
"1030",21079,7733,11.9
"1031",21081,12727,10.1
"1032",21083,15888,10.3
"1033",21085,11589,16.4
"1034",21087,5611,12.4
"1035",21089,18017,9.8
"1036",21091,4518,13.6
"1037",21093,48735,10
"1038",21095,10059,12.5
"1039",21097,9551,11.1
"1040",21099,8334,10.6
"1041",21101,23152,9.8
"1042",21103,7987,10.7
"1043",21105,2006,9.2
"1044",21107,22651,9.1
"1045",21109,4240,17.5
"1046",21111,363298,10.5
"1047",21113,22949,8.8
"1048",21115,9634,11.1
"1049",21117,84927,10
"1050",21119,6461,12
"1051",21121,12938,11.5
"1052",21123,7189,10.7
"1053",21125,26874,10.1
"1054",21127,5942,13.1
"1055",21129,2732,12.3
"1056",21131,3622,13.7
"1057",21133,8947,12
"1058",21135,5929,15.1
"1059",21137,10823,12.1
"1060",21139,4859,9.8
"1061",21141,12667,10.4
"1062",21143,3341,12.2
"1063",21145,31618,9.1
"1064",21147,5794,13.3
"1065",21149,4736,10.6
"1066",21151,42962,8.7
"1067",21153,4647,21.4
"1068",21155,10758,12.9
"1069",21157,14799,10.7
"1070",21159,3466,12.4
"1071",21161,9190,11.1
"1072",21163,12011,12.4
"1073",21165,2689,14.7
"1074",21167,10674,10.8
"1075",21169,4691,15.8
"1076",21171,4886,14
"1077",21173,12538,12.6
"1078",21175,5065,14.5
"1079",21177,13543,10.7
"1080",21179,21851,11.5
"1081",21181,3135,12.5
"1082",21183,12670,9.4
"1083",21185,27675,8.6
"1084",21187,5266,10.1
"1085",21189,1508,11.2
