"","Tree.ID","Forest","HabType","Decade","Dbhib","Height","Age","Forest.ID","Hab.ID","dbhib.cm","height.m"
"80","13",2,4,2,14.3,86,70,"Coeur d'Alene","AG/Pach",36.322,26.2127999601565
"81","13",2,4,3,12.2,72,60,"Coeur d'Alene","AG/Pach",30.988,21.9455999666427
"82","13",2,4,4,9.7,52.5,50,"Coeur d'Alene","AG/Pach",24.638,16.001999975677
"83","13",2,4,5,6.6,33.1,40,"Coeur d'Alene","AG/Pach",16.764,10.0888799846649
"84","13",2,4,6,4.5,24.2,30,"Coeur d'Alene","AG/Pach",11.43,7.37615998878824
"85","13",2,4,7,2.6,18.8,20,"Coeur d'Alene","AG/Pach",6.604,5.73023999129004
"86","15",3,1,0,10.4,79.9,57,"St. Joe","Ts/Pac",26.416,24.3535199629826
"87","15",3,1,1,9.4,70,47,"St. Joe","Ts/Pac",23.876,21.3359999675693
"88","15",3,1,2,7.3,60,37,"St. Joe","Ts/Pac",18.542,18.2879999722022
"89","15",3,1,3,6,48,27,"St. Joe","Ts/Pac",15.24,14.6303999777618
"90","15",3,1,4,4.1,34.5,17,"St. Joe","Ts/Pac",10.414,10.5155999840163
"91","17",4,3,0,24,113,127,"Clearwater","Th/Pach",60.96,34.4423999476476
"92","17",4,3,1,22.3,107.9,117,"Clearwater","Th/Pach",56.642,32.8879199500104
"93","17",4,3,2,20.6,103.2,107,"Clearwater","Th/Pach",52.324,31.4553599521879
"94","17",4,3,3,19.1,98.3,97,"Clearwater","Th/Pach",48.514,29.961839954458
"95","17",4,3,4,17.7,93.8,87,"Clearwater","Th/Pach",44.958,28.5902399565428
"96","17",4,3,5,15.7,84.5,77,"Clearwater","Th/Pach",39.878,25.7555999608515
"97","17",4,3,6,14,80.2,67,"Clearwater","Th/Pach",35.56,24.4449599628437
"98","17",4,3,7,12.3,75.1,57,"Clearwater","Th/Pach",31.242,22.8904799652065
"99","17",4,3,8,11.5,71.9,47,"Clearwater","Th/Pach",29.21,21.915119966689
"100","17",4,3,9,9.5,63.1,37,"Clearwater","Th/Pach",24.13,19.232879970766
"101","17",4,3,10,7.1,47.2,27,"Clearwater","Th/Pach",18.034,14.3865599781324
"102","17",4,3,11,4.4,28.5,17,"Clearwater","Th/Pach",11.176,8.68679998679606
"103","18",4,3,0,10.8,81.8,46,"Clearwater","Th/Pach",27.432,24.9326399621024
"104","18",4,3,1,8,61.2,36,"Clearwater","Th/Pach",20.32,18.6537599716463
"105","18",4,3,2,4.7,34.6,26,"Clearwater","Th/Pach",11.938,10.54607998397
"106","18",4,3,3,2.5,15.1,16,"Clearwater","Th/Pach",6.35,4.60247999300423
"107","19",2,1,0,26.7,149.8,172,"Coeur d'Alene","Ts/Pac",67.818,45.6590399305983
"108","19",2,1,1,25.4,144.6,162,"Coeur d'Alene","Ts/Pac",64.516,44.0740799330074
"109","19",2,1,2,24.3,138.6,152,"Coeur d'Alene","Ts/Pac",61.722,42.2452799357872
"110","19",2,1,3,23.2,131.8,142,"Coeur d'Alene","Ts/Pac",58.928,40.1726399389376
"111","19",2,1,4,22.1,126.2,132,"Coeur d'Alene","Ts/Pac",56.134,38.465759941532
"112","19",2,1,5,19.3,118.6,122,"Coeur d'Alene","Ts/Pac",49.022,36.1492799450531
"113","19",2,1,6,17.5,112.1,112,"Coeur d'Alene","Ts/Pac",44.45,34.1680799480645
"114","19",2,1,7,15.7,104.8,102,"Coeur d'Alene","Ts/Pac",39.878,31.9430399514466
"115","19",2,1,8,13.4,93,92,"Coeur d'Alene","Ts/Pac",34.036,28.3463999569135
"116","19",2,1,9,11.7,80.9,82,"Coeur d'Alene","Ts/Pac",29.718,24.6583199625194
"117","28",5,3,0,28,169.5,123,"Nez Perce","Th/Pach",71.12,51.6635999214713
"118","28",5,3,1,27.2,162.6,113,"Nez Perce","Th/Pach",69.088,49.5604799246681
"119","28",5,3,2,26.1,155,103,"Nez Perce","Th/Pach",66.294,47.2439999281891
"120","28",5,3,3,25,150,93,"Nez Perce","Th/Pach",63.5,45.7199999305056
"121","28",5,3,4,23.7,141.6,83,"Nez Perce","Th/Pach",60.198,43.1596799343973
"122","28",5,3,5,21.3,127.1,73,"Nez Perce","Th/Pach",54.102,38.7400799411151
"123","28",5,3,6,19,118.7,63,"Nez Perce","Th/Pach",48.26,36.1797599450068
"124","28",5,3,7,16.7,103.7,53,"Nez Perce","Th/Pach",42.418,31.6077599519562
"125","28",5,3,8,12.2,90.8,43,"Nez Perce","Th/Pach",30.988,27.6758399579327
"126","28",5,3,9,9.8,77.8,33,"Nez Perce","Th/Pach",24.892,23.7134399639556
"127","28",5,3,10,7.1,54.7,23,"Nez Perce","Th/Pach",18.034,16.6725599746577
"128","28",5,3,11,4.1,26.4,13,"Nez Perce","Th/Pach",10.414,8.04671998776898
"129","29",5,3,0,21.5,150.5,77,"Nez Perce","Th/Pach",54.61,45.872399930274
"130","29",5,3,1,18.1,135.9,67,"Nez Perce","Th/Pach",45.974,41.4223199370381
"131","29",5,3,2,14.6,120,57,"Nez Perce","Th/Pach",37.084,36.5759999444045
"132","29",5,3,3,11.5,96,47,"Nez Perce","Th/Pach",29.21,29.2607999555236
"133","29",5,3,4,7.8,74.2,37,"Nez Perce","Th/Pach",19.812,22.6161599656234
"134","29",5,3,5,4.4,42.3,27,"Nez Perce","Th/Pach",11.176,12.8930399804026
"135","29",5,3,6,2.7,17.8,17,"Nez Perce","Th/Pach",6.858,5.42543999175333
"136","30",4,3,0,25.5,155.2,124,"Clearwater","Th/Pach",64.77,47.3049599280965
"137","30",4,3,1,23.8,149.3,114,"Clearwater","Th/Pach",60.452,45.5066399308299
"138","30",4,3,2,22.3,142.7,104,"Clearwater","Th/Pach",56.642,43.4949599338877
"139","30",4,3,3,21,136.5,94,"Clearwater","Th/Pach",53.34,41.6051999367601
"140","30",4,3,4,19.8,131.5,84,"Clearwater","Th/Pach",50.292,40.0811999390766
"141","30",4,3,5,18.3,122.8,74,"Clearwater","Th/Pach",46.482,37.4294399431072
"142","30",4,3,6,17.3,116.2,64,"Clearwater","Th/Pach",43.942,35.417759946165
"143","30",4,3,7,15.1,104,54,"Clearwater","Th/Pach",38.354,31.6991999518172
"144","30",4,3,8,13.2,88.2,44,"Clearwater","Th/Pach",33.528,26.8833599591373
"145","30",4,3,9,10.1,72.4,34,"Clearwater","Th/Pach",25.654,22.0675199664574
"146","30",4,3,10,7,52.5,24,"Clearwater","Th/Pach",17.78,16.001999975677
"147","30",4,3,11,3.8,30.7,14,"Clearwater","Th/Pach",9.652,9.35735998577681
"148","31",4,3,0,34.3,206.5,141,"Clearwater","Th/Pach",87.122,62.9411999043294
"149","31",4,3,1,32.5,199.2,131,"Clearwater","Th/Pach",82.55,60.7161599077114
"150","31",4,3,2,30.6,191.8,121,"Clearwater","Th/Pach",77.724,58.4606399111398
"151","31",4,3,3,28.5,184.9,111,"Clearwater","Th/Pach",72.39,56.3575199143366
"152","31",4,3,4,26.1,174.5,101,"Clearwater","Th/Pach",66.294,53.1875999191548
"153","31",4,3,5,22.6,164.3,91,"Clearwater","Th/Pach",57.404,50.0786399238805
"154","31",4,3,6,19.5,152.1,81,"Clearwater","Th/Pach",49.53,46.3600799295327
"155","31",4,3,7,15.7,142.2,71,"Clearwater","Th/Pach",39.878,43.3425599341193
"156","31",4,3,8,14.2,127.9,61,"Clearwater","Th/Pach",36.068,38.9839199407444
"157","31",4,3,9,11.4,111.6,51,"Clearwater","Th/Pach",28.956,34.0156799482962
"158","31",4,3,10,8.6,90.9,41,"Clearwater","Th/Pach",21.844,27.7063199578864
"159","31",4,3,11,5.8,65.2,31,"Clearwater","Th/Pach",14.732,19.8729599697931
"160","31",4,3,12,4,42.9,21,"Clearwater","Th/Pach",10.16,13.0759199801246
"161","32",5,3,1,18.1,103.2,43,"Nez Perce","Th/Pach",45.974,31.4553599521879
"162","32",5,3,2,13.8,77.3,33,"Nez Perce","Th/Pach",35.052,23.5610399641872
"163","32",5,3,3,9,58.7,23,"Nez Perce","Th/Pach",22.86,17.8917599728045
"164","32",5,3,4,4.4,28.1,13,"Nez Perce","Th/Pach",11.176,8.56487998698138
"165","33",2,1,0,21.5,148.5,72,"Coeur d'Alene","Ts/Pac",54.61,45.2627999312005
"166","33",2,1,1,19.6,134.9,62,"Coeur d'Alene","Ts/Pac",49.784,41.1175199375014
"167","33",2,1,2,17.4,118.5,52,"Coeur d'Alene","Ts/Pac",44.196,36.1187999450994
"168","33",2,1,3,14.5,98.5,42,"Coeur d'Alene","Ts/Pac",36.83,30.0227999543653
"169","33",2,1,4,10.9,78,32,"Coeur d'Alene","Ts/Pac",27.686,23.7743999638629
"170","33",2,1,5,7.2,48.2,22,"Coeur d'Alene","Ts/Pac",18.288,14.6913599776691
"171","33",2,1,6,3,22.2,12,"Coeur d'Alene","Ts/Pac",7.62,6.76655998971483
"172","34",1,1,0,21.7,137,78,"Kaniksu","Ts/Pac",55.118,41.7575999365284
"173","34",1,1,1,19.7,123.9,68,"Kaniksu","Ts/Pac",50.038,37.7647199425976
"174","34",1,1,2,17.8,107.4,58,"Kaniksu","Ts/Pac",45.212,32.735519950242
"175","34",1,1,3,15.4,89.9,48,"Kaniksu","Ts/Pac",39.116,27.4015199583497
"176","34",1,1,4,12.5,67.8,38,"Kaniksu","Ts/Pac",31.75,20.6654399685885
"177","34",1,1,5,8.9,44.4,28,"Kaniksu","Ts/Pac",22.606,13.5331199794297
"178","34",1,1,6,4.6,22,18,"Kaniksu","Ts/Pac",11.684,6.70559998980749
"179","35",5,4,0,14.2,89.4,54,"Nez Perce","AG/Pach",36.068,27.2491199585813
"180","35",5,4,1,11.6,79.5,44,"Nez Perce","AG/Pach",29.464,24.231599963168
"181","35",5,4,2,8.7,57.3,34,"Nez Perce","AG/Pach",22.098,17.4650399734531
"182","35",5,4,3,6.3,43,24,"Nez Perce","AG/Pach",16.002,13.1063999800783
"183","35",5,4,4,3.4,21.1,14,"Nez Perce","AG/Pach",8.636,6.43127999022445
"184","36",5,4,0,7.1,51.3,44,"Nez Perce","AG/Pach",18.034,15.6362399762329
"185","36",5,4,1,5.4,39.6,34,"Nez Perce","AG/Pach",13.716,12.0700799816535
"186","36",5,4,2,3.6,24.9,24,"Nez Perce","AG/Pach",9.144,7.58951998846393
"187","36",5,4,3,2.2,14.8,14,"Nez Perce","AG/Pach",5.588,4.51103999314322
"188","37",5,4,0,24.1,143,117,"Nez Perce","AG/Pach",61.214,43.5863999337487
"189","37",5,4,1,21.6,136.5,107,"Nez Perce","AG/Pach",54.864,41.6051999367601
"190","37",5,4,2,18.6,128.6,97,"Nez Perce","AG/Pach",47.244,39.1972799404201
"191","37",5,4,3,16.8,121.2,87,"Nez Perce","AG/Pach",42.672,36.9417599438485
"192","37",5,4,4,15.2,114.6,77,"Nez Perce","AG/Pach",38.608,34.9300799469063
"193","37",5,4,5,13.6,101.5,67,"Nez Perce","AG/Pach",34.544,30.9371999529755
"194","37",5,4,6,11.5,83,57,"Nez Perce","AG/Pach",29.21,25.2983999615464
"195","37",5,4,7,9.8,69.9,47,"Nez Perce","AG/Pach",24.892,21.3055199676156
"196","37",5,4,8,7.6,57.3,37,"Nez Perce","AG/Pach",19.304,17.4650399734531
"197","37",5,4,9,4.5,33.4,27,"Nez Perce","AG/Pach",11.43,10.1803199845259
"198","37",5,4,10,2.8,20.5,17,"Nez Perce","AG/Pach",7.112,6.24839999050243
"199","37",5,4,11,0.7,7.5,7,"Nez Perce","AG/Pach",1.778,2.28599999652528
"200","38",2,4,0,17.1,83.5,71,"Coeur d'Alene","AG/Pach",43.434,25.4507999613148
"201","38",2,4,1,15.1,76.1,61,"Coeur d'Alene","AG/Pach",38.354,23.1952799647432
"202","38",2,4,2,13.1,63.9,51,"Coeur d'Alene","AG/Pach",33.274,19.4767199703954
"203","38",2,4,3,11.7,55.2,41,"Coeur d'Alene","AG/Pach",29.718,16.8249599744261
"204","38",2,4,4,9.3,45.3,31,"Coeur d'Alene","AG/Pach",23.622,13.8074399790127
"205","38",2,4,5,5.5,29.3,21,"Coeur d'Alene","AG/Pach",13.97,8.93063998642543
"206","38",2,4,6,2.7,13.2,11,"Coeur d'Alene","AG/Pach",6.858,4.02335999388449
"207","39",2,5,0,17.4,104,78,"Coeur d'Alene","PA/Pach",44.196,31.6991999518172
"208","39",2,5,1,15.8,93.1,68,"Coeur d'Alene","PA/Pach",40.132,28.3768799568671
"209","39",2,5,2,13.3,69.6,58,"Coeur d'Alene","PA/Pach",33.782,21.2140799677546
"210","39",2,5,3,11.3,61.6,48,"Coeur d'Alene","PA/Pach",28.702,18.775679971461
"211","39",2,5,4,8.7,48.8,38,"Coeur d'Alene","PA/Pach",22.098,14.8742399773912
"212","39",2,5,5,6.3,28.6,28,"Coeur d'Alene","PA/Pach",16.002,8.71727998674973
"213","39",2,5,6,5.2,15,18,"Coeur d'Alene","PA/Pach",13.208,4.57199999305056
"214","39",2,5,7,2.5,8.7,8,"Coeur d'Alene","PA/Pach",6.35,2.65175999596932
"215","40",5,4,0,13.3,82.9,86,"Nez Perce","AG/Pach",33.782,25.2679199615928
"216","40",5,4,1,11,69.7,76,"Nez Perce","AG/Pach",27.94,21.2445599677083
"217","40",5,4,2,8.6,50.2,66,"Nez Perce","AG/Pach",21.844,15.3009599767425
"218","40",5,4,3,7.7,46.6,56,"Nez Perce","AG/Pach",19.558,14.2036799784104
"219","40",5,4,4,5.9,36.9,46,"Nez Perce","AG/Pach",14.986,11.2471199829044
"220","40",5,4,5,4.2,26.3,36,"Nez Perce","AG/Pach",10.668,8.01623998781531
"221","40",5,4,6,2.9,17.8,26,"Nez Perce","AG/Pach",7.366,5.42543999175333
"222","40",5,4,7,1.9,11.1,16,"Nez Perce","AG/Pach",4.826,3.38327999485741
"223","41",9,4,0,23.6,132.1,82,"Payette","AG/Pach",59.944,40.2640799387986
"224","41",9,4,1,20.5,122.9,72,"Payette","AG/Pach",52.07,37.4599199430609
"225","41",9,4,2,16.9,109.9,62,"Payette","AG/Pach",42.926,33.4975199490838
"226","41",9,4,3,14.1,91,52,"Payette","AG/Pach",35.814,27.7367999578401
"227","41",9,4,4,11.1,74.4,42,"Payette","AG/Pach",28.194,22.6771199655308
"228","41",9,4,5,8,51.7,32,"Payette","AG/Pach",20.32,15.7581599760476
"229","41",9,4,6,5.1,34.1,22,"Payette","AG/Pach",12.954,10.3936799842016
"230","41",9,4,7,2.9,16,12,"Payette","AG/Pach",7.366,4.87679999258726
"231","42",9,5,0,24.1,130.6,86,"Payette","PA/Pach",61.214,39.8068799394935
"232","42",9,5,1,20.9,118.2,76,"Payette","PA/Pach",53.086,36.0273599452384
"233","42",9,5,2,17.1,94,66,"Payette","PA/Pach",43.434,28.6511999564502
"234","42",9,5,3,15,76.7,56,"Payette","PA/Pach",38.1,23.3781599644652
"235","42",9,5,4,12.3,72.3,46,"Payette","PA/Pach",31.242,22.0370399665037
"236","42",9,5,5,8.2,53.2,36,"Payette","PA/Pach",20.828,16.2153599753527
"237","42",9,5,6,5.4,29.6,26,"Payette","PA/Pach",13.716,9.02207998628644
"238","42",9,5,7,2.6,13.6,16,"Payette","PA/Pach",6.604,4.14527999369917
"239","43",9,4,0,12.3,90.3,65,"Payette","AG/Pach",31.242,27.5234399581644
"240","43",9,4,1,9.9,74.7,55,"Payette","AG/Pach",25.146,22.7685599653918
"241","43",9,4,2,7.8,52.7,45,"Payette","AG/Pach",19.812,16.0629599755843
"242","43",9,4,3,6.1,42.3,35,"Payette","AG/Pach",15.494,12.8930399804026
"243","43",9,4,4,4.2,32.9,25,"Payette","AG/Pach",10.668,10.0279199847576
"244","43",9,4,5,2.3,17.6,15,"Payette","AG/Pach",5.842,5.36447999184599
"245","44",9,4,0,25.2,116.4,138,"Payette","AG/Pach",64.008,35.4787199460723
"246","44",9,4,1,23.2,108.4,128,"Payette","AG/Pach",58.928,33.0403199497787
"247","44",9,4,2,21.1,100.3,118,"Payette","AG/Pach",53.594,30.5714399535314
"248","44",9,4,3,20.1,92.7,108,"Payette","AG/Pach",51.054,28.2549599570525
"249","44",9,4,4,18.9,86.2,98,"Payette","AG/Pach",48.006,26.2737599600639
"250","44",9,4,5,15.4,74.6,88,"Payette","AG/Pach",39.116,22.7380799654381
"251","44",9,4,6,12.9,61.7,78,"Payette","AG/Pach",32.766,18.8061599714146
"252","44",9,4,7,10.1,51.4,68,"Payette","AG/Pach",25.654,15.6667199761866
"253","44",9,4,8,8.4,44.6,58,"Payette","AG/Pach",21.336,13.594079979337
"254","44",9,4,9,5.9,34.1,48,"Payette","AG/Pach",14.986,10.3936799842016
"255","44",9,4,10,4.4,27,38,"Payette","AG/Pach",11.176,8.22959998749101
"256","45",9,4,0,17.5,100.6,108,"Payette","AG/Pach",44.45,30.6628799533924
"257","45",9,4,1,14.8,86.3,98,"Payette","AG/Pach",37.592,26.3042399600176
"258","45",9,4,2,12.2,68.5,88,"Payette","AG/Pach",30.988,20.8787999682642
"259","45",9,4,3,11.1,62.2,78,"Payette","AG/Pach",28.194,18.958559971183
"260","45",9,4,4,9.2,56.9,68,"Payette","AG/Pach",23.368,17.3431199736385
"261","45",9,4,5,7,36.6,58,"Payette","AG/Pach",17.78,11.1556799830434
"262","45",9,4,6,5.7,34.1,48,"Payette","AG/Pach",14.478,10.3936799842016
"263","45",9,4,7,3.9,26.5,38,"Payette","AG/Pach",9.906,8.07719998772266
"264","45",9,4,8,2.5,13.8,28,"Payette","AG/Pach",6.35,4.20623999360652
"265","46",9,4,0,9.4,52.4,39,"Payette","AG/Pach",23.876,15.9715199757233
"266","46",9,4,1,5.5,30.3,29,"Payette","AG/Pach",13.97,9.23543998596213
"267","46",9,4,2,2.4,14.7,19,"Payette","AG/Pach",6.096,4.48055999318955
"268","46",9,4,3,1,8,9,"Payette","AG/Pach",2.54,2.43839999629363
"269","47",9,4,0,9.4,64.7,44,"Payette","AG/Pach",23.876,19.7205599700247
"270","47",9,4,1,6.4,48,34,"Payette","AG/Pach",16.256,14.6303999777618
"271","47",9,4,2,3.6,21.2,24,"Payette","AG/Pach",9.144,6.46175999017812
"272","47",9,4,3,2.1,8.6,14,"Payette","AG/Pach",5.334,2.62127999601565
"273","48",5,4,0,22.1,123,107,"Nez Perce","AG/Pach",56.134,37.4903999430146
"274","48",5,4,1,19.8,114.6,97,"Nez Perce","AG/Pach",50.292,34.9300799469063
"275","48",5,4,2,17.3,105.9,87,"Nez Perce","AG/Pach",43.942,32.278319950937
"276","48",5,4,3,15.7,100.5,77,"Nez Perce","AG/Pach",39.878,30.6323999534387
"277","48",5,4,4,13.1,91,67,"Nez Perce","AG/Pach",33.274,27.7367999578401
"278","48",5,4,5,11,79.9,57,"Nez Perce","AG/Pach",27.94,24.3535199629826
"279","48",5,4,6,8.9,66.1,47,"Nez Perce","AG/Pach",22.606,20.1472799693761
"280","48",5,4,7,6.7,51,37,"Nez Perce","AG/Pach",17.018,15.5447999763719
"281","48",5,4,8,4.7,38.3,27,"Nez Perce","AG/Pach",11.938,11.6738399822558
"282","48",5,4,9,3,22.9,17,"Nez Perce","AG/Pach",7.62,6.97991998939052
"283","49",5,4,0,17.4,119.1,88,"Nez Perce","AG/Pach",44.196,36.3016799448214
"284","49",5,4,1,15.1,107.7,78,"Nez Perce","AG/Pach",38.354,32.826959950103
"285","49",5,4,2,12.8,94.9,68,"Nez Perce","AG/Pach",32.512,28.9255199560332
"286","49",5,4,3,10.6,81,58,"Nez Perce","AG/Pach",26.924,24.688799962473
"287","49",5,4,4,7.6,57.6,48,"Nez Perce","AG/Pach",19.304,17.5564799733142
"288","49",5,4,5,5,29,38,"Nez Perce","AG/Pach",12.7,8.83919998656441
"289","49",5,4,6,2.9,16,28,"Nez Perce","AG/Pach",7.366,4.87679999258726
"290","49",5,4,7,1.5,10.5,18,"Nez Perce","AG/Pach",3.81,3.20039999513539
"291","50",5,5,0,10.1,79,44,"Nez Perce","PA/Pach",25.654,24.0791999633996
"292","50",5,5,1,7.6,60.6,34,"Nez Perce","PA/Pach",19.304,18.4708799719243
