"","plot","tree","species","dbh.cm","height.m"
"327",141,1,"DF",31.6,20.5
"328",142,1,"DF",28.3,24
"329",142,3,"DF",52.2,27.5
"330",142,4,"DF",22.5,20.5
"331",143,1,"GF",28,21
"332",143,2,"GF",33,20.5
"333",143,7,"WC",47.8,20.5
"334",144,1,"GF",10.2,16
"335",144,2,"DF",31.5,22
"336",144,4,"WL",26.5,25
