"","treat","rep","tree","date","isalive","height","dia","dbh"
"71","CONTROL","A",9,"4/26/2004 0:00:00",1,624.84,132,96
"72","CONTROL","A",9,"8/23/2005 0:00:00",1,883.92,162.56,129.54
"73","CONTROL","A",10,"10/7/1996 0:00:00",1,28,14.2,0
"74","CONTROL","A",10,"11/11/1997 0:00:00",1,58,12,0
"75","CONTROL","A",10,"8/18/1999 0:00:00",1,145.38,17,0
"76","CONTROL","A",10,"2/7/2001 0:00:00",1,197.51,25,14
"77","CONTROL","A",10,"5/31/2002 0:00:00",1,243.84,33,14
"78","CONTROL","A",10,"11/26/2002 0:00:00",1,323.08,42,22
"79","CONTROL","A",10,"4/26/2004 0:00:00",1,384.04,55,33
"80","CONTROL","A",10,"8/23/2005 0:00:00",1,640.08,71.12,50.8
"81","CONTROL","A",11,"10/7/1996 0:00:00",1,55,11.3,0
"82","CONTROL","A",11,"11/11/1997 0:00:00",1,81,13.5,0
"83","CONTROL","A",11,"8/18/1999 0:00:00",1,165.2,24,0
"84","CONTROL","A",11,"2/7/2001 0:00:00",1,230.73,21,29
"85","CONTROL","A",11,"5/31/2002 0:00:00",1,297.18,39,29
"86","CONTROL","A",11,"11/26/2002 0:00:00",1,359.66,50,32
"87","CONTROL","A",11,"4/26/2004 0:00:00",1,432.81,62,50
"88","CONTROL","A",11,"8/23/2005 0:00:00",1,701.04,86.36,66.04
"89","CONTROL","A",12,"10/7/1996 0:00:00",1,142,23.1,0
"90","CONTROL","A",12,"11/11/1997 0:00:00",1,269,40,0
"91","CONTROL","A",12,"8/18/1999 0:00:00",1,473.04,71,0
"92","CONTROL","A",12,"2/7/2001 0:00:00",1,591.31,88,91
"93","CONTROL","A",12,"5/31/2002 0:00:00",1,729.99,110,91
"94","CONTROL","A",12,"11/26/2002 0:00:00",1,908.3,139,100
"95","CONTROL","A",12,"4/26/2004 0:00:00",1,914.4,169,127
"96","CONTROL","A",12,"8/23/2005 0:00:00",1,1219.2,195.58,165.1
"97","CONTROL","A",13,"10/7/1996 0:00:00",1,26,10.2,0
"98","CONTROL","A",13,"11/11/1997 0:00:00",1,33,11,0
"99","CONTROL","A",13,"8/18/1999 0:00:00",1,86.86,12,0
"100","CONTROL","A",13,"2/7/2001 0:00:00",1,83.82,100,3
"101","CONTROL","A",13,"5/31/2002 0:00:00",1,137.16,18,3
"102","CONTROL","A",13,"11/26/2002 0:00:00",1,188.97,19,8
"103","CONTROL","A",13,"4/26/2004 0:00:00",1,237.74,22,12
"104","CONTROL","A",13,"8/23/2005 0:00:00",1,304.8,27.94,20.32
"105","CONTROL","A",14,"10/7/1996 0:00:00",1,96,14.2,0
"106","CONTROL","A",14,"11/11/1997 0:00:00",1,149,25.5,0
"107","CONTROL","A",14,"8/18/1999 0:00:00",1,315.46,47,0
"108","CONTROL","A",14,"2/7/2001 0:00:00",1,404.46,62,58
"109","CONTROL","A",14,"5/31/2002 0:00:00",1,470.91,72,58
"110","CONTROL","A",14,"11/26/2002 0:00:00",1,560.83,82,63
"111","CONTROL","A",14,"4/26/2004 0:00:00",1,649.22,100,80
"112","CONTROL","A",14,"8/23/2005 0:00:00",1,762,27.94,20.32
"113","CONTROL","A",15,"10/7/1996 0:00:00",1,43,10.3,0
"114","CONTROL","A",15,"11/11/1997 0:00:00",1,46,14,0
"115","CONTROL","A",15,"8/18/1999 0:00:00",1,91.44,20,0
"116","CONTROL","A",15,"2/7/2001 0:00:00",1,155.44,11,10
"117","CONTROL","A",15,"5/31/2002 0:00:00",1,193.54,25,10
"118","CONTROL","A",15,"11/26/2002 0:00:00",1,228.6,29,10
"119","CONTROL","A",15,"4/26/2004 0:00:00",1,259.08,24,12
"120","CONTROL","A",15,"8/23/2005 0:00:00",1,274.32,121.92,104.14
"121","CONTROL","A",16,"10/7/1996 0:00:00",1,122,30.7,0
"122","CONTROL","A",16,"11/11/1997 0:00:00",1,174,43,0
"123","CONTROL","A",16,"8/18/1999 0:00:00",1,378.56,78,0
"124","CONTROL","A",16,"2/7/2001 0:00:00",1,491.33,100,88
"125","CONTROL","A",16,"5/31/2002 0:00:00",1,614.17,129,88
"126","CONTROL","A",16,"11/26/2002 0:00:00",1,716.28,138,92
"127","CONTROL","A",16,"4/26/2004 0:00:00",1,810.76,176,120
"128","CONTROL","A",16,"8/23/2005 0:00:00",1,822.96,195.58,144.78
"129","CONTROL","A",17,"10/7/1996 0:00:00",1,122,24.8,0
"130","CONTROL","A",17,"11/11/1997 0:00:00",1,180,34,0
"131","CONTROL","A",17,"8/18/1999 0:00:00",1,396.24,69,0
"132","CONTROL","A",17,"2/7/2001 0:00:00",1,454.76,68,70
"133","CONTROL","A",17,"5/31/2002 0:00:00",1,537.97,88,70
"134","CONTROL","A",17,"11/26/2002 0:00:00",1,627.88,99,62
"135","CONTROL","A",17,"4/26/2004 0:00:00",1,716.28,117,92
"136","CONTROL","A",17,"8/23/2005 0:00:00",1,853.44,144.78,119.38
"137","CONTROL","A",18,"10/7/1996 0:00:00",1,95,13.4,0
"138","CONTROL","A",18,"11/11/1997 0:00:00",1,144,23,0
"139","CONTROL","A",18,"8/18/1999 0:00:00",1,288.64,43,0
"140","CONTROL","A",18,"2/7/2001 0:00:00",1,359.66,52,62
"141","CONTROL","A",18,"5/31/2002 0:00:00",1,475.48,89,62
"142","CONTROL","A",18,"11/26/2002 0:00:00",1,518.16,91,70
"143","CONTROL","A",18,"4/26/2004 0:00:00",1,597.4,111,84
"144","CONTROL","A",18,"8/23/2005 0:00:00",1,731.52,139.7,109.22
"145","CONTROL","A",19,"10/7/1996 0:00:00",1,84,14.5,0
"146","CONTROL","A",19,"11/11/1997 0:00:00",1,136,24,0
"147","CONTROL","A",19,"8/18/1999 0:00:00",1,227.99,42,0
"148","CONTROL","A",19,"2/7/2001 0:00:00",1,320.04,58,58
"149","CONTROL","A",19,"5/31/2002 0:00:00",1,420.62,79,58
"150","CONTROL","A",19,"11/26/2002 0:00:00",1,475.48,82,62
"151","CONTROL","A",19,"4/26/2004 0:00:00",1,542.54,113,81
"152","CONTROL","A",19,"8/23/2005 0:00:00",1,762,147.32,109.22
"153","CONTROL","A",20,"10/7/1996 0:00:00",1,96,16.6,0
"154","CONTROL","A",20,"11/11/1997 0:00:00",1,182,25.5,0
"155","CONTROL","A",20,"8/18/1999 0:00:00",1,357.83,46,0
"156","CONTROL","A",20,"2/7/2001 0:00:00",1,458.11,58,60
"157","CONTROL","A",20,"5/31/2002 0:00:00",1,576.07,83,60
"158","CONTROL","A",20,"11/26/2002 0:00:00",1,652.27,90,70
"159","CONTROL","A",20,"4/26/2004 0:00:00",1,746.76,108,83
"160","CONTROL","A",20,"8/23/2005 0:00:00",1,822.96,127,101.6
"161","CONTROL","B",21,"10/7/1996 0:00:00",1,121,23.2,0
"162","CONTROL","B",21,"11/11/1997 0:00:00",1,213,36.5,0
"163","CONTROL","B",21,"8/18/1999 0:00:00",1,413.91,64,0
"164","CONTROL","B",21,"2/7/2001 0:00:00",1,543.76,86,0
"165","CONTROL","B",21,"5/31/2002 0:00:00",1,649.22,118,98
"166","CONTROL","B",21,"11/26/2002 0:00:00",1,762,189,110
"167","CONTROL","B",21,"4/26/2004 0:00:00",1,734.56,439.42,342.9
"168","CONTROL","B",21,"8/23/2005 0:00:00",1,883.92,223.52,177.8
"169","CONTROL","B",22,"10/7/1996 0:00:00",1,72,10.5,0
"170","CONTROL","B",22,"11/11/1997 0:00:00",1,127,19,0
"171","CONTROL","B",22,"8/18/1999 0:00:00",1,267.3,39,0
"172","CONTROL","B",22,"2/7/2001 0:00:00",1,352.34,59,0
"173","CONTROL","B",22,"5/31/2002 0:00:00",1,448.05,76,61
"174","CONTROL","B",22,"11/26/2002 0:00:00",1,554.73,88,74
"175","CONTROL","B",22,"4/26/2004 0:00:00",1,637.03,259.08,187.96
"176","CONTROL","B",22,"8/23/2005 0:00:00",1,792.48,147.32,114.3
"177","CONTROL","B",23,"10/7/1996 0:00:00",1,131,22.7,0
"178","CONTROL","B",23,"11/11/1997 0:00:00",1,193,39.5,0
"179","CONTROL","B",23,"8/18/1999 0:00:00",1,370.63,65,0
"180","CONTROL","B",23,"2/7/2001 0:00:00",1,485.85,72,0
"181","CONTROL","B",23,"5/31/2002 0:00:00",1,573.02,108,81
"182","CONTROL","B",23,"11/26/2002 0:00:00",1,682.75,120,87
"183","CONTROL","B",23,"4/26/2004 0:00:00",1,883.92,330.2,266.7
"184","CONTROL","B",23,"8/23/2005 0:00:00",1,883.92,165.1,137.16
"185","CONTROL","B",24,"10/7/1996 0:00:00",1,49,15.1,0
"186","CONTROL","B",24,"11/11/1997 0:00:00",1,90,23,0
"187","CONTROL","B",24,"8/18/1999 0:00:00",1,227.99,40,0
"188","CONTROL","B",24,"2/7/2001 0:00:00",1,313.94,53,0
"189","CONTROL","B",24,"5/31/2002 0:00:00",1,347.47,81,50
"190","CONTROL","B",24,"11/26/2002 0:00:00",1,451.1,88,55
"191","CONTROL","B",24,"4/26/2004 0:00:00",1,478.53,269.24,157.48
"192","CONTROL","B",24,"8/23/2005 0:00:00",1,609.6,121.92,81.28
"193","CONTROL","B",25,"10/7/1996 0:00:00",1,68,15,0
"194","CONTROL","B",25,"11/11/1997 0:00:00",1,190,21.5,0
"195","CONTROL","B",25,"8/18/1999 0:00:00",1,271.27,42,0
"196","CONTROL","B",25,"2/7/2001 0:00:00",1,372.77,54,0
"197","CONTROL","B",25,"5/31/2002 0:00:00",1,478.53,76,52
"198","CONTROL","B",25,"11/26/2002 0:00:00",1,579.12,70,59
"199","CONTROL","B",25,"4/26/2004 0:00:00",1,646.17,233.68,165.1
"200","CONTROL","B",25,"8/23/2005 0:00:00",1,762,111.76,86.36
"201","CONTROL","B",26,"10/7/1996 0:00:00",1,52,11.3,0
"202","CONTROL","B",26,"11/11/1997 0:00:00",1,76,17.5,0
"203","CONTROL","B",26,"8/18/1999 0:00:00",1,212.75,33,0
"204","CONTROL","B",26,"2/7/2001 0:00:00",1,297.48,42,0
"205","CONTROL","B",26,"5/31/2002 0:00:00",1,402.33,66,43
"206","CONTROL","B",26,"11/26/2002 0:00:00",1,518.16,72,50
"207","CONTROL","B",26,"4/26/2004 0:00:00",1,612.64,218.44,147.32
"208","CONTROL","B",26,"8/23/2005 0:00:00",1,762,91.44,81.28
"209","CONTROL","B",27,"10/7/1996 0:00:00",1,66,16.6,0
"210","CONTROL","B",27,"11/11/1997 0:00:00",1,92,23,0
"211","CONTROL","B",27,"8/18/1999 0:00:00",1,224.33,43,0
"212","CONTROL","B",27,"2/7/2001 0:00:00",1,281.94,52,0
"213","CONTROL","B",27,"5/31/2002 0:00:00",1,356.61,81,39
"214","CONTROL","B",27,"11/26/2002 0:00:00",1,460.24,90,80
"215","CONTROL","B",27,"4/26/2004 0:00:00",1,509.01,167.64,127
"216","CONTROL","B",27,"8/23/2005 0:00:00",1,640.08,81.28,66.04
"217","CONTROL","B",28,"10/7/1996 0:00:00",1,60,10.1,0
"218","CONTROL","B",28,"11/11/1997 0:00:00",1,88,15.5,0
"219","CONTROL","B",28,"8/18/1999 0:00:00",1,224.02,27,0
"220","CONTROL","B",28,"2/7/2001 0:00:00",1,294.13,36,0
"221","CONTROL","B",28,"5/31/2002 0:00:00",1,377.95,58,44
"222","CONTROL","B",28,"11/26/2002 0:00:00",1,463.29,66,45
"223","CONTROL","B",28,"4/26/2004 0:00:00",1,551.68,185.42,152.4
"224","CONTROL","B",28,"8/23/2005 0:00:00",1,670.56,88.9,78.74
"225","CONTROL","B",29,"10/7/1996 0:00:00",1,76,17.7,0
"226","CONTROL","B",29,"11/11/1997 0:00:00",1,120,17.5,0
"227","CONTROL","B",29,"8/18/1999 0:00:00",1,245.97,32,0
"228","CONTROL","B",29,"2/7/2001 0:00:00",1,302.05,40,0
"229","CONTROL","B",29,"5/31/2002 0:00:00",1,393.19,60,46
"230","CONTROL","B",29,"11/26/2002 0:00:00",1,490.72,61,52
"231","CONTROL","B",29,"4/26/2004 0:00:00",1,573.02,215.9,154.94
"232","CONTROL","B",29,"8/23/2005 0:00:00",1,701.04,93.98,83.82
"233","CONTROL","B",30,"10/7/1996 0:00:00",1,74,18.4,0
"234","CONTROL","B",30,"11/11/1997 0:00:00",1,133,24.5,0
"235","CONTROL","B",30,"8/18/1999 0:00:00",1,307.84,43,0
"236","CONTROL","B",30,"2/7/2001 0:00:00",1,387.09,50,0
"237","CONTROL","B",30,"5/31/2002 0:00:00",1,457.2,63,51
"238","CONTROL","B",30,"11/26/2002 0:00:00",1,576.07,68,51
"239","CONTROL","B",30,"4/26/2004 0:00:00",1,615.69,220.98,172.72
"240","CONTROL","B",30,"8/23/2005 0:00:00",1,792.48,104.14,88.9
"241","CONTROL","B",31,"10/7/1996 0:00:00",1,97,15.3,0
"242","CONTROL","B",31,"11/11/1997 0:00:00",1,148,24.5,0
"243","CONTROL","B",31,"8/18/1999 0:00:00",1,303.58,42,0
"244","CONTROL","B",31,"2/7/2001 0:00:00",1,391.36,67,0
"245","CONTROL","B",31,"5/31/2002 0:00:00",1,493.77,82,62
"246","CONTROL","B",31,"11/26/2002 0:00:00",1,454.15,74,64
"247","CONTROL","B",31,"4/26/2004 0:00:00",1,679.7,266.7,203.2
"248","CONTROL","B",31,"8/23/2005 0:00:00",1,670.56,111.76,96.52
"249","CONTROL","B",32,"10/7/1996 0:00:00",1,78,13.2,0
"250","CONTROL","B",32,"11/11/1997 0:00:00",1,136,22,0
"251","CONTROL","B",32,"8/18/1999 0:00:00",1,305.4,39,0
"252","CONTROL","B",32,"2/7/2001 0:00:00",1,384.04,44,0
"253","CONTROL","B",32,"5/31/2002 0:00:00",1,469.39,64,58
"254","CONTROL","B",32,"11/26/2002 0:00:00",1,585.21,76,61
"255","CONTROL","B",32,"4/26/2004 0:00:00",1,661.41,248.92,180.34
"256","CONTROL","B",32,"8/23/2005 0:00:00",1,944.88,104.14,88.9
"257","CONTROL","B",33,"10/7/1996 0:00:00",1,62,15.1,0
"258","CONTROL","B",33,"11/11/1997 0:00:00",1,67,16,0
"259","CONTROL","B",33,"8/18/1999 0:00:00",1,121.92,13,0
"260","CONTROL","B",33,"2/7/2001 0:00:00",1,175.26,19,0
"261","CONTROL","B",33,"5/31/2002 0:00:00",1,210.31,26,14
"262","CONTROL","B",33,"11/26/2002 0:00:00",1,268.22,26,15
"263","CONTROL","B",33,"4/26/2004 0:00:00",1,307.84,78.74,50.8
"264","CONTROL","B",33,"8/23/2005 0:00:00",1,365.76,35.56,25.4
"265","CONTROL","B",34,"10/7/1996 0:00:00",1,117,26.3,0
"266","CONTROL","B",34,"11/11/1997 0:00:00",1,178,32,0
"267","CONTROL","B",34,"8/18/1999 0:00:00",1,361.18,45,0
"268","CONTROL","B",34,"2/7/2001 0:00:00",1,425.19,62,0
"269","CONTROL","B",34,"5/31/2002 0:00:00",1,542.54,90,66
"270","CONTROL","B",34,"11/26/2002 0:00:00",1,658.36,100,66
"271","CONTROL","B",34,"4/26/2004 0:00:00",1,722.37,294.64,266.7
"272","CONTROL","B",34,"8/23/2005 0:00:00",1,762,137.16,101.6
"273","CONTROL","B",35,"10/7/1996 0:00:00",1,98,20.8,0
"274","CONTROL","B",35,"11/11/1997 0:00:00",1,153,29.5,0
"275","CONTROL","B",35,"8/18/1999 0:00:00",1,332.84,57,0
"276","CONTROL","B",35,"2/7/2001 0:00:00",1,437.99,63,0
"277","CONTROL","B",35,"5/31/2002 0:00:00",1,545.59,110,75
"278","CONTROL","B",35,"11/26/2002 0:00:00",1,646.17,116,85
"279","CONTROL","B",35,"4/26/2004 0:00:00",1,697.99,381,213.36
"280","CONTROL","B",35,"8/23/2005 0:00:00",1,853.44,147.32,127
"281","CONTROL","B",36,"10/7/1996 0:00:00",1,27,8,0
"282","CONTROL","B",36,"11/11/1997 0:00:00",0,NA,NA,NA
"283","CONTROL","B",36,"8/18/1999 0:00:00",0,NA,NA,NA
"284","CONTROL","B",36,"2/7/2001 0:00:00",0,NA,NA,NA
"285","CONTROL","B",36,"5/31/2002 0:00:00",0,NA,NA,NA
"286","CONTROL","B",36,"11/26/2002 0:00:00",0,NA,NA,NA
"287","CONTROL","B",36,"4/26/2004 0:00:00",0,NA,NA,NA
"288","CONTROL","B",36,"8/23/2005 0:00:00",0,NA,NA,NA
"289","CONTROL","B",37,"10/7/1996 0:00:00",1,83,16.5,0
"290","CONTROL","B",37,"11/11/1997 0:00:00",1,132,26,0
"291","CONTROL","B",37,"8/18/1999 0:00:00",1,302.97,45,0
"292","CONTROL","B",37,"2/7/2001 0:00:00",1,391.36,68,0
"293","CONTROL","B",37,"5/31/2002 0:00:00",1,429.76,92,70
"294","CONTROL","B",37,"11/26/2002 0:00:00",1,530.35,100,77
"295","CONTROL","B",37,"4/26/2004 0:00:00",1,615.69,332.74,231.14
"296","CONTROL","B",37,"8/23/2005 0:00:00",1,853.44,144.78,114.3
"297","CONTROL","B",38,"10/7/1996 0:00:00",1,76,17.9,0
"298","CONTROL","B",38,"11/11/1997 0:00:00",1,146,26,0
"299","CONTROL","B",38,"8/18/1999 0:00:00",1,323.69,49,0
"300","CONTROL","B",38,"2/7/2001 0:00:00",1,416.35,64,0
"301","CONTROL","B",38,"5/31/2002 0:00:00",1,530.35,105,77
"302","CONTROL","B",38,"11/26/2002 0:00:00",1,673.6,125,91
"303","CONTROL","B",38,"4/26/2004 0:00:00",1,774.19,330.2,279.4
"304","CONTROL","B",38,"8/23/2005 0:00:00",1,853.44,162.56,139.7
"305","CONTROL","B",39,"10/7/1996 0:00:00",1,116,29.8,0
"306","CONTROL","B",39,"11/11/1997 0:00:00",1,194,46.5,0
"307","CONTROL","B",39,"8/18/1999 0:00:00",1,398.67,70,0
"308","CONTROL","B",39,"2/7/2001 0:00:00",1,509.01,82,0
"309","CONTROL","B",39,"5/31/2002 0:00:00",1,633.98,112,91
"310","CONTROL","B",39,"11/26/2002 0:00:00",1,743.71,127,114
"311","CONTROL","B",39,"4/26/2004 0:00:00",1,792.48,375.92,330.2
"312","CONTROL","B",39,"8/23/2005 0:00:00",1,944.88,182.88,142.24
"313","CONTROL","B",40,"10/7/1996 0:00:00",1,86,15.3,0
"314","CONTROL","B",40,"11/11/1997 0:00:00",1,136,21.5,0
"315","CONTROL","B",40,"8/18/1999 0:00:00",1,295.04,44,0
"316","CONTROL","B",40,"2/7/2001 0:00:00",1,392.88,51,0
"317","CONTROL","B",40,"5/31/2002 0:00:00",1,521.2,68,56
"318","CONTROL","B",40,"11/26/2002 0:00:00",1,618.74,78,61
"319","CONTROL","B",40,"4/26/2004 0:00:00",1,762,0,203.2
"320","CONTROL","B",40,"8/23/2005 0:00:00",1,822.96,114.3,96.52
"321","CONTROL","C",41,"10/7/1996 0:00:00",1,139,24.5,0
"322","CONTROL","C",41,"11/11/1997 0:00:00",1,231,40,0
"323","CONTROL","C",41,"8/18/1999 0:00:00",1,457.2,81,0
"324","CONTROL","C",41,"2/7/2001 0:00:00",1,571.8,108,0
"325","CONTROL","C",41,"5/31/2002 0:00:00",1,746.76,126,106
"326","CONTROL","C",41,"11/26/2002 0:00:00",1,880.87,140,117
"327","CONTROL","C",41,"4/26/2004 0:00:00",1,880.87,166,138
"328","CONTROL","C",41,"8/23/2005 0:00:00",1,1036.32,228.6,187.96
"329","CONTROL","C",42,"10/7/1996 0:00:00",1,37,9.5,0
"330","CONTROL","C",42,"11/11/1997 0:00:00",1,70,14,0
"331","CONTROL","C",42,"8/18/1999 0:00:00",1,230.12,28,0
"332","CONTROL","C",42,"2/7/2001 0:00:00",1,306.32,39,0
"333","CONTROL","C",42,"5/31/2002 0:00:00",1,429.76,61,48
"334","CONTROL","C",42,"11/26/2002 0:00:00",1,542.54,61,53
"335","CONTROL","C",42,"4/26/2004 0:00:00",1,615.69,98,70
"336","CONTROL","C",42,"8/23/2005 0:00:00",1,853.44,119.38,93.98
"337","CONTROL","C",43,"10/7/1996 0:00:00",1,74,9.9,0
"338","CONTROL","C",43,"11/11/1997 0:00:00",1,112,15,0
"339","CONTROL","C",43,"8/18/1999 0:00:00",1,227.07,31,0
"340","CONTROL","C",43,"2/7/2001 0:00:00",1,313.94,47,0
"341","CONTROL","C",43,"5/31/2002 0:00:00",1,384.04,65,51
"342","CONTROL","C",43,"11/26/2002 0:00:00",1,481.58,68,57
"343","CONTROL","C",43,"4/26/2004 0:00:00",1,582.16,90,68
"344","CONTROL","C",43,"8/23/2005 0:00:00",1,731.52,104.14,83.82
"345","CONTROL","C",44,"10/7/1996 0:00:00",1,98,22.5,0
"346","CONTROL","C",44,"11/11/1997 0:00:00",1,190,30,0
"347","CONTROL","C",44,"8/18/1999 0:00:00",1,395.32,64,0
"348","CONTROL","C",44,"2/7/2001 0:00:00",1,495.3,80,0
"349","CONTROL","C",44,"5/31/2002 0:00:00",1,640.08,115,78
"350","CONTROL","C",44,"11/26/2002 0:00:00",1,768.09,132,86
"351","CONTROL","C",44,"4/26/2004 0:00:00",1,880.87,158,107
"352","CONTROL","C",44,"8/23/2005 0:00:00",1,914.4,142.24,177.8
"353","CONTROL","C",45,"10/7/1996 0:00:00",1,135,26.5,0
"354","CONTROL","C",45,"11/11/1997 0:00:00",1,230,28,0
"355","CONTROL","C",45,"8/18/1999 0:00:00",1,301.75,43,0
"356","CONTROL","C",45,"2/7/2001 0:00:00",1,289.56,50,0
"357","CONTROL","C",45,"5/31/2002 0:00:00",1,371.85,64,51
"358","CONTROL","C",45,"11/26/2002 0:00:00",1,472.44,71,60
"359","CONTROL","C",45,"4/26/2004 0:00:00",1,579.12,92,72
"360","CONTROL","C",45,"8/23/2005 0:00:00",1,731.52,101.6,81.28
"361","CONTROL","C",46,"10/7/1996 0:00:00",1,15,8.1,0
"362","CONTROL","C",46,"11/11/1997 0:00:00",0,NA,NA,NA
"363","CONTROL","C",46,"8/18/1999 0:00:00",0,NA,NA,NA
"364","CONTROL","C",46,"2/7/2001 0:00:00",0,NA,NA,NA
"365","CONTROL","C",46,"5/31/2002 0:00:00",0,NA,NA,NA
"366","CONTROL","C",46,"11/26/2002 0:00:00",0,NA,NA,NA
"367","CONTROL","C",46,"4/26/2004 0:00:00",0,NA,NA,NA
"368","CONTROL","C",46,"8/23/2005 0:00:00",0,NA,NA,NA
"369","CONTROL","C",47,"10/7/1996 0:00:00",1,91,13,0
"370","CONTROL","C",47,"11/11/1997 0:00:00",1,173,24,0
"371","CONTROL","C",47,"8/18/1999 0:00:00",1,308.45,42,0
"372","CONTROL","C",47,"2/7/2001 0:00:00",1,402.33,56,0
